tweet,id,date,time,username,replies_count,retweets_count,likes_count
House Homeland Security chairman: 'This is election interference' https://thehill.com/policy/national-security/463234-house-homeland-security-chair-this-is-election-interference#.XZIpzLCRKI0.twitter …,1178704590180687873,2019-09-30,16:14:08,benniegthompson,3,10,33
"My prayers and condolences are with Jevonte’s family. Also, I pray for the other 2 students’ recovery. https://twitter.com/MVSUDEVILS/status/1178362676826779650 …",1178702603921821697,2019-09-30,16:06:14,benniegthompson,3,5,24
Protecting Our FUTURE Act of 2019  https://youtu.be/PWVlA5KMNnU  via @YouTube,1177343883589668865,2019-09-26,22:07:10,benniegthompson,0,0,3
"HBCUs have been integral in the development of and access to higher education for African Americans in the United States. As an alum of both Tougaloo College and Jackson State University, I proudly #SupportMSHBCUs! cont'd pic.twitter.com/JFzM3PRU0d",1177341730997362692,2019-09-26,21:58:37,benniegthompson,1,0,10
"HBCUs have been integral in the development of and access to higher education for African Americans in the United States. As an alum of both Tougaloo College and Jackson State University, I proudly #SupportMSHBCUs! pic.twitter.com/dMuxIZy2nb",1177341626798215169,2019-09-26,21:58:12,benniegthompson,0,11,24
Black Voters Sue Over Mississippi's Jim Crow-Era Election Law https://n.pr/2mBrKzX ,1177319925410684929,2019-09-26,20:31:58,benniegthompson,2,19,40
.@realDonaldTrump’s lawlessness has reached a grave new level which requires Congress to #ExposeTheTruth. pic.twitter.com/wxvUGceD39,1177269267315773442,2019-09-26,17:10:40,benniegthompson,7,2,7
Oopsy! The White House accidentally emailed all of its Trump-Ukraine talking points to Nancy Pelosi and other Democrats.  https://www.huffpost.com/entry/white-house-trump-ukraine-email-democrats_n_5d8b987ee4b0c6d0cef53efe?ncid=engmodushpmg00000004 … via @HuffPostPol,1176972987670704128,2019-09-25,21:33:22,benniegthompson,3,7,11
#ImpeachTrump pic.twitter.com/YK5NKDQCpf,1176653520826765312,2019-09-25,00:23:55,benniegthompson,12,52,200
I support @SpeakerPelosi. Impeach Trump!,1176604410778128386,2019-09-24,21:08:46,benniegthompson,8,9,90
#LowerDrugCosts pic.twitter.com/2T4BFH5ikq,1175095156669865984,2019-09-20,17:11:32,benniegthompson,3,2,5
 pic.twitter.com/4MFu9EsIvJ,1174804185897938949,2019-09-19,21:55:19,benniegthompson,2,4,23
"I was proud to welcome W.L. Johnson Inspirational Mass Choir of Mt. Zion M.B. Church to Washington, D.C. This is a phenomenal choir. Keep the faith! pic.twitter.com/BqtKBqf4Z4",1173696752324624384,2019-09-16,20:34:46,benniegthompson,0,2,19
"Happy Birthday to the ""King of the Blues"" B.B. King! pic.twitter.com/fItDcVt5CA",1173641550968086529,2019-09-16,16:55:25,benniegthompson,1,28,91
Canton sixth-grader scores 27 on ACT https://www.wjtv.com/news/canton-sixth-grader-scores-27-on-act/ …,1172229721725313025,2019-09-12,19:25:19,benniegthompson,0,7,37
"Today, the W.L. Johnson Inspirational Mass Choir of Mt. Zion M.B. Church will be representing Mississippi at the Gospel Extravaganza during the CBCF's 49th Annual Legislative Conference. I am so proud of these talented Mississippians and am excited to watch their performances. pic.twitter.com/iGA0WNRIQL",1172163275284451328,2019-09-12,15:01:17,benniegthompson,0,2,8
#NationalHBCUWeek pic.twitter.com/6SmpVz3JYe,1171863438705995777,2019-09-11,19:09:50,benniegthompson,0,7,24
"We will always remember the lives we lost on this tragic and horrific day. Triumphantly, our nation came together and showed the world the strength of America. #NeverForget pic.twitter.com/usHqbjpzEZ",1171803901735124992,2019-09-11,15:13:15,benniegthompson,2,4,14
Proud to welcome the Community College Policy Fellows to my office today. We had a productive conversation about the importance of community colleges and proposals that will help these institutions thrive. pic.twitter.com/Y3Q07TQQu0,1171544203064676355,2019-09-10,22:01:18,benniegthompson,0,3,12
"HBCUs serve important functions within the community.  HBCUs produce 25 % of all the African-American graduates with science, technology, engineering, and mathematics degrees. If you are a graduate of a MS HBCU show your support by commenting. pic.twitter.com/O0uJfdPyrw",1171049816207560705,2019-09-09,13:16:47,benniegthompson,23,101,210
"Provine High students operate credit union, teaching peers about finances https://www.wlbt.com/2019/09/06/provine-high-students-operate-credit-union-teaching-peers-about-finances/ …",1169975614947942401,2019-09-06,14:08:18,benniegthompson,2,1,8
Did you know that prostate cancer is the second leading cause of male cancer death? pic.twitter.com/68yEsjMSaN,1169709165406818309,2019-09-05,20:29:31,benniegthompson,6,51,41
