tweet,id,date,time,username,replies_count,retweets_count,likes_count
The #BWCA is America's most visited wilderness & the region’s economy relies on this system working. Yet the Trump admin shut out local stakeholders who tried to warn them about potential pitfalls. http://www.startribune.com/reservation-system-for-bwcaw-permits-crashes/505088252/ …,1091123184882106370,2019-01-31,23:56:54,bettymccollum04,12,18,43
Proud to be named Vice Chair of the Defense Appropriations Subcommittee which oversees over $700bn in federal funds. Looking forward to working with Chair @RepVisclosky & @AppropsDems to ensure that the women and men of our Armed Forces have the resources to do their jobs safely.,1091076670398910471,2019-01-31,20:52:04,bettymccollum04,2,6,34
"Not only were park entrance fees not collected during the #TrumpShutdown, but the admin drained millions from the pool of existing fee $ to pay for day-to-day operations. That $ is meant for capital improvement projects, which face a huge backlog. https://thehill.com/policy/energy-environment/427700-joshua-tree-lost-1-million-in-fees-during-shutdown-park-chief-says …",1091034096841752576,2019-01-31,18:02:53,bettymccollum04,6,15,20
"Ten years after President Obama signed the Lilly Ledbetter Fair Pay Act, we still have a long way to go until we achieve pay equity. It's past time for the #PaycheckFairness Act. #Ledbetter10 pic.twitter.com/87HoCjViNu",1090688024189509634,2019-01-30,19:07:43,bettymccollum04,4,2,22
Congratulations to the new Co-Chairs! Your leadership represents a new era for the Native American Caucus. I’m honored to work with you and tribal leaders as Co-Chair Emeritus. https://twitter.com/RepDebHaaland/status/1090677319600164864 …,1090682797914755073,2019-01-30,18:46:57,bettymccollum04,1,5,37
Social Security is a benefit that is earned and deserved – and I’m working to make it financially secure for generations to come. I’m proud to cosponsor the Social Security 2100 Act. #Secure2100 pic.twitter.com/5zSm6OUYiP,1090611180736073730,2019-01-30,14:02:22,bettymccollum04,5,7,27
Thank you to MN State Rep. @mkuneshpodein for leading this incredibly important work. This Task Force would be a major step forward in reducing violence against Native American and Indigenous women – a group too often left in the shadows. https://twitter.com/mkuneshpodein/status/1090368388248100864 …,1090392447065223168,2019-01-29,23:33:12,bettymccollum04,0,6,26
"Why won’t EPA Acting Sec. Wheeler take action to limit Americans’ exposure to toxic chemicals contaminating our drinking water? PFOA & PFOS, chemicals linked to cancer, hypertension, & other ailments, are present in the bloodstreams of 98% of Americans. https://www.politico.com/story/2019/01/28/epa-toxic-chemicals-drinking-water-1124797?wpisrc=nl_energy202&wpmm=1 …",1090375490186162177,2019-01-29,22:25:49,bettymccollum04,5,15,19
"Notice: Due to the dangerously cold winter weather, my St. Paul office will close at 3pm CT today and remain closed through tomorrow (1/30). Safety tips & resources are available here: https://www.ramseycounty.us/content/safety-information-extreme-cold-and-winter-weather …",1090352871944716295,2019-01-29,20:55:57,bettymccollum04,1,1,6
Record lows are possible with tomorrow’s forecast in the Twin Cities. Stay safe – frostbite can happen in as little as five minutes in such extreme cold. https://twitter.com/NWSTwinCities/status/1089869242927861761 …,1090028798182154241,2019-01-28,23:28:11,bettymccollum04,3,5,8
"Sad to hear of Duane Benson's passing. Duane was a dedicated public servant, and it was an honor to serve with him in the MN legislature. His contributions to early childhood education & the economic development of our state will be felt for years to come. http://www.startribune.com/former-football-player-state-senator-business-leader-duane-benson-dies/504973962/ …",1090007112665714689,2019-01-28,22:02:01,bettymccollum04,0,4,16
"Thanks to St. Paul’s @summitbeer for hosting a meeting today w/brewers, distributors, & retailers on the shutdown’s impact on the industry. To meet customer demand, they rely on fed. regulators approving labels/permits. Special thanks to State Rep. @LaurieHalverson for joining. pic.twitter.com/29nqk0eRgv",1090000060748886017,2019-01-28,21:34:00,bettymccollum04,3,8,24
Joshua Tree & other national parks suffered long-term damage from the unnecessary gov’t shutdown. The Trump admin’s decision to keep parks open with inadequate staff and resources requires our oversight.  https://thehill.com/policy/energy-environment/427208-former-joshua-tree-supervisor-warns-of-irreparable-damage-to-park …,1089965080156852225,2019-01-28,19:15:00,bettymccollum04,1,11,15
Not only did the government shutdown cause financial hardship for federal workers & their families – it also cost the U.S. economy at least $11 billion in GDP. It's imperative that President Trump stop his threats of another #TrumpShutdown. https://www.cnbc.com/2019/01/28/government-shutdown-cost-the-economy-11-billion-cbo.html …,1089958265990074370,2019-01-28,18:47:55,bettymccollum04,3,8,18
"ICYMI: Last week, the @StarTribune profiled my work and priorities in the 116th Congress. Read it here: http://www.startribune.com/low-key-but-well-connected-rep-betty-mccollum-accumulates-d-c-power/504625361/ …",1089568719242575873,2019-01-27,17:00:00,bettymccollum04,4,8,41
Congratulations to the eight teachers from South Washington County schools that are in the running for Teacher of the Year! https://www.woodburybulletin.com/news/education/4560372-eight-make-teacher-year-candidate-list …,1089259179577995265,2019-01-26,20:30:00,bettymccollum04,2,1,11
"Even though the gov’t is open again, the damage inflicted on people & communities will be felt for a long time. We’re getting to work to clean up the kind of corruption that got us here. @HouseDemocrats are committed to building a better democracy that works #ForThePeople. pic.twitter.com/iPtinbjlXV",1089191232956289025,2019-01-26,16:00:00,bettymccollum04,20,9,43
"The agreement to reopen the gov’t is good news for 800K fed employees, their families, & all Americans. Pres. Trump & Republicans’ decision to impose a shutdown for political leverage was destructive & must never happen again. @SpeakerPelosi deserves credit for standing strong.",1088899634444099584,2019-01-25,20:41:18,bettymccollum04,9,15,89
"Treasury Sec. Wilbur Ross said, ‘I don't quite understand why’ federal workers are visiting food banks. 

Many workers can’t afford to miss one paycheck, let alone the second they’re missing today. Yes, the Trump admin is out of touch. #EndTheShutdown. https://www.washingtonpost.com/politics/am-i-out-of-touch-trump-administration-struggles-to-show-empathy-for-workers/2019/01/24/09dc9872-1ffa-11e9-9145-3f74070bbdb9_story.html?utm_term=.592c16ffd30d …",1088859044767358977,2019-01-25,18:00:00,bettymccollum04,4,8,10
The administration’s actions during the #TrumpShutdown are likely a violation of appropriations law & an abuse of federal funds. I’m requesting oversight hearings and seeking public testimony to gather the evidence and hold them accountable. https://thinkprogress.org/interior-department-offshore-drilling-national-parks-democrats-grijalva-mccollum-2c1852a72396/ …,1088850146677456897,2019-01-25,17:24:39,bettymccollum04,3,9,31
"FAA is delaying flights at major airports due to staffing shortages caused by the #TrumpShutdown. Forcing air traffic controllers and TSA to work without pay is unfair to these public servants, makes our skies less safe, and hurts the economy. https://nyti.ms/2DxQsaC ",1088841979549634560,2019-01-25,16:52:12,bettymccollum04,7,6,15
"Tomorrow, valued federal workers will miss their second paycheck. They are being treated like pawns by this president -- and it is just outright cruel. #EndTheShutdown",1088565530913636357,2019-01-24,22:33:41,bettymccollum04,7,9,33
"President Trump and Republicans are willing to inflict pain on millions of Americans, damage our economy, & put our nation at risk to get their way – all so the president can keep a campaign promise.",1088565176771756032,2019-01-24,22:32:17,bettymccollum04,20,20,64
I’m about to speak on the House Floor about the devastating impact the #TrumpShutdown is having on federal employees and their families.  https://www.c-span.org/video/?457131-5/house-session-part-3 …,1088562300104130560,2019-01-24,22:20:51,bettymccollum04,5,4,27
I have serious questions about the Trump administration’s actions during the shutdown and whether or not they are playing favorites and giving special treatment to the oil industry. https://www.bnnbloomberg.ca/democrats-probe-trump-favoritism-of-oil-industry-in-shutdown-1.1203229 …,1088555297382256641,2019-01-24,21:53:01,bettymccollum04,3,14,29
"Thank you, @RepMikeQuigley. Looking forward to working with you to ensure taxpayer dollars are invested wisely when it comes to protecting public health & the environment. https://twitter.com/RepMikeQuigley/status/1088102781481832448 …",1088515970182901765,2019-01-24,19:16:45,bettymccollum04,1,5,18
