tweet,id,date,time,username,replies_count,retweets_count,likes_count
Calling all middle and high school students for the 3rd Congressional District App Challenge. The deadline for submissions is November 1st! Find more info here:  https://go.usa.gov/xVGum  pic.twitter.com/uDmg0oXZSl,1178740654194733056,2019-09-30,18:37:26,bobbyscott,0,0,3
Happy new year to all those celebrating #RoshHashanah! pic.twitter.com/51vv3P6yBq,1178731033006616577,2019-09-30,17:59:12,bobbyscott,0,1,5
"The House has passed:
-$15 minimum wage
-Paycheck Fairness Act
-Stronger Child Abuse Prevention and Treatment Act 
-a bill to protect the pensions of hardworking retirees
-legislation to protect/strengthen the ACA

And that is just what has originated in the @EdLaborCmte. https://twitter.com/realDonaldTrump/status/1177576649233195008 …",1177605497542926344,2019-09-27,15:26:44,bobbyscott,7,71,102
Nobody should have to choose between paying their monthly bills and paying for their prescription drugs. It’s really that simple. #LowerDrugCosts https://twitter.com/EdLaborCmte/status/1177282048471572482 …,1177315486222229504,2019-09-26,20:14:20,bobbyscott,1,5,19
"Unions are the foundation of America’s middle class. Today, the @EdLaborCmte is advancing the #PROAct, a bold proposal to protect workers’ right to stand together and negotiate for higher pay, better benefits, and safer working conditions. https://twitter.com/EdLaborCmte/status/1176864105908625409 …",1176947301539078152,2019-09-25,19:51:17,bobbyscott,4,15,42
Every Member of Congress swore an oath to uphold and defend the Constitution. Read my full statement on the impeachment inquiry here: https://go.usa.gov/xVd5z ,1176629256316772352,2019-09-24,22:47:30,bobbyscott,22,27,65
"Gave remarks at the Chesapeake Branch of the NAACP’s Freedom Fund luncheon. Pictured Chesapeake School Board member Pat King, Nathan Richardson, portraying Frederick Douglas, Councilwoman Ella Ward, Del. Cliff Hayes and Councilman Dwight Parker pic.twitter.com/S4vGWeyVps",1175564100782514176,2019-09-22,00:14:57,bobbyscott,3,1,7
"Had a great time at the Annual Denbigh Day Parade. Pictured with Honorary Mayor Lion Rosemary Torres (pic 1), Delegate Yancey and the Denbigh Cadet Battalion (pic 2) and Newport News elected officials (pic 3) pic.twitter.com/jFYzSnVI2i",1175470353113591808,2019-09-21,18:02:26,bobbyscott,0,2,12
"700,000 American citizens and DC residents have no vote in Congress. It is time for #DCstatehood and I am proud to cosponsor HR 51. https://twitter.com/EleanorNorton/status/1173651655038033920 …",1174729906850357248,2019-09-19,17:00:09,bobbyscott,5,16,56
Joining @SpeakerPelosi and other @HouseDemocrats to introduce legislation to #LowerDrugCosts https://twitter.com/SpeakerPelosi/status/1174698869067792385 …,1174699074647465984,2019-09-19,14:57:38,bobbyscott,2,3,12
Attended the Peninsula READS Annual Rise and Shine for Literacy Breakfast this morning pic.twitter.com/czNASwEp1U,1174120899446001665,2019-09-18,00:40:11,bobbyscott,1,1,7
I am pleased to join @RepElaineLuria as a cosponsor of the bipartisan & bicameral Fort Monroe National Monument Land Acquisition Act. This bill will foster expanded economic & educational opportunities for Hampton and the rest of Virginia and unify the park for future generations https://twitter.com/RepElaineLuria/status/1174025036912631809 …,1174054377339981826,2019-09-17,20:15:51,bobbyscott,0,2,9
Looking forward to a busy week with the @EdLaborCmte. https://twitter.com/EdLaborCmte/status/1173986731009466368 …,1173989946769760258,2019-09-17,15:59:49,bobbyscott,2,3,9
Stopped by the Gamma Upsilon Omega Chapter of @akasorority1908 HBCU Day Mix and Mingle event this evening in Hampton pic.twitter.com/QEd9yQKDCs,1173763306445824002,2019-09-17,00:59:14,bobbyscott,0,3,11
#NeverForget pic.twitter.com/6Id5F4XMNW,1171774408618315776,2019-09-11,13:16:04,bobbyscott,3,5,28
It’s been nearly 200 days since the House passed the Bipartisan Background Checks Act – and yet @SenateMajLdr McConnell has refused to bring this legislation to a vote ever since. #EndGunViolence,1171537541440294912,2019-09-10,21:34:50,bobbyscott,1,9,15
The Trump Administration and Congressional Republicans have been relentless in their efforts to sabotage the Affordable Care Act. This is the result. https://twitter.com/WSJ/status/1171450041153642496 …,1171458703205138433,2019-09-10,16:21:34,bobbyscott,4,13,21
August marked 400 years since the first enslaved Africans were brought to English colonies and landed in Point Comfort in Virginia. Congress must continue supporting the 400 Years of African-American History Commission. pic.twitter.com/sfQhuLAz8F,1171444130053931008,2019-09-10,15:23:39,bobbyscott,2,10,28
Great to see @NSUSpartans President Dr. Javaune Adams-Gaston and @VSUsports President Dr. Makola Abdullah at the Labor Day Classic today pic.twitter.com/nDgCrrto3x,1170491376473116672,2019-09-08,00:17:45,bobbyscott,2,2,11
Had a great time at the Taste of Suffolk street festival this afternoon pic.twitter.com/wSsCZCz5iX,1170468043396407296,2019-09-07,22:45:02,bobbyscott,0,0,11
