tweet,id,date,time,username,replies_count,retweets_count,likes_count
"As long as federal employees are not being paid, I will not accept a salary. pic.twitter.com/ENKFo1jWZz",1078013066443456513,2018-12-26,19:41:58,bradsherman,393,259,947
"China’s state-run media companies are rapidly expanding their integration with Western news outlets. I joined with @RepGallagher and colleagues in demanding transparency in such arrangements.

 https://wapo.st/2VeBFZl ",1077995628104343552,2018-12-26,18:32:40,bradsherman,30,11,31
"Since 1998, the Tropical Forest Conservation Act has saved 67 million acres of rainforest. Today, the House passed a bill I introduced with @RepSteveChabot & @SenRobPortman to reauthorize this program, which has already passed the Senate. It now awaits the President’s signature.",1076252788068417537,2018-12-21,23:07:15,bradsherman,21,9,36
I introduced the Uighur Intervention and Global Humanitarian Unified Response (UIGHUR) Act with @RepTedYoho. Will be reintroducing this bill next year.  Read my press release here:  https://bit.ly/2LwpvWW  #UighurMuslims,1076152423918518274,2018-12-21,16:28:26,bradsherman,18,56,93
"As I've said, a government that cannot be trusted with a bone saw, should not be trusted with a nuclear weapon. Thanks to @SenMarkey, @SenRubioPress, and @RepLukeMesser for joining me in introducing my bill, the No Nuclear Weapons for #SaudiArabia Act. https://www.reuters.com/article/us-usa-saudi-nuclear-congress/u-s-lawmakers-seek-oversight-over-any-saudi-nuclear-power-deal-idUSKCN1OI2IM …",1075814060598398978,2018-12-20,18:03:54,bradsherman,16,34,88
"Pleased to meet with @EriasLukwago, the Lord Mayor of Kampala. It was a good chance to discuss human rights and democracy in #Uganda pic.twitter.com/g4ynWvnuLj",1075477383266881539,2018-12-19,19:46:04,bradsherman,9,4,16
It was a pleasure to speak at the #SaathForum on issues related to American-Pakistani relations. pic.twitter.com/pr682ApbSY,1074461460489748480,2018-12-17,00:29:09,bradsherman,13,8,22
Earlier this year I met with @HEBobiWine after he was brutally beaten and detained by Ugandan security forces for speaking out against corruption. Today they have reportedly surrounded him and his team. The Ugandan govt must commit to the essential principle of freedom of speech. pic.twitter.com/ddb5WpKbSF,1074093504438116352,2018-12-16,00:07:01,bradsherman,133,606,1819
The big victory here is a partial return to China’s outrageous trade policies of early 2018.  So far the great negotiator (@realDonaldTrump) has left us worse off than when he started. https://www.cnn.com/2018/12/14/business/china-us-auto-tariffs/index.html …,1073649768885297153,2018-12-14,18:43:47,bradsherman,16,12,17
Let them eat white bread: The Trump administration against healthy eating  https://www.economist.com/democracy-in-america/2018/12/13/the-trump-administration-against-healthy-eating … via @TheEconomist,1073567165473849344,2018-12-14,13:15:32,bradsherman,23,7,19
"Yesterday, I joined my @CAPAC colleagues to recognize and honor the service of @RepHanabusa.  It has a pleasure to serve with you. pic.twitter.com/njNTvjJPzR",1073247114187149313,2018-12-13,16:03:46,bradsherman,5,0,8
"Recently, I joined with @RepSteveChabot and other colleagues in introducing H.Res. 1091 declaring that the Burmese military has violated this Convention. The @IntlCriminalCourt must secure justice for the victims.",1071850262057443330,2018-12-09,19:33:11,bradsherman,10,3,13
U.S. recognition of the #Rohingya genocide is long overdue. Today is the 70th anniversary of the @UN Convention against Genocide.,1071850260920762368,2018-12-09,19:33:10,bradsherman,4,11,25
Pleasure to meet today with former Ukrainian Prime Minister Yulia Tymoshenko. We discussed defending Ukrainian democracy. That includes its territorial integrity and its elections. pic.twitter.com/v71UEvkbxn,1070836110123782144,2018-12-07,00:23:18,bradsherman,6,3,13
"At the same time, Trump has refused to impose sanctions on major Chinese banks that work with North Korea. He cancelled military exercises. We got little or nothing — so far.",1070834042503921666,2018-12-07,00:15:05,bradsherman,6,1,7
"Our highest priority must be to get North Korea to freeze its nuclear and missile capabilities in return for some U.S. concessions, as part of a phased process of denuclearization, action-for-action.",1070834041425944577,2018-12-07,00:15:05,bradsherman,4,3,5
"The result of President Trump’s dithering on North Korea after the Singapore Summit is that Pyongyang is expanding its nuclear and missile capabilities, as revealed by @MIIS https://www.cnn.com/2018/12/05/politics/north-korea-satellite-images-missile-base/index.html …",1070834040385736704,2018-12-07,00:15:05,bradsherman,5,8,13
"The #TariffMan (@realDonaldTrump) continues to be the only person applauding his trade policy while trade deficits rise, more jobs are sent overseas, the stock market plummets, and American families face greater uncertainty. https://twitter.com/jimtankersley/status/1070697347787706369 …",1070802454919434245,2018-12-06,22:09:34,bradsherman,4,4,10
"As Ranking Member of the Asia Subcommittee, I’m committed to securing justice for the #Rohingya.  The first step in that process is being honest about what’s happening: genocide.  The reports by @PILPG and @HolocaustMuseum are must-reads. http://ht.ly/WiBP30mRCUy ",1070040357226930176,2018-12-04,19:41:16,bradsherman,2,7,17
"I just returned from the U.S. Capitol, where President George H. W. Bush is lying in state.  Today, we all come together to honor the life and legacy of President Bush, who led a life devoted to public service.  #Bush41 pic.twitter.com/wE9E1AwslN",1070038875622596610,2018-12-04,19:35:22,bradsherman,3,0,4
"#TrumpCaves. The object of Trump’s “plan” was to force China to buy more from the USA. Now he claims victory because #China will resume agricultural purchases, perhaps as much as they were buying before #Trump.",1069283408088625152,2018-12-02,17:33:25,bradsherman,3,9,35
"Today, the nation is mourning the loss of our beloved President George Herbert Walker Bush. We will forever remember his compassion, sacrifice, commitment and patriotism. The life and legacy of President Bush will forever remain. My prayers are with the Bush family.",1068953933631115264,2018-12-01,19:44:12,bradsherman,3,3,18
"Tomorrow morning I'll join @CNN's @VictorBlackwell and @Christi_Paul to discuss the latest news from the #G20Summit and our relationship with #SaudiArabia, #China, and #Russia.  Tune in at 5:00am PT / 8:00am ET.",1068727627345813504,2018-12-01,04:44:57,bradsherman,1,5,8
