tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Couldn’t think of a better choice, ⁦@baltimoresun⁩. Proud to have called ⁦@RepCummings⁩ my friend. “He never stopped advocating for Maryland, and he maintained a respectful level of civility, even when ... being attacked himself.” https://www.baltimoresun.com/opinion/editorial/bs-ed-1229-moy-2019-20191229-isgreplfcrfypil6igrxemhvjm-story.html …",1210954126215045120,2019-12-28,16:02:16,call_me_dutch,3,3,18
#HappyKwanzaa to those observing today! Kwanzaa celebrates unity and calls on us to leave our community more beautiful than we found it. These are values we can all appreciate as we look beyond a year marked by division and discord. pic.twitter.com/TavywtnWCn,1210295581903671298,2019-12-26,20:25:27,call_me_dutch,2,2,6
"From my family to yours, #MerryChristmas. It is my Christmas wish that the love, peace and good cheer of Christmas lasts you all year long. pic.twitter.com/2VcFrNrHgq",1210000592912998401,2019-12-26,00:53:16,call_me_dutch,0,2,10
#HappyHanukkah to all of my Jewish friends! May the Festival of Lights bring you and your loved ones joy and peace this season. pic.twitter.com/BG7WSzrSIp,1209132782615760896,2019-12-23,15:24:54,call_me_dutch,1,3,6
Had a great time stopping by Valley View Farms and visiting w/ @wbalradio @BrettHollander as they wrap up their annual #kidscampaign. No better place to get into the holiday spirit and support a great cause!! pic.twitter.com/Nkvylx3TSO,1208154670977503232,2019-12-20,22:38:14,call_me_dutch,2,5,16
Photo credit: @elliopha,1207434951769174016,2019-12-18,22:58:20,call_me_dutch,0,1,1
*no room for partisan politics!,1207429013146390529,2019-12-18,22:34:44,call_me_dutch,0,0,0
About to speak on the House floor about why I will be voting in favor of the articles of impeachment. Tune in here to watch:  https://cs.pn/2M94inQ ,1207408331113058306,2019-12-18,21:12:33,call_me_dutch,26,3,23
"Transparency is always important and today is no exception. I’ve spent significant time today giving media interviews, explaining to my constituents the principled process I’ve followed that lead to my decision to support the two articles of #impeachment. #DefendOurDemocracy pic.twitter.com/kWz9jlSrzw",1207400328414584832,2019-12-18,20:40:45,call_me_dutch,7,23,125
"Soon, I’ll be speaking on the House floor during the impeachment debate. I’m putting the same thought + care into my words as I’ll be putting into my vote. This is as serious as it gets. This is about precedent, checks + balances + our Constitution. It’s about upholding my oath. pic.twitter.com/bhmniGzsJq",1207393118645039105,2019-12-18,20:12:06,call_me_dutch,20,29,151
Watch today's live proceedings here. https://twitter.com/HouseDemocrats/status/1207299865224470528 …,1207306076103811073,2019-12-18,14:26:13,call_me_dutch,2,4,9
"Proud to support the bipartisan funding bills that passed the House today. These far-reaching bills will make a real difference in #MD02 and #Maryland esp for our federal workers, @chesapeakebay and top medical research organizations!

More: http://bit.ly/2M46UTV ",1207068215442116608,2019-12-17,22:41:03,call_me_dutch,2,3,5
The House has passed more than 275 Bipartisan bills #ForThePeople that could be passed today. @senatemajldr: do your job! pic.twitter.com/w89DFUzmfG,1207005455073107970,2019-12-17,18:31:40,call_me_dutch,2,9,12
"Still don’t have health coverage for 2019? The deadline for Open Enrollment has been extended through 3 am ET on Wednesday, December 18. There’s still time to #GetCovered.  https://www.healthcare.gov/  pic.twitter.com/trRnl4wtWB",1206690735292071939,2019-12-16,21:41:05,call_me_dutch,0,3,3
"The funds we announced this morning are on top of the $3.5M+ for public safety in #Baltimore already announced since mid-November. We're working hard, both in the district + DC, where we just passed pay raises for troops, prescription drug reform. More: http://bit.ly/2YZx7bl ",1206663359694856192,2019-12-16,19:52:18,call_me_dutch,1,2,4
Making sure Maryland gets its fair share of the 🥧! Announcing $4.6M in public safety grants for Baltimore City + County w/ ⁦@ChrisVanHollen⁩ ⁦@SenatorCardin⁩ ⁦@RepSarbanes⁩ ⁦@BaltCoExec⁩ pic.twitter.com/a2YZDHAbJ1,1206595884366147584,2019-12-16,15:24:10,call_me_dutch,2,4,12
Tune in as we announce significant federal resources to fight crime in Baltimore City and County! https://twitter.com/BaltCoExec/status/1206591903292121089 …,1206593391968079874,2019-12-16,15:14:16,call_me_dutch,1,1,4
"Bottom line: No one should have to choose between buying food and filling a prescription. It’s really that simple. That’s why I’m proud to support the bipartisan Elijah E. Cummings Lower Drug Costs Now Act, which passed the House yesterday. #LowerDrugCosts pic.twitter.com/GSyUUv74Ga",1205567142831312901,2019-12-13,19:16:19,call_me_dutch,1,2,6
The #ParisAgreement was signed 4 years ago today. I’m standing with @CaucusOnClimate and @SEEC to let the world know that #WeAreStillIn. pic.twitter.com/HsbjsDHXbB,1205200907723583489,2019-12-12,19:01:02,call_me_dutch,0,5,4
"This. This, this, this.
From @usatoday Editorial Board: Impeach President Trump  https://www.usatoday.com/story/opinion/2019/12/11/impeach-president-donald-trump-usa-today-editorial-board-editorials-debates/4391506002/ … pic.twitter.com/jtHWRjdfZJ",1205180040503349253,2019-12-12,17:38:07,call_me_dutch,2,1,9
"Another win for #TeamMaryland! The @AACOPD has been awarded $225,000 in federal funding to reduce the DNA backlog and ensure justice is served in a timely manner. 
More here about the @TheJusticeDept grant here: http://bit.ly/36Bs57J ",1204872591720235008,2019-12-11,21:16:25,call_me_dutch,0,0,2
Looking for hands-on experience working in #Congress? My District Office still has open internship positions for the upcoming spring semester! Apply today at  https://ruppersberger.house.gov/how-can-dutch-help-you/internships …. pic.twitter.com/i2v2tRWLhn,1204862896951451650,2019-12-11,20:37:54,call_me_dutch,0,3,4
"Open Enrollment is here! Now is the time to shop around, understand your options, and get covered by the December 15 deadline. Visit  http://healthcare.gov  to enroll today! #GetCovered pic.twitter.com/7dFIMhyuVh",1204852372436062208,2019-12-11,19:56:05,call_me_dutch,0,1,1
"Thanks for my friends on @NRDems for including this common sense bill and making a difference for those that live, work and play along our 95K miles of shoreline. Read more about the #DigitalCoastAct here: https://bit.ly/2RLAqS5 ",1204558021776564225,2019-12-11,00:26:26,call_me_dutch,1,0,4
"Congress is hard at work and today we passed MY bill to arm planners w/ the data they need to conserve coastal communities. The bipartisan #DigitalCoastAct was in HR 729, an #OceanClimateAction package of bills that will protect people + property in splash zone of climate change.",1204558020933500928,2019-12-11,00:26:26,call_me_dutch,1,4,11
"This morning, I joined the bipartisan House Army Caucus for breakfast w/ residents at the #ArmedForcesRetirementHome in DC. Grateful to connect with these American heroes + thank them for their courage + selflessness. We are forever indebted to our vets for their sacrifices. pic.twitter.com/oS2bitLU34",1204505715714527234,2019-12-10,20:58:35,call_me_dutch,0,3,5
About to talk #articlesofimpeachment w/ @BrettHollander @wbalradio. Tune in.,1204500178125934593,2019-12-10,20:36:35,call_me_dutch,2,2,4
"This isn't a decision that I make easily or with any pleasure, but @realDonaldTrump leaves us no choice. You can't condition official acts on political favors. You can't blow off Congress' oversight powers. #articlesofimpeachment #defendourdemocracy https://ruppersberger.house.gov/newsroom/press-releases/ruppersberger-articles-of-impeachment-warranted-to-protect-constitution …",1204494079083663361,2019-12-10,20:12:21,call_me_dutch,52,13,57
"Coastal communities – home to 42% of our country’s population + millions of businesses that supply most of our GDP – will be able to use the data to prepare for storms, manage floods, restore ecosystems + plan smarter developments near our coasts, harbors, ports + shorelines.",1204492883799289856,2019-12-10,20:07:36,call_me_dutch,1,0,2
"The #DigitalCoastAct creates a new program at the National Oceanic and Atmospheric Administration (NOAA), allowing it to begin a comprehensive mapping process of the nation’s shorelines.",1204492659483693056,2019-12-10,20:06:43,call_me_dutch,1,0,3
"About to speak on the #House floor about my bill, the BIPARTISAN #DigitalCoastAct, which is included in H.R. 729, a package of bills that seek to protect coastal communities. Tune in here to watch:  https://cs.pn/359cxrr ",1204491157776093184,2019-12-10,20:00:45,call_me_dutch,1,1,2
We can attest that Grammy Gene's pound cake is one of the best! Cara is a tremendous advocate on behalf of @alzassociation: @baltimoresun Why one Cockeysville woman is using pound cake to raise awareness about Alzheimer’s  https://www.baltimoresun.com/food-drink/bs-fe-alzheimers-pound-cake-20191205-wzsnbybbnnatvjljcw2ydbknzm-story.html … pic.twitter.com/5XaguJFXSY,1204052195227947008,2019-12-09,14:56:28,call_me_dutch,1,3,7
Tune in here to watch today's public hearing LIVE. https://twitter.com/HouseDemocrats/status/1204035154693345281 …,1204046569005338625,2019-12-09,14:34:06,call_me_dutch,2,1,0
"The Supreme Court's Shelby County v. Holder decision gutting the Voting Rights Act has denied democracy to far too many eligible voters in the US. I’m proud to have voted for #HR4, the Voting Rights Advancement Act, to #RestoreTheVote. Now, the Senate MUST act and pass #HR4. pic.twitter.com/q9dg29PnCU",1203010570531856385,2019-12-06,17:57:25,call_me_dutch,6,4,11
"Great news! The extra funding for the #HowardStreetTunnelProject from the State of #Maryland, in addition to the $125M federal grant and $91M investment from @CSX, will improve both the Tunnel and @portofbalt and create over 7000 jobs. 
More: http://bit.ly/2Luv9ud ",1202991842205347841,2019-12-06,16:43:00,call_me_dutch,3,2,7
"""Well, there’s nothing we can do ... @dariusrucker only wants to be in MD-02..."" https://twitter.com/baltimoresun/status/1202671481886564352 …",1202673395151888384,2019-12-05,19:37:36,call_me_dutch,0,2,2
"Last night, Victoria represented #TeamDutch at the #RareVoice2019 Awards, where #MD02's Nikia Vaughan was honored for her tireless advocacy for #sicklecell awareness on behalf of her daughter, Cimone. Nikia, thanks for all you do for the entire rare disease community. Congrats! pic.twitter.com/nGhNd509pW",1202667513131261953,2019-12-05,19:14:14,call_me_dutch,0,2,2
"Honored to be able to write notes of thanks for our nation’s selfless service members, both in the United States and abroad, at the @RedCross #HolidayMailforHeroes event on Capitol Hill this afternoon. What a wonderful program for a worthy cause. pic.twitter.com/597RSdgf3B",1202370561592242176,2019-12-04,23:34:15,call_me_dutch,0,2,4
"With this rule, USDA is the Grinch that stole Christmas, taking food from the tables of our poorest and most vulnerable citizens at the height of the holiday season. No one really knows why. #HandsOffSNAP #SNAPGrinch",1202303021021114368,2019-12-04,19:05:52,call_me_dutch,0,2,4
Watch the livestream of today's @HouseJudiciary hearings here. https://twitter.com/HouseJudiciary/status/1202240525203587074 …,1202288473199325184,2019-12-04,18:08:04,call_me_dutch,1,2,3
Gun violence is a national epidemic that desperately needs an effective + evidence-based solution. That's why I'm proud to join 100+ Members in signing on to support $50M for gun violence prevention research. #EnoughIsEnough - we must act. Read our letter:  http://bit.ly/385eYgu ,1202286418766303232,2019-12-04,17:59:54,call_me_dutch,1,5,8
An estimated 103 MILLION robocalls were made in #Maryland last month. ENOUGH! It’s time to end the robocall epidemic. That’s why I'm voting for the bipartisan Pallone-Thune TRACED Act to #StopBadRobocalls on the House floor later today. pic.twitter.com/jX9FOD2kT6,1202283823460950016,2019-12-04,17:49:35,call_me_dutch,1,1,5
"Proud to help secure $477k in @TheJusticeDept grants to help @BaltCoPolice + @BaltimorePolice reduce DNA backlogs. This will help identify criminals, prosecute them and deliver justice to their victims. W/ @RepSarbanes @SenatorCardin @ChrisVanHollen More: http://bit.ly/2RnLXqz ",1201965955749961731,2019-12-03,20:46:29,call_me_dutch,0,2,2
