tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Re Trump’s rant on non-existent “unapproved” Ambassadors:

For 2 years, Trump refused to appoint an Ambassador to Saudi Arabia. Both the King and MBS refuse to meet w anyone below an Ambassdor. 

So during entire Yemen & Khashoggi crisis, our embassy was virtually powerless.",1079839925816750080,2018-12-31,20:41:15,chrismurphyct,113,1482,3490
"This is a lie. Because:

a. The problem isn’t a long list of unapproved ambassadors. It’s that Trump left the most important slots vacant for virtually his entire first 2 years (eg Saudi Arabia)

b. Ambassadors need only 50 votes. Mitch, not Chuck, is the issue. https://twitter.com/realDonaldTrump/status/1079830267274108930 …",1079838623044960256,2018-12-31,20:36:04,chrismurphyct,741,10915,29685
"70 miles walked, 130 town halls, roundtable and listening sessions, 2 tweets exchanged with my favorite boy band. 

210,000 letters, calls and emails answered from people in Connecticut. And one Red Sox World Series Championship. 

2018 was a pretty good year. pic.twitter.com/K0TNZNTqCx",1079783175969296385,2018-12-31,16:55:45,chrismurphyct,163,338,2448
"So are we staying? Or are we still going? Kind of both? Maybe neither? Is Lindsey now Secretary of State?

American foreign policy = dumpster fire. https://www.nytimes.com/2018/12/30/us/politics/lindsey-graham-syria-trump.html …",1079563632915169280,2018-12-31,02:23:22,chrismurphyct,401,1978,6020
"a. Iran was in Syria on the front end. They’re going to be there on the back end. Pretending this isn’t true is dangerous fantasy.

b. There is ZERO legal authorization for U.S. troops to fight Iran in Syria. https://twitter.com/LindseyGrahamSC/status/1079514943152631808 …",1079540184386072583,2018-12-31,00:50:11,chrismurphyct,83,417,1230
My new year's resolution? Pass legislation to finally bring this number down. pic.twitter.com/lGCl2IBImW,1079496840561786886,2018-12-30,21:57:57,chrismurphyct,203,879,4449
"This is a good summary of how the Saudis, backed by the U.S., have created a humanitarian nightmare in Yemen. Though this isn’t really news - we’ve known this for years. https://www.washingtonpost.com/graphics/2018/world/yemen-famine-crisis/ …",1079399188968935426,2018-12-30,15:29:55,chrismurphyct,49,275,448
Bill loved Woodbury. And Woodbury loved him back. He will be missed. https://twitter.com/FOX61News/status/1079227035577401344 …,1079395766093971457,2018-12-30,15:16:19,chrismurphyct,7,9,56
"At the very least, I appreciate how enthusiastic he is in following through on his promise to take full responsibility for the shut down. https://twitter.com/realDonaldTrump/status/1079096156708319232 …",1079137732994183168,2018-12-29,22:10:59,chrismurphyct,284,1108,5530
Or...maybe it’s time to think about the continuing wisdom of relying on the marketing of get rich quick schemes - mostly to poor people - as a means to fund our government. https://twitter.com/hartfordcourant/status/1079010426346766336 …,1079135736471973888,2018-12-29,22:03:03,chrismurphyct,53,117,604
