tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Proud to stand with @LittleLobbyists, @ProtectOurCare and my colleagues today in the fight to protect Medicaid against Trump's efforts to sabotage it. https://twitter.com/ProtectOurCare/status/1123236181263769601 …",1123315205927309317,2019-04-30,19:56:29,chrismurphyct,19,53,165
"This new video from @AMarch4OurLives is what my kids, and every kid in America, are dealing with as part of #GenerationLockdown. If this doesn't make you uncomfortable, pay more attention. pic.twitter.com/DXEfhAvHRz",1123295455348178944,2019-04-30,18:38:01,chrismurphyct,107,840,1872
"I’m an optimist. When the sea reaches Louisville and they have to raise property taxes to put up sea walls, McConnell will relent.",1123282064353255428,2019-04-30,17:44:48,chrismurphyct,76,55,483
Do you think cities need to fall into the sea before Republicans do something? Asking for a friend.,1123277426379952128,2019-04-30,17:26:22,chrismurphyct,191,103,1026
Proud to score a 100% on @FP4America's Congressional Scorecard.  https://www.politico.com/f/?id=0000016a-658d-dca8-a1ff-6dad97860000 …,1123259869161824259,2019-04-30,16:16:36,chrismurphyct,15,16,72
"This weekend Trump said, ""the Republicans are always going to protect pre-existing conditions.""

Do they think no one remembers the votes they took to strip those protections away? Or the lawsuit they're championing right now to overturn the entire ACA? 
 https://www.registercitizen.com/news/article/AP-FACT-CHECK-Trump-s-follies-on-immigration-13802131.php …",1122970137810952193,2019-04-29,21:05:19,chrismurphyct,97,358,864
"Six years ago, background checks legislation failed to pass the Senate. But it wasn't the end of our movement to prevent gun violence - it was just the beginning. 

Today, we are stronger than the gun lobby. And we're not going anywhere. https://www.nytimes.com/2019/04/29/us/politics/newtown-parkland-guns.html …",1122945309234073601,2019-04-29,19:26:39,chrismurphyct,44,157,642
They just never give up on their dream of taking health care away from millions of American. https://www.washingtonpost.com/politics/trump-renews-vow-to-repeal-affordable-care-act-weeks-after-gop-leaders-urge-caution-on-the-issue/2019/04/26/c12d00b0-6849-11e9-8985-4cf30147bdca_story.html …,1122920696596893697,2019-04-29,17:48:51,chrismurphyct,139,859,2062
"During my trip to Middle East, the  Yemen humanitarian groups flew into Amann to give me urgent news.

Situation is so dire that 250,000 Yemenis who are currently starving now cannot be saved. And another 10m are on the cusp of that fate.

How can U.S. keep sitting on its hands??",1122860795518492672,2019-04-29,13:50:50,chrismurphyct,705,5200,11065
"We have an issue with anti-semitism, with white supremacy, with domestic terrorism, and yes, with gun violence. https://www.washingtonpost.com/amphtml/nation/2019/04/27/california-synagogue-shooting-multiple-injuries/ …",1122637751940276224,2019-04-28,23:04:32,chrismurphyct,222,686,2928
Just met with leaders in Iraq on the last leg of my Middle East trip with @SenatorRomney. pic.twitter.com/1H1ey8QB1h,1121890789326491648,2019-04-26,21:36:22,chrismurphyct,58,11,156
"Great to check out Petra, one of the wonders of the world, with @SenatorRomney and @AnnRomney in between meetings in Jordan. pic.twitter.com/dLkB1yuQtU",1121873707490840576,2019-04-26,20:28:29,chrismurphyct,69,28,219
Spot on. https://twitter.com/shannonrwatts/status/1121394785728847872 …,1121810167371370496,2019-04-26,16:16:00,chrismurphyct,38,154,729
"President Trump is about to speak at the NRA's annual convention. Instead of watching him pander to the gun lobby, take a minute to remember just a few of the young Americans we've lost to gun violence since Parkland. pic.twitter.com/TE0hRIXF86",1121801686715117568,2019-04-26,15:42:18,chrismurphyct,2648,26442,55583
The investments we’ve made to fight malaria around the world have saved 7 million lives—all the more reason we should continue funding this important work. #WorldMalariaDay https://twitter.com/StateDept/status/1121501514885992449 …,1121520538357260289,2019-04-25,21:05:07,chrismurphyct,23,25,104
Only Congress has the power to declare war. We made that clear this month by passing our War Powers Resolution to end U.S. participation in the Saudi-led war Yemen. https://www.thenation.com/article/yemen-israel-palestine-washington-war-powers/ …,1121470792817086467,2019-04-25,17:47:27,chrismurphyct,52,154,445
"The issues we face in the Middle East are particularly complex, which is why it's important for the U.S. to stay engaged and strengthen our alliances in the region. Glad to be doing that work this week alongside @SenatorRomney. pic.twitter.com/5ViE5AqQZz",1121399892188987392,2019-04-25,13:05:43,chrismurphyct,39,15,125
"President Trump's Muslim ban threatens the very idea of America. It’s ridiculous that it has to take @FullFrontalSamB, a bunch of lawyers, and my office to try to get visas for people trying to travel to the United States to reunite with their families. https://www.washingtonpost.com/opinions/2019/04/23/how-samantha-bee-lawyer-three-lawmakers-challenged-trumps-travel-ban …",1120769469033398272,2019-04-23,19:20:38,chrismurphyct,146,334,1409
"Republicans: Don't worry, we're going to keep the same protections for pre-existing conditions in place.

Also Republicans: Hey, let's go back to a world where insurance companies can charge women more than men ¯\_(ツ)_/¯ https://www.nytimes.com/2019/04/20/us/politics/pre-existing-conditions-trump-administration.html …",1120689646390915074,2019-04-23,14:03:27,chrismurphyct,70,213,491
Companies like @BishopsOrchards in Guilford are investing in solar technology and are seeing the rewards. I got to check out their solar farm firsthand to see the work they are doing to combat climate change. https://www.newstimes.com/local/article/Solar-energy-powering-popular-CT-farm-13780209.php …,1120372798009085952,2019-04-22,17:04:25,chrismurphyct,20,27,135
Happy Earth Day! A great way to celebrate would be for Congress to take action to address the existential threat that is climate change.,1120341211074715650,2019-04-22,14:58:54,chrismurphyct,60,174,980
"So excited for the brave, bold workers who took a stand and won. They are proud to work for Stop and Shop and eager to get back on the job. https://twitter.com/ChrisMurphyCT/status/1119359804215050241 …",1120163671056048128,2019-04-22,03:13:25,chrismurphyct,30,92,735
This is sickening. Hundreds walked into church to celebrate Easter and were met with hate and violence. No one should ever feel threatened in their place of worship. My heart goes out to those in Sri Lanka affected by this horrific attack. https://www.nytimes.com/2019/04/21/world/asia/sri-lanka-bombings.html …,1120059384678293506,2019-04-21,20:19:01,chrismurphyct,78,204,995
Happy Easter everybody! pic.twitter.com/7vxkWUr5IW,1119969027974156290,2019-04-21,14:19:58,chrismurphyct,24,61,558
"Mr. Pape was one of a kind. He loved the newspaper business and Waterbury equal parts. He enthusiastically endorsed everyone who ran against me, but I never lost my respect and affection for this remarkable man. Read about his amazing life here. https://www.rep-am.com/campership/2019/04/20/william-j-pape-ii-editor-and-former-publisher-of-the-republican-american-dies/ …",1119958052973764611,2019-04-21,13:36:22,chrismurphyct,9,10,73
Let this stat sink in for a minute. Then ask yourself - what am I going to do to change it? https://www.vox.com/2019/4/19/18412650/columbine-mass-shootings-gun-violence-map-charts-data …,1119747704060555264,2019-04-20,23:40:31,chrismurphyct,115,164,483
"In the 20 years since the shooting at Columbine high school 226,000 students have experienced gun violence at school. When will lawmakers decide to finally do something about it?",1119691306358517761,2019-04-20,19:56:24,chrismurphyct,303,1857,7199
Sue and the team at Cheshire #StopandShop have taken care of my family for almost 20 years. We are with them 100%. #StopandShopStrike pic.twitter.com/yiMz4dUWwj,1119359804215050241,2019-04-19,21:59:08,chrismurphyct,35,60,461
Fun (and exhausting) afternoon w the boys today at the @CTScienceCenter! pic.twitter.com/ApowMRSxOE,1119315007190253569,2019-04-19,19:01:08,chrismurphyct,5,4,76
"Thanks to the Trump administration's sabotage of our health care system, more than 1 million people have lost health insurance since 2016. https://www.vox.com/2019/4/19/18507540/cbo-uninsured-rate-obamacare …",1119309117859028992,2019-04-19,18:37:44,chrismurphyct,80,371,524
#HartfordHasIt -- it being a vibrant community of female entrepreneurs growing businesses and creating jobs in our capital city. https://www.courant.com/news/connecticut/hc-news-most-female-entrepreneurs-hartford-20190415-ma6pefeabzea7mh2fs643xc6bi-story.html …,1119272055407611906,2019-04-19,16:10:27,chrismurphyct,30,21,53
This is why we cannot take peace for granted in Northern Ireland. Glad that all political parties joined together to condemn this horrible killing. https://twitter.com/BBCNewsNI/status/1119027414200410114 …,1119236784255324160,2019-04-19,13:50:18,chrismurphyct,32,87,440
"When it comes to #Brexit, Congress is in agreement - we won't reward a process that violates the Good Friday Agreement and puts Irish peace in jeopardy. https://www.washingtonpost.com/world/pelosi-warns-there-will-be-no-us-uk-trade-deal-if-brexit-harms-the-irish-peace-accord/2019/04/16/51dff152-6049-11e9-bf24-db4b9fb62aa2_story.html …",1119008262408556546,2019-04-18,22:42:14,chrismurphyct,31,52,197
"Barr's press conference was a blatant attempt to spin a report no one has read. 

Our democracy depends on transparency. The American people deserve the full report so they can interpret the findings for themselves.",1118886831095988225,2019-04-18,14:39:43,chrismurphyct,202,487,2627
This morning I talked to @hereandnow about Trump's veto of our War Powers Resolution on Yemen and what comes next. Listen: https://www.wbur.org/hereandnow/2019/04/17/trump-veto-yemen …,1118629674165383176,2019-04-17,21:37:52,chrismurphyct,17,11,35
"Since securing initial funding for the Eastern CT Manufacturing Pipeline back in 2015, more than 1,300 people have been trained for new manufacturing careers and have landed jobs at Electric Boat and their suppliers.",1118575509154222080,2019-04-17,18:02:38,chrismurphyct,11,14,63
"I invited @SecretaryAcosta to come to Connecticut to see the success of our Eastern CT Manufacturing Pipeline Initiative. Yesterday, he got to learn about it firsthand. https://www.theday.com/business/20190416/us-labor-secretary-praises-regional-manufacturing-program …",1118575450081697793,2019-04-17,18:02:24,chrismurphyct,16,15,53
"Thank you to all of the gun violence survivors and advocates who took the time to talk with me at @FairfieldU. Together, we are going to change our nation's gun laws. https://www.wshu.org/post/murphy-hosts-gun-violence-roundtable-fairfield-university#stream/0 …",1118545007353294849,2019-04-17,16:01:25,chrismurphyct,12,19,106
I don’t know about “gatekeeper” 😊 but I do know I have been so lucky to have Laura Maloney (the pride of Wolcott CT!) by my side for so long. A wonderful human being and a razor sharp political mind. Wharton couldn’t do better. https://twitter.com/gettinviggy/status/1118524716657139712 …,1118529154700464129,2019-04-17,14:58:26,chrismurphyct,13,20,184
