tweet,id,date,time,username,replies_count,retweets_count,likes_count
My god. My heart is with Odessa tonight. https://twitter.com/MatthewKeysLive/status/1167935512465686533 …,1167938215233212416,2019-08-31,23:12:24,chrismurphyct,58,200,1288
"""Meet the Democratic senator trying to negotiate gun control with Trump"" https://thehill.com/homenews/senate/459054-meet-the-democratic-senator-trying-to-negotiate-gun-control-with-trump#.XWq3agf6-w4.twitter …",1167861581570404353,2019-08-31,18:07:53,chrismurphyct,61,127,619
Maybe this wasn't the best week to signal our military pullback from countries threatened by Russia. https://twitter.com/statedeptspox/status/1167449075958059008 …,1167520587876581381,2019-08-30,19:32:54,chrismurphyct,50,262,655
"I love football coach talk. Golden Tate has been suspended for 4 weeks, so in fact, he’s also “going to be gone for a month” in all of our minds too! https://twitter.com/NYPost_Schwartz/status/1167468012301160449 …",1167468922184093697,2019-08-30,16:07:36,chrismurphyct,6,5,52
"Remains to be seen what the UAE ""withdrawal"" actually means, Steve. They are still supporting proxy forces and they are still refusing to help the UN address the humanitarian crisis. https://twitter.com/SCClemons/status/1167437192009928705 …",1167443453862653957,2019-08-30,14:26:24,chrismurphyct,9,43,84
"About to be on your television screens. @Morning_Joe in 2 minutes to talk Russia visa denial, background checks etc.",1167415361605709824,2019-08-30,12:34:46,chrismurphyct,26,9,107
"5/ And so every time we get stuck talking (again) about military aid to Ukraine, we are missing the real game Russia is playing. We should keep up security funding, but we really should be arguing over how much MORE economic and democracy assistance we should be sending to Kiev.",1167248734532624384,2019-08-30,01:32:39,chrismurphyct,13,51,195
"4/ Russia’s real goal is to economically and politically break Ukraine, leading Ukrainian voters to give up and install pro-Russian leaders again. Thus, the chief U.S. goal must be to support and protect Ukraine’s fragile democracy and economy.",1167248147837575176,2019-08-30,01:30:19,chrismurphyct,9,54,205
"3/ At the same time, for years, the Washington establishment has acted like Russia is actually going to march on Kiev (they aren’t) and that our military assistance is saving Ukraine.",1167247429592375297,2019-08-30,01:27:28,chrismurphyct,9,28,107
"2/ Putin is in the process of testing the new Ukrainian president, seeing if he can be bullied. Zelesnky has stood tall so far. But now, at this critical moment, it’s a terrible time for us to suggest we are drawing back our support for this new, western oriented leader.",1167246898236985345,2019-08-30,01:25:21,chrismurphyct,5,47,168
"Short THREAD on Ukraine: 1/ Trump’s decision to hold back security assistance is a bad idea, but once again Washington is caught in this trap of acting like the best way to help Ukraine is to load them up with more weapons.",1167246135960002561,2019-08-30,01:22:19,chrismurphyct,27,151,357
"Two years ago, the Saudi crown prince bought a DaVinci painting for $450 million. 

That's more than half what Saudi Arabia is refusing to contribute to the UN to address the humanitarian nightmare their war is helping create in Yemen.",1167170391527383041,2019-08-29,20:21:20,chrismurphyct,415,8210,25477
If Trump gets his way and the courts overturn the Affordable Care Act it won't just hurt people who get insurance on the exchanges - it would upend employer coverage as well. https://www.latimes.com/business/story/2019-08-23/trump-employer-health-insurance …,1167103660679213056,2019-08-29,15:56:11,chrismurphyct,52,123,219
"In 2018 humanitarian funding from the U.S., Saudi Arabia, and UAE kept the Yemen cholera epidemic under control. 

But in 2019, the Saudis and UAE are refusing to provide the money they promised. 

And so guess what? More cholera cases in first 6 mo of this year than all of 2018.",1167057167347802112,2019-08-29,12:51:26,chrismurphyct,20,89,200
So fun to have you as my escort around @CCSU today @Nelba_MG!! https://twitter.com/Nelba_MG/status/1166788550399913984 …,1166885701914255360,2019-08-29,01:30:05,chrismurphyct,7,11,167
Another hurricane is bearing down on Puerto Rico and Trump is siphoning money away from FEMA to fund his hateful wall. Puerto Rico deserves better. https://www.npr.org/2019/08/27/754838143/as-puerto-rico-braces-for-storm-dhs-fema-to-move-271-million-to-border-operation …,1166820064508686337,2019-08-28,21:09:16,chrismurphyct,495,214,577
Great hearing from @SavetheSound and community groups at @mysticaquarium yesterday and discussing how we can work together to clean up plastics in Long Island Sound. https://www.theday.com/local-news/20190827/senator-chris-murphy-speaks-on-save-our-seas-bill-hears-environmental-concerns …,1166729331437162497,2019-08-28,15:08:44,chrismurphyct,6,18,62
"Grabbing lunch in Higganum, guy approaches me w a head of steam and says “Why is it always the legal gun owners like me that get all the blame after shootings?”

I just want every gun purchase to have a background check, I say.

“Oh yeah. Of course. I support THAT,” he says. pic.twitter.com/rWZiemz1l0",1166399478858952709,2019-08-27,17:18:01,chrismurphyct,94,168,998
"Remember this? When Republican members of Congress endorsed “Kinder-guardians”, a fake program to arm 4 year olds in school, including giving preschoolers a “rudimentary knowledge of mortars”. https://www.washingtonpost.com/politics/2019/08/27/that-time-joe-walsh-was-duped-into-promoting-arming-small-children/ …",1166320825991127041,2019-08-27,12:05:28,chrismurphyct,46,291,728
FYI the U.S. pledged an equal amount as the Saudis and UAE and we have delivered all our money for the year. We frontloaded it to make up for the refusal to pay by the Saudis and Emirates.,1166300944608501760,2019-08-27,10:46:28,chrismurphyct,14,79,237
"Saudi Arabia and the UAE promised Yemen relief money to the UN that they are now refusing to give. Food and health programs are shutting down, and tens of thousands of Yemenis - many of them children - will die this fall. Unconscionable. https://news.un.org/en/story/2019/08/1044681 …",1166300157056561152,2019-08-27,10:43:20,chrismurphyct,64,603,685
I don’t know what’s more offensive - that Brazil is snarkily rejecting any help or that the G7 could only come up with a measly $22m. Worrying times. https://twitter.com/BBCWorld/status/1166208307197042688 …,1166298668493934596,2019-08-27,10:37:26,chrismurphyct,439,3479,18005
Charlie Tisdale was a Bridgeport icon. His work in the community touched countless lives and he will be deeply missed. https://www.ctpost.com/local/article/Bridgeport-leader-dies-14377270.php …,1166035949761040384,2019-08-26,17:13:28,chrismurphyct,0,9,64
Americans shouldn't have to live in fear of mass shootings. We have the power to do something about it. But lawmakers need to have the courage to act. https://time.com/5653218/mass-shootings-stress/ …,1165715409833795585,2019-08-25,19:59:46,chrismurphyct,90,239,820
I don't like going to stores that mistreat their employees or take my money and give big donations to right wing causes. But I don't feel like I'm less of a progressive by going to a biz whose owner is a Trump supporter. Feel like that kind of line drawing would be exhausting. https://twitter.com/nhregister/status/1164223856460095490 …,1165682811891847168,2019-08-25,17:50:14,chrismurphyct,211,74,558
