tweet,id,date,time,username,replies_count,retweets_count,likes_count
A great afternoon discussing immigration and taking questions from the Idaho Falls Rotary Club ⚙️ pic.twitter.com/8zoloFLJ6m,1156678594640437249,2019-07-31,21:30:41,congmikesimpson,7,1,10
Pleased to participate with @BerkeleyLab -  See the video below to find out #myfavoriteelement. https://youtu.be/cIZeBTYTJHs ,1154873589407129600,2019-07-26,21:58:14,congmikesimpson,1,1,4
Our Idaho farmers need the security and trade relief that will come from #USMCA https://twitter.com/GOPLeader/status/1154791440800735239 …,1154798277717454849,2019-07-26,16:58:59,congmikesimpson,13,6,12
"Happy #NationalInternDay. A huge thanks to interns past, present, and future. It’s never a dull moment in DC pic.twitter.com/epNG2u40tt",1154541718722633728,2019-07-25,23:59:30,congmikesimpson,5,2,16
Thrilled to see the announcement of this important milestone.  Looking forward to seeing this project become a reality and realizing the full potential of SMRs and advanced nuclear energy technology. https://twitter.com/Dr_Mark_Peters/status/1151671475100880898 …,1151908432103890944,2019-07-18,17:35:46,congmikesimpson,8,1,10
Pleased to see this bipartisan bill I introduced with @RepRoybalAllard pass committee. Looking forward to a house vote https://twitter.com/EnergyCommerce/status/1151531770879315973 …,1151606262951366656,2019-07-17,21:35:03,congmikesimpson,3,6,13
My thoughts on #HR489 pic.twitter.com/LxS8MY3UkL,1151267319177449473,2019-07-16,23:08:13,congmikesimpson,98,9,28
"I agree with @VP Pence, Congress needs to pass the #USMCA as soon as possible. Our farmers and ranchers need to know that we haven’t forgotten who feeds the world. https://www.washingtonpost.com/opinions/mike-pence-congress-must-pass-the-us-mexico-canada-agreement/2019/07/14/ac9e09a0-a584-11e9-b732-41a79c2551bf_story.html?fbclid=IwAR35kbhe5uAcY-y64-lu5vBoSdLNYYkgbN5hAMzQ79UEp8TOBRwyQI64RtM&utm_term=.ab2d8207dc00 …",1150854705595277312,2019-07-15,19:48:38,congmikesimpson,54,61,253
Great to see the Energy and Commerce Subcommittee on Health pass the Newborn Screening Saves Lives Reauthorization Act. I applaud my friend & colleague @RepRoybalAllard for her work on this issue and I look forward to advancing this legislation through the House.,1149376801711390720,2019-07-11,17:55:58,congmikesimpson,4,2,7
"Today Boise, Idaho hosted the unveiling of the newest @USPS Forever Stamp 🐸. 
Jump outside to enjoy a beautiful Idaho summer and keep your eyes open for the new stamp. #frogstamps pic.twitter.com/1zgabEAJhI",1148673758032384000,2019-07-09,19:22:19,congmikesimpson,5,9,22
"Kathy and I want to wish each of you a safe and happy 4th of July. 
May God continue to bless America 🇺🇸
#4thofjuly2019 pic.twitter.com/R7R2ofvhjk",1146779316287467520,2019-07-04,13:54:29,congmikesimpson,6,5,20
"Idahoans! Did you know that The Library of Congress has a collection of songs pertaining to Idaho? Show some state pride by discovering more songs about the Gem State:  http://go.usa.gov/xkfpv 
#Idaho #songs #LibraryofCongress",1146429491927048193,2019-07-03,14:44:25,congmikesimpson,5,5,10
