tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I am grateful for the @realDonaldTrump Administration's commitment to pro-life principles, and I will continue speaking up for the innocent.",1068617617009770496,2018-11-30,21:27:48,congpalazzo,2,1,8
"Today, I joined my House colleagues in writing Secretary Azar of HHS, urging the agency to issue an moratorium on funding any research that uses aborted fetal tissue. Fetal tissue research hasn't produced any clinical treatments, and should not be performed at taxpayer expense.",1068617616070201344,2018-11-30,21:27:48,congpalazzo,1,0,7
"I applaud HHS for ending this contract, and am urging them to continue protecting innocent babies.",1068617615499821056,2018-11-30,21:27:48,congpalazzo,1,0,2
"Recently, the U.S. Department of Health and Human Services cancelled a contract for ""fresh"" human fetal tissue, meaning that aborted babies are treated like test subjects while promoting the sale of their body parts.",1068617614874816515,2018-11-30,21:27:47,congpalazzo,3,3,9
"Every spring, summer, and fall I offer internship opportunities for college students in my offices. Follow the link here to learn more →  https://bit.ly/2Re2A4J ",1068610620012978178,2018-11-30,21:00:00,congpalazzo,0,1,2
Good luck to all of the south Mississippi high schools competing for the state championship this weekend! #MHSAA http://www.wdam.com/2018/11/29/ms-high-school-football-championships-preview/ …,1068514768238067712,2018-11-30,14:39:07,congpalazzo,0,0,5
"While we have confirmed there are over 600 criminals traveling with the #caravan, we can't confirm the identities/backgrounds of all in caravan. This risks our national security and public safety.  → MS-13 gang member caught traveling with migrant caravan https://video.foxnews.com/v/5973096593001/ …",1068184124517699584,2018-11-29,16:45:15,congpalazzo,1,2,4
Making headway for Mississippi farmers. Let's carry this bill across the finish line and deliver a strong #FarmBill for our ranchers and farmers across America! https://twitter.com/HouseAgGOP/status/1068138674490142720 …,1068177694964285440,2018-11-29,16:19:42,congpalazzo,0,0,2
I had a productive meeting today with members of the @NCottonCouncil. We covered many topics including the Farm Bill as well as supplemental assistance in response to the recent disasters that have made significant impacts on the cotton industry. pic.twitter.com/pzrmxfSZ6B,1067855819528638469,2018-11-28,19:00:41,congpalazzo,1,0,4
"Planning a trip to Washington, D.C.? You can request a tour of the @WhiteHouse and @uscapitol through my office. 

Submit your information here:  https://bit.ly/2P5tiKZ ",1067531188879921152,2018-11-27,21:30:43,congpalazzo,2,5,20
