tweet,id,date,time,username,replies_count,retweets_count,likes_count
More pics from today’s  #KnoxDale #Homecoming & parade in #JeffersonCounty pic.twitter.com/dW7mHvRU8K,1167883864473100288,2019-08-31,19:36:26,congressmangt,1,0,2
More pics from today’s  #KnoxDale #Homecoming & parade in #JeffersonCounty pic.twitter.com/wu9aqHgQcC,1167883726405005318,2019-08-31,19:35:53,congressmangt,0,0,1
After finishing up last night at the #IndianaCounty Fair started off at the #KnoxDale #Homecoming & parade in #JeffersonCounty pic.twitter.com/60TFchjN0Z,1167883524168245249,2019-08-31,19:35:05,congressmangt,4,0,2
.@DBackCovers is doing great things in Philipsburg and I was excited to join them to celebrate their recent @SBAgov award. https://twitter.com/centredaily/status/1167036757654851585 …,1167514509260525575,2019-08-30,19:08:45,congressmangt,2,1,7
"Keep up the great work, Jakob! https://twitter.com/seedz4needz/status/1166863750726586369 …",1167512110705848320,2019-08-30,18:59:13,congressmangt,1,0,3
"Today, I had the pleasure of presenting a commendation to Ben Weaver of SERVPRO of #Ebensburg. Ben was named Western Pennsylvania Veteran-Owned Small Business Person of the Year by @SBAgov. A great recognition for a well-deserving person! #smallbusiness #veterans #PA15 pic.twitter.com/krXroCahZx",1166443761590816768,2019-08-27,20:13:58,congressmangt,2,0,7
"#Thanks to all who attended the Federal Financing and Grant briefings in Oil City, Ridgway, and Ebensburg. And a big thank you to representatives of @SBAgov @USDA @ARCgov for participating! For more info on the #resources available, visit my website at  http://thompson.house.gov  pic.twitter.com/xhdGOjzcjH",1166415462386806786,2019-08-27,18:21:31,congressmangt,2,0,3
"Conducting Grant & #EconomicDevelopment Seminars this AM in #OilCity #VenangoCounty & this afternoon in #Ridgway #ElkCounty.  Thank you to staff from #ARC Appalachian Regional Commission, #SBA Small Business Administration & #USDA for presenting today!",1166043205386801153,2019-08-26,17:42:18,congressmangt,0,0,2
"@nikkihaley is right! The Strengthening Career & Technical Education for the 21st Century Act I sponsored & @POTUS signed into law, promotes skills-based #education by developing our workforce. #CTE programs give Amers. the skills to fill high-paying jobs & lead successful lives. https://twitter.com/NikkiHaley/status/1164575711098789894 …",1164628002518552577,2019-08-22,19:58:48,congressmangt,21,99,370
"Thank you to the Warren County Farm Bureau for inviting me to speak yesterday at their legislative day. I shared updates on my latest work in Congress, including H.R. 832, which will put healthy, whole milk back into our public schools! #PA15 #farmers #wholemilk @PAFarmBureau pic.twitter.com/RpDo96jFJ6",1164565215658348545,2019-08-22,15:49:18,congressmangt,2,3,5
