tweet,id,date,time,username,replies_count,retweets_count,likes_count
"If you talk to my Democrat colleagues off the record, they’re all very concerned...that this sham impeachment inquiry is going to blow up in their faces in 2020. 
👀 @RepLawrence

The bottom line:
—The facts are on @POTUS’ side.
—The American are seeing through this smoke show. https://twitter.com/thehill/status/1200844693719773185 …",1200872632972910592,2019-11-30,20:22:01,congressmanhice,42,85,176
"President Trump promised to renegotiate bad trade deals and has followed through with #USMCA.

Meanwhile, @SpeakerPelosi continues to stand in the way, pushing off a vote in favor of a partisan impeachment pursuit.

It’s time for Congress to put politics aside and pass #USMCAnow! https://twitter.com/VP/status/1200804806950051841 …",1200811683805093889,2019-11-30,16:19:50,congressmanhice,94,220,498
"Impeachment-crazed Democrats refused an honest & fair process, now they are paying for it. Polls strongly support @POTUS!

Impeachment has been exposed as a sham partisan effort to undermine @realDonaldTrump.

In spite of the Left's lies & deception, America has not been fooled!",1200791483827310593,2019-11-30,14:59:34,congressmanhice,87,363,1218
"EVIDENCE that America backs @realDonaldTrump:

✅ Wages are rising 
✅ Markets hit record highs
✅ GDP increased by 2.1% in Q3 
✅ Unemployment rate near a 50-year low

Democrats are trying to impeach @POTUS because they can’t beat the Trump economy. https://www.wsj.com/articles/u-s-gdp-growth-revised-up-to-2-1-rate-in-third-quarter-11574861510 …",1200403947753750529,2019-11-29,13:19:38,congressmanhice,44,285,879
"Today, let us be...

Thankful for God who loves us and offers forgiveness;

Thankful for family and friends;

Thankful to be in the greatest Country on Earth; and

Thankful for a strong President and promise-keeper, @realDonaldTrump.

#HappyThanksgiving! pic.twitter.com/4YTLlbRZxp",1200040148865617921,2019-11-28,13:14:01,congressmanhice,125,454,1787
"The biggest problem Democrats face with their impeachment pursuit are the facts.

There’s zero evidence to support impeachment, and their “star witnesses” time and again confirmed what we've known all along — @realDonaldTrump did nothing wrong! 

Enough is enough. #CaseClosed https://twitter.com/SteveScalise/status/1199692946301444096 …",1199724586721513473,2019-11-27,16:20:05,congressmanhice,100,320,717
"This entire impeachment process has been tailor-made to fit Pelosi, Schiff, and Nadler’s narrative.

But dozens of hearings and cherry-picked witnesses later, nothing has changed: no quid pro quo.

Democrats are failing America by dragging us through yet another ugly mudslinging. https://twitter.com/RepMarkMeadows/status/1199410653473255427 …",1199692664800776193,2019-11-27,14:13:15,congressmanhice,64,196,574
"Meet Ray Silverstein, an Air Force vet who has made service his lifestyle & this month's #GA10 Hice Headliner. As a Red Coat Ambassador, each Friday, he travels to @VAAugusta to help heroes, their families, & caregivers with a smile.

More about Ray here:  https://bit.ly/35DhrNe . pic.twitter.com/heP3tGOR17",1199404370904911873,2019-11-26,19:07:40,congressmanhice,5,7,16
"The dam has a leak & will soon collapse altogether.

Democrats are feeling the heat from America, and they’re turning against Schiff’s discredited impeachment.

Why did they believe him in the first place? Time to hold Schiff accountable & end the charade! https://www.foxnews.com/politics/house-dem-reverses-course-on-impeachment-as-polls-show-declining-support-i-want-to-censure …",1199323571392262146,2019-11-26,13:46:36,congressmanhice,75,226,724
"Thank you @realDonaldTrump for exposing the #DeepState Swamp!

The hoax is uncovered, now we need justice!

Time to investigate the real corruption:
✖️Lying Adam Schiff
✖️Fake “whistleblower” 
✖️Agency leakers & coup cooperators 
✖️Accomplices in media

Let justice prevail!",1198983562835513347,2019-11-25,15:15:32,congressmanhice,75,262,759
"After believing @RepAdamSchiff for 2+ years on phony Russia collusion, Democrats had the poor judgment to believe him again. They walked over the impeachment cliff as a whole party.

Now they’re busted and America is calling their hand.

Schiff should be investigated & removed. https://twitter.com/lizpeek/status/1198956541518516229 …",1198979583158243329,2019-11-25,14:59:43,congressmanhice,31,116,282
