tweet,id,date,time,username,replies_count,retweets_count,likes_count
"By connecting the dots, if disgraced @RepAdamSchiff had advance knowledge of the complaint, it could mean:
- the “whistleblower” was likely coordinating the effort to undermine @realDonaldTrump w/ Schiff
- He knew all along that the complaint was not credible & based on hearsay. https://twitter.com/benshapiro/status/1177593768834293760 …",1178713782270464002,2019-09-30,16:50:39,congressmanhice,35,98,185
"The Intel Community changed the rules so that secondhand hearsay can form the basis of whistleblower complaints.

Shortly afterwards, this complaint against @realDonaldTrump surfaces, and it is based on – you guessed it – secondhand hearsay.

Sound like a set up to anyone? https://twitter.com/MZHemingway/status/1178677861533847552 …",1178699182795821056,2019-09-30,15:52:39,congressmanhice,96,223,341
"#ICYMI: @RepTedYoho joins the @freedomcaucus podcast to weigh in on @realDonaldTrump’s tough trade policies on China and highlights its repeated theft of intellectual property and systemic abuse of human rights in the province of Xinjing.

Listen here: https://m.soundcloud.com/user-671880160/dominance-on-the-world-stage-ted-yoho-discusses-chinas-widening-global-footprint …",1178679298397474818,2019-09-30,14:33:38,congressmanhice,8,32,151
"It takes a lot of guts for a @CNN anchor to accuse anyone of making 'wild accusations.'

Hats off to @Jim_Jordan for getting the facts out there and calling out this latest attack against @realDonaldTrump. https://twitter.com/Jim_Jordan/status/1178350976786259969 …",1178400936689127424,2019-09-29,20:07:31,congressmanhice,202,427,1722
"Let's investigate 'QuidProJoe' Biden and @BarackObama! 

The more that's uncovered in the Ukraine story, the more questions that are raised about @JoeBiden.

Instead, @HouseDemocrats and their media allies are focused on destroying @realDonaldTrump.

It's time for the truth!",1178347646445998082,2019-09-29,16:35:46,congressmanhice,75,77,174
"Huge news from @seanmdav. 

Incredibly suspicious that the requirement for whistleblower complaints to have first-hand knowledge is removed days before the story breaks. 

We need answers! https://twitter.com/seanmdav/status/1177685616957558784 …",1178041009852309507,2019-09-28,20:17:18,congressmanhice,207,1396,2828
"I fully support this motion. 

@RepAdamSchiff blatantly misled the American people, and he should be held accountable for peddling lies. https://twitter.com/RepAndyBiggsAZ/status/1177638910345781248 …",1177667543814811649,2019-09-27,19:33:17,congressmanhice,276,1200,2716
#QuidProJoe has some explaining to do. https://twitter.com/Jim_Jordan/status/1177610423304105987 …,1177642758225436675,2019-09-27,17:54:47,congressmanhice,16,78,139
"#GA10 job hunters: We're only a week away from the third annual Regional Jobs Fair! With more than 700 openings, I hope those who are looking for work, a career change, or simply trying to take stock of their options will come connect and network with local employers at @GoGPTC. pic.twitter.com/5HGANLCGHC",1177623826512908289,2019-09-27,16:39:34,congressmanhice,3,4,10
"Time and again, @HouseGOP has sought funding to solve the national emergency on our southern border, and time and again, @HouseDemocrats' leadership has refused.

I applaud @realdonaldtrump for doing his job to protect our Nation by building the wall. He should veto S.J.Res54. https://twitter.com/politico/status/1177600918159802373 …",1177606915674857472,2019-09-27,15:32:22,congressmanhice,20,34,75
".@HouseDemocrats in 2019:

- @RepAdamSchiff blatantly fabricating quotes from @realDonaldTrump;
- @RepJerryNadler, the ringleader of the collusion delusion circus;
- @SpeakerPelosi launching impeachment inquiries based on zero evidence and second-hand gossip.

Morally bankrupt!",1177359527253073920,2019-09-26,23:09:20,congressmanhice,60,73,169
".@HouseDemocrats just passed legislation benefiting illegal immigrants’ healthcare over the needs of our veterans and military servicemembers.

The Left’s priorities are so far out of touch that it’s shameful.",1177357585277755394,2019-09-26,23:01:37,congressmanhice,52,292,609
"#ImpeachmentFever is running rampant in DC.

Last week, the Left tried to impeach Justice Kavanaugh over a #FakeNews @nytimes article. 

Now they're tripping over themselves to impeach @realDonaldTrump.

Dems have zero credibility – they'll impeach anybody they disagree with!",1177246981800058880,2019-09-26,15:42:07,congressmanhice,51,107,241
"Folks should remember the big picture –fake controversies like the Kavanaugh allegations and the nonexistent Ukrainian quid pro quo are nothing but a distraction.

The release of the DOJ IG #FISA abuse report is going to blow the lid off the efforts to undermine @realDonaldTrump.",1177237621015273472,2019-09-26,15:04:55,congressmanhice,17,31,74
"""Whistleblower""? To something they haven’t witnessed first-hand?

More like a rogue, self-appointed private eye scooping up second-hand gossip and reading public news articles.

No quid pro quo, no crimes. @realDonaldTrump didn't break any laws.

@RepAdamSchiff is a disgrace. https://twitter.com/SaraCarterDC/status/1177209170170384385 …",1177223266114646019,2019-09-26,14:07:53,congressmanhice,40,149,348
"This latest rush to judgement proves – yet again – that the Left is desperate and dead-set on drawing out this never-ending witch hunt of @realDonaldTrump.
 
Same story. Different day. https://twitter.com/Jim_Jordan/status/1176928918802223105 …",1176961085661949958,2019-09-25,20:46:04,congressmanhice,19,23,59
"The absurdity of this is almost unbelievable.

@SpeakerPelosi is *continuing* to press for impeachment over a transcript she hasn't read despite it being publicly available for hours.

As if it needed to be highlighted even more... the Left doesn't care about facts or the truth. https://twitter.com/RealSaavedra/status/1176901266263330817 …",1176908246092832768,2019-09-25,17:16:06,congressmanhice,50,59,152
"This is important.

The ""favor"" @realDonaldTrump is asking is for Ukraine's help in an ongoing law enforcement investigation by the Justice Department.

That's the President of the United States doing his duty. How else can the DOJ get foreign cooperation? https://twitter.com/KimStrassel/status/1176867452103249921 …",1176878940398522371,2019-09-25,15:19:39,congressmanhice,15,29,85
"So this is their smoking gun?

The American public can read for the transcript for themselves. @HouseDemocrats' sole agenda is impeachment theater.

No quid pro quo, no pressure, no blackmail by @realDonaldTrump.

Can we same the same about @JoeBiden? https://twitter.com/RepMarkMeadows/status/1176864198183325696 …",1176874379961126914,2019-09-25,15:01:32,congressmanhice,47,102,272
"Started with the Squad, and now it’s a Mob. Under Democrats’ lead, being innocent until proven guilty is gone.

The Left has whipped themselves into a frenzy based on zero evidence.

We cannot let their mob rule strip us of our Constitutional Republic’s most basic principles.",1176853688436088837,2019-09-25,13:39:18,congressmanhice,29,60,207
"In their obsession to nullify the will of the people and overturn the results of the 2016 election, @HouseDemocrats and @SpeakerPelosi have become experts at hurling accusations before all the facts come out. 

My full statement on #impeachment ↓ pic.twitter.com/uiN3lk953X",1176637587152408576,2019-09-24,23:20:36,congressmanhice,59,83,176
"Truly remarkable that @SpeakerPelosi's ""red line"" on impeachment was a whistleblower complaint (the report on which nobody has seen) expressing secondhand concerns about a phone call between President Trump and a foreign leader (the transcript of which nobody has read). https://twitter.com/RealSaavedra/status/1176605700660715520 …",1176610649490808832,2019-09-24,21:33:33,congressmanhice,51,66,159
"Yet again @realDonaldTrump shows an absolute willingness to comply with radical and baseless demands from unscrupulous Democrats.
 
In the interest of fairness and transparency, @HouseDemocrats should now demand an investigation into the admitted abuses from former VP @JoeBiden. https://twitter.com/realDonaldTrump/status/1176559966024556544 …",1176573777993437186,2019-09-24,19:07:03,congressmanhice,42,186,535
"Democrats have become masterful in accusing others of the very thing that they themselves are guilty of.

Joe Biden has openly bragged about coercing Ukrainians into firing the prosecutor who was investigating his son.

It’s time for a DOJ investigation! pic.twitter.com/BmObv0wRQr",1176537789246124032,2019-09-24,16:44:02,congressmanhice,51,134,339
"Congress has a lot of important upcoming decisions to make, and I look forward to having an open dialogue with #GA10 folks on policies coming out of our Nation's capital that affect each and every one of us.

Sign up for tonight's call here:  http://bit.ly/2DV3hfr . pic.twitter.com/yae4TV13gr",1176148963239563265,2019-09-23,14:58:59,congressmanhice,11,8,15
"How ‘bout them dawgs! What a game and special night in Athens. Congrats on the big win @KirbySmartUGA @GeorgiaFootball #NDvsUGA
#GoDawgs #CommittedToTheG pic.twitter.com/WVavK81RJq",1175824483799699456,2019-09-22,17:29:37,congressmanhice,12,8,22
"NEW @freedomcaucus podcast:

With a big Census battle shaping up, @RepMoBrooks breaks down his federal lawsuit to restore voting power to American citizens & discusses his opposition to including illegal migrants for electoral purposes in the U.S. Census. https://soundcloud.com/user-671880160/equal-protection-and-equal-power-mo-brooks-breaks-down-federal-census-lawsuit …",1175816881149808640,2019-09-22,16:59:24,congressmanhice,9,39,80
"Folks, what’s important to remember about disgraced Adam Schiff is that he's been lying to us for years.

Regardless of where the story goes, we know Adam Schiff has zero credibility. https://twitter.com/SaraCarterDC/status/1175086201503662081 …",1175191968231710723,2019-09-20,23:36:13,congressmanhice,65,87,245
"It’s through the right to bear arms that Americans are ensured the ability to defend themselves, the people they love, the homes they’ve built, and their rights. #2A https://twitter.com/freedomcaucus/status/1175143086688808961 …",1175155818091745284,2019-09-20,21:12:35,congressmanhice,68,221,773
"The principles Democrats pass over as obsolete — the freedom of speech, freedom of religion, & the right to bear arms — are the very things that make America strong, unique, & truly great.

I’ll never stop working to preserve the principles we hold dear. https://www.washingtonexaminer.com/opinion/op-eds/rep-jody-hice-the-principles-that-make-america-great …",1175130796774035456,2019-09-20,19:33:09,congressmanhice,257,748,2512
"Attention #GA10 farmers: the sign-up period to receive @USDA disaster aid is now open. 

If you or someone you know is an #agriculture producer who experienced crop loss or damage from natural disasters in 2018 or 2019, head here to learn more:  https://www.farmers.gov/recover/whip-plus …",1175101503457173504,2019-09-20,17:36:45,congressmanhice,7,10,13
"On this #POWMIARecognitionDay, we, as a grateful Nation, honor all of our servicemembers who were never reunited with their families. Join me in remembering these heroes and praying for their safe return.

We stand committed to bringing home every man and woman in uniform. https://twitter.com/DeptofDefense/status/1175077160022941698 …",1175078020027211776,2019-09-20,16:03:26,congressmanhice,2,9,28
"Great piece by @KimStrassel. We need more journalists like her who aren't blinded by the Left's collusion delusion and who are willing to cover the investigations that matter. 

The truth about @Comey and his gang is coming out, whether the Left wants to cover it or not. https://twitter.com/KimStrassel/status/1174839017755430912 …",1175054255612473346,2019-09-20,14:29:00,congressmanhice,19,137,388
"Whether you're commemorating a recent Eagle Scout or a retirement, flying flags over the U.S. Capitol is a great way to celebrate important life events and honor the achievements of loved ones.

#GA10 folks can order these flags through my website here:  https://bit.ly/2lUZMPu  pic.twitter.com/9VpfMPGIAC",1174687206918754304,2019-09-19,14:10:29,congressmanhice,2,4,9
"Horowitz already referred both James @Comey & Andrew McCabe for criminal prosecution – back-to-back heads of the @FBI who played critical roles in launching the failed & misguided collusion probe against @realDonaldTrump.

Stay tuned this month to see what Horowitz turns up next!",1174397522204352512,2019-09-18,18:59:23,congressmanhice,18,72,119
"AG Barr appointed US Attorney Durham to investigate the Russia probe's origins. Today Horowitz confirmed he's in communication with Durham.

Them comparing notes provides a comprehensive approach to the investigation, giving us the best chance at finally getting the truth.

Huge! pic.twitter.com/oqjLME1ZkF",1174396206115643392,2019-09-18,18:54:09,congressmanhice,124,1531,4287
