tweet,id,date,time,username,replies_count,retweets_count,likes_count
"If you're interested in applying for a Military Service Academy Nomination, my staff can answer your questions at this year's Military Service Academy Information Session on Monday, September 16 at the Cathedral City High School Auditorium. RSVP at (760) 424-8888. pic.twitter.com/Z7emGv9TXt",1167844498526703617,2019-08-31,17:00:00,congressmanruiz,1,0,3
"The Salton Sea isn't just an environmental issue—it's a public health crisis. As the Sea continues to shrink and release harmful toxins into the air we breathe, our friends, families, and seniors are likely to develop asthma and other pulmonary diseases. https://news.usc.edu/159380/salton-sea-shrinking-asthma-respiratory-health-air-quality/?fbclid=IwAR0c1_US2r25CaxwDdE9mvifCiduI28p994_Ck_o9kA9ikHXFfOCP6qtX9c …",1167518851057082368,2019-08-30,19:26:00,congressmanruiz,10,30,66
"My top priority is the health & well-being of residents in my district. I will continue to monitor this situation closely and work with local, state, tribal, and federal officials to ensure Oasis Park residents have access to safe drinking water. #CA36  https://www.kesq.com/news/thermal-residents-worry-kids-could-get-sick-due-to-high-arsenic-levels-in-water/1114851846 …",1167489659552727040,2019-08-30,17:30:00,congressmanruiz,4,8,22
"As a public servant, one of the most important jobs I have is to help you cut through the red tape and receive the benefits you've earned. If you're having trouble accessing:

➡️ Social Security 
➡️ Medicare 
➡️ VA benefits

Give us a call at (760) 424-8888!",1167444108807303168,2019-08-30,14:29:00,congressmanruiz,2,7,31
"#ICYMI: I visited the Riverside County Cyber Security Operations center to discuss how we can protect the cyber health of our homes, communities, elections, & nation. Watch my conversation with Chief Information Security Officer, Anthony, to learn more about staying cyber safe! pic.twitter.com/gSfYB4pFnL",1167198742119952385,2019-08-29,22:14:00,congressmanruiz,5,11,37
Methane emissions are a known pollutant & accelerator of climate change. @EPA rollback of methane emission regulations neglects our environment and puts our children & seniors at risk of developing pulmonary diseases due to poor air quality. https://www.latimes.com/politics/story/2019-08-29/epa-trump-methane-emissions …,1167175171435835392,2019-08-29,20:40:20,congressmanruiz,3,12,27
The science is clear: climate change is causing increased extreme heat. That heat is putting our workers in danger. That’s why I support the Asuncion Valdivia Heat Illness & Fatality Prevention Act to protect workers from heat stress. #BeatTheHeat #ClimateCrisis,1167157973589929989,2019-08-29,19:32:00,congressmanruiz,1,3,22
"Heat is the leading weather-related killer, and as our planet warms, workers are put at even greater risk. The Asuncion Valdivia Heat Illness and Fatality Prevention Act would ensure workers have access to water, rest, & shade – commonsense solutions I fully support. #BeatTheHeat",1167150423834128385,2019-08-29,19:02:00,congressmanruiz,6,6,27
I had so much fun participating in the 11th Annual Senior Pin Pals Wii Bowling Tournament. It was great to see our communities' seniors come together to stay active and healthy—they even let me throw the First Bowl! I'm already looking forward to next year's tournament. pic.twitter.com/urphVflubv,1166881652515061760,2019-08-29,01:14:00,congressmanruiz,4,1,43
"I have found that I learn just as much from the interns in my office as they do working here. If you or someone you know is interested in interning in our Palm Desert office, please click here to learn more. You have until Sept 20! https://ruiz.house.gov/services/internships …",1166482019330732032,2019-08-27,22:46:00,congressmanruiz,2,2,18
