tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I am always proud to join @the_USO to help assemble care packages for our troops! During today's service project, more than 2000 packages will be filled and then sent to our troops serving overseas, providing them with a connection to home! pic.twitter.com/zXojOCnW0G",1189564393169850376,2019-10-30,15:27:07,daveloebsack,4,3,11
Thanks to @NieuwenhuisSeed from Primghar for testifying at today's @EnergyCommerce hearing about the pain his company is feeling from the EPA's misuse of the small refinery exemption. Farmers and rural businesses are hurting! #DontMessWithTheRFS pic.twitter.com/tEpkQ8SAHg,1189203572740775937,2019-10-29,15:33:20,daveloebsack,5,7,28
"Today at 9:30am CDT, the @EnergyCommerce Committee will hold a hearing looking into the Trump Admin and @EPA's secret waiver program they use to prop up Big Oil at the expense of biofuel producers and Iowa farmers. #DontMessWithTheRFS WATCH LIVE>>  https://energycommerce.house.gov/committee-activity/hearings/hearing-on-protecting-the-rfs-the-trump-administrations-abuse-of-secret … pic.twitter.com/hHsPCAWkzm",1189170349763682305,2019-10-29,13:21:19,daveloebsack,11,5,7
"This #WorldPolioDay, let’s renew our commitments to @CDC & @USAID polio eradication efforts. These are life-saving investments, because #VaccinesWork and every child, everywhere deserves a @ShotAtLife with @Rotary! pic.twitter.com/RaNtCSjjdC",1187417213671821313,2019-10-24,17:14:59,daveloebsack,0,7,9
"Once again the Trump White House sided with Big Oil over objections from @USDA and Iowa Farmers. When drafting new rules, the administration directly attacked the #RFS and backed a bait and switch that goes against promises made to farmers and biofuel producers. https://twitter.com/gazettedotcom/status/1187076244690624514 …",1187399355038347264,2019-10-24,16:04:01,daveloebsack,9,3,8
"Open enrollment for Medicare has now begun! If you're on Medicare and want to change your plan, you have until Dec 15 to do so. You can call 1-800-MEDICARE or visit the link below for more information!  https://www.medicare.gov/plan-compare/#/?lang=en …",1186389348750635009,2019-10-21,21:10:37,daveloebsack,0,5,0
Proud to support @RepCindyAxne and the hardworking families in Iowa and across the country to ensure jobs are kept here at home and not shipped overseas! https://twitter.com/RepCindyAxne/status/1185206671871598592 …,1185222757518368769,2019-10-18,15:55:00,daveloebsack,5,6,44
"So very sad to hear of Elijah’s passing. He was a great man and a champion for the people of Baltimore who he proudly served for many years. My and Terry’s thoughts go to his family, friends and the people of Maryland in this difficult time. https://twitter.com/NBCNews/status/1184762997799096321 …",1184787652333187073,2019-10-17,11:06:03,daveloebsack,1,4,35
Congratulations to Cardinal Community School District's Joel Pedersen for being named the Superintendent of the Year by the School Administrators of Iowa! @cardinalcomets @sai_iowa https://ktvo.com/news/local/cardinal-superintendent-named-school-administrator-of-the-year …,1184533033115881473,2019-10-16,18:14:17,daveloebsack,0,1,2
"“It is outrageous that not even two weeks after the President and @EPA announced a ‘deal’ to offset the excessive number of SREs they granted to big, profitable oil companies, they fall back on their word."" https://loebsack.house.gov/news/documentsingle.aspx?DocumentID=397326 …",1184234027324182528,2019-10-15,22:26:08,daveloebsack,0,10,20
"Very sorry to hear of Bob’s passing. He was a champion of our veterans and it was an honor to work with him to welcome so many veterans to Washington. My and Terry’s thoughts go to his wife, family and all the veterans whose lives who he touched.   https://qctimes.com/news/local/founder-of-honor-flight-dies-leaves-legacy-for-veterans-and/article_511d40a2-bd5b-5cca-b311-ede836e7542c.html …",1181716859252625409,2019-10-08,23:43:49,daveloebsack,1,5,13
"Congrats to Newton's own Joy! She's a min-pig with a big future! Not only does she serve as the mascot for Newton's Capitol II Theatre, but Joy was just honored by @GWR as the pig who completed the most tricks in one minute! https://www.newtondailynews.com/2019/10/01/oh-joy-newtons-famous-mini-pig-featured-in-guinness-world-records-2020-edition/aulid0m/ …",1181277474170081280,2019-10-07,18:37:51,daveloebsack,1,5,14
"""If true, this report is a slap in the face to the farmers and rural communities."" Check out Dave's full statement on reports that President Trump and @EPA have halted work on drafting a deal with the biofuels industry. https://loebsack.house.gov/news/documentsingle.aspx?DocumentID=397325 …",1179122394117607424,2019-10-01,19:54:20,daveloebsack,4,10,6
