tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Tomorrow, the @uippc is hosting a conversation w/ @SenatorTomUdall (NM) about his life in law and politics and his legislation, the For the People Act. Info: Oct 1, Room 235 of the Boyd Law Building at 5pm. The talk is free and open to the public! 
 http://ppc.uiowa.edu/events/visit-us-senator-tom-udall …",1178701824108433410,2019-09-30,16:03:08,daveloebsack,0,4,2
"The #GlobalGagRule hurts communities, undermines global health, and destroys local advocacy efforts to save lives & expand contraception. I’m proud to support the #GlobalHERAct to end this dangerous policy once and for all. #WCD2019 pic.twitter.com/Ez8OY9PwOS",1177281823291822080,2019-09-26,18:00:34,daveloebsack,5,4,12
Check out the link below to read Dave's latest statement on the developments in the whistle blower case against President Trump (Sept. 24th) https://loebsack.house.gov/news/documentsingle.aspx?DocumentID=397324 …,1176610142110064644,2019-09-24,21:31:32,daveloebsack,22,33,64
It’s time to have an open conversation about mental health in our country. I’m wearing purple today to support National #RecoveryMonth. We can better support our community members who struggle with their mental health when we #EndTheStigma. pic.twitter.com/3csRDnHuZX,1176574433970065409,2019-09-24,19:09:39,daveloebsack,3,9,39
Take a look at Dave's statement on the whistle blower complaint against Pres. Trump and his call with the leaders of Ukraine. https://loebsack.house.gov/news/documentsingle.aspx?DocumentID=397323 …,1176249634655748097,2019-09-23,21:39:01,daveloebsack,22,7,14
Thanks for inviting me to join you! It was a great event celebrating the success of a great company! https://twitter.com/WackerChemCorp/status/1173929665527988224 …,1174082921113825280,2019-09-17,22:09:16,daveloebsack,0,1,6
Stop by and get your free pocket constitution today @thejavahouse_! #ConstitutionDay pic.twitter.com/jxpzM7zEi1,1174034310892011525,2019-09-17,18:56:06,daveloebsack,2,2,2
"Happy #ConstitutionDay! I am proud to again offer free pocket constitutions, which you can pick up at locations across Iowa City. You can find them at: @thejavahouse_, @UILibraries Service Desk, @HardinLib , and the @UIowaLawLibrary!  https://guides.lib.uiowa.edu/c.php?g=132054&p=3777716 …",1174014749782237186,2019-09-17,17:38:23,daveloebsack,2,4,3
"Let's #remember911 today by paying tribute to those we lost; to the firefighters, police & first responders who risked their lives; and our Armed Forces. We can honor the legacy of the 3000 who lost their lives by dedicating ourselves to service and improving our communities",1171879575258828802,2019-09-11,20:13:57,daveloebsack,0,2,13
WATCH NOW: Loebsack's Broadband DATA Act serves as basis of @EnergyCommerce Telecom Subcommittee hearing entitled: Legislating to Connect America: Improving the Nation’s Broadband Maps. https://www.youtube.com/watch?v=kFKA77IVWMM …,1171801618146308097,2019-09-11,15:04:11,daveloebsack,1,5,5
It was great meeting with you as well! Thanks for all that you do to advocate for people with cancer! https://twitter.com/ACSCANIowa/status/1171478911651209216 …,1171481845453611011,2019-09-10,17:53:31,daveloebsack,1,3,8
"Today is #WorldSuicidePreventionDay. Together, we can create a world without suicide. If you’re in crisis and need assistance, call the National Suicide Prevention Lifeline at 1-800-273-TALK (8255), or text TALK to 741741 pic.twitter.com/MY0kGG80TO",1171428916394741761,2019-09-10,14:23:12,daveloebsack,0,10,12
"Reps. Loebsack, @boblatta, @USRepLong and @RepMcEachin Introduce Legislation to Improve Broadband Data Maps https://loebsack.house.gov/news/documentsingle.aspx?DocumentID=397321 …",1170011437315608576,2019-09-06,16:30:39,daveloebsack,1,6,6
"This #LaborDay, we remember all who have fought for workers’ rights -- on the shop floor, in the streets and on the picket line. Whether it’s weekends, the 9-to-5, or holidays like this one, we thank our nation’s labor movement for having the backs of hard working families! pic.twitter.com/gCFUXiNH9Z",1168516116064415745,2019-09-02,13:28:46,daveloebsack,4,3,5
