tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Earlier today, I called for a sober review of our policy in the Middle East. 

Moments ago, with the tweet below, President Trump made clear that’s not at all what he wants. pic.twitter.com/l7AUwKv94E",1212150098882379776,2019-12-31,23:14:38,davidcicilline,51,95,398
"┏━━┓┏━━┓┏━━┓┏━━┓
┗━┓┃┃┏┓┃┗━┓┃┃┏┓┃
┏━┛┃┃┃┃┃┏━┛┃┃┃┃┃
                  For The People
┃┏━┛┃┃┃┃┃┏━┛┃┃┃┃
┃┗━┓┃┗┛┃┃┗━┓┃┗┛┃
┗━━┛┗━━┛┗━━┛┗━━┛",1212106416200306689,2019-12-31,20:21:04,davidcicilline,16,52,297
"This is an extremely alarming development. 

We must move swiftly to ensure the safety of every American servicemember and diplomat stationed at our embassy in Iraq.

Then we must proceed with a sober review of how we can reduce tensions in the region. https://apnews.com/75228a8a607a44863b57021ac33264dc?utm_medium=AP&utm_campaign=SocialFlow&utm_source=Twitter …",1212041693349986304,2019-12-31,16:03:52,davidcicilline,83,183,559
"The State Department ran a full blown investigation to find out who at the US Embassy in Brussels liked a Chelsea Clinton tweet. 

We get closer and closer to a banana republic each day @realdonaldtrump stays in office. https://www.thedailybeast.com/trumpworlds-wild-hunt-who-liked-a-chelsea-clinton-tweet …",1211854954366939136,2019-12-31,03:41:50,davidcicilline,804,7921,18635
"There are no words to describe the tragedy of another shooting in a place of worship.

These senseless acts of violence must stop. 

The time to act is now. https://abcnews.go.com/US/injuries-reported-shooting-texas-church/story?id=67969564 …",1211457260528062465,2019-12-30,01:21:33,davidcicilline,23,61,295
"The attack on a Hannukah celebration last night was horrifying and barbaric.

It is another in a streak of hate crimes intended to intimidate Jewish communities that have become all too common.

We are better than this. America is better than this. https://nyti.ms/2tgki0l ",1211439500649541633,2019-12-30,00:10:59,davidcicilline,21,27,187
"I’m keeping the Conscience of the House, @repjohnlewis, in my thoughts and prayers tonight. 

You’re not alone in this fight, my friend. The whole nation, which owes you an incredible debt, is with you. https://twitter.com/saba_h/status/1211422047303172096 …",1211428216499572736,2019-12-29,23:26:08,davidcicilline,18,175,1241
Especially grateful I was able to spend some time with Henry Camacho from Woonsocket and other brave servicemembers spending the holidays away from their loved ones! pic.twitter.com/b9HpN90wSi,1210192496455757824,2019-12-26,13:35:50,davidcicilline,6,22,335
"We just left Qatar after spending Christmas Day with our brave men and women in uniform stationed at Al Udeid Air Base.

Glad that we were able to serve them Christmas breakfast and dinner and listen to them about their mission there. pic.twitter.com/gU4mq6lWwY",1210192487278686208,2019-12-26,13:35:47,davidcicilline,28,96,782
"I was also able to serve servicemembers Christmas lunch and bring them a little piece of home. 

More updates to come! pic.twitter.com/kPIMpa4zet",1209806218564423680,2019-12-25,12:00:54,davidcicilline,9,19,237
