tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Glad @RepAdamSchiff, @RepCummings and @RepEliotEngel are subpoenaing @RudyGiuliani for the impeachment inquiry. Need to get to the bottom of what he’s been up to.",1178760181284511744,2019-09-30,19:55:02,davidcicilline,94,302,2298
"Gross incompetence? Maybe.

Betraying your country? Yes. https://twitter.com/realDonaldTrump/status/474134260149157888 …",1177612692296630272,2019-09-27,15:55:19,davidcicilline,122,1036,5983
"There is only one person who should be concerned right now about the consequences for betraying their country.

It is not the whistleblower.",1177282066402201602,2019-09-26,18:01:32,davidcicilline,293,2242,12640
Trump 2020: The Greatest Scam in the History of American Politics! https://twitter.com/realDonaldTrump/status/1177182149050609664 …,1177242166256685057,2019-09-26,15:22:59,davidcicilline,58,88,561
That press conference was a trainwreck. It also confirmed that he has committed impeachable offenses.,1176967571381334016,2019-09-25,21:11:50,davidcicilline,133,937,5834
Barr needs to tell the President he can’t use an insanity defense in a Senate trial. https://twitter.com/ZekeJMiller/status/1176928777886162944 …,1176943627806941188,2019-09-25,19:36:42,davidcicilline,54,200,838
"So even a “transcript” produced by this White House says Trump asked Ukraine to smear Joe Biden?

Ok. It’s time to impeach.",1176869734534586368,2019-09-25,14:43:04,davidcicilline,56,161,974
“I would like you to do us a favor” is something gangsters say in movies.,1176866589381144576,2019-09-25,14:30:34,davidcicilline,172,675,3757
"NOW: Judiciary hearing on military-style assault weapons. As you know, I’ve introduced the Assault Weapons Ban. More soon.",1176858158863736832,2019-09-25,13:57:04,davidcicilline,17,88,507
Will be joining @HardballChris and @RepDennyHeck in a few minutes on MSNBC to talk about today’s news. pic.twitter.com/swwnHRb4Bf,1176631946492989440,2019-09-24,22:58:11,davidcicilline,12,11,81
Ok. Let’s get this done.,1176604158826352640,2019-09-24,21:07:46,davidcicilline,110,228,1960
Release the whistleblower complaint. That’s what is required by law. https://twitter.com/realDonaldTrump/status/1176559966024556544 …,1176561743088234497,2019-09-24,18:19:13,davidcicilline,50,264,1048
"The dam’s not breaking. It’s broken. Proud that so many of my colleagues are standing up to President Trump’s wanton abuse of power today.

It is clear that there is no other option than to impeach this President.",1176526914737119233,2019-09-24,16:00:49,davidcicilline,277,2406,14753
Thrilled to welcome @RepRuggiero to my Capitol Hill office today. Had a really important conversation about encouraging more women to be involved in public service. pic.twitter.com/gYzsiOSK5V,1176503984921726977,2019-09-24,14:29:43,davidcicilline,5,13,68
 https://www.washingtonpost.com/opinions/2019/09/24/seven-freshman-democrats-these-allegations-are-threat-all-we-have-sworn-protect/ …,1176304400597495809,2019-09-24,01:16:38,davidcicilline,26,48,232
"We’ve listened to @realDonaldTrump’s spin about this phone call for 72 hours now. They still haven’t released the whistleblower report, which is what the law requires.

This ongoing obstruction and cover up cannot continue. Congress needs to move forward on impeachment.",1176224036315176966,2019-09-23,19:57:18,davidcicilline,401,3042,12735
"Trump welcomed foreign interference in 2016 and tried to cover it up.

He’s using the presidency for financial gain and obstructing Congress.

Now he’s asking another foreign government to interfere in 2020.

Each day we don’t impeach him, he grows bolder. We have to act.",1175464662441353217,2019-09-21,17:39:49,davidcicilline,916,5413,20112
"This is deadly serious. If the President does not allow the whistleblower complaint against him to be turned over to Congress, we will add it to the Articles of Impeachment.",1175101616506200067,2019-09-20,17:37:12,davidcicilline,2808,8843,45795
"Marybeth, we already have. Thanks.",1175098312342593537,2019-09-20,17:24:04,davidcicilline,0,0,1
"Friday Night Lights is one of my all-time favorite TV shows, so I was thrilled to run into Mrs. Coach (@conniebritton) earlier tonight!

She’s in Washington supporting the @ONECampaign and the @GlobalFund as they fight AIDS and malaria. 

Clear eyes, full hearts, can’t lose! pic.twitter.com/xTM10qK8Z6",1174476781723770882,2019-09-19,00:14:20,davidcicilline,16,20,232
Working with @JimLangevin today as our committees are holding a joint hearing on combatting white nationalist terrorism at home and abroad. Really important issue! pic.twitter.com/ZIfTtKM8FL,1174404307615199233,2019-09-18,19:26:20,davidcicilline,29,35,193
#NewProfilePic pic.twitter.com/q3MUm6LZRO,1174326580749000704,2019-09-18,14:17:29,davidcicilline,26,11,208
"If you watch nothing else today, watch Barry Berke question Corey Lewandowski. Video HERE 👉  https://www.c-span.org/video/?c4817196/house-judiciary-counsel-berke-questions-lewandowski …",1174320958070501382,2019-09-18,13:55:08,davidcicilline,170,614,1724
"When someone admits under oath that they lie all the time in TV interviews, maybe don’t book them the next morning for your cable show? 

Just a thought.",1174299001711136769,2019-09-18,12:27:54,davidcicilline,1015,7521,44247
"PATHETIC that Lewandowski and Republicans are continuing @realDonaldTrump’s cover up. 

I just called for him to be held in contempt. pic.twitter.com/irMy7Pvecy",1174048765407371264,2019-09-17,19:53:33,davidcicilline,2938,6595,30460
"Clear that Lewandowski, @RepDougCollins, and Republicans are going to try to block attempts to uncover the truth about @realDonaldTrump. 

They will not succeed!",1174018343348707329,2019-09-17,17:52:39,davidcicilline,1136,1644,6809
NOW: First impeachment investigation hearing pursuant to our newly adopted procedures under way. Hope you will watch.,1174013245100871681,2019-09-17,17:32:24,davidcicilline,171,130,791
Mueller turned a profit when you take into account the assets Manafort forfeited. And he found that the President twice directed you to obstruct justice. https://twitter.com/CLewandowski_/status/1157437550270787585 …,1173973381085110272,2019-09-17,14:54:00,davidcicilline,149,1487,5125
