tweet,id,date,time,username,replies_count,retweets_count,likes_count
Support recycling and add this awful newspaper to your bin. If only we could toss online editions in the garbage too. https://twitter.com/ReaganBattalion/status/1122861990169411585 …,1123239771348795393,2019-04-30,14:56:44,desjarlaistn04,0,7,18
"Growing exports, shrinking trade deficit behind great economic growth of 3.2 percent in 1st Quarter 2019. Gov't shutdown earlier in the year had negligible effect. We could be on track for even higher GDP this quarter and 3 percent or better for the year, following strong 2018.",1123224703353667584,2019-04-30,13:56:52,desjarlaistn04,1,2,6
"President fighting Democrats' impeachment frenzy in Congress is actually doing them -- and country -- a favor. It's time for Trump Haters to drop their collusion delusion, obstruction malfunction, etc. and work for American people on our prerogatives! #StopTheInsanity #GetToWork",1123220057792876544,2019-04-30,13:38:24,desjarlaistn04,1,1,8
".@USCBO foresaw low, slow growth according to trends under Obama Admin 

But @realDonaldTrump and GOP Congress enacted pro-growth tax reform, de-regulatory agenda

Result: GDP growth since then coming in well above pessimistic predictions pic.twitter.com/a0q4hQM8ff",1122934982647975938,2019-04-29,18:45:37,desjarlaistn04,0,1,2
"Before 2016, CBO predicted low (and slowing) economic growth due to Obama Admin socialist-style central planning. 2% growth in 2018. 1.7% in 2019. 

GOP tax cuts and de-regulation raised GDP a whopping 50% above 2018 estimate. 2019 shaping up even better for business, workers.",1122900244365230082,2019-04-29,16:27:35,desjarlaistn04,1,5,11
Correct!,1122492891115474945,2019-04-28,13:28:54,desjarlaistn04,1,0,1
"More good news in latest GDP report: U.S. manufacturing exports narrowed trade deficit, drove economic growth to healthy 3.2 percent. 

Domestic energy, manufacturing, investment all strong. Americans are confident in the future!",1122122792349130754,2019-04-27,12:58:16,desjarlaistn04,0,1,8
"Economic growth again tops experts’ expectations. Solid 3.2 percent.

Analysts consistently underestimating power of GOP tax and regulatory reform, creating higher wages, take-home pay.

Maybe it’s time for some experts to consider new job. Good thing there are plenty!",1122120004223340544,2019-04-27,12:47:11,desjarlaistn04,3,2,12
Congratulations Molly! The Franklin County HS junior won the Tennessee 4th District Congressional Art Competition this year. She won a trip to D.C. to view her piece in the capitol. Thank you to all the participants. We have so much talent in #TNO4! pic.twitter.com/1uRhiVJbkD,1121460893848567808,2019-04-25,17:08:07,desjarlaistn04,0,0,8
"On Sunday, April 28, at 2:30 pm at @RiverdaleHighTN in M'boro West Point Military Academy will host a briefing for Middle Tennessee high school students, family and friends about applying to the @USArmy's Officer Training School. RSVP here:  https://einvitations.afit.edu/inv/index.cfm?i=445708&k=0665470E7B5F&fbclid=IwAR0FQtG8-bR1odAUrylxgAAGfIsB84IynkaaZ2IyMr8woV4Sk-LVzPO523M … @WestPoint_USMA",1121088929430745088,2019-04-24,16:30:04,desjarlaistn04,0,0,1
"Thank you @PPAI_HQ!  https://magazine.promomarketing.com/article/ppai-names-u-s-representatives-davidson-and-desjarlais-2019-legislators-of-the-year/#.XL-K_a2Urrw.twitter … Proud to support small biz tax cuts, simplifying federal regs to develop U.S. energy & tech training for a skilled workforce.",1121048505404002304,2019-04-24,13:49:26,desjarlaistn04,0,0,3
"Socialized medicine, single-payer, government-run health care would only exacerbate problem, turning doctors and other med professionals into employees of a giant fed bureaucracy. It would mean more rules and regs, paperwork and admin costs -- not less! And poor care for patients https://twitter.com/DesJarlaisTN04/status/1120398613811728385 …",1120399930609360896,2019-04-22,18:52:14,desjarlaistn04,6,2,6
"Important study finds Obamacare, other federal regs de-personalizing medicine, adding to bureaucracy, are behind increasing doctor ""burnout,"" retirements affecting quality of care  https://www.studyfinds.org/doctors-overworked-robots-physician-burnout-jumps-dramatically/ … Also forced consolidation at med practices, struggling with heavy burden.",1120398613811728385,2019-04-22,18:47:00,desjarlaistn04,0,0,3
Happy Easter. Hope you’re enjoying the holiday with friends and family. pic.twitter.com/QzHZnOTvqS,1120033911327862791,2019-04-21,18:37:48,desjarlaistn04,0,1,8
"Tennessee going strong. A national economic leader. Low unemployment, small business growth, domestic manufacturing resurgence, fast wage increases. Confidence in the future! https://twitter.com/WhiteHouseCEA/status/1119265271229886465 …",1119286961985007617,2019-04-19,17:09:41,desjarlaistn04,0,2,5
"Hillary Clinton/DNC not the only ones who funded fake Russia Dossier. Obama FBI paid Christopher Steele too. Spun his fairy tales into FISA warrants to spy on the President.  

Time to investigate the real collusion among Clinton, Obama WH that launched this Mueller charade",1118923045614362624,2019-04-18,17:03:37,desjarlaistn04,3,9,19
"Democrats have found new object for their anti-Trump hatred after he failed to deliver the goods: the Special Counsel himself. They’re planning to subpoena Robert Mueller. Essentially, their plan is to investigate how they came up with their own ridiculous conspiracy theory.",1118882118862561282,2019-04-18,14:20:59,desjarlaistn04,6,2,6
"Atty Gen Barr presented a detailed, convincing explanation of the Special Counsel’s findings — no collusion, no obstruction — and process for release of report. The President has demonstrated remarkable cooperation and transparency amidst an unprecedented, partisan investigation.",1118878670872088578,2019-04-18,14:07:17,desjarlaistn04,9,5,13
"Now that the Collusion Delusion has crashed and burned, conspiracy theorists are clinging to idea that President’s firing of James Comey, whom they also blamed for her election loss, represents “obstruction.” As they once agreed — he was fired for massive bungling of FBI duties!",1118866027499130880,2019-04-18,13:17:03,desjarlaistn04,5,2,10
"A larger and larger share of your federal income tax is paying down the national debt, i.e. for nothing.

I wonder how many taxpayers will want shell out for bigger and bigger interest payments?

Not many I bet. But a whole lot will want to cut federal spending! https://twitter.com/taxfoundation/status/1118246524574687241 …",1118515707837341697,2019-04-17,14:05:00,desjarlaistn04,3,1,7
"Debbie Burgess of Knoxville is the latest victim of an illegal alien who fled the scene of a crash. An illegal alien who escaped killed Keri King in my own Tennessee district. Our open borders admit criminal aliens and allow many to escape justice. Tragically, it works both ways.",1118299796522045441,2019-04-16,23:47:03,desjarlaistn04,3,3,10
Debbie Burgess is the latest victim of an illegal alien who fled the scene of a deadly accident in Tennessee.  We must secure our borders and immigration laws. https://twitter.com/BigPapaPhattz/status/1117910344683245568 …,1118240426966888449,2019-04-16,19:51:08,desjarlaistn04,1,4,10
World War I veteran Mose Buchanan and this fantastic portrait by self-taught Tennessee artist H.R. Lovell deserve a prominent place in Lincoln County's public square.  https://www.elkvalleytimes.com/lifestyles/desjarlais-to-unveil-the-veteran-painting-this-week/article_d00cae32-5fb6-11e9-923d-df7c5b7e8299.html … I'm proud to unveil the painting today at the Courthouse in Fayetteville @ElkValleyTimes,1118185333345144834,2019-04-16,16:12:13,desjarlaistn04,0,1,2
"Democrats all voted against Tax Reform. Claimed it was a tax increase. Claims all fell apart (again) as Americans received bigger paychecks throughout the year. 

One claim is still true, however. Democrats saying your taxes could go up. But only if Democrats vote to raise them!",1117872645385670658,2019-04-15,19:29:42,desjarlaistn04,4,8,19
"More good news on #TaxDay. 

Because of tax cuts and higher wages, families are earning more money and keeping more 

Tax cuts mean more than $2000 in annual savings but the result could be as high as $4000 in extra income in 2018 compared to 2017",1117871265753120769,2019-04-15,19:24:13,desjarlaistn04,0,0,2
"Hearing tax-cuts described as ""stimulus."" 

As if supporters of failed Obama Stimulus know this will paint tax cuts in negative light

But returning more of their income to Americans who earned it is only right. 

And the results are far superior!  More growth, jobs, higher wages",1117867999447240705,2019-04-15,19:11:14,desjarlaistn04,1,1,6
"After tax cuts, federal tax collections are up for 2018. 

The federal deficit and debt problem almost entirely spending driven.",1117862754436689921,2019-04-15,18:50:24,desjarlaistn04,4,1,7
"Another hoax falls by the wayside:

""...The gap between perception and reality on the tax cuts appears to flow from a sustained — and misleading — effort by liberal opponents of the law to brand it as a broad middle-class tax increase."" https://www.nytimes.com/2019/04/14/business/economy/income-tax-cut.html …",1117861564361711617,2019-04-15,18:45:40,desjarlaistn04,1,2,7
"It’s #TaxDay

More than 80% of Americans received a tax cut in 2018, an average of over $2000 per family of four.

Middle-class taxpayers benefited most. 90% received a cut. Wage increases are the best in a decade, even better for lower-income groups.",1117859748248997888,2019-04-15,18:38:27,desjarlaistn04,32,22,80
"It seems like a week ago, Democrats’ lone talking point on the border crisis was there is none.

After returning from a party retreat this week, the new line is it’s all Donald Trump’s fault. 

Deny. Blame. Let’s speed this up and close legal loopholes at the root of the problem.",1116834738453581824,2019-04-12,22:45:26,desjarlaistn04,2,0,11
"Thank you @NAEMT_ for dropping by my Washington office to talk about the opioid epidemic and your work on the front lines to save lives. As a doctor, I know the dedication and sacrifice EMT's demonstrate on a daily basis. pic.twitter.com/rtLbZZ9qfH",1116744272940761088,2019-04-12,16:45:57,desjarlaistn04,0,1,4
"The tide is turning. Many Democrats ARE admitting crisis at the Southern Border. But after denying the problem, they're blaming President Trump, working to secure it. While recognition is progress, we need our friends across the aisle to accept some responsibility! https://twitter.com/rep_stevewomack/status/1116724380753641472 …",1116727852156768261,2019-04-12,15:40:42,desjarlaistn04,2,1,9
"He also says the spying, wiretapping, and surveillance was ""court-ordered.""

James Comey signed bogus warrants based on Hillary Clinton-funded political smears to the FISA court to spy on @realDonaldTrump 

More like court deception. https://twitter.com/ezralevant/status/1116472810082324485 …",1116513514967924738,2019-04-12,01:29:00,desjarlaistn04,3,7,33
"Last week, jobless claims were the lowest in half a century. This week, they’re the lowest in half a century. Jobless claims have decreased for four straight weeks!

The economy continues to show strength. https://www.cnbc.com/2019/04/11/weekly-jobless-claims.html …",1116503250428211200,2019-04-12,00:48:13,desjarlaistn04,1,2,8
To review: James Comey and others signed warrants to spy on @realDonaldTrump’s presidential campaign based on the phony Steele Dossier. AKA Obama Admin intelligence agencies spied on the Trump Campaign. It’s not news. What’s news is we finally have an AG who will investigate!,1116147168497348610,2019-04-11,01:13:16,desjarlaistn04,4,9,36
"2018 @ACUConservative results are in: I'm proud to have earned high score in the TN delegation for my votes to spur consumer lending, develop domestic energy and speed rare disease cures. Also, to protect private property and prevent a federal Internet takeover. Thank you!",1115634927100399623,2019-04-09,15:17:48,desjarlaistn04,0,2,6
"President officially labeled Iran's Revolutionary Guard Corps a terrorist organization. Critics say move endangers U.S. troops. Many of these same voices ignored U.S. troop deaths, Iranian terrorism to advance awful Iran nuke deal. This move will punish Guard for its role. https://twitter.com/SenTomCotton/status/1114215440082001920 …",1115624481341476869,2019-04-09,14:36:18,desjarlaistn04,1,7,15
"Mule Day’s a kick!

⁦@RepMarkGreen⁩ and I joined Columbia City Mayor Chaz Moulder (L) and Maury County Mayor Andy Ogles (R) to congratulate the #MuleDay Queen & Court

Columbia, TN knows how to throw a party. pic.twitter.com/u0zJG6y1HM",1114633449267191809,2019-04-06,20:58:17,desjarlaistn04,1,2,15
See you there! https://twitter.com/WKRN/status/1114509543751528448 …,1114540601054306304,2019-04-06,14:49:21,desjarlaistn04,0,0,3
"Education and work requirements would affect just 3% of food stamp recipients  https://www.youtube.com/watch?v=7C05OhusnEE … Total number doubled under Obama Admin to over 40 million from 20. In growing economy, why must the number remain so high? I'm confident many could learn skills, find good jobs.",1113851462335885312,2019-04-04,17:10:57,desjarlaistn04,0,2,6
