tweet,id,date,time,username,replies_count,retweets_count,likes_count
Thank you Senator Tim Scott for following your conscious and doing the right thing. Thomas Farr had no place serving on our federal bench.  https://www.newsobserver.com/news/politics-government/article222386255.html …,1068272430576222210,2018-11-29,22:36:09,eleanornorton,1,7,43
"Today I was proud to vote for @NancyPelosi for Speaker at the Democratic Caucus meeting. However, DC will be denied a vote when the House elects a Speaker in the next Congress. #DCStatehood is the only way to ensure full voting rights for our 700,000 taxpaying residents.",1067902259894341632,2018-11-28,22:05:14,eleanornorton,2,27,114
Thank you to the following House Democrats for already agreeing to introduce our #DCStatehood bill with me as original cosponsors next Congress! @RepRaskin @RepRichmond @RepTimRyan @BobbyScott @RepJoseSerrano @BradSherman @RepSpeier @RepMarkTakano @RepDWStweets @RepWilson pic.twitter.com/RJonKh93na,1067843230367125506,2018-11-28,18:10:40,eleanornorton,3,17,81
Thank you to the following House Democrats for already agreeing to introduce our #DCStatehood bill with me as original cosponsors next Congress! @RepDebDingell @RepHuffman @RepEBJ @RepRoKhanna @RepLawrence @RepSeanMaloney @RepMcEachin @RepMcNerney @gracenapolitano @RepScottPeters pic.twitter.com/ktsIbFpUPw,1067843228450340865,2018-11-28,18:10:39,eleanornorton,2,8,41
Thank you to the following House Democrats for already agreeing to introduce our #DCStatehood bill with me as original cosponsors next Congress! @RepKarenBass @RepBonamici @RepCheri @RepAndreCarson @RepCartwright @RepKClark @GerryConnolly @RepDianaDeGette @RepValDemings pic.twitter.com/qcRwVv9nkw,1067843227326312448,2018-11-28,18:10:39,eleanornorton,3,37,177
"We demand that the Senate reject the nomination of Thomas Farr, who has spent his entire career working to disenfranchise African Americans and gut worker protections. #StopFarr pic.twitter.com/8I8A6jaEWD",1067823253031399425,2018-11-28,16:51:17,eleanornorton,2,23,61
We set the record for original cosponsors (116) this Congress. Breaking the record for originals next Congress will give us more momentum for a floor vote on #DCStatehood. pic.twitter.com/bsEqxgd8jI,1067472214952460288,2018-11-27,17:36:23,eleanornorton,2,6,24
I just sent a letter to the record 178 House cosponsors of our #DCStatehood bill asking them to be original cosponsors next Congress. Original cosponsors will introduce the bill with me.,1067472214163898372,2018-11-27,17:36:23,eleanornorton,2,17,62
"I’m on a major committee that will investigate Trump but I’ll chair the subcommittee that rebuilds the streets, highways, bridges & infrastructure that’s made USA a major power. Goal #1-assure new DEM majority brings home visible dividends.",1067212707487801345,2018-11-27,00:25:11,eleanornorton,2,5,54
"Happy #Thanksgiving from my family to yours! I'm thankful to represent an incredible district with over 700,000 hardworking residents. Be sure to bring up #DCStatehood with relatives! pic.twitter.com/LKv0ZWKcfi",1065610853905387520,2018-11-22,14:20:00,eleanornorton,1,10,45
.@NancyPelosi is the only Democrat with the track record to be Speaker at this time. We need her leadership now more than ever. pic.twitter.com/Cjt6Hrp2ny,1064897988605075457,2018-11-20,15:07:19,eleanornorton,5,18,59
Tune in now! https://twitter.com/EleanorNorton/status/1064603780363313152 …,1064662697655058432,2018-11-19,23:32:22,eleanornorton,10,6,33
I’ll be on @MSNBC at 6:20pm to lay out the reasons why @NancyPelosi deserves to be speaker and to lead our party as we take back the House majority. @TheBeatWithAri,1064603780363313152,2018-11-19,19:38:15,eleanornorton,33,129,633
Democrats turn out in presidential elections but often lose midterms because of low turnout. This year’s 38-seat (so far) win defied both midterm history and iron-fisted Republican gerrymandering.,1064558375952965632,2018-11-19,16:37:50,eleanornorton,2,11,43
Have you noticed? The Members who say they won’t vote for Nancy Pelosi for speaker give no reasons why based on her service and leadership. That’s because there are none.,1064230927801466880,2018-11-18,18:56:40,eleanornorton,111,625,2136
Thank you @RepDelBene for cosponsoring our #DCStatehood bill! 100% of Washington state House Democrats now support our fight to make the other Washington the 51st state! pic.twitter.com/4jJkhj3gxJ,1063509535325851649,2018-11-16,19:10:06,eleanornorton,3,17,81
