tweet,id,date,time,username,replies_count,retweets_count,likes_count
NEWS: Consumer Protection & Commerce Subcommittee announces a hearing on online deception.,1211763525636501504,2019-12-30,21:38:32,energycommerce,1,5,10
NEWS: Health Subcommittee announces a legislative hearing on seven bills.,1211756410343739392,2019-12-30,21:10:16,energycommerce,0,2,5
Chairman @FrankPallone condemns @EPA’s rollback of critical coal ash protections: “The coal industry has done enough damage to our health and climate without the Trump Administration doing its bidding.” https://energycommerce.house.gov/newsroom/press-releases/pallone-condemns-epa-s-new-coal-ash-policy …,1208144860085137409,2019-12-20,21:59:15,energycommerce,0,2,4
“@SecBrouillette knows as well as I that lightbulbs that adhere to Obama-era standards use 75% less energy and last up to 25 times as long.” Read Chairman @FrankPallone’s full statement on @DOE’s reckless rollback of lightbulb efficiency standards: https://energycommerce.house.gov/newsroom/press-releases/pallone-denounces-trump-administration-s-rollback-of-lightbulb-efficiency …,1208143941251608578,2019-12-20,21:55:36,energycommerce,0,3,3
Chairman @FrankPallone joined House leaders in a letter to @SecAzar urging the Trump Administration to abandon its efforts to eviscerate nondiscrimination protections for HHS programs. https://energycommerce.house.gov/newsroom/press-releases/committee-chairs-to-secretary-azar-abandon-proposal-to-undermine-civil …,1208062206430138370,2019-12-20,16:30:49,energycommerce,0,0,1
Chairman @FrankPallone denounces Trump Administration’s rollback of Risk Management Plan updates. https://energycommerce.house.gov/newsroom/press-releases/pallone-denounces-trump-administration-s-rollback-of-risk-management-plan …,1207792471813611525,2019-12-19,22:38:59,energycommerce,0,1,1
Bipartisan E&C leaders raise questions regarding concerning lack of detail in @FCC’s broadband announcement. https://energycommerce.house.gov/newsroom/press-releases/ec-leaders-raise-questions-regarding-concerning-lack-of-detail-in-fcc-s …,1207788770780688387,2019-12-19,22:24:17,energycommerce,0,0,0
Chairman @FrankPallone condemns @FERC action to boost fossil fuels at the expense of ratepayers and the climate. https://energycommerce.house.gov/newsroom/press-releases/pallone-condemns-ferc-action-to-boost-fossil-fuels-at-the-expense-of …,1207786988767776768,2019-12-19,22:17:12,energycommerce,0,0,1
"Earlier today, bipartisan, bicameral Committee Leaders sent letters to several physician staffing companies and insurers investigating their actions around surprise billing. https://energycommerce.house.gov/newsroom/press-releases/pallone-walden-alexander-murray-expand-bipartisan-surprise-billing …",1207771395486310401,2019-12-19,21:15:14,energycommerce,0,1,2
"Watch Chairman @FrankPallone and Ranking Member @RepGregWalden discuss with @KatyTurNBC how they will continue to fight to pass surprise medical billing legislation next year. 

They also announced an expansion of their investigation into these practices. pic.twitter.com/iFrgU4n30e",1207771324405485573,2019-12-19,21:14:57,energycommerce,1,5,4
"🎉Hip, Hip, Hooray! The Pallone-Thune TRACED Act passed the Senate today and is finally headed to the @POTUS’s desk to be signed into law. E&C Leaders on the passage here 👇 https://energycommerce.house.gov/newsroom/press-releases/ec-leaders-praise-senate-passage-of-anti-robocalls-bill …",1207709444915810304,2019-12-19,17:09:04,energycommerce,0,1,6
"📺 LIVE NOW! E&C takes a look back at the #ProgressForThePeople the Committee made this year and looks ahead to 2020.

In total, we held 84 hearings and 15 markups, passed 62 bills, and sent 150 oversight letters. https://twitter.com/i/broadcasts/1LyGBLNknNYxN …",1207687382440525825,2019-12-19,15:41:24,energycommerce,1,13,14
Read the Chairman’s full statement on this meritless decision by the 5th Circuit on the Texas v. United States here:  http://bit.ly/2s0jNrc  https://twitter.com/FrankPallone/status/1207445041268056064 …,1207447177473208320,2019-12-18,23:46:55,energycommerce,0,0,0
"In total, the Consumer Protection & Commerce Subcommittee held 12 hearings, two markups and passed eight bills. Stay tuned for more #ProgressForThePeople next year! https://energycommerce.house.gov/newsroom/press-releases/pallone-schakowsky-highlight-2019-accomplishments-of-consumer-protection-and …",1207439395776860167,2019-12-18,23:15:59,energycommerce,0,0,0
"We worked to protect consumer interests by: 
• Probing the live event ticket industry 
• Holding hearings on summer driving safety
• Examining pharmaceutical market gaming tactics",1207439395080552448,2019-12-18,23:15:59,energycommerce,1,0,0
E&C worked #ForThePeople by holding the Trump Administration accountable through effective oversight of @FTC and @USCPSC.,1207439394359140353,2019-12-18,23:15:59,energycommerce,1,0,0
"The Committee passed six bills to protect consumers from common household dangers including:
•  Furniture tip-overs
• Inclined sleepers
• Crib bumpers
• Carbon monoxide poisoning
• Portable fuel containers
• Flammable furniture",1207439393247629312,2019-12-18,23:15:59,energycommerce,1,0,1
Chairs @FrankPallone and @janschakowsky take a look back at the #ProgressForThePeople the Consumer Protection & Commerce Subcommittee made this year. 👇,1207439137353023488,2019-12-18,23:14:58,energycommerce,1,0,0
"In total, the Health Subcommittee held 19 hearings, three markups and passed 31 bills. Stay tuned for more #ProgressForThePeople next year! https://energycommerce.house.gov/newsroom/press-releases/pallone-eshoo-highlight-health-subcommittee-s-2019-accomplishments …",1207373568318869505,2019-12-18,18:54:25,energycommerce,0,0,1
The Committee also worked to fund critical public health programs and strengthen Medicaid in Puerto Rico and the U.S. Territories.,1207373567429611520,2019-12-18,18:54:25,energycommerce,1,0,0
"Every year, about 700 women die in the U.S. from a pregnancy-related condition. E&C passed 2 bills that could dramatically improve health outcomes for new mothers and their children. pic.twitter.com/6qp9S2mrsA",1207373566188101633,2019-12-18,18:54:24,energycommerce,1,0,0
Committee leaders worked to #ProtectOurCare by investigating insurance brokers and junk insurance plans following troubling reports of consumers being misled and denied coverage for medical care. pic.twitter.com/A0huJXyeNs,1207373564137103361,2019-12-18,18:54:24,energycommerce,1,0,0
The Committee is taking bold action to update our nearly 80-year-old cosmetic safety laws. Our current system is failing consumers and we need to act on #SafeCosmetics now! pic.twitter.com/nZKWyHrbH5,1207373130165096448,2019-12-18,18:52:40,energycommerce,1,0,0
All too often American patients receive huge surprise medical bills after unknowingly receiving care from out-of-network health care providers. The bipartisan No Surprises Act puts an end to this anti-consumer practice. pic.twitter.com/X4mbj8ZYMG,1207373128571199488,2019-12-18,18:52:40,energycommerce,1,0,1
The trauma effects of gun violence ripples through whole communities. Panelists discussed the need to understand and treat gun violence as a national public health epidemic at our field hearing in Chicago. pic.twitter.com/wJjMjBHM7G,1207373119939203072,2019-12-18,18:52:38,energycommerce,1,1,0
"Nearly all tobacco use begins during youth and young adulthood. That’s why E&C passed the Reversing the Youth Tobacco Epidemic Act, which provides @US_FDA with the tools and resources needed to respond to this emerging public health crisis. pic.twitter.com/8HgeF3KdMk",1207373117838036993,2019-12-18,18:52:37,energycommerce,1,0,0
"Since Day 1, the Trump Administration has been taking deliberate action to sabotage our health care system. We fought back by moving common-sense legislation that lowers consumers’ costs and expands access. #ProtectOurCare pic.twitter.com/PkIY2riFAo",1207373109344505857,2019-12-18,18:52:35,energycommerce,1,0,0
The cost of many drugs that have been on the market for decades are suddenly surging. That’s why the Committee worked #ForThePeople to eliminate barriers that make it difficult for generics to come to market. #ProtectOurCare pic.twitter.com/9MWcuFuVCB,1207373104688832513,2019-12-18,18:52:34,energycommerce,1,0,0
"The status quo on prescription drug prices is broken. American families are paying more to pad the pockets of Big Pharma. E&C acted #ForThePeople and passed #HR3, the Elijah E. Cummings #LowerDrugCosts Now Act. pic.twitter.com/wukoj6X4SY",1207373098930114560,2019-12-18,18:52:33,energycommerce,1,0,0
Chairs @FrankPallone and @RepAnnaEshoo take a look back at the #ProgressForThePeople the Health Subcommittee made this year. 👇,1207372076773888002,2019-12-18,18:48:29,energycommerce,1,0,0
".@HouseDemocrats took decisive action last week to #LowerDrugCosts for the American people. Listen to some of our members tell stories from constituents about the difficult choices they must make. Now, it’s time for the Senate to act. pic.twitter.com/dZuuR03hTu",1207322125947850757,2019-12-18,15:30:00,energycommerce,0,2,3
"In total, the Oversight & Investigations Subcommittee held 15 hearings and the Committee sent 150 letters to the Trump Administration, companies and other entities as part of Committee investigations. Stay tuned for more #ProgressForThePeople next year! https://energycommerce.house.gov/newsroom/press-releases/pallone-degette-highlight-the-robust-oversight-conducted-by-the-oversight …",1207316003169996806,2019-12-18,15:05:40,energycommerce,0,1,1
"E&C investigated corruption and incompetence in the Trump Admin: 
• Dangerous environmental protection rollbacks
• @ENERGY’s nuclear waste cleanup liability 
• @US_FDA’s drug inspection program
• Lack of @EPA enforcement",1207316002243063809,2019-12-18,15:05:40,energycommerce,1,0,0
"The Committee protected consumer interests by: 
• Investigating dangerous surprise billing practices
• Examining the public health impact of e-cigs
• Probing the live event ticket industry",1207316001345417219,2019-12-18,15:05:40,energycommerce,1,0,0
$2.25 MILLION was spent on private PR firms to boost @SeemaCMS's own personal brand. E&C launched an investigation into this abuse of taxpayer $$. https://www.politico.com/news/2019/11/12/federal-health-funneled-dollars-trump-allies-069638 …,1207316000305225729,2019-12-18,15:05:39,energycommerce,1,0,0
"Instead of a plan to protect Americans’ health care, all @SeemaCMS could give us at our oversight hearing of @CMSgov was misdirection and talking points. We will hold them accountable to #ProtectOurCare. pic.twitter.com/PMuwUAnEGN",1207315999382478850,2019-12-18,15:05:39,energycommerce,1,0,0
"After the Republicans’ inexcusable inaction in 2018, @EnergyCommerce finally held the Trump Administration accountable for its inhumane “Zero Tolerance” family separation policy earlier this year. #FamiliesBelongTogether pic.twitter.com/BKujPxkJZS",1207315997893505030,2019-12-18,15:05:39,energycommerce,1,0,0
