tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Despite Trump’s broken promise on infrastructure – the Committee is working to move the #LIFTAmerica Act, which invests $2.7 billion to redevelop contaminated Brownfields sites. This creates jobs and supports community revitalization. Come on, Mr. President – let’s get to work! pic.twitter.com/sE5q85CCE2",1134479647582826498,2019-05-31,15:20:00,energycommerce,0,3,2
Environment & Climate Change Subcommittee Chairman @RepPaulTonko stressed that “a sound economy begins with sound infrastructure” and that’s the goal of the #LIFTAmerica Act. The bill invests $21 billion to protect Americans’ drinking water. pic.twitter.com/EaF12Dg3Vw,1134462031350837259,2019-05-31,14:10:00,energycommerce,0,6,13
"Next Generation 9-1-1 will protect people by making 9-1-1 services more accessible, effective and resilient. It allows Americans to send texts, images or videos to first responders, and the #LIFTAmerica Act invests $12 billion in Next Generation 9-1-1. pic.twitter.com/PcrpVca9dZ",1134127331931541506,2019-05-30,16:00:01,energycommerce,0,1,1
"It’s time for Trump to focus on infrastructure. The #LIFTAmerica Act, introduced by all Committee Democrats, provides $40 BILLION to expand high-speed broadband internet to 98 percent of the country. It’s time we finally bridge the digital divide. pic.twitter.com/5EV3ho1HNF",1134112231719702529,2019-05-30,15:00:01,energycommerce,0,1,0
News: Communications & Technology Subcommittee announces a hearing on satellite reauthorization and ensuring consumers are put first.,1133467645897039872,2019-05-28,20:18:40,energycommerce,0,3,3
News: Health Subcommittee announces hearing on critical health care extenders.,1133466634071490560,2019-05-28,20:14:39,energycommerce,0,2,2
"We will continue to conduct oversight of this administration’s actions, including at a June 11 hearing with former @EPA Administrators. https://energycommerce.house.gov/newsroom/press-releases/oi-subcommittee-to-hold-hearing-with-bipartisan-group-of-former-epa …",1133432817868845056,2019-05-28,18:00:16,energycommerce,1,1,2
The Trump Admin’s dangerous policies on #ClimateChange are getting worse every day. Now it is undermining the very science used to determine the long-term impacts of the #ClimateCrisis. https://www.nytimes.com/2019/05/27/us/politics/trump-climate-science.html?smtyp=cur&smid=tw-nytimes …,1133432816958672898,2019-05-28,18:00:16,energycommerce,3,3,5
ICYMI – The Trump Admin. tried to bury its latest attempt to undermine the ACA and discriminate against women and transgender Americans on the Friday of a holiday weekend. Read the response from House health leaders here.  https://bit.ly/2VKtl2s  https://www.washingtonpost.com/health/2019/05/24/new-trump-administration-rule-would-weaken-protections-transgender-people-health-care/?utm_term=.712e84718266 …,1133381552774242306,2019-05-28,14:36:34,energycommerce,1,1,0
"Chairmen @FrankPallone, @RepRichardNeal and @BobbyScott blast Trump Administration’s discriminatory proposal to eliminate patient protections. #PutPatientsFirst   http://bit.ly/2VKtl2s  pic.twitter.com/3FuPab8uJ4",1131966173678063616,2019-05-24,16:52:21,energycommerce,0,2,1
