tweet,id,date,time,username,replies_count,retweets_count,likes_count
.@RepPaulTonko & I are demanding that @EPA immediately release health and safety studies on pigment violet 29. The decision to withhold these studies sets a dangerous precedent. Lean more here: https://energycommerce.house.gov/newsroom/press-releases/pallone-tonko-demand-epa-immediately-release-health-and-safety-studies-on …,1091101761958567937,2019-01-31,22:31:46,frankpallone,1,8,14
"The FCC’s repeal of #NetNeutrality has been a disaster for consumers, small businesses and free speech. This hearing is an important step in the fight for a free and open internet. https://twitter.com/EnergyCommerce/status/1091028779990945793 …",1091048715664662528,2019-01-31,19:00:59,frankpallone,3,14,27
Proud to announce that @RutgersU will receive nearly 900k in @NSF grants. I know that these grants will support Rutgers’ world-renowned research and continue to build on NJ's status as a leader in science & innovation. https://pallone.house.gov/media/press-releases/pallone-announces-nearly-900000-science-grants-rutgers-university …,1091030131869663234,2019-01-31,17:47:08,frankpallone,1,4,27
Complications from #ClimateChange will make storms like Sandy more likely and risk sea level rise that will endanger coastal communities in NJ. The time for action is now.,1091020012293369857,2019-01-31,17:06:55,frankpallone,2,3,12
"After 6 years of no hearings on #ClimateChange, proud to announce with @RepPaulTonko that @EnergyCommerce’s first hearing will be on this crucial issue. We are committed to combating climate change and standing up for those left to suffer in its wake. https://twitter.com/EnergyCommerce/status/1090753149202247685 …",1091020011429347329,2019-01-31,17:06:55,frankpallone,3,12,33
"This hearing will be an important opportunity to hear directly from patient advocates, as well as policy and legal experts on the devastating toll this ideological court decision will have on millions with pre-existing conditions. https://twitter.com/EnergyCommerce/status/1090761757231120389 …",1091014611791478784,2019-01-31,16:45:28,frankpallone,1,7,19
"These flags hung at #Armenian schools were clearly meant to be a hateful, direct threat against the children taught within them. The perpetrator of this crime must be brought to justice by the LAPD. https://www.nbclosangeles.com/news/local/Turkish-Flags-Hung-at-Armenian-Schools-Investigated-at-Hate-Crimes-505052451.html …",1090708057527595013,2019-01-30,20:27:19,frankpallone,11,58,126
"This is one more example of why Americans need a strong, comprehensive privacy law. https://techcrunch.com/2019/01/29/facebook-project-atlas/ …",1090683922025975808,2019-01-30,18:51:25,frankpallone,0,9,11
Parents warn their children to beware of strangers handing out candy. Apparently that adage should apply to Facebook too.,1090683921401106433,2019-01-30,18:51:25,frankpallone,3,9,20
No American should suffer because they cannot afford their insulin. @RepDianaDeGette and I want answers from insulin manufacturers on the skyrocketing price of insulin and possible solutions that will ensure this critical treatment is not out of reach. https://energycommerce.house.gov/newsroom/press-releases/ec-leaders-request-information-on-skyrocketing-cost-of-insulin-from …,1090670661511598081,2019-01-30,17:58:44,frankpallone,7,16,58
“Emerging research suggests that a warming Arctic is causing changes in the jet stream & pushing polar air down to latitudes that are unaccustomed to them. Hence this week’s atypical chill over large swaths of the Northeast & Midwest.” #ActOnClimate https://www.nytimes.com/2019/01/29/climate/global-warming-extreme-weather.html?action=click&module=Top%20Stories&pgtype=Homepage …,1090656901510107136,2019-01-30,17:04:03,frankpallone,4,15,18
"That’s why I’m a proud cosponsor of the #PaycheckFairnessAct, which will give more tools to women to fight pay discrimination.",1090636316998545413,2019-01-30,15:42:15,frankpallone,1,4,9
#OTD 10 years ago President Obama signed the #LillyLedbetter Fair Pay Act into law. This was an important step for pay equality in our country but there is more work left to do.,1090636315899711489,2019-01-30,15:42:15,frankpallone,1,5,13
"Met with @BlueWave_NJ to discuss important priorities for the new Congress including defending the #ACA, lowering the cost of prescription drugs, protecting the environment & making college more affordable. pic.twitter.com/YVljD6UvNK",1090429836169043969,2019-01-30,02:01:46,frankpallone,6,4,26
American workers should never be used a political pawns. We don’t need another senseless #TrumpShutdown!,1090377309994078208,2019-01-29,22:33:03,frankpallone,3,1,8
