tweet,id,date,time,username,replies_count,retweets_count,likes_count
Congressman Butterfield Introduces Bill to Support Investment in Minority Broadcast Station Ownership | Representative G. K. Butterfield https://butterfield.house.gov/media-center/press-releases/congressman-butterfield-introduces-bill-to-support-investment-in …,1154773560059207680,2019-07-26,15:20:46,gkbutterfield,2,7,6
“We need to give our students exposure and resources in the #STEM fields early. We need to go into the high schools and elementary schools.” ⁦@HBCUCaucus⁩ ⁦@RepAdams⁩ @RepTedBudd⁩ @RepMarkWalker @RepFrenchHill #DITSummit2019 pic.twitter.com/R41gY1a0JX,1154437328099823617,2019-07-25,17:04:42,gkbutterfield,2,6,10
So glad to join my colleagues to talk about support for #HBCUs and the importance of Increasing diversity in tech industries. #DITSummit2019 ⁦@RepAdams⁩ pic.twitter.com/uhc9H814wF,1154431266982420480,2019-07-25,16:40:37,gkbutterfield,2,3,4
"Yesterday, @HouseDemocrats continued our efforts to #FollowTheFacts & get to the bottom of Russia’s continued attacks on our democracy. The House has already passed legislation to protect our elections from foreign interference in 2020. It’s time for the Senate to act! pic.twitter.com/mpRv2gui7K",1154422268359008256,2019-07-25,16:04:51,gkbutterfield,4,19,20
"GREAT NEWS! The House just passed the bipartisan #StopBadRobocalls Act to stop the onslaught of robocalls once and for all. This comprehensive bill requires every call to be verified, allows the blocking of spam calls, and empowers @FCC to protect Americans from scammers.",1154127845247115264,2019-07-24,20:34:55,gkbutterfield,4,9,27
Nearly HALF of all calls placed to cell phones this year will be scam calls. That’s why I am voicing my support for the #StopBadRobocalls Act on the House floor to put a stop the onslaught of robocalls once and for all. pic.twitter.com/XtlcFseyjo,1154124340478320640,2019-07-24,20:21:00,gkbutterfield,2,5,8
#FollowTheFacts #MuellerHearings https://twitter.com/RepAdamSchiff/status/1154095914258243591 …,1154119911146496000,2019-07-24,20:03:23,gkbutterfield,4,7,11
On Russian interference in our elections: “It was not a hoax.”-Mueller #MuellerHearings #Facts https://twitter.com/RepSpeier/status/1154092789489119232 …,1154098337253117952,2019-07-24,18:37:40,gkbutterfield,4,28,70
IT’S CLEAR: The #MuellerReport does not exonerate @realDonaldTrump. The report doesn’t say “no obstruction.” #MuellerHearings pic.twitter.com/iYmesj2jzz,1154042920028102656,2019-07-24,14:57:27,gkbutterfield,4,9,13
“If we had confidence after a thorough investigation of the facts that the President clearly did not commit obstruction of justice we would so state. Based on the facts and applicable legal standards we are unable to reach that judgment” #MuellerReport #RetweetTheReport #Facts https://twitter.com/realDonaldTrump/status/1153997249497772032 …,1154026864207417345,2019-07-24,13:53:39,gkbutterfield,0,4,13
Starting Soon! Robert Mueller to testify at 8:30am EST at @HouseJudiciary hearing. #MuellerHearing #MuellerReport #RetweetTheReport https://twitter.com/HouseJudiciary/status/1150833119848751104 …,1154004169927380992,2019-07-24,12:23:29,gkbutterfield,1,0,7
There was enough corruption and criminality in the Trump campaign and Administration to fill a 448 page report. Follow the conversation at #RetweetTheReport to see key findings at a glance!,1154003450000216066,2019-07-24,12:20:37,gkbutterfield,7,32,68
#FollowTheFacts #Lies #RetweetTheReport #MuellerReport pic.twitter.com/BW7dwLdIGJ,1153735975677431809,2019-07-23,18:37:46,gkbutterfield,2,17,34
Every American needs to know the crimes and corruption exposed in the #MuellerReport. #RetweetTheReport pic.twitter.com/lkv25B9ARv,1153729262891032576,2019-07-23,18:11:06,gkbutterfield,8,34,63
"Russia’s attacks on our elections spared no one, from local county officials to major social media platforms. #RetweetTheReport pic.twitter.com/lxIFbLG2dj",1153728584319717382,2019-07-23,18:08:24,gkbutterfield,2,29,35
Want to understand how the President’s campaign facilitated Russian attacks on our elections? Take a look at #RetweetTheReport to see key findings from the Mueller Report!,1153727757353984005,2019-07-23,18:05:07,gkbutterfield,5,40,60
"From protecting our democracy to defending protections for people with pre-existing conditions, it’s been a busy #200DaysOfProgress in the House. Grateful to be a part of this team! #ForThePeople pic.twitter.com/mVGT1BCQcS",1153401092853706753,2019-07-22,20:27:04,gkbutterfield,2,3,17
"“The application to intern in my Congressional offices in DC and NC is now open. Please visit  https://butterfield.house.gov/services/internships … to apply! Don’t wait too long, the deadline is Friday, July 26!” pic.twitter.com/Kyj7rGncIg",1153340393607651329,2019-07-22,16:25:52,gkbutterfield,1,7,5
"#TDiH: 50 yrs ago today, the world was reminded to dream big and shoot for the moon! #ItIsPossible #YesYouCan #Apollo50th https://www.bbc.com/news/world-us-canada-49060410 …",1152725807023960064,2019-07-20,23:43:43,gkbutterfield,1,1,7
"On what would have been his 101st birthday, we honor the life, legacy and example of a man who challenged the world to stand up for right, regardless of the challenges ahead. “It always seems impossible until it’s done.” -Nelson Mandela #MandelaDay #MandelaDay2019 pic.twitter.com/kIgnV7N0h0",1151953710827941889,2019-07-18,20:35:41,gkbutterfield,6,11,51
"This is the longest period in history without an increase in the minimum. Today, House Democrats are voting on the #RaisetheWage Act, which would gradually raise the minimum wage to $15 by 2025. pic.twitter.com/7ThYXUv6Y5",1151863508465782784,2019-07-18,14:37:15,gkbutterfield,3,5,29
"Americans across the country are working longer hours and still struggling to make ends meet. By raising the minimum wage, the #RaiseTheWage Act would lift at least 1.3 MILLION of workers out of poverty, including 600,000 children. pic.twitter.com/ulbAZkNFcx",1151832178344583169,2019-07-18,12:32:45,gkbutterfield,6,26,58
"Proud to cosponsor the comprehensive, bipartisan #StopBadRobocalls Act, which requires that every call be verified, allows the blocking of spam robocalls and empowers the FCC to protect Americans from illegal and unwanted calls. pic.twitter.com/MYLXLpUKNm",1151512330569748481,2019-07-17,15:21:48,gkbutterfield,2,8,24
#PASSED #StopTheHate pic.twitter.com/fLjQn7x4MY,1151268100261711875,2019-07-16,23:11:19,gkbutterfield,3,6,33
"Families across America need a raise. That’s why we must pass the #RaiseTheWage Act – which will give over 131,000 people right here in North Carolina’s 1st congressional district a long overdue raise! #NC01",1151179081037357057,2019-07-16,17:17:35,gkbutterfield,1,6,8
"The #RaiseTheWage Act will:
-Gradually raise the minimum wage to $15 by 2025
-Give more than 33 million Americans a raise
-Lift at least 1.3 million Americans out of poverty pic.twitter.com/ybveHo7YDj",1151178160156893187,2019-07-16,17:13:55,gkbutterfield,3,12,15
"Millions of Americans will pay the price if the Republicans’ extremist, anti-health care lawsuit is successful – including 503,000 right here in North Carolina. #ProtectOurCare pic.twitter.com/mxWqehxuJl",1150900313748119552,2019-07-15,22:49:52,gkbutterfield,2,6,9
I was proud to stand on the House floor today to honor Mrs. Eleanor Barber for her retirement & 53 years of service to the Washing County Public School system in North Carolina! See full remarks here:  https://www.c-span.org/video/?c4807294/butterfield-honors-mrs-eleanor-barber … @RevDrBarber pic.twitter.com/MakLUQVBDl,1150811087073370114,2019-07-15,16:55:18,gkbutterfield,1,5,35
