tweet,id,date,time,username,replies_count,retweets_count,likes_count
"LETTER: Smith, Langevin, Garamendi Call on Department of Defense to Issue Revised Climate Change Report  https://armedservices.house.gov/index.cfm?p=press-releases&id=8D49B44D-B940-484D-ADD5-757D09FB55D1 … pic.twitter.com/05XYO212pl",1090716839783645190,2019-01-30,21:02:13,hascdemocrats,0,9,14
"CHAIRMAN SMITH, SENATOR WARREN INTRODUCE BILL ESTABLISHING “NO FIRST USE” POLICY FOR NUCLEAR WEAPONS  https://armedservices.house.gov/index.cfm?p=press-releases&id=F6092AD9-E29A-4BDC-ADA2-2A89576FDBCC … @RepAdamSmith @SenWarren pic.twitter.com/92Fxn1cs9L",1090650214761930752,2019-01-30,16:37:29,hascdemocrats,1,16,19
About to go on @CNN to discuss today’s border hearing pic.twitter.com/6gHD5cwPeW,1090399043916910592,2019-01-29,23:59:25,hascdemocrats,2,2,11
".@RepKendraHorn focuses on readiness: Where were the Active Duty troops before they were deployed to the border, and what did it take to get them down there?",1090279071622270977,2019-01-29,16:02:41,hascdemocrats,1,1,3
"""When are we going to get to the point where you can say we no longer need active duty troops on the border? What are the metrics you use to measure success? ... So basically you don't know?""",1090271534940340225,2019-01-29,15:32:44,hascdemocrats,1,7,11
"Yes, it can be found on the HASC YouTube channel: https://www.youtube.com/channel/UCD506yORW2voSanqEgLOUIQ …",1090257060044910592,2019-01-29,14:35:13,hascdemocrats,1,2,5
This morning at 10am: Armed Services Committee hearing on the Department of Defense's Support to the Southern Border. Information and livestream available here - https://armedservices.house.gov/hearings?ID=93F1D535-FB79-41BB-BCED-B579F381AB39 …,1090247889593470979,2019-01-29,13:58:47,hascdemocrats,3,6,8
Catch @RepAdamSmith on @NPR this morning: https://www.npr.org/2019/01/28/689237295/democratic-rep-smith-is-new-chair-of-house-armed-services-panel …,1089887432114425856,2019-01-28,14:06:27,hascdemocrats,0,2,1
.@RepAdamSmith statement on $94 BILLION Increase in the estimated cost of nuclear weapons upgrades  https://armedservices.house.gov/index.cfm?p=press-releases&id=5F4413B4-820E-4DE6-AD06-1336EDEE8D39 … pic.twitter.com/4sprsVPKjf,1088581154255618049,2019-01-24,23:35:46,hascdemocrats,3,13,9
Streaming this morning. HASC organizational meeting for the 116th Congress: https://youtu.be/gsFKG2RNqbQ ,1088443768544595968,2019-01-24,14:29:51,hascdemocrats,0,0,0
LIST: The Democratic members of the Armed Services Committee and its subcommittees for the 116th Congress:  https://armedservices.house.gov/index.cfm?p=press-releases&id=490A6B02-9901-4575-8E4C-5DD946EF5E78 … pic.twitter.com/VtdTBb1try,1088192975954423809,2019-01-23,21:53:17,hascdemocrats,0,9,6
.@RepAdamSmith congratulates @RepAnthonyBrown on his election as Vice Chair of the House Armed Services Committee:  https://armedservices.house.gov/index.cfm?p=press-releases&id=96FB1376-6937-4DE6-98AF-C887153BBE25 … pic.twitter.com/CezxWSLFVH,1088192330329407489,2019-01-23,21:50:43,hascdemocrats,0,1,4
.@RepAdamSmith & @MacTXPress announce HASC subcommittee chairs and ranking members for the 116th Congress: https://armedservices.house.gov/index.cfm?p=press-releases&id=77E4A92B-7A68-4758-ACE2-AAA46D1EC6BF …,1088191755948834821,2019-01-23,21:48:26,hascdemocrats,0,2,4
"... Anyone who is qualified and willing should be allowed to serve their country openly, without their career being affected by an arbitrary, discriminatory directive from the President. We have fought against this bigoted policy at every step, and we will continue to do so.""",1087769444405964800,2019-01-22,17:50:19,hascdemocrats,2,15,25
"""I am extremely disappointed in the Supreme Court's decision to allow the Trump administration to enforce its discriminatory ban on transgender military service without proper due process in the courts. ...",1087769413217071108,2019-01-22,17:50:12,hascdemocrats,2,5,12
.@RepAdamSmith statement on the Supreme Court's decision about the #TransMilitaryBan:  https://armedservices.house.gov/index.cfm?p=press-releases&id=603CC485-5D98-4550-AE34-A39B8762BD7A … pic.twitter.com/QxddgzJ86p,1087769292924440577,2019-01-22,17:49:43,hascdemocrats,0,7,11
"... Further, it would improperly prevent Congress from exercising its proper oversight role as a co-equal branch of government. Congressional oversight is fundamental to our system of government’s checks and balances, and to holding the executive branch accountable.”",1086372903770308608,2019-01-18,21:20:58,hascdemocrats,0,3,12
"If Congress is not knowledgeable and able to gather information about these conditions, it cannot respond with appropriate resources and authorities to issues that affect our country’s security and the well-being of our servicemembers and their families.",1086372851135975429,2019-01-18,21:20:46,hascdemocrats,0,3,6
"The people’s elected representatives must be able to gather information on the ground about military conditions, especially the safety and security of our servicemembers, amid a complex threat environment.",1086372797058818048,2019-01-18,21:20:33,hascdemocrats,0,3,9
"“President Trump’s attempt to deny members of Congress the ability to conduct oversight of military issues by refusing to support official travel is dangerous, and it is undemocratic. ...",1086372741291393024,2019-01-18,21:20:20,hascdemocrats,1,4,12
.@RepAdamSmith Decries President Trump’s Attack on Congressional Oversight of Military Issues  https://armedservices.house.gov/index.cfm?p=press-releases&id=AD6C2449-BACF-4C8D-8473-4A989E620DF0 … pic.twitter.com/F3n5es6WYO,1086372608625573896,2019-01-18,21:19:48,hascdemocrats,2,4,12
