tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"Thank you to each and every member of our Caucus, including @USProgressives, @HouseBlueDogs, @NewDemCoalition, @TheBlackCaucus, @HispanicCaucus, and @CAPAC. 

To quote @SpeakerPelosi, ""diversity is our strength, and unity is our power.""",1149742933953974273,2019-07-12,18:10:51,hascdemocrats,9,5,11,2019-07-12 18:10:51
"Passage of the #FY20NDAA is evidence of the unity of the @HouseDemocrats. While Republicans abdicated their responsibility to provide for the common defense, our diverse Caucus rose to the occasion.",1149742343391571974,2019-07-12,18:08:30,hascdemocrats,1,1,2,2019-07-12 18:08:30
"BREAKING: Thanks to the leadership of @RepAdamSmith and the entire @HouseDemocrats Caucus, the House just passed H.R. 2500, the #FY20NDAA by a vote of 220-197, without a single Republican vote. Read the Chairman's statement on passage of the bill here: https://bit.ly/2NV1NIQ ",1149738098307325957,2019-07-12,17:51:38,hascdemocrats,6,9,13,2019-07-12 17:51:38
"Why are House Republicans attacking Donald Trump over an issue as sacred as ensuring our service members receive the compensation they deserve? Of course, we know why House Republican are offering this MTR: they are playing politics with our national defense. 7/",1149731039620816896,2019-07-12,17:23:35,hascdemocrats,0,3,7,2019-07-12 17:23:35
"In addition, by offering this MTR, House Republicans appear to be accusing President Trump of insufficiently supporting the troops—H.R. 2500 includes a 3.1% pay raise for military personnel, identical to the Administration’s request. 6/",1149730883143909378,2019-07-12,17:22:58,hascdemocrats,1,1,4,2019-07-12 17:22:58
Then-Chairman of the Joint Chiefs of Staff Joseph Dunford stated that the $733 billion was “completely informed by the analysis we did” and that the detailed analysis looked at “what should our force look like…to make sure that we had a competitive advantage.” 5/,1149730745553956864,2019-07-12,17:22:25,hascdemocrats,1,0,3,2019-07-12 17:22:25
"House Republicans previously supported the $733 billion number.  In December 2018, 70 House Republicans, including 23 Members of the Armed Services Committee, sent a letter to President Trump supporting the $733 billion spending level. 4/",1149730624300883969,2019-07-12,17:21:56,hascdemocrats,1,0,4,2019-07-12 17:21:56
This is the amount the Pentagon requested based on military need in 2018 before Republicans started playing politics with national defense and baselessly claiming billions of more dollars were needed. 3/,1149730555677806593,2019-07-12,17:21:40,hascdemocrats,1,2,5,2019-07-12 17:21:40
The amount of authorized spending in H.R. 2500—$733 billion—is consistent with the resolution adopted by the House on April 9 with 219 votes setting the Fiscal Year 2020 spending level. 2/,1149730280824901632,2019-07-12,17:20:34,hascdemocrats,1,0,3,2019-07-12 17:20:34
"FACT CHECK: The Republican's Motion to Recommit H.R. 2500, the #FY20NDAA, is another cheap trick in their weeks-long effort to make the bill seem partisan.",1149729294370910209,2019-07-12,17:16:39,hascdemocrats,1,6,6,2019-07-12 17:16:39
"So, thank you for your concern, @GOPLeader, but we would encourage you to read the #FY20NDAA more closely before making such sweeping, false accusations. 9/",1149683856091635712,2019-07-12,14:16:06,hascdemocrats,0,7,8,2019-07-12 14:16:06
More than 400 of those individuals are safely incarcerated in federal prisons. None have escaped imprisonment. 8/,1149683004429746176,2019-07-12,14:12:42,hascdemocrats,2,3,5,2019-07-12 14:12:42
"This ban would prevent the prosecution of terrorists. Federal courts are effective in trying counter-terrorism cases, including cases based upon charges of conspiracy and material support, and have secured convictions in more than 400 of those cases since 9/11/2001. 7/",1149682800825720832,2019-07-12,14:11:54,hascdemocrats,2,5,6,2019-07-12 14:11:54
2) lifts the transfer restrictions to provide the executive branch the flexibility to manage health care and other problems at GTMO. Reimposing this ban would remove that flexibility. 6/,1149682499204911104,2019-07-12,14:10:42,hascdemocrats,1,5,6,2019-07-12 14:10:42
"Here's what the #FY20NDAA DOES do regarding GTMO: 

1) prevents new detainees, including U.S. citizens, from being placed in the detention center at GTMO. 5/",1149682105758228480,2019-07-12,14:09:08,hascdemocrats,2,5,8,2019-07-12 14:09:08
"To be quite clear, so that the @GOPLeader is no longer confused: 

Nothing in the #FY20NDAA would close GTMO, or cause detainees to be immediately transferred to the United States. 4/",1149681400347582464,2019-07-12,14:06:20,hascdemocrats,1,6,8,2019-07-12 14:06:20
"GTMO is a waste of taxpayer money. The detention facility is being operated at a cost of roughly $180 million per year. It currently holds 40 detainees, costing roughly $4.5 million each year per detainee, some 55 times the cost of holding an individual in a federal prison. 3/",1149680862734245888,2019-07-12,14:04:12,hascdemocrats,4,13,12,2019-07-12 14:04:12
"Here's the truth about Guantanamo Bay (GTMO): the detention center weakens U.S. national security by wasting resources, damaging international relationships, and reinforcing extremist propaganda and recruitment. 2/",1149680569426386947,2019-07-12,14:03:02,hascdemocrats,2,14,18,2019-07-12 14:03:02
"FACT CHECK: @GOPLeader just claimed the #FY20NDAA will close the detention center at Guantanamo Bay. Evidently, Leader McCarthy hasn't read the bill, because that is categorically false. 1/",1149680221609762818,2019-07-12,14:01:39,hascdemocrats,3,11,23,2019-07-12 14:01:39
