tweet,id,date,time,username,replies_count,retweets_count,likes_count
Tune into @FoxBusiness to hear @MacTXPress talk about the recent budget deal.,1154497532606595072,2019-07-25,21:03:55,hascrepublicans,9,3,4
"""This deal remains consistent with last year’s budget resolution, allows us to give our troops all of the pay and benefits they deserve and have earned, maintains our competitive edge against Russia and China, and continues to restore readiness.” 5/5",1153452190025035776,2019-07-22,23:50:06,hascrepublicans,1,0,3
"""something Congress hasn’t done in recent memory. By doing so, we will potentially save billions by avoiding wasteful stopgap measures. For those reasons, this agreement has my strong support and I urge all of my colleagues to vote for it...4/ 5",1153452188758347776,2019-07-22,23:50:06,hascrepublicans,2,0,2
"“While I believe that our military needs more funding than this agreement provides, it undoubtedly makes our military stronger and more agile. We cannot underestimate the incredible benefit of funding our troops on time for the second year in a row... 3/5",1153452187563024390,2019-07-22,23:50:06,hascrepublicans,2,0,1
"""Asking our men and women in uniform to do too much with too little has had tragic and fatal consequences across the force. President Trump’s leadership and bipartisan support in Congress has begun to turn that around... 2/5",1153452186451546113,2019-07-22,23:50:06,hascrepublicans,2,0,0
"Statement from @MacTXPress supporting the Budget Deal: 

“Three years ago, America’s military was hobbled by a readiness crisis that left all of us less safe. Too few planes could fly, too few ships could sail, and too few troops were ready to deploy... 1 /5",1153452185105182720,2019-07-22,23:50:05,hascrepublicans,3,0,2
"@MacTXPress “There's lots of good in this bill. There is a lot of good and a lot of bad.” #FY20NDAA 

For full remarks:  https://youtu.be/yq78WsdiSeA  pic.twitter.com/69HcJSx2Mq",1149720303741874176,2019-07-12,16:40:55,hascrepublicans,4,1,0
"""But there is concern, at least among the members on my side of the aisle, that a lot of that progress we have made together stands a chance of slipping backwards with this bill."" 4/4",1149720100695674885,2019-07-12,16:40:07,hascrepublicans,0,0,0
"""Together we grappled to turn the corner and do a better job. And there's a lot of pride in what the committee, together, has done over the years... 3/4",1149720099940700160,2019-07-12,16:40:07,hascrepublicans,1,0,0
"""Together we've done a lot of good work over the years. 58 straight years. In recent years, we have, together, grappled with....readiness crisis that resulted in the highest number of aviation deaths in six years last year and increasing number of accidents... 2/4",1149720099122745345,2019-07-12,16:40:07,hascrepublicans,1,0,0
Ranking Member @macTXpress makes his closing argument on the #FY20NDAA: … https://edit-republicans-armedservices.house.gov/news/press-releases/thornberry-makes-closing-argument-fy20-ndaa … 1/4,1149720098338480128,2019-07-12,16:40:06,hascrepublicans,2,1,0
"@MacTXPress opening statement on #FY20NDAA

For full remarks click here:  https://youtu.be/hVbknLsQlqk  pic.twitter.com/x7kq8lflcg",1149315997209419776,2019-07-11,13:54:21,hascrepublicans,2,2,3
Since it looks like @HASCDemocrats deleted their old tweet we'll re-up.  Someone really ought to remind @RulesDemocrats. pic.twitter.com/OsqaP3wUuC,1149074759335813120,2019-07-10,21:55:46,hascrepublicans,16,55,69
Someone should tell that to @RulesDemocrats,1149067158590242816,2019-07-10,21:25:33,hascrepublicans,0,1,1
Thornberry on FY20 NDAA Heading To The Floor: https://republicans-armedservices.house.gov/news/press-releases/defense-bill-heads-floor-thornberry-comments-fy20-ndaa …,1148647250496753664,2019-07-09,17:37:00,hascrepublicans,0,2,0
