tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today is the 230th anniversary of the U.S. Customs Service. While the Customs Service has taken various forms since 1789, it has played an important role in protecting our borders & ports ever since. 

Join us in thanking the men & women of @CBP for helping keep our nation safe. https://twitter.com/CBP/status/1156535124793679872 …",1156577660115570688,2019-07-31,14:49:37,homelandgop,0,3,2
"Border Patrol agents ""are transporting the sick, but the need for transportation, drivers, and law enforcement to stay with migrants while they are in a medical facility has affected the [DHS's] ability to patrol between the ports of entry."" https://washex.am/2KczNeR ",1156254005615583232,2019-07-30,17:23:31,homelandgop,4,1,1
"NEWS: @RepMikeRogersAL statement on President Trump’s announcement he will nominate @RepRatcliffe to be director of national intelligence. 

Ratcliffe is a Homeland Security Committee member. pic.twitter.com/UFR7hPSQ6N",1155599965340819456,2019-07-28,22:04:36,homelandgop,1,7,10
Good news out of SCOTUS today. The administration will be able to move forward with its plans to build new border barriers. ⬇️ https://twitter.com/politico/status/1154882429452206081 …,1154905401177063424,2019-07-27,00:04:39,homelandgop,0,5,8
Ranking Member @RepMikeRogersAL caught up with @TSA_Pekoske today on @TSA's efforts to deploy new technology to keep the traveling public safe during busy summer travel months. pic.twitter.com/789nMIxwcr,1154785708420345862,2019-07-26,16:09:02,homelandgop,1,1,1
".@RepMikeRogersAL met with Secret Service Director James Murray today. 

They discussed @SecretService’s protective mission ahead of the 2020 campaign and cybercrime investigation programs offered to state and local officials. pic.twitter.com/DF7Mh8Tv6s",1154427313188200449,2019-07-25,16:24:54,homelandgop,0,2,3
"TUNE IN: Watch @RepClayHiggins, @RepMarkWalker lead Republicans at a joint subcommittee hearing on homeland security consequences of the opioid crisis. https://twitter.com/DHSOIG/status/1154373089792352256 …",1154379565265039388,2019-07-25,13:15:10,homelandgop,3,4,5
.@RepMarkGreen offered an amendment to protect @CBP officers. “This bill’s array of new mandates are designed to second guess officers and insert open-border activists into the law enforcement process.” pic.twitter.com/zWKh7RUc6H,1151593666005258241,2019-07-17,20:45:00,homelandgop,1,20,42
.@RepClayHiggins made efforts to restore the rule of law to Democrats’ open-border bill. “It would remove the catch and release provision that releases all illegal immigrants into the interior of our country within 72 hours of arrest.” pic.twitter.com/Y02unCTAeQ,1151589893354774528,2019-07-17,20:30:00,homelandgop,2,6,12
.@RepJohnJoyce offered a proposal to scrap a partisan witch hunt border commission. “Establishing a partisan commission to further harass this administration is not in the best interest in assembling a bipartisan consensus that will be necessary to deal with this issue.” pic.twitter.com/WBxg79sgLe,1151586116761464833,2019-07-17,20:15:00,homelandgop,3,4,6
