tweet,id,date,time,username,replies_count,retweets_count,likes_count
The #GOPTaxScam spent $2 trillion in tax cuts overwhelmingly for millionaires and big corporations. But that wasn’t enough. Now the GOP wants to change the capital gains tax structure to give even MORE benefits to the wealthy few. https://www.latimes.com/business/story/2019-07-30/gop-demands-another-tax-cut …,1156607194097430528,2019-07-31,16:46:58,housebudgetdems,1,22,17
👇👇👇 https://twitter.com/RepJayapal/status/1156587979122589697 …,1156588808491737091,2019-07-31,15:33:54,housebudgetdems,0,2,5
👏👏👏 https://twitter.com/teammoulton/status/1156585495612276738 …,1156586868005330944,2019-07-31,15:26:12,housebudgetdems,0,1,2
"Comprehensive immigration reform is key to our nation’s future. Here’s why:
📣It addresses the slowing growth of our labor force 
📣It strengthens our fiscal outlook 
📣It fosters a more dynamic, entrepreneurial economy 
Learn more here➡️  https://bit.ly/2XK5plF  #WednesdayWisdom pic.twitter.com/xU8ceuicYC",1156571290804871169,2019-07-31,14:24:18,housebudgetdems,0,1,1
"This is what happens when the Trump administration intrudes on #ClimateChange science. 

House Dems will keep demanding unbiased analysis and climate change solutions to protect our environment, our national security, and our fiscal health. https://www.nytimes.com/2019/07/30/opinion/trump-climate-change.html …",1156304708425793537,2019-07-30,20:45:00,housebudgetdems,0,5,6
Today marks the 54th anniversary of Medicare & Medicaid. Millions of Americans rely on us to keep these programs strong. pic.twitter.com/3OFekNW5HF,1156256173487771648,2019-07-30,17:32:08,housebudgetdems,1,3,4
“The Trump administration has decided to make a show of fiscal discipline by withholding food from hungry children.” #HandsOffSNAP  https://www.nytimes.com/2019/07/29/opinion/food-stamp-cuts.html?searchResultPosition=1 …,1156213057275736065,2019-07-30,14:40:48,housebudgetdems,0,10,7
Chairman @RepJohnYarmuth discusses on @MSNBC why the bipartisan Budget Caps deal allows us to avoid draconian cuts and invest in a stronger future for the American people. #RaiseTheCaps pic.twitter.com/1vTxBi9ids,1155952386873143296,2019-07-29,21:25:00,housebudgetdems,3,6,17
Rep. @BobbyScott and Rear Admiral (Ret.) Ann Phillips know firsthand how #ClimateChange is threatening coastal Virginia and the nation at large. Hear them discuss the national security and fiscal consequences if we fail to deliver climate change solutions now: pic.twitter.com/y9hgt6FYlt,1155907999086587907,2019-07-29,18:28:37,housebudgetdems,0,12,17
"Another #GOPTaxScam broken promise. Despite the Trump administration boasting about an “economic turnaround of historic proportions,” the US economy actually grew slower in 2018 than expected https://apnews.com/2cb76dff32bb4fb9a569bf02eb4e17bb …",1155834194997780480,2019-07-29,13:35:21,housebudgetdems,1,2,3
"If we want a stronger America, we must make strategic investments in our people. That’s why House Democrats voted yesterday to support the bipartisan agreement to #RaiseTheCaps https://www.washingtonpost.com/business/economy/trump-urges-republicans-to-support-budget-deal-as-house-prepares-to-vote/2019/07/25/010d6e6a-aee3-11e9-a0c9-6d2d7818f3da_story.html?utm_term=.aeaaba9ccd5f …",1154822189738127360,2019-07-26,18:34:00,housebudgetdems,2,4,8
"ICYMI: Yesterday, the House passed a bipartisan budget deal to #RaiseTheCaps and provide a secure future #ForThePeople https://www.vox.com/policy-and-politics/2019/7/25/8930256/congress-budget-deal-trump-debt-ceiling …",1154770434325385217,2019-07-26,15:08:20,housebudgetdems,0,0,1
Learn how voting to #RaiseTheCaps gives American families a secure future ➡️ https://budget.house.gov/publications/report/budget-agreement-raise-caps-supports-critical-investments-american-people …,1154503626213253126,2019-07-25,21:28:08,housebudgetdems,1,0,0
Chairman @RepJohnYarmuth applauds the passage of the bipartisan agreement to #RaiseTheCaps pic.twitter.com/i1ZMQSthEk,1154502476504195083,2019-07-25,21:23:34,housebudgetdems,2,1,5
This bipartisan agreement is a victory for the American people. It is a much needed example of Congress coming together to prioritize the American people over self-serving politics. -- Chairman @RepJohnYarmuth #RaiseTheCaps pic.twitter.com/fLrakQntzs,1154475205928062976,2019-07-25,19:35:12,housebudgetdems,1,2,2
"In contrast to the harmful cuts in the #TrumpBudget, the bipartisan agreement to #RaiseTheCaps allows for vital investments in our nation’s economic and national security. 

Learn more here ➡️  https://budget.house.gov/budget-agreement-raise-caps-supports-critical-investments-american-people … pic.twitter.com/MAmKyeS18G",1154464344270180352,2019-07-25,18:52:03,housebudgetdems,1,2,1
"This bipartisan agreement is a victory for the American people. It is a much needed example of Congress coming together to prioritize the American people over self-serving politics. --  Chairman @RepJohnYarmuth
#RaiseTheCaps",1154452743983177728,2019-07-25,18:05:57,housebudgetdems,0,0,1
"Unlike the devastating cuts in the #TrumpBudget, this bipartisan #RaiseTheCaps bill allows us to make strong investments in everything from K-12 education to infrastructure to veterans’ health care. 
 – Chairman @RepJohnYarmuth pic.twitter.com/vWo6L6ECff",1154452521257263111,2019-07-25,18:05:04,housebudgetdems,1,1,1
America’s families deserve a strong future and economy. That’s what this bipartisan #RaiseTheCaps deal provides. – Chairman @RepJohnYarmuth https://budget.house.gov/budget-agreement-raise-caps-supports-critical-investments-american-people …,1154452146231713792,2019-07-25,18:03:35,housebudgetdems,2,1,2
"Creating a strong America requires making strategic investments in our people. 

That’s why House Democrats are supporting the bipartisan agreement to #RaiseTheCaps. 

Watch the floor debate here:  https://live.house.gov/  pic.twitter.com/bEyFT73X9I",1154451573184970752,2019-07-25,18:01:18,housebudgetdems,0,1,3
"This bipartisan agreement to #RaiseTheCaps means a promise #ForThePeople to: 
✅ End austerity caps once and for all  
✅ Provide certainty to our communities & economy 
✅ Make critical investments in our nation’s prosperity pic.twitter.com/GvEHmnVszT",1154424821809393665,2019-07-25,16:15:00,housebudgetdems,2,2,5
We'd seen it before ... the #GOPTaxScam left behind working families and small businesses.  https://budget.house.gov/publications/report/real-world-effects-prove-gop-tax-law-was-wrong-policy-wrong-time … https://twitter.com/Pat_Garofalo/status/1154397968377810945 …,1154419663671111681,2019-07-25,15:54:30,housebudgetdems,0,2,3
"Americans across the country want to know that Congress will make investments in our shared prosperity & a secure future. That’s why House Democrats are debating on the House floor today to #RaiseTheCaps

Learn more here➡️ https://budget.house.gov/budget-agreement-raise-caps-supports-critical-investments-american-people … pic.twitter.com/ORHj7zaAk9",1154386498168532994,2019-07-25,13:42:43,housebudgetdems,0,2,0
The devastating environmental and fiscal effects of #ClimateChange are already upon us. That’s why we need to continue making critical investments in clean energy and resilience. – Chairman @RepJohnYarmuth pic.twitter.com/t99Peb14EW,1154108067723788288,2019-07-24,19:16:20,housebudgetdems,0,1,3
"🌡️Punishing heat waves are making things hot, hot hotter. 🌡️ If we want to avoid increased health risks, further threats to our national security, and a worsening fiscal outlook, we need to address #ClimateChange now.  https://www.youtube.com/watch?v=pKILSKORsWo … pic.twitter.com/sqwMH6nrX9",1154052870544744448,2019-07-24,15:37:00,housebudgetdems,0,2,2
"REMINDER: Hotter temperatures could increase the prices of the food we eat by 20 percent by 2050. #ClimateChange

Learn more by watching our hearing livestream here:  https://youtu.be/pKILSKORsWo  pic.twitter.com/li3u2UQuV4",1154047802206371842,2019-07-24,15:16:51,housebudgetdems,0,3,2
"#ClimateChange threatens to: 
🌊Put millions at risk for coastal flooding/storms
🚜Strain farmers & the agricultural economy 
🌎Weaken our military readiness & global security  
Watch our hearing livestream here:  https://youtu.be/pKILSKORsWo ",1154045907660230656,2019-07-24,15:09:20,housebudgetdems,0,4,3
"“This future, as bleak as it is, does not have to come to fruition.” – Chairman @RepJohnYarmuth. @HouseBudgetDems are determined to find #ClimateChange solutions",1154033375499509761,2019-07-24,14:19:32,housebudgetdems,5,6,15
"As everyone in this room can attest, July 2019 is on pace to be hottest month ever recorded. These dangerous heatwaves are predicted to become more frequent in the years ahead, posing a severe threat to our population’s most vulnerable – Chairman @RepJohnYarmuth",1154033146964467712,2019-07-24,14:18:37,housebudgetdems,2,9,11
"“Without serious action, climate-related federal spending will continue to rise, and American families will not only have to grapple with the effects of climate change, they will have to foot the bill for the spiraling costs.” – Chairman @RepJohnYarmuth",1154033028815085568,2019-07-24,14:18:09,housebudgetdems,3,7,15
"REMINDER: This morning at 10 AM Est @HouseBudgetDems are holding a hearing on the impacts of climate change to coastal communities, agricultural economies, public health, & national security. Watch the livestream here  https://www.youtube.com/watch?v=7-Q78nA7STM …",1154025684391682054,2019-07-24,13:48:58,housebudgetdems,0,6,5
More than 40 million Americans rely on SNAP to keep food on the table. But a new Trump admin proposal would cruelly kick 3M off the program by creating unnecessary and burdensome requirements for families & states. #HandsOffSNAP https://www.cbsnews.com/news/trump-proposal-would-kick-3-1-million-people-off-food-stamps/?ftag=CNM-00-10aab7e&linkId=70957446 …,1153805742203445248,2019-07-23,23:15:00,housebudgetdems,0,7,5
"Great news: Because of bipartisan agreement to #RaiseTheCaps, Congress can make strong investments #ForThePeople in: 
✅Schools
✅Veterans
✅Roads & bridges
✅Research & public health 
✅So much more
Learn more here ➡️  https://budget.house.gov/budget-agreement-raise-caps-supports-critical-investments-american-people … pic.twitter.com/tOiqQKKfJM",1153794417788162048,2019-07-23,22:30:00,housebudgetdems,1,0,2
"📣Reminder: Tomorrow at 10 AM @HouseBudgetDems are holding a hearing on the impacts of climate change to coastal communities, agricultural economies, public health, & national security ➡️  https://budget.house.gov/legislation/hearings/costs-climate-change-coasts-heartland-health-security?fbclid=IwAR1pB65kak8Lyd_2WlUnQJKTMavzDg28n7Yoy62h19HZOqYjp6YZxv4Sq6Y … pic.twitter.com/a0oWeNhS89",1153749568183590914,2019-07-23,19:31:47,housebudgetdems,0,3,3
Chairman @RepJohnYarmuth discusses with @mitchellreports why the bipartisan Budget Caps deal is a “victory for the country.” #RaiseTheCaps pic.twitter.com/dIxFSyEvZ2,1153727881207517185,2019-07-23,18:05:36,housebudgetdems,4,3,2
Coming up at approx. 12:25pm on @mitchellreports: Chairman @RepJohnYarmuth will be discussing the bipartisan Budget Caps deal. #RaiseTheCaps,1153700046598213632,2019-07-23,16:15:00,housebudgetdems,1,2,2
"The American people deserve a secure future, and that’s what the bipartisan agreement to #RaiseTheCaps provides. Learn more here ➡️ https://budget.house.gov/budget-agreement-raise-caps-supports-critical-investments-american-people … pic.twitter.com/BK5zRUCmwp",1153682231451357185,2019-07-23,15:04:13,housebudgetdems,19,7,3
"Fact: More than 300,000 residential and commercial coastal properties are projected to be at risk of chronic tidal flooding by 2045. #ClimateChange  https://budget.house.gov/legislation/hearings/costs-climate-change-coasts-heartland-health-security … pic.twitter.com/hI336BmAsg",1153652939954753536,2019-07-23,13:07:49,housebudgetdems,1,1,1
