tweet,id,date,time,username,replies_count,retweets_count,likes_count
"""America stands in solidarity with the freedom-loving people of Hong Kong and will continue to be a beacon of hope for all those fighting for democracy around the world.” #HongKongHumanRightsandDemocracyAct #HongKong",1200186996020391937,2019-11-28,22:57:32,houseforeigngop,1,4,9
"""I am proud that we responded to President Xi’s threats with a clear message: America will never cower in the face of tyranny. These bills will ensure the #CCP faces consequences for their gross human rights violations & their attempts to erode Hong Kong's legitimate autonomy.""",1200186993675821062,2019-11-28,22:57:32,houseforeigngop,1,6,9
"""I met several of those activists in Washington, D.C. earlier this year and promised to help them defend the values we both share. The United States honored that commitment by passing these bills into law.""",1200186983735332865,2019-11-28,22:57:29,houseforeigngop,1,2,5
"LR @RepMcCaul: ""I applaud @POTUS for signing these important bills into law and sending a strong message to the world. For the past six months, freedom-loving Hong Kongers have risked their lives in a bitter fight against communist oppression.""",1200186980560179205,2019-11-28,22:57:29,houseforeigngop,2,10,15
“I join @SecPompeo in calling on Egypt to ensure fundamental liberties and freedoms for its citizens. Egypt must stop targeting journalists and respect the freedom of the press.” -LR @RepMcCaul https://www.reuters.com/article/us-usa-egypt-pompeo-idUSKBN1Y02OR?taid=5ddddb53bd53880001eb9ba4&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter …,1199761008207826945,2019-11-27,18:44:49,houseforeigngop,6,4,12
LR @RepMcCaul on Turkey’s test of the Russian S-400: pic.twitter.com/fVWwJqrkiO,1199747143151554565,2019-11-27,17:49:43,houseforeigngop,2,6,6
"“@HelpBobLevinson, last seen in Iran, has been missing for more than a decade. The Iranian regime must end its immoral practice of taking U.S. hostages and cooperate to bring Bob home.” -LR @RepMcCaul https://abcnews.go.com/International/documents-breakthrough-case-fbi-veteran-robert-levinson-vanished/story?id=67169441 …",1198313579755245576,2019-11-23,18:53:15,houseforeigngop,1,13,10
"LR @RepMcCaul: ""We will not sit on the sidelines as the Chinese Communist Party enriches herself and oppresses her own people. Hong Kong may be half a world away, but they’re standing up for our American freedoms and values."" #HongKongHumanRightsandDemocracyAct pic.twitter.com/xBCiiNzsbV",1197968939101372417,2019-11-22,20:03:46,houseforeigngop,5,22,41
“China is using their technology to weaponize supply chains against U.S. security & economic interests. I applaud the FCC for voting to ban the use of taxpayer money for Huawei products & preventing dangerous CCP tech from further infiltrating U.S. networks.” -LR @RepMcCaul https://twitter.com/FCC/status/1197914466421288961 …,1197917220048904194,2019-11-22,16:38:16,houseforeigngop,4,19,18
"""Enjoyed meeting with the UK's National Security Advisor Mark Sedwill and Chairman @RepEliotEngel today. I look forward to continuing our shared efforts to counter China's malign influence and advance democracy around the world."" -LR @RepMcCaul pic.twitter.com/9ThAZjEUfX",1197640119160840194,2019-11-21,22:17:10,houseforeigngop,1,0,1
