tweet,id,date,time,username,replies_count,retweets_count,likes_count
"“Our Founding Fathers warned about this in the Federalist Papers. That a future Congress would base an impeachment not on guilt or innocence, but rather on partisan politics. Sadly today, in this chamber, their worst fears have been realized.” -LR @RepMcCaul pic.twitter.com/OWN8mBICdG",1189970245680861185,2019-10-31,18:19:49,houseforeigngop,6,8,15
"LR @RepMcCaul: “From day one, Democrats have ignored the rules and 45 years of historic impeachment precedent.”
 
Today is no different. 
 
“Instead of overturning an entire election with a partisan weapon, we should just allow the American people to vote.”
 
WATCH: pic.twitter.com/0F8VLFEL4R",1189953594021285894,2019-10-31,17:13:39,houseforeigngop,22,7,14
"LR @RepMcCaul on last night’s vote to recognize the #ArmenianGenocide: “Yesterday marked a historic day in the House. For the first time in over 30 years, the House took action and passed the bill recognizing the historic fact that the Armenian Genocide took place.” pic.twitter.com/084YzCxICp",1189656776330883073,2019-10-30,21:34:12,houseforeigngop,13,22,52
“Great meeting w/ Foreign Minister @JulioBorges to discuss the efforts of Interim President @jguaido to return #Venezuela to the democratic & prosperous nation it once was. The international community must join the US in holding the #Maduro regime accountable.” -LR @RepMcCaul pic.twitter.com/DY6sziEXtF,1189655792305287168,2019-10-30,21:30:18,houseforeigngop,9,22,47
"ICYMI: LR @RepMcCaul’s bill to promote American leadership in #5G passed unanimously out of the House Foreign Affairs Committee today, along with measures to impose consequences on the #CCP for their human rights abuses. 

Next stop ➡️ House Floor. 

WATCH: pic.twitter.com/9TXRvBPV3M",1189654673520824320,2019-10-30,21:25:51,houseforeigngop,2,9,13
"LR @RepMcCaul on @AmericaNewsroom: “Instead of 100 Members of Congress having access to this, it will be 20 Members. If you equate that to the American people, that means less of the American people have access & full viewing of this ‘Star Chamber’ proceeding.”
 
WATCH: pic.twitter.com/Ye1KoQNXqT",1189611631803809792,2019-10-30,18:34:49,houseforeigngop,53,67,141
"Coming up @ 10am: 

@HouseForeignGOP, led by Lead Republican @RepMcCaul will hold a full committee markup on multiple bills, including the Promoting US International Leadership in 5G Act.

Watch:  https://tinyurl.com/y2oobc2a  pic.twitter.com/JKjNo1Uzjk",1189538741272088577,2019-10-30,13:45:11,houseforeigngop,0,1,1
"“1.5 million Armenians were systematically killed in the #ArmenianGenocide. Tonight, the House voted to shine a light on this dark period in history & formally recognize this atrocity for what it was- a genocide.” -LR @RepMcCaul",1189347210938466304,2019-10-30,01:04:06,houseforeigngop,12,16,39
Full Video: https://www.youtube.com/watch?v=Fy8vy6KItkc&feature=youtu.be …,1189308217874112513,2019-10-29,22:29:10,houseforeigngop,0,1,1
"NEWS: The House just passed LR @RepMcCaul's & CHM @RepEliotEngel's bill to help strengthen the President’s hand in ensuring that #Turkey upholds its ceasefire commitments. 

If they don’t, “there will be consequences in the form of crippling sanctions,” said McCaul. pic.twitter.com/ID9WfB9DiH",1189308216116764679,2019-10-29,22:29:09,houseforeigngop,43,84,244
"“Extremely disappointed but not surprised by the CCP’s latest act of oppression. Beijing’s blatant attempt to squash the democratic process & control elections is unacceptable. America stands with the people in Hong Kong pursuing democracy & self-governance."" -LR @RepMcCaul https://twitter.com/nytimes/status/1189032897778503680 …",1189282153831587840,2019-10-29,20:45:35,houseforeigngop,301,2413,2888
"Coming up @ 2pm: 

Subcommittee on the Middle East, North Africa, and International Terrorism, led by Ranking Member @RepJoeWilson, will hold a hearing on U.S. policy priorities in the Middle East & the FY20 Budget. 

Watch:  https://tinyurl.com/yy3ufx5v  pic.twitter.com/GgMT6HZKkx",1189236706551009280,2019-10-29,17:45:00,houseforeigngop,0,0,2
"U.S.-Mexico IPG Co-Chair @RepMcCaul & Chair @RepCuellar led a bipartisan delegation to the 54th IPG meeting.
 
""This IPG meeting was a very positive discussion about the issues facing our two nations, including immigration, security, & trade.""
 
READ: https://bit.ly/32YZpny ",1188974424038526976,2019-10-29,00:22:47,houseforeigngop,1,7,8
"""Under the President’s leadership, ISIS has lost its so-called Caliphate in Iraq and Syria, is on the run and no longer has its brutal leader.""",1188489611787620353,2019-10-27,16:16:19,houseforeigngop,2,6,13
"LR @RepMcCaul on death of ISIS leader al-Baghdadi: ""I applaud the brave men and women of the US military and intelligence community who collaborated on this successful operation and thank our foreign partners for their support."" https://gop-foreignaffairs.house.gov/press-release/mccaul-statement-on-death-of-isis-leader-al-baghdadi/ …",1188489610667663362,2019-10-27,16:16:18,houseforeigngop,23,41,160
.@RepMcCaul at #IPG: “The US and Mexico must work together on a comprehensive strategy to address today’s security threats including the fentanyl and opioid trade stemming from China.” pic.twitter.com/T5M9qjKdHP,1188197045082959872,2019-10-26,20:53:45,houseforeigngop,0,2,6
"Leaders from the US & Mexico kicked off the 54th US-Mexico Interparliamentary Group today. 

“Look forward to a weekend of productive dialogue on issues affecting both our countries.” - @RepMcCaul pic.twitter.com/BaJzjVlepL",1188159421039435776,2019-10-26,18:24:15,houseforeigngop,1,8,11
"“The WCS commends HFAC Chairman Eliot Engel & Ranking Member Michael McCaul for their leadership in introducing the Partnering and Leveraging Assistance to Stop Trash for Cleaner Seas (PLASTICS) Act to reduce plastic pollution in the oceans."" - @TheWCS",1187826751625465856,2019-10-25,20:22:20,houseforeigngop,0,0,1
"""The ACC strongly supports the recently introduced PLASTICS Act, which seeks to reduce ocean plastics by encouraging innovative, market-based solutions & catalyzing private capital to enable the development of integrated waste management systems."" - @AmChemistry",1187826750958510087,2019-10-25,20:22:20,houseforeigngop,1,0,2
"""The PLASTICS Act will strengthen our country’s international leadership when it comes to preventing, measuring, and managing plastic waste. WWF welcomes this bipartisan legislation."" - @WWF",1187826750249680902,2019-10-25,20:22:20,houseforeigngop,1,0,1
Support Grows for Lead Republican @RepMcCaul and Chairman @RepEliotEngel Bill to Reduce Waste in the Ocean⬇️ https://gop-foreignaffairs.house.gov/press-release/icymi-support-grows-for-mccaul-and-engel-bill-to-reduce-waste-in-the-ocean/ …,1187826749494702080,2019-10-25,20:22:20,houseforeigngop,1,0,1
Schiff and Pelosi are running an impeachment 'Star Chamber' in the Capitol basement. The American people deserve fairness and transparency-they deserve better. pic.twitter.com/IMmQJrwXT3,1187447354737283072,2019-10-24,19:14:45,houseforeigngop,96,76,172
"“Led by @RepMcCaul the lawmakers protested a requirement by Rep. Adam Schiff, the lead Democrat on the House Intelligence Committee, that a Democratic staffer be present when Republicans view the classified documents.” https://twitter.com/FreeBeacon/status/1187049267518672899 …",1187119207705657351,2019-10-23,21:30:49,houseforeigngop,2,2,4
“36 years ago today Iranian-backed Hezbollah terrorists killed 241 U.S. service members in the horrific Beirut marine barracks bombing. Today we honor their memory & reaffirm our commitment to addressing existing threats in the region.” -LR @RepMcCaul,1187081993873432576,2019-10-23,19:02:56,houseforeigngop,2,10,12
"Coming up @ 2 pm: 

Subcommittee on the Western Hemisphere, Civilian Security, and Trade, led by @RepRooney, will hold a hearing on U.S. Policy toward Latin America and the Carribbean & the FY20 Budget.
                        
Watch:  https://tinyurl.com/y4fx6x2a  pic.twitter.com/9MM23cPokJ",1187062378564915200,2019-10-23,17:45:00,houseforeigngop,1,1,2
"""The only people who benefit from more violence & more chaos are America’s adversaries: Putin, Assad, the terror sponsoring dictatorship in Iran & Islamist extremists in the area and around the world, as shown by the deal that Erdogan struck yesterday with Putin."" - @RepMcCaul",1187011806209986560,2019-10-23,14:24:02,houseforeigngop,6,5,11
"""I believe our Syrian partners deserve better. What kind of signal does it send to the international community that the United States will turn our back on allies who suffered so much? We cannot achieve our goals on the world stage if we undermine our credibility."" - @RepMcCaul",1187011804809121792,2019-10-23,14:24:02,houseforeigngop,1,1,3
"""I firmly believe we need a residual force in Syria to best continue counter-terrorism operations so we can protect the homeland. I am worried that a full withdrawal will create space for ISIS to regroup, grow and gain more strength."" - @RepMcCaul in opening remarks.",1187011803320111104,2019-10-23,14:24:02,houseforeigngop,3,3,5
"Opening remarks from @RepMcCaul: ""Our military partnership with the Syrian Democratic Forces is vital to our ongoing counter-ISIS operations to fight ISIS’ insurgency. That is why I have been so concerned about the possibility of withdrawing all U.S. troops from Syria.""",1187011801571102720,2019-10-23,14:24:01,houseforeigngop,4,3,6
"Coming up @ 10 am: 

@HouseForeignGOP, led by Ranking Member @RepMcCaul, will hold a full committee hearing on U.S. policy in Syria.
                        
Watch:  https://tinyurl.com/y2h88hqn  pic.twitter.com/m5s16uJP8B",1187001980528365568,2019-10-23,13:45:00,houseforeigngop,0,2,3
All 21 HFAC Republicans rebuked Adam Schiff in a letter after being denied access to impeachment related documents unless supervised by a House Intelligence Committee Democrat. More: https://gop-foreignaffairs.house.gov/press-release/letter-foreign-affairs-committee-republicans-denied-access-to-impeachment-docs-unless-supervised-by-democrats/ …,1186805710664933376,2019-10-23,00:45:05,houseforeigngop,44,229,329
"BREAKING: Adam Schiff will not allow HFAC Republicans to view impeachment docs unless supervised by Democrats.

“It is outrageous and unjustifiable to deny us those basic documents…We require the same access to the same docs in the same format” as enjoyed by Democrats.

READ⬇️ pic.twitter.com/WfSoV4qFs8",1186802336007634947,2019-10-23,00:31:41,houseforeigngop,595,2361,3173
"Coming up @ 2 pm: 

Subcommittee on Europe, Eurasia, Energy, and the Environment, led by Ranking Member @RepKinzinger, will hold a hearing on protecting the Good Friday Agreement from Brexit.
                        
WATCH:  https://tinyurl.com/y52x7gpe  pic.twitter.com/NuEmI8Fa6f",1186699990732664834,2019-10-22,17:45:00,houseforeigngop,3,2,5
"""I commend @USAsiaPacific Asst Sec Stilwell for requiring Chinese diplomats to notify the @StateDept of certain U.S. meetings. This reciprocal action will increase transparency. Our diplomats can't address China's unfair practices if we don't apply pressure."" -LR @RepMcCaul",1186675219026628608,2019-10-22,16:06:34,houseforeigngop,1,8,12
