tweet,id,date,time,username,replies_count,retweets_count,likes_count
"🚨@RepMcCaul statement on Assad regime's use of chemical weapons: 

“I am disturbed, but sadly not surprised, that the Assad regime has once again violated international law by using chemical weapons. Assad’s barbarism has no limits.""

READ HERE➡️ https://gop-foreignaffairs.house.gov/press-release/mccaul-statement-on-assad-regimes-use-of-chemical-weapons/ …",1177604827397939201,2019-09-27,15:24:04,houseforeigngop,6,13,18
"Lead Republican @RepMcCaul & Chairman @RepEliotEngel joint statement on protests in #Egypt: 

""We call on the Egyptian government to release all peaceful protestors, journalists, lawyers, and members of civil society.”

FULL RELEASE➡️ https://gop-foreignaffairs.house.gov/press-release/mccaul-and-engel-joint-statement-on-protests-in-egypt/ …",1177601513272860673,2019-09-27,15:10:54,houseforeigngop,7,43,76
This week @HouseForeignGOP passed the #HongKongHumanRightsandDemocracyAct out of committee. Here's why it's so important: pic.twitter.com/0F0eO4QkuC,1177585506047201283,2019-09-27,14:07:17,houseforeigngop,254,1534,1838
"“Thank you @SecPompeo for holding the Syrian regime accountable and prioritizing the release and safe return of Austin Tice and all Americans held in Syria."" - Lead Republican @RepMcCaul #FreeAustinTice https://twitter.com/StateDept/status/1177308091626467328 …",1177330223144214528,2019-09-26,21:12:53,houseforeigngop,1,10,12
"COMING UP @ 2 pm:

Subcommittee on Asia, the Pacific, and Nonproliferation, led by Ranking Member @RepTedYoho, will hold a hearing on U.S. Nonproliferation Policy and the FY2020 Budget.

WATCH:  https://tinyurl.com/yyq6pl2k  pic.twitter.com/4vtLCFIyQQ",1177277906344525824,2019-09-26,17:45:00,houseforeigngop,0,0,1
"COMING UP @ 10 am:

@HouseForeignGOP, led by Vice Ranking Member @RepAnnWagner, will hold a full committee hearing on sustaining the U.S. Pacific Insular Relationship.

WATCH:  https://tinyurl.com/y47o6ly6  pic.twitter.com/t5Kfg2oQ0Z",1177217508970881024,2019-09-26,13:45:00,houseforeigngop,0,1,3
"“This partisan attack on the president could have far-reaching implications for foreign policy and permanently damage world leaders' confidence in their ability to speak freely and candidly with any U.S. president.” GOP committee members wrote.

Read: https://www.wsj.com/articles/impeachment-is-what-vladimir-putin-wants-11569453203?mod=mhp …",1177196169233141760,2019-09-26,12:20:12,houseforeigngop,18,17,21
"COMING UP @ 2 pm:

Subcommittee on Western Hemisphere, Civilian Security, and Trade, led by Ranking Member 
@RepRooney, will hold a hearing on Assessing the Impact of Cutting Foreign Assistance to Central America.

WATCH:  http://tinyurl.com/y2u7gj3o  pic.twitter.com/y2rw0ytTSL",1176915518416183296,2019-09-25,17:45:00,houseforeigngop,0,0,1
"COMING UP @ 10 am: @HouseForeignGOP led by Lead Republican @RepMcCaul will hold a full committee markup on several #HongKong bills & others:

    H.Res. 543
    H.R. 3289
    H.Res. 517
    H.Res. 387
    H.Res. 552
    H.Res. 521

WATCH:  https://tinyurl.com/y4eag5nt  pic.twitter.com/kICbefjC5k",1176855120304377859,2019-09-25,13:45:00,houseforeigngop,49,192,287
"""As with other human rights abuses committed by the #ChineseCommunistParty, Congress should continue to be a strong voice for sanctions against those responsible. … I look forward to supporting the people of Hong Kong w/ important legislation today."" -@RepMcCaul",1176847217128292352,2019-09-25,13:13:35,houseforeigngop,3,57,134
"'U.S. support for Hong Kong needed to turn tide against tyranny around world,' @RepMcCaul wrote in @FoxNewsOpinion piece ahead of @HouseForeignGOP markup of #HongKongHumanRightsandDemocracyAct today. 

Read: https://www.foxnews.com/opinion/rep-michael-mccaul-us-support-hong-kong-send-message-dictators …",1176845761847451648,2019-09-25,13:07:49,houseforeigngop,221,1128,1499
"""The U.S. delegation must make clear to its allies & partners the threat they face from #China, and it must subsequently lead the global community in countering China's indiscreet agenda,"" Lead Republican @RepMcCaul wrote in a @ForeignPolicy op-ed. Read:  http://buff.ly/2mTyaKV  https://twitter.com/ForeignPolicy/status/1176549415508697090 …",1176585053079519232,2019-09-24,19:51:51,houseforeigngop,4,7,14
"COMING UP @ 10 am: 

Subcommittee on Oversight & Investigations, led by Ranking Member @RepLeeZeldin, will hold a hearing on the Trump Administration’s travel ban. 

WATCH:  https://tinyurl.com/y6kspuny  pic.twitter.com/0iBTV0udIx",1176492732522516480,2019-09-24,13:45:00,houseforeigngop,0,0,1
"Today, the Taliban controls almost 50% of Afghanistan and has become increasingly violent. The American people rightly want to know what our plan is for peace moving forward. 

Watch @RepMcCaul's remarks on #Afghanistan policy 18 years after 9/11:  https://gop-foreignaffairs.house.gov/blog/mccaul-opening-statement-at-hearing-on-u-s-policy-in-afghanistan/ … pic.twitter.com/ZQF0B4RTbD",1175125201258000384,2019-09-20,19:10:55,houseforeigngop,1,1,5
"""Very disappointed to see another Pacific country, Kiribati, hand its people’s future to China’s debt trap diplomacy. US-Taiwan relations are unshakeable; we stand against Chinese Communist Party aggression together."" - LR @RepMcCaul https://twitter.com/MOFA_Taiwan/status/1174974697273847809 …",1175117486460743680,2019-09-20,18:40:16,houseforeigngop,3,61,65
"Congress + Admin must work together to stop communist China from achieving global dominance. Make no mistake - that is their goal. 

Watch @RepMcCaul full remarks on #China threat:  https://www.youtube.com/watch?v=np5t4FMaYU8&feature=youtu.be … pic.twitter.com/dNTj7kLHse",1174810034192166912,2019-09-19,22:18:33,houseforeigngop,1,8,20
"""We're going to make the case to the United Nations & the world court of opinion on this. I do believe that Iran was behind this, and it was unprovoked, and it does deserve a response,"" @RepMcCaul told @HARRISFAULKNER about  #SaudiAramco attack.

Watch: https://www.youtube.com/watch?v=biqfP5v-6Vs&feature=youtu.be …",1174807994082705408,2019-09-19,22:10:27,houseforeigngop,5,25,29
"""Honored to attend last night's event hosted by @ONECampaign/@RED to celebrate the tremendous work of the @GlobalFund who, along w/ their partners @PEPFAR, @PMIgov & @USAIDGH, have saved over 32 million lives in the fight against deadly epidemics since 2002.""

- LR @RepMcCaul pic.twitter.com/lMCd4rkOK5",1174785326654660613,2019-09-19,20:40:22,houseforeigngop,1,2,15
"HAPPENING SOON🚨➡️ @HouseForeignGOP, @HouseForeign will convene a hearing @ 10:00 a.m. to examine the Administration's policy on #Afghanistan. 

WATCH➡️ https://youtu.be/hhgmIug_YeM  pic.twitter.com/dHpmiHw8iK",1174680793182027777,2019-09-19,13:45:00,houseforeigngop,1,2,2
“Today—@RepEliotEngel & I were honored to meet @JoshuaWongCF & other freedom fighters. Next week—@HouseForeignGOP will take up the Hong Kong Human Rights & Democracy Act to send a clear message that America will always support liberty in the fight against tyranny.” - @RepMcCaul pic.twitter.com/FlPfcNkpf0,1174423557507637254,2019-09-18,20:42:50,houseforeigngop,118,487,996
"🚨Lead Republican @RepMcCaul statement on his appointment by @GOPLeader to serve on the bipartisan House-Senate Conference Committee to resolve differences in the FY2020 National Defense Authorization Act (NDAA).

FULL STATEMENT⬇️ https://gop-foreignaffairs.house.gov/press-release/mccaul-appointed-to-ndaa-conference-committee/ …",1174418628588032000,2019-09-18,20:23:15,houseforeigngop,0,0,2
"""This is a battle between democracy versus dictatorship, liberty versus tyranny, and freedom versus oppression."" - Lead Republican @RepMcCaul said, speaking straight to Hong Kong's pro #democracy activists. https://thehill.com/policy/international/asia-pacific/462008-capitol-hill-hosts-hong-kong-activists …",1174411272143671304,2019-09-18,19:54:01,houseforeigngop,174,274,476
"COMING UP @ 2:00 p.m. 🚨➡️Subcommittee on Asia, the Pacific, & Nonproliferation, led by Ranking Member @RepTedYoho, will convene a hearing on U.S. Interests in East Asia & the Pacific, and the FY20 Budget.

WATCH➡️  https://tinyurl.com/yysdumx7  pic.twitter.com/yYFFChthXH",1174375029582258176,2019-09-18,17:30:00,houseforeigngop,0,0,2
"COMING UP @ 2:00 p.m. 🚨➡️ Subcommittee on the Middle East, North Africa, & International Terrorism, led by Ranking Member @RepJoeWilson, will convene a hearing to examine trends in white nationalist terrorism both at home and abroad.

WATCH➡️ https://youtu.be/kKnqDljpp_o  pic.twitter.com/ssrAGEM634",1174375029531975681,2019-09-18,17:30:00,houseforeigngop,0,1,0
COMING UP🚨📺Lead Republican @RepMcCaul will appear LIVE on @FoxNews @OutnumberedOT w/ @HARRISFAULKNER at 1:15 p.m. EST to talk the latest on Saudi Arabia and foreign affairs news of the day.,1174368548375937024,2019-09-18,17:04:15,houseforeigngop,9,7,8
"""This is a battle between democracy vs dictatorship, liberty vs tyranny & freedom vs oppression.

""The world will not stand idly by as the Chinese Communist Party continues to commit human rights violations.""

- Lead Republican @RepMcCaul on #HongKong Human Rights & Democracy Act pic.twitter.com/2QlhXYse20",1174345605503733760,2019-09-18,15:33:05,houseforeigngop,202,604,887
"HAPPENING NOW🚨➡️ @RepMcCaul, @SpeakerPelosi, @RepChrisSmith @RepEliotEngel & more underway for a press conf on H.R. 3289, the Hong Kong Human Rights & Democracy Act, to reaffirm U.S. support for the people of Hong Kong in their quest for freedom.

WATCH➡️ https://www.facebook.com/NancyPelosi/videos/902973963421118/ …",1174340781630480384,2019-09-18,15:13:55,houseforeigngop,1,3,12
"COMING UP @ 10:00 a.m. 🚨➡️ Subcommittee on Europe, Eurasia, Energy & the Environment, led by Ranking Member @RepKinzinger, will convene a joint hearing with @climatecrisis to examine the threat from climate change. 

WATCH➡️ https://tinyurl.com/yybj4erp  pic.twitter.com/tTHi4BFQkV",1174314630736297985,2019-09-18,13:30:00,houseforeigngop,1,1,2
"LR @RepMcCaul: ""I condemn the Ortega regime for blocking @OAS_official ambassadors, including @USAmbOAS, from entry into #Nicaragua. This act demonstrates the regime’s absolutist behavior & unwillingness to find a solution to the political crisis & repress the Nicaraguan people.""",1173671097000255490,2019-09-16,18:52:49,houseforeigngop,2,4,6
"“Disappointed to see one of the largest nations in the Pacific choose #China’s Belt and Road to serfdom over Taiwan, a longstanding democratic ally and friend.” - Lead Republican @RepMcCaul https://www.taiwannews.com.tw/en/news/3777858 ",1173614719443316736,2019-09-16,15:08:48,houseforeigngop,2,12,36
"“The announcement by the @WhiteHouse that al Qaeda leader Hamza bin Laden, son of Osama bin Laden, was killed in a US counterterrorism operation is a significant event in America’s unrelenting war on terrorism."" -Lead Republican @RepMcCaul

FULL STATEMENT➡️ https://gop-foreignaffairs.house.gov/press-release/mccaul-statement-on-the-death-of-hamza-bin-laden/ …",1172972582590656512,2019-09-14,20:37:11,houseforeigngop,7,10,10
"Lead Republican @RepMcCaul: “Productive meeting with @MCC_CEO, Sean Cairncross, on @MCCgov’s work to advance private sector-led development with partner countries to promote growth and invest in future generations around the world.” pic.twitter.com/qrNIuE0Fi8",1172622960357715968,2019-09-13,21:27:54,houseforeigngop,0,4,7
"“Poland is a key NATO ally & bilateral partner in countering Putin’s efforts to sow discord & chaos throughout Europe. I fully support the Administration in providing Poland with F-35s & other critical military hardware."" - LR @RepMcCaul 

FULL STATEMENT➡️ https://gop-foreignaffairs.house.gov/press-release/mccaul-statement-on-polands-clearance-to-buy-f-35-fleet/ …",1172622085220372481,2019-09-13,21:24:26,houseforeigngop,1,3,2
Lead Republican @RepMcCaul: “I am pleased with the Administration’s decision to provide much-needed security assistance to Ukraine. This aid is vital for our Ukrainian friends to counter the aggression and malign influence of Vladimir Putin.” https://gop-foreignaffairs.house.gov/press-release/mccaul-engel-oppose-cutting-assistance-to-ukraine/ …,1172612541769551873,2019-09-13,20:46:30,houseforeigngop,0,2,5
"""Addressing the increasing terrorism activity in the Sahel will not come from just a military solution. We must also address the root causes of extremism,"" @RepMcCaul said.",1172253110758232064,2019-09-12,20:58:15,houseforeigngop,0,0,0
ICYMI: @RepMcCaul spoke to @CSISAfrica about the terrorist landscape post 9/11 in the Sahel. Watch his full remarks below: https://www.youtube.com/watch?v=VGL_vwKJlSE&feature=youtu.be …,1172252429158617093,2019-09-12,20:55:33,houseforeigngop,1,2,2
"ICYMI🚨➡️ Lead Republican @RepMcCaul joined @CSIS to deliver a keynote speech on the rise of violent extremism & terrorist activity in the #Sahel post 9/11 & the importance in shaping U.S. policy to further protect the homeland. 

FULL RECAP⬇️ https://gop-foreignaffairs.house.gov/blog/icymi-mccaul-delivers-keynote-speech-at-csis-on-the-terrorist-landscape-post-9-11-in-the-sahel/ …",1171889377573822465,2019-09-11,20:52:54,houseforeigngop,0,4,5
#Remembering911 #NeverForget 🇺🇸🇺🇸 pic.twitter.com/kju09OfCSc,1171803812144799744,2019-09-11,15:12:54,houseforeigngop,0,0,4
"COMING UP @ 10:30🚨➡️ Lead Republican @RepMcCaul to deliver a keynote address at @CSIS on escalating violence in the Sahel and the ongoing fight against terrorism around the globe.

WATCH HERE⬇️ https://youtu.be/bhsElYUOY1s ",1171792777530761218,2019-09-11,14:29:03,houseforeigngop,0,1,0
"It has been 18 years since the fateful attack on 9/11 that changed our country forever. Today, we remember the brave heroes and first responders who made the ultimate sacrifice to save lives and defend America's freedom. Let us #NeverForget their sacrifice and courage. pic.twitter.com/2gFPCKtJ12",1171789116469592069,2019-09-11,14:14:30,houseforeigngop,0,3,6
