tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Given that Special Counsel Mueller was unable to pursue criminal charges against the President, it falls to Congress to respond to the crimes, lies and other wrongdoing of President Trump – and we will do so.  No one, not even the President of the United States, is above the law. pic.twitter.com/iRBV2Z5dgq",1133863588383404034,2019-05-29,22:32:00,housejudiciary,2426,6650,14327
WATCH Special Counsel Mueller’s Press Conference on the Conclusion of #MuellerReport Investigation. pic.twitter.com/yCB3AozuZt,1133768127228125185,2019-05-29,16:12:40,housejudiciary,61,233,408
"Given that Special Counsel Mueller was unable to pursue criminal charges against the President, it falls to Congress to respond to the crimes, lies and other wrongdoing of President Trump – and we will do so.  No one, not even the President of the United States, is above the law.",1133766870593617921,2019-05-29,16:07:40,housejudiciary,1027,3976,11258
"Mueller has clearly demonstrated that President Trump is lying about the Special Counsel’s findings, lying about the testimony of key witnesses in the Special Counsel’s report, and is lying in saying that the Special Counsel found no obstruction and no collusion.",1133766269197586433,2019-05-29,16:05:17,housejudiciary,89,291,656
"Mueller confirmed 3 central points: he did not exonerate @realDonaldTrump of obstruction of justice, obstruction of justice is a serious crime that strikes at the core of our justice system & the Constitution points to Congress to take action to hold the President accountable.",1133765078975700994,2019-05-29,16:00:33,housejudiciary,442,2010,5796
The #MuellerReport found substantial evidence that Russia attacked our political system and that @realDonaldTrump sought to obstruct Mueller’s investigation over and over again.,1133764433514323969,2019-05-29,15:57:59,housejudiciary,53,147,346
BREAKING: @HouseJudiciary Chairman @RepJerryNadler Response to Special Counsel Mueller’s Statements on Conclusion of #MuellerReport Investigation https://medium.com/@HouseJudDems/chairman-nadler-response-to-special-counsel-muellers-statements-on-conclusion-of-investigation-bcd82a0d33af …,1133763136555769856,2019-05-29,15:52:50,housejudiciary,18,67,141
"Many DREAMers do not even know they are undocumented until they reach their mid-teens and seek to work, drive, or go to college. Suddenly, the bright futures they imagined for themselves appear to come to a crashing end. #DREAMandPromiseNow pic.twitter.com/8B2MCIu7pN",1131219264646668288,2019-05-22,15:24:24,housejudiciary,8,22,42
"The #DREAMandPromiseNow is vital legislation that would finally provide permanent protections for DREAMers—the undocumented people who were brought to this country as children, many of whom have lived here for most of their lives. pic.twitter.com/DxUJlwDlJo",1131218499811119104,2019-05-22,15:21:22,housejudiciary,2,17,31
"BREAKING: Chairman @RepJerryNadler Issues Subpoenas for Hope Hicks & Annie Donaldson. Nadler: The Judiciary Committee’s investigation into obstruction of justice, public corruption and abuse of power by @realDonaldTrump and his Administration will continue https://medium.com/housejudiciary/chairman-nadler-issues-subpoenas-for-hope-hicks-annie-donaldson-82535744a727 …",1130929316487999489,2019-05-21,20:12:15,housejudiciary,1876,3741,10624
The redacted #MuellerReport revealed that Russia attacked the United States and that @realDonaldTrump tried to interfere with the investigation. There is still so much more we need to see. pic.twitter.com/58HNUHaIke,1130867823788662784,2019-05-21,16:07:54,housejudiciary,986,2741,4585
"We will not allow @realDonaldTrump to stop this investigation, and nothing in these unjustified and unjustifiable legal attacks will stop us from pressing forward with our work on behalf of the American people.

We will hold this President accountable, one way or the other.",1130846279448158212,2019-05-21,14:42:17,housejudiciary,398,593,1735
".@HouseJudiciary will hear Mr. McGahn’s testimony.

We will not allow @realDonaldTrump to prevent the American people from hearing from this witness.

We will not allow the President to block congressional subpoenas, putting himself and his allies above the law.",1130844635243438080,2019-05-21,14:35:45,housejudiciary,368,714,1870
"Over 900 former federal prosecutors, from across the political spectrum—whose job was to determine when the elements of a crime have been satisfied—agree that @realDonaldTrump committed crimes and would have been charged if he were not the President. https://medium.com/@dojalumni/statement-by-former-federal-prosecutors-8ab7691c2aa1 …",1130843217593868288,2019-05-21,14:30:07,housejudiciary,164,1301,2298
"When @HouseJudiciary issues a subpoena—even to a senior presidential advisor—the witness must show up. Our subpoenas are not optional. Mr. McGahn has a legal obligation to be here. If he doesn't immediately correct his mistake, we will have no choice but to enforce the subpoena.",1130842194632478725,2019-05-21,14:26:03,housejudiciary,2640,4405,13880
".@WhiteHouse Counsel Don McGahn sat for several interviews with Robert Mueller & described how @realDonaldTrump directed him to have the Special Counsel fired, ordered him to lie about it, & described several other obstructive incidents outlined in the #MuellerReport.",1130840699925073920,2019-05-21,14:20:07,housejudiciary,31,102,200
