tweet,id,date,time,username,replies_count,retweets_count,likes_count
"""This is an American Issue, not a Republican or Democrat issue. This an American issue."" - Ranking Member @DrPhilRoe on the need to work together to prevent veteran suicide.  More here: https://republicans-veterans.house.gov/news/documentsingle.aspx?DocumentID=5396 …",1123310564170715137,2019-04-30,19:38:03,housevetaffairs,3,3,5
Congress is committed to working together in a bipartisan fashion to combat veteran suicide! Here are some photos from yesterday’s bipartisan press conference. @RepLizCheney @DrPhilRoe @RepBost @RepGusBilirakis @RepChipRoy @RepMeuser @RepAmata @RepMarkTakano @VetAffairsDems pic.twitter.com/gnDUx8WLtk,1123298667786637312,2019-04-30,18:50:46,housevetaffairs,3,3,6
Today is National Military Brats Day. We want to recognize the sacrifice of all military brats out there. Thank you! #monthofthemilitarychild pic.twitter.com/Ce5kqRW1Su,1123291537218125829,2019-04-30,18:22:26,housevetaffairs,1,1,1
ICYMI - Ranking Member @DrPhilRoe delivered opening remarks at this evening's full committee hearing on preventing veteran suicide. More here: https://republicans-veterans.house.gov/news/documentsingle.aspx?DocumentID=5394 …,1123012991115517953,2019-04-29,23:55:36,housevetaffairs,1,0,1
Thank you to everyone who came out to today’s bipartisan press conference on veteran suicide prevention. @DrPhilRoe @RepBost @RepChipRoy @RepLizCheney @RepGusBilirakis @RepAmata @RepMeuser pic.twitter.com/D7t4M54eAD,1122975745582804992,2019-04-29,21:27:36,housevetaffairs,13,4,7
We are thrilled to announce that @HouseGOP Chairwoman @RepLizCheney will also be joining us tonight! https://twitter.com/HouseVetAffairs/status/1122939205473251333 …,1122953282975150080,2019-04-29,19:58:20,housevetaffairs,3,2,1
We are excited to announce @RepChipRoy will now be joining us to discuss this important topic! Hope you all tune in at 5pm ET! Watch it here:  https://www.facebook.com/VetAffairsDems  https://twitter.com/HouseVetAffairs/status/1122892790529179648 …,1122939205473251333,2019-04-29,19:02:24,housevetaffairs,1,5,10
Tune in at 7pm ET  to watch the full committee hearing on preventing veteran suicide! https://twitter.com/cspan/status/1122854921030782981 …,1122893009761251333,2019-04-29,15:58:50,housevetaffairs,2,0,2
"Tune in at 5pm ET to hear @DrPhilRoe, @RepGusBilirakis, @RepBost, and @RepJackBergman speak about the importance of working with the community to prevent veteran suicide! https://twitter.com/VetAffairsDems/status/1122870331260243968 …",1122892790529179648,2019-04-29,15:57:58,housevetaffairs,8,5,12
"FYI - On Monday, April 29 at 5:00pm EST Chairman @RepMarkTakano and Ranking Member @DrPhilRoe will hold a bipartisan press conference to discuss what additional steps Congress can take to prevent veteran suicide. More here: https://republicans-veterans.house.gov/news/documentsingle.aspx?DocumentID=5387 …",1121809821295050755,2019-04-26,16:14:38,housevetaffairs,3,1,3
"Happening soon, tune in now to @FoxBusiness! https://twitter.com/HouseVetAffairs/status/1121141686720135168 …",1121178302172082178,2019-04-24,22:25:12,housevetaffairs,5,0,3
"FYI - Ranking Member @DrPhilRoe  will be on the @EveningEdit tonight at 6:35pm ET to discuss VA MISSION Act, preventing veteran suicide, and more with @LizMacDonaldFOX! https://twitter.com/DrPhilRoe/status/1121133592137146370 …",1121141686720135168,2019-04-24,19:59:42,housevetaffairs,1,3,3
“It is evident that she paid little attention to the scandalous treatment of veterans that occurred several years ago by some in the very agency created to serve them.” - @DrPhilRoe https://twitter.com/HouseVetAffairs/status/1121045004305170433 …,1121045087004307457,2019-04-24,13:35:51,housevetaffairs,4,5,15
ICYMI - Ranking Member @DrPhilRoe called out @AOC for her comments about @DeptVetAffairs and the #VAMISSIONAct. https://www.foxnews.com/politics/top-republican-fires-back-at-aoc-over-her-praise-of-va-health-care-apparently-ignorance-is-bliss# …,1121045004305170433,2019-04-24,13:35:31,housevetaffairs,47,34,90
"Of course, we remain committed to working to ensure that we improve VA daily and
it is equipped to fully provide veterans with the best services possible! We welcome your ideas @AOC, please come stop by a hearing some time.",1120780010305015808,2019-04-23,20:02:32,housevetaffairs,3,1,6
"Hey @AOC, check out this article that highlights a big problem at VA that needs fixing. We would love to share with you other examples of things that need fixing at VA.  https://www.militarytimes.com/news/pentagon-congress/2019/04/11/va-administrative-mistakes-caused-one-veteran-to-lose-his-foot/ … https://twitter.com/AOC/status/1118964856038797314 …",1120778966888062982,2019-04-23,19:58:23,housevetaffairs,9,2,9
“The great thing is that Syracuse University has acknowledged that there probably is a need out there for this and is putting a course on. It’s phenomenal that they’re doing that and I bet they won’t be the last one to do it.” - Ranking Member and Army Veteran @DrPhilRoe https://twitter.com/mtrebootcamp/status/1120753618263605249 …,1120775266517831685,2019-04-23,19:43:41,housevetaffairs,3,3,14
Happy Birthday @USArmyReserve! Thank you to every brave soldier who has made selfless sacrifices to keep us safe. pic.twitter.com/CnPxAkXBUs,1120677890369228800,2019-04-23,13:16:44,housevetaffairs,22,44,115
Happy Easter! https://twitter.com/DrPhilRoe/status/1120004982479228928 …,1120020012331225089,2019-04-21,17:42:34,housevetaffairs,0,0,4
"Don't miss @RepChipRoy's veteran town hall on Wednesday, April 24, 2019, 6:00 PM CDT. More here:  https://www.eventbrite.com/e/defend-reform-veterans-and-military-town-hall-series-rep-chip-roy-tickets-59948772392?linkId=66239998 … https://twitter.com/RepChipRoy/status/1118599168698851332 …",1119263254751207427,2019-04-19,15:35:29,housevetaffairs,1,0,0
"Today @RepJackBergman , a @USMC veteran,  encouraged his constituents in the first district of Michigan to #BeThere for veterans. Thank you General Bergman for both your selfless service and your constant commitment to veterans!  https://www.facebook.com/RepJackBergman/videos/2303339319922415/ …",1119259993910517761,2019-04-19,15:22:32,housevetaffairs,13,3,5
A sneak peek into the @wwp’s Soldier Ride event at the @WhiteHouse! pic.twitter.com/3A7HJGXaha,1118896769432211456,2019-04-18,15:19:12,housevetaffairs,1,3,5
"Today, Ranking Member @DrPhilRoe will attend an event to celebrate @WWP_DC's Soldier Ride at the @WhiteHouse. @POTUS is scheduled to deliver remarks at 10:30am. Stream it here: https://www.youtube.com/watch?v=AvcLxiQcOpc …",1118871091177500673,2019-04-18,13:37:10,housevetaffairs,0,1,4
Please share and help us #BeThere for our veterans. pic.twitter.com/KdayEHb4vx,1118243647445721088,2019-04-16,20:03:56,housevetaffairs,2,5,5
Big Spring community rallies to honor unattended Vietnam veteran funeral https://www.cbs7.com/content/news/Big-Spring-community-rallies-to-honor-unattended-Vietnam-veteran-funeral-508627181.html …,1118234375890657281,2019-04-16,19:27:05,housevetaffairs,0,0,3
"""We all have a role to play in preventing suicide among servicemembers and veterans in our communities,"" - Ranking Member @DrPhilRoe. To learn more about how you can #BeThere for veterans go to  http://www.BeThereforVeterans.com . pic.twitter.com/TMtuVFtafx",1117858550322098176,2019-04-15,18:33:41,housevetaffairs,75,77,146
ICYMI - Ranking Member @DrPhilRoe released a video message encouraging every person and organization to help prevent veteran suicide. #Bethere More here: https://republicans-veterans.house.gov/news/documentsingle.aspx?DocumentID=4385 …,1117855595153936385,2019-04-15,18:21:57,housevetaffairs,1,0,3
Happy Birthday @AirForceReserve. We are grateful for your commitment to our country! pic.twitter.com/jy5Nt5yoQj,1117425523460677632,2019-04-14,13:53:00,housevetaffairs,1,0,9
#bethere https://twitter.com/DeptVetAffairs/status/1116317507214880768 …,1116397424292061186,2019-04-11,17:47:42,housevetaffairs,1,0,5
"Today, @RepAndyBarr introduced bipartisan legislation to increase flexibility in Forever GI Bill benefits. This bill is also supported by @DrPhilRoe @RepMarkTakano and @RepMikeLevin. @VetAffairsDems  More here: https://republicans-veterans.house.gov/news/documentsingle.aspx?DocumentID=3387 …",1116035027677143040,2019-04-10,17:47:40,housevetaffairs,2,7,13
"“I get up every day and think about how I can make life better for our nation's heroes,” said @DrPhilRoe, ranking member and former chair of the House Veterans' Affairs Committee. “It's a privilege.”  https://bit.ly/2P4MWIL ",1116003103143276547,2019-04-10,15:40:48,housevetaffairs,7,8,14
"Yesterday, Ranking Member @DrPhilRoe was honored to receive @MilitaryOfficer's Colonel Arthur T. Marix Congressional Leadership Award. pic.twitter.com/66VqCQoez3",1116001976951672837,2019-04-10,15:36:20,housevetaffairs,3,1,5
Great work @RepGusBilirakis! https://twitter.com/RepGusBilirakis/status/1115324807736909826 …,1115614114561384455,2019-04-09,13:55:06,housevetaffairs,1,0,4
Happening soon - the Subcommittee on Economic Opportunity will hold a legislative hearing. Watch it here: https://www.youtube.com/watch?v=mVi65IfclWE …,1115613646221185024,2019-04-09,13:53:15,housevetaffairs,0,0,1
April is the Month of the Military Child. The children of our military families make sacrifices every day and we thank all military kids for their service! #MonthofTheMilitaryChild pic.twitter.com/3Nmu8RbDy0,1115301531828588545,2019-04-08,17:13:01,housevetaffairs,22,47,149
"Today, on this #goldstarspousesday we honor the wives and husbands of our nation's fallen. Thank you for your selfless sacrifice. pic.twitter.com/9zFQ6YutKY",1114157757131894784,2019-04-05,13:28:04,housevetaffairs,2,3,11
Happening Now - @SecWilkie is testifying before @HouseVetAffairs. Here is a look at a few key moments! pic.twitter.com/XeCM5YZevo,1113536563785420800,2019-04-03,20:19:39,housevetaffairs,0,2,6
Today's full committee hearing entitled “U.S. Department of Veterans Affairs Budget Request for Fiscal Year 2020” will begin at 2:00pm and stream here: https://republicans-veterans.house.gov/calendar/eventsingle.aspx?EventID=2383 …,1113495367365144577,2019-04-03,17:35:57,housevetaffairs,1,1,2
"Also, thank you to all the VSOs who have shown support of this legislation, including  @TAPSorg, @studentvets, @DAVHQ, @PVA1946, @GIBillRights, and @VFWHQ! https://twitter.com/HouseVetAffairs/status/1113433490094284800 …",1113435812996186116,2019-04-03,13:39:19,housevetaffairs,0,4,10
"Thank you, Full Committee Ranking Member @DrPhilRoe and Subcommittee on Economic Opportunity Ranking Member @RepGusBilirakis for sponsoring this legislation! https://twitter.com/HouseVetAffairs/status/1113433490094284800 …",1113433862158336001,2019-04-03,13:31:33,housevetaffairs,0,0,1
"This morning, @RepBradWenstrup, @RepMikeLevin, @SenRubioPress, and @SenatorHassan introduced bipartisan legislation that would realign transition, education, and employment programs at @DeptVetAffairs under one roof. More here: https://republicans-veterans.house.gov/news/documentsingle.aspx?DocumentID=2386 …",1113433490094284800,2019-04-03,13:30:05,housevetaffairs,4,11,22
"Here is an inside look at today's full committee oversight hearing entitled, 
“MISSION Critical: Assessing the Technology to Support Community Care.” pic.twitter.com/fQh7On1usz",1113163737962250240,2019-04-02,19:38:11,housevetaffairs,2,4,10
"ICYMI - Ranking Member @DrPhilRoe delivered opening remarks at today's full committee hearing entitled, ""MISSION Critical: Assessing the Technology to Support Community Care.” More here: https://republicans-veterans.house.gov/news/documentsingle.aspx?DocumentID=2384 …",1113158629023191041,2019-04-02,19:17:53,housevetaffairs,1,0,0
"At 2pm, the full committee will hold an oversight hearing to assess the technology to support community care. Watch it here: https://republicans-veterans.house.gov/calendar/eventsingle.aspx?EventID=2382 …",1113133237348511751,2019-04-02,17:36:59,housevetaffairs,6,1,2
Tune in now for this morning's Subcommittee on Technology Modernization hearing. Watch it here: https://republicans-veterans.house.gov/calendar/eventsingle.aspx?EventID=2381 …,1113082720790380550,2019-04-02,14:16:15,housevetaffairs,1,1,1
"Today, we have a Subcommittee on Technology Modernization hearing at 10:15am ET and a Full Committee hearing on VA's MISSION Act at 2pm ET! More here: https://republicans-veterans.house.gov/calendar/?EventTypeID=565 …",1113075670228373504,2019-04-02,13:48:14,housevetaffairs,4,5,19
