tweet,id,date,time,username,replies_count,retweets_count,likes_count
Aren't you the guy who said this? https://www.washingtonpost.com/world/national-security/house-majority-leader-to-colleagues-in-2016-i-think-putin-pays-trump/2017/05/17/515f6f8a-3aff-11e7-8854-21f359183e8c_story.html …,1190040658565881857,2019-10-31,22:59:37,jacksonleetx18,1,6,14
Yesterday’s hearing was Interim Sec Kevin McAleenan’s last hearing.  He is a dedicated professional who joined the department after 9/11 and is committed to the nation’s security.  We wish him well in the next chapter of his career.,1190024442283515905,2019-10-31,21:55:11,jacksonleetx18,6,7,19
...out to young Americans and we must strengthen our commitment that when we see something we saw something.,1190024048882913281,2019-10-31,21:53:37,jacksonleetx18,2,2,10
"...invasion and the possible escape of ISIS Fighters. Finally, in the hearing it was noted that white nationalist groups are on the rise - some even propelled by foreign like minded groups.  It’s clear that in order to secure the homeland we must be vigilant, we must reach...",1190024048190861312,2019-10-31,21:53:37,jacksonleetx18,2,3,12
"..African American man at the 2017 Charlottesville United-the-Right Rally, remain at large.  This hearing was significant as it relates to the current status of national security, made more difficult because of actions of the President in Syria with respect to the Turkish...",1190024047096143872,2019-10-31,21:53:37,jacksonleetx18,1,1,7
"...I used this opportunity to question them about the use of biologics, procured indications from them that this administration's failed and immoral child separation policy is a failed policy, and questioned them about the fact that two suspects, accused of beating an...",1190024045770813441,2019-10-31,21:53:36,jacksonleetx18,1,2,7
"Yesterday, as a senior member of the Committee on Homeland Security, I questioned Acting DHS Secretary Kevin McAleenan and FBI Director Christopher Wray about issues confronting our domestic and national security...",1190024044202119169,2019-10-31,21:53:36,jacksonleetx18,5,10,24
"..This process will be driven by the facts, the truth and the rule of law.  We will uphold the #Constitution - #ImpeachmentInquiry
 https://www.c-span.org/video/?c4826665/user-clip-congresswoman-sheila-jackson-lee-speaks-house-floor …",1190012858555351048,2019-10-31,21:09:09,jacksonleetx18,4,7,22
"...Lt. Col. Alexander Vinland testified that when @realdonaldtrump conditioned receipt of military aid for Ukraine on a condition that the nation dig up dirt on his political rival, it imperiled our national security. And this Purple Heart recipient was deeply troubled by it...",1190012856600805388,2019-10-31,21:09:09,jacksonleetx18,5,8,32
"Today's vote to authorize procedures for the impeachment of the @potus was cast with a heavy heart, during a sober time.  We now stand on the Constitution to do what is fair and what is right.  We do not do it in a rush or eagerly...",1190012854524624909,2019-10-31,21:09:08,jacksonleetx18,27,13,66
