tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Badassery, Courage and Grace! https://twitter.com/reppressley/status/1217860845146976263 …",1218235360775483393,2020-01-17,18:15:18,janschakowsky,3,3,24
"""The insurance gains made by blacks and Hispanics have stalled, and even eroded, since 2016.""
 
@commonwealthfnd's new study makes it clear: Trump's health care sabotage + GOP's refusal to expand Medicaid = increased health disparities & reversed progress.  https://www.commonwealthfund.org/sites/default/files/2020-01/Baumgartner_ACA_racial_ethnic_disparities_db.pdf …",1218215635718672384,2020-01-17,16:56:55,janschakowsky,4,12,18
The #ClimateCrisis is already destroying some of the places most near and dear to us like Lake Michigan. Climate change is leading to devastating storms. The time to act is now if we want to save our planet! https://twitter.com/chicagotribune/status/1218138892618096640 …,1218214816571166721,2020-01-17,16:53:40,janschakowsky,4,17,30
.@nationaljournal can you publish what a bonanza #NEPA rollbacks are for big polluters? https://twitter.com/HouseCommerce/status/1215673312367562752 …,1218214029472215042,2020-01-17,16:50:32,janschakowsky,0,2,1
"Today we honor Raoul Gustaf Wallenberg, a Swedish hero who risked his life to save tens of thousands of Jews in Nazi-occupied Hungary during the Holocaust. He disappeared on January 17, 1945. pic.twitter.com/YVx1WNrF1g",1218212871680729097,2020-01-17,16:45:56,janschakowsky,0,12,25
We must decriminalize cannabis & expunge the records of those unfairly harmed by outdated and racist cannabis policies. We must also ensure adequate scientific research around the potential effects and benefits of cannabis use. Watch my questions at our @EnergyCommerce hearing 🍁 pic.twitter.com/s1rx6uVzdx,1217864312401866753,2020-01-16,17:40:53,janschakowsky,6,11,41
"As Co-Founder of @HouseDemocrats Task Force on Aging & Families, I proudly voted to protect everyone’s right to age with dignity & independence as we passed the Protecting Older Workers Against Discrimination Act this week. Next up: Older Americans Bill of Rights! 
#POWADA pic.twitter.com/cHR5aP2dFN",1217852322434494470,2020-01-16,16:53:14,janschakowsky,0,5,22
.@HouseDemocrats stand by our students. That's why I joined my colleagues and voted for H.J. Res. 76 to protect student borrowers rather than punish them for their colleges' illegal actions!,1217844245895229442,2020-01-16,16:21:09,janschakowsky,0,1,4
"More than 200,000 students have been harmed by predatory for-profit colleges that left them with no degree and a mountain of debt. @BetsyDeVosED's new rule would reimburse only 3% of loans and make taxpayers pay while letting the predatory schools off the hook!",1217844244968243201,2020-01-16,16:21:09,janschakowsky,1,5,9
"We failed the Black community for decades through the War on Drugs. I’m worried we're falling into that trap again. 

At this @EnergyCommerce hearing, I asked how we can  address the rising number of Black & Latino victims of opioid use disorder through public health measures. pic.twitter.com/f4E5ENsLvr",1217457683349098496,2020-01-15,14:45:05,janschakowsky,3,13,44
We can do better than an investigation—we must take legislative action. The privacy bill we’re working on through my @EnergyCommerce Consumer Protection & Commerce subcommittee would ensure these apps can no longer exploit consumer trust by selling their data without permission. https://twitter.com/Public_Citizen/status/1217134269107261449 …,1217248964132601858,2020-01-15,00:55:43,janschakowsky,3,14,18
"The problem is Mitch McConnell and the do-nothing Republican Senate who stand shoulder-to-shoulder with Donald Trump, denying progress for the American people. #YourMoveMitch",1217220197637087232,2020-01-14,23:01:24,janschakowsky,1,7,12
...reject the President’s disastrous decision-making in Syria and uphold America’s commitment to human rights and the rule of law in Hong Kong and for the Uighur people.,1217220196957609985,2020-01-14,23:01:24,janschakowsky,1,4,11
"For human rights, we passed bipartisan legislation to recognize the Armenian Genocide as the atrocity that it was, hold Turkey accountable for attacking our Kurdish allies...",1217220196282269697,2020-01-14,23:01:24,janschakowsky,1,6,8
"For our elections and democracy, we passed H.R. 1, the For The People Act, the SAFE Act and SHIELD Act to strengthen our defenses against foreign attacks.",1217220195602915329,2020-01-14,23:01:24,janschakowsky,2,5,8
"For the sacred right to vote, we passed H.R. 4, the Voting Rights Advancement Act, to restore the Voting Rights Act’s power to combat the resurgence of partisan voter suppression across the nation.",1217220194738810880,2020-01-14,23:01:23,janschakowsky,1,6,7
"For ending discrimination against LGBTQ Americans, we passed the historic Equality Act, H.R. 5.",1217220194025852928,2020-01-14,23:01:23,janschakowsky,1,4,7
