tweet,id,date,time,username,replies_count,retweets_count,likes_count
"FACT: Trump's new trade deal with South Korea was designed to shrink our trade deficit with the country. Our trade deficit in goods with South Korea has expanded 56% since his deal took effect. ""Far better""? #TruthMatters pic.twitter.com/l5SCQz5C1H",1145103180562403328,2019-06-29,22:54:07,jecdems,0,7,5
"Trump officials often cite the @AtlantaFed nowcast⁠—which gives estimates on the current quarter's GDP growth—when they want to boast about the economy. It's at 1.5% as we close out Q2. The administration's silence is deafening.
 https://www.frbatlanta.org/cqer/research/gdpnow.aspx … pic.twitter.com/ddkzaWWB2D",1144688257751556099,2019-06-28,19:25:22,jecdems,0,1,1
"Democrats want GOP to protect Dreamers now. @LeaderHoyer put out a statement today: ""I urge the Senate to take action on H.R. 6 without delay and send it to the desk of a president who has said he would sign a bill to allow these people to remain.  Let’s not wait a year.""",1144682912509583360,2019-06-28,19:04:08,jecdems,1,0,0
"JEC Vice Chair @RepMaloney says it ""would be a big mistake and harmful to our economy"" if Trump were to get a citizenship question on the 2020 Census, adding ""I will keep fighting to preserve the integrity"" of the official count. #Census2020 #SCOTUS https://www.fedsmith.com/2019/06/27/supreme-court-says-citizenship-question-cannot-go-2020-census/ …",1144673296342016001,2019-06-28,18:25:55,jecdems,0,1,1
"Ending #DACA would remove nearly 700K workers from the labor force and shave $460B from the economy over a decade, according to a study by @amprog. Vice Chair @RepMaloney has voted to protect Dreamers, and hopefully #SCOTUS will make the right decision. https://twitter.com/sfpelosi/status/1144608163397849089 …",1144611688060243968,2019-06-28,14:21:06,jecdems,1,8,9
"The results of our Pop Quiz are in, and...most of you were right! Chairman Powell WAS asserting Fed independence, which is so important to our economy. JEC Vice Chair @RepMaloney has urged congressional Republicans to join her in condemning Trump's efforts to politicize the Fed. pic.twitter.com/BE5B0EC1HM",1144576931397922816,2019-06-28,12:03:00,jecdems,0,1,1
"The Affordable Care Act decreased the number of uninsured people, though that number is slowly rising under Trump, according to this @Gallup poll. #Obamacare pic.twitter.com/iBbwoxnJF3",1144380134893527046,2019-06-27,23:01:00,jecdems,0,0,0
"We agree the Census is ""important"" – very much so. But independent research – even from @uscensusbureau itself – shows this ""basic question” on citizenship would result in a massive undercount, which would undermine data that businesses use to make long-term investments. #SCOTUS pic.twitter.com/s4LphA5p01",1144327286486908928,2019-06-27,19:31:00,jecdems,1,2,2
"High prescription drug prices are arguably the biggest obstacle to ending the AIDS epidemic. A typical HIV treatment regimen can cost as much as $50,000 a year. https://www.nytimes.com/2019/03/12/health/trump-hiv-aids-costs.html …",1144321909569536000,2019-06-27,19:09:38,jecdems,0,3,2
Trump’s 2020 budget proposal would also reduce funding for the U.S. President’s Emergency Plan for AIDS Relief (@PEPFAR) by about 22%. http://time.com/5549121/trump-hiv-epidemic-budget/ …,1144321796205940741,2019-06-27,19:09:11,jecdems,1,3,0
