tweet,id,date,time,username,replies_count,retweets_count,likes_count
"So wonderful to chat with Susan Littlefield of Rural Radio about US-Mexico-Canada trade Agreement. We need to put politics aside and just “Get-R-Done.""  https://bit.ly/36f0fhW  #USMCAnow",1189239694585991168,2019-10-29,17:56:52,jefffortenberry,12,13,13
"So much fun to be with seniors from Gross Catholic High School in Bellevue on their visit to Washington, DC.  Go Cougars! pic.twitter.com/pZcGzqn6tV",1189236293324214277,2019-10-29,17:43:21,jefffortenberry,8,10,68
Glad to see a Senate version of the Wind Energy Research and Development Act. I support these bills to help capitalize on the Cornhusker State’s enormous wind energy potential. https://bit.ly/2Jn1img ,1187897364335517696,2019-10-26,01:02:56,jefffortenberry,7,1,8
Congratulations to retired Navy Vice Admiral Walter Carter on being named the priority candidate for the University of Nebraska President. We met briefly. Great to see such a qualified leader for one of the most important jobs in Nebraska. #GoBigRed https://bit.ly/3691WgP ,1187896772154351616,2019-10-26,01:00:35,jefffortenberry,0,3,8
"Over 23 million students at over 42,000 schools are involved in Farm to School programs, producing $1 billion in economic impact for local ag producers across America. It's an amazing way to keep alive the relationship between what we eat and who we are. https://bit.ly/2BI7j8P ",1187872505442246656,2019-10-25,23:24:09,jefffortenberry,2,5,9
"Great to visit with Marathon Ventures Inc. in Bellevue.  This Nebraska-based business can be a model for creating jobs through innovation, technology, science, and hard work. #TheGoodLife pic.twitter.com/Umorklwxuh",1187863572501729280,2019-10-25,22:48:39,jefffortenberry,1,3,5
"Americans need to know that our elections are safe from foreign interference.  I am proud to cosponsor the Honest Elections Act, which strengthens the Foreign Agents Registration Act, modernizes political ad disclosure, and monitors spending by foreign nationals in our elections.",1187862746202886144,2019-10-25,22:45:22,jefffortenberry,12,3,19
"The Farm to School program feeds kids, teaches kids, inspires kids about local, nutritious food and farm life. I am really happy that the children of Nebraska will benefit from this program and that our schools are embracing it. pic.twitter.com/eUuNT67HYd",1187858118925045761,2019-10-25,22:26:59,jefffortenberry,5,4,10
"Rural communities often lack easy access to health care providers, particularly for mental health. Expanding tele-health systems can close the rural-urban gap. It's why I cosponsored the STAR Act, so rural communities don't have to choose between health care and their way of life",1187492254031794181,2019-10-24,22:13:10,jefffortenberry,9,2,15
Post-traumatic stress affects close to 30% of vets across all conflicts. Congress should empower vets to use the treatments that work best for them. It's why I'm so proud to sponsor the innovative PAWS for Veterans Therapy Act to make service dogs available to our #vets with PTSD,1187147989846036482,2019-10-23,23:25:11,jefffortenberry,12,3,15
"Americans need to know that our elections are safe from foreign interference.  It’s why I am cosponsoring the Protect Our Elections Act—to prohibit foreign adversaries from owning and controlling companies that provide American election services, systems, and infrastructure.",1186736733804732417,2019-10-22,20:11:00,jefffortenberry,30,4,32
"I know Tulsi Gabbard. I find myself agreeing with Bernie Sanders in objecting to Hillary's claim that Tulsi is a Russian foreign agent. This is a sad, false, and deeply destructive narrative. @TulsiGabbard",1186674218773209094,2019-10-22,16:02:35,jefffortenberry,32,9,39
"While DC seems to operate under emergency room procedures, perhaps #Nebraska is the medicine the country could look to for healing. https://bit.ly/2qpl6yF ",1185336624793686017,2019-10-18,23:27:28,jefffortenberry,14,2,14
"RAWA is the most exciting public policy development in conservation in decades. It protects ecosystems, enhances community, supports recreation. It’s why we have a diverse group of persons from across the political spectrum aligned so beautifully around it https://bit.ly/32pjKSx ",1185218356363833344,2019-10-18,15:37:31,jefffortenberry,0,3,13
Important discussion with Egyptian Prime Minister Moustafa Madbouly about helping American companies do business in #Egypt @MostafaMadbou10 pic.twitter.com/KHRDhPWX8O,1184976475793043457,2019-10-17,23:36:22,jefffortenberry,4,2,6
"Pleased to welcome the President of Italy Sergio Mattarella to the United States Capitol. I told him the story of how my great-grandfather Giuseppe Antonio Lamendola came to America from Alia, Sicily. He began his life in the sugar cane fields, where he worked for 50 cents a day. pic.twitter.com/9j6HujK8yN",1184949968072777733,2019-10-17,21:51:02,jefffortenberry,9,5,17
Thank you Vice President Pence and Secretary Pompeo for working so diligently to secure the cease-fire in Northern Syria @VP @SecPompeo #Syria,1184931188378685440,2019-10-17,20:36:24,jefffortenberry,56,1,28
Very cordial and productive discussion with Japanese Ambassador Sugiyama about the friendship between our countries and the real prospects for better ag trade. @JapanEmbDC pic.twitter.com/N1016e85fF,1184911244312100865,2019-10-17,19:17:09,jefffortenberry,1,3,16
Our colleague Congressman Elijah Cummings has died.  He had a beautiful saying: “Make your pain become your passion and your passion become your purpose!”,1184825980084461568,2019-10-17,13:38:21,jefffortenberry,2,1,27
Glad to see the William Jennings Bryan statue back in Nebraska after being on display in National Statuary Hall for 82 years! It is a great addition to the Nebraska National Guard Museum in Seward. @NENationalGuard pic.twitter.com/qW9GiT4buz,1182821326723174401,2019-10-12,00:52:34,jefffortenberry,7,4,16
"The countries of Ethiopia and Eritrea were long-time enemies. Then the Ethiopian Prime Minister reached out to the Eritrean President and said: “I forgive you. Will you forgive me?"" Things changed. Today he received the Nobel Peace Prize. @PMEthiopia #NobelPeacePrize",1182785500295421953,2019-10-11,22:30:13,jefffortenberry,25,15,171
"In a Middle East region ridden with centuries-old tribal, ethnic, and religious strife, #Syria is particularly complex. But, as this week verifies, we must proceed with caution in exiting this messy neighborhood  https://bit.ly/2IF8Kc0  #Syria #Yazidis @YazdaOrg @NadiaMuradBasee",1182766672576471040,2019-10-11,21:15:24,jefffortenberry,18,1,10
"On this Day of Atonement, the holiest day of the Jewish year, I extend my deep gratitude to my Jewish friends and best wishes for a meaningful fast. #YomKippur",1182019385722097668,2019-10-09,19:45:57,jefffortenberry,4,2,12
Wonderful chat with Susan Littlefield at the beautiful new Lincoln headquarters of Rural Radio TV about prospects for passage of the U.S.-Mexico-Canada Trade Agreement and its benefits for Nebraska ag producers. @RuralRadioNet #USMCA https://bit.ly/2olWAOl ,1181668150695399425,2019-10-08,20:30:16,jefffortenberry,0,2,5
"Great to see Mike Drinnin, at his place near Columbus.  Thanks Mike for serving as President of the Nebraska Cattlemen’s Association and for all you do for Nebraska. @NECattlemen pic.twitter.com/0HyLkF3YKS",1181662141914517504,2019-10-08,20:06:23,jefffortenberry,6,1,16
I am hopeful that my Security Resolution for Northern Iraq will soon be voted upon by Congress.  #Syria,1181317067796090880,2019-10-07,21:15:11,jefffortenberry,4,2,5
"America cannot keep fighting other peoples’ wars—but we must proceed with great caution in exiting this messy neighborhood to prevent the horror of ISIS 2.0, potential Turkish over-aggression, and a destabilization that endangers religious minorities.",1181317067062034433,2019-10-07,21:15:11,jefffortenberry,32,11,21
"Impeachment shouldn’t be about emotion. It shouldn’t be about politics. Along with the authority to declare war, it’s the most serious question undertaken by the House of Representatives. Speaker Pelosi: “We have to be fair to the President.” https://bit.ly/350Ukwm ",1180283057783349248,2019-10-05,00:46:24,jefffortenberry,49,3,14
"Imagine: There’s a line on your hotel bill for walking across the lobby and now they have to clean it. “$10, please.” It’s absurd, but it makes the point: No hidden fees.  https://bit.ly/354ehT4  #EndHiddenFees @RepEBJ",1180227103339487240,2019-10-04,21:04:03,jefffortenberry,21,4,7
