tweet,id,date,time,username,replies_count,retweets_count,likes_count
 https://sensenbrenner.house.gov/press-releases-statements?ID=D9421267-6496-46FF-B5C3-5C3516CA058E …,1100781189126897664,2019-02-27,15:34:21,jimpressoffice,0,0,0
Rep. Sensenbrenner Statement on National Emergency Declaration  https://sensenbrenner.house.gov/press-releases-statements?ID=D9421267-6496-46FF-B5C3-5C3516CA058E …,1100544218748108800,2019-02-26,23:52:43,jimpressoffice,102,6,40
".@RepMaxineWaters, I’m glad that we’ve been able to work together in previous Congresses on stopping eminent domain for PRIVATE USE. The big difference is that the wall is a PUBLIC USE—homeland security. I hope you’ll rejoin the effort to curb eminent domain abuse! -FJS https://twitter.com/RepMaxineWaters/status/1097227922396581888 …",1097545216997969921,2019-02-18,17:15:45,jimpressoffice,15,3,3
"@RepBryanSteil, the Dean has spoken: pic.twitter.com/AYZCjvrvxM",1095842751722201088,2019-02-14,00:30:46,jimpressoffice,0,0,3
Read more about the bill -> https://tinyurl.com/y2hm3rh9 ,1095700430724706311,2019-02-13,15:05:14,jimpressoffice,4,0,1
"Rep. Sensenbrenner: Now seems like a good time to pass my #BUILDWALLAct, which would use assets seized from drug cartels, like El Chapo's, to build a physical barrier along the southern border. https://www.apnews.com/9ddb7be679e64a77b34431b7ffd22317?fbclid=IwAR3Tk11aSd4IiRa_fW6yickiNlwlYDssUfPcAbEPyrwQVUmp8XmFnFcBzh4 …",1095700429982306304,2019-02-13,15:05:14,jimpressoffice,8,0,5
This bipartisan legislation will hold these countries accountable for failing to cooperate adequately with our drug enforcement efforts. I’m grateful to Senators Toomey and Jones and Congressman Connolly for their leadership on this important bill.” 3/,1093630401950687233,2019-02-07,21:59:41,jimpressoffice,5,0,2
"Protecting our communities from illicit fentanyl and fentanyl analogues will require an all-hands-on-deck effort, including better cooperation from the foreign nations from which these deadly drugs are produced and trafficked into our country. 2/",1093630400847581184,2019-02-07,21:59:40,jimpressoffice,1,0,0
"Representative Sensenbrenner: “Americans are now more likely to die from opioid-related overdoses than from car accidents, and fentanyl is the drug most responsible for fatalities. 1/",1093630400180695041,2019-02-07,21:59:40,jimpressoffice,1,0,0
"Sensenbrenner, @GerryConnolly, @SenToomey, and @SenDougJones Redouble Effort to Fight Fentanyl Imports https://sensenbrenner.house.gov/press-releases-statements?ID=56393609-A1F0-405C-ADD7-1FC95D07D415 …",1093630399253762048,2019-02-07,21:59:40,jimpressoffice,1,0,0
"The last two years were filled with many successes for the American people, and we must charge ahead to ensure security, restore liberty, and increase opportunity for all. “ #SOTU",1092989809788891136,2019-02-06,03:34:12,jimpressoffice,9,4,7
"Together, we must build upon that success and choose to push forward through partisan gridlock, reject unprincipled resistance, and restore civility and cooperation. 2/",1092989809235316736,2019-02-06,03:34:11,jimpressoffice,2,1,4
"""Just over a month ago, Congress and the President found a way to come together and pass historic, bipartisan criminal justice reform—the culmination of an effort I was proud to lead for over a decade.",1092989808543236096,2019-02-06,03:34:11,jimpressoffice,3,0,3
"Washington, D.C.–Congressman Jim Sensenbrenner (WI-05) offered the following statement after President Trump delivered his second State of the Union address:",1092989807695925249,2019-02-06,03:34:11,jimpressoffice,2,2,3
"POTUS: ""... from the snowy woods of Wisconsin and the red deserts of Arizona... Together, we represent the most extraordinary Nation in all of history."" #SOTU",1092988177344880642,2019-02-06,03:27:42,jimpressoffice,4,10,46
"POTUS: Everything that has come since -- our triumph over communism, our giant leaps of science and discovery, our unrivaled progress toward equality and justice -- all of it is possible thanks to the blood and tears and courage and vision of the Americans who came before. #SOTU",1092987887535169537,2019-02-06,03:26:33,jimpressoffice,3,0,5
"POTUS: ""Let us work together to build a culture that cherishes innocent life.  And let us reaffirm a fundamental truth:  all children -- born and unborn -- are made in the holy image of God."" #SOTU",1092982128432873477,2019-02-06,03:03:40,jimpressoffice,18,24,66
This market-driven solution is estimated to save the American taxpayer billions of dollars and will make it easier for individuals to purchase more affordable prescriptions.” #CREATESAct https://sensenbrenner.house.gov/press-releases-statements?ID=83A24431-E259-49AA-81AF-9AF299676840 …,1092979754951684096,2019-02-06,02:54:14,jimpressoffice,0,2,1
"Earlier today, I introduced bipartisan legislation that would fight the anticompetitive practices of some pharmaceutical and biologic companies, allowing producers to bring generic drugs to market faster. 2/",1092979754389655553,2019-02-06,02:54:14,jimpressoffice,2,1,4
Rep. Sensenbrenner on #SOTU: “Working to make generic drugs more widely available is one of my biggest goals during the 116th Congress. 1/,1092979753638862850,2019-02-06,02:54:14,jimpressoffice,1,1,3
"The American people deserve to be safe in our homes and communities, and I implore my friends on the other side of the aisle to work with us to that end.” 4/",1092977335329009666,2019-02-06,02:44:37,jimpressoffice,5,0,1
"I have supported efforts to beef up border security throughout my career and am proud to have reintroduced the BUILD WALL Act, which would divert money and assets seized from drug cartels to fund for our southern border. 3/",1092977334712500226,2019-02-06,02:44:37,jimpressoffice,4,1,1
"Experts agree that physical barriers, coupled with other technology-supported solutions, work and are needed. 2/",1092977334188236800,2019-02-06,02:44:37,jimpressoffice,2,0,2
"Rep. Sensenbrenner on #SOTU: “It’s imperative that Congress provide the much needed resources to secure our borders, cut off the flow of drugs and illegal immigration, and ensure the safety of the American people. 1/",1092977333437452290,2019-02-06,02:44:37,jimpressoffice,4,0,2
#Tbt #CriminalJusticeReform #SOTU pic.twitter.com/I9AF7fV8V4,1092973029150392320,2019-02-06,02:27:31,jimpressoffice,0,0,2
"Rather than promising to raise taxes on hardworking American families and businesses, I urge my Democratic colleagues to join our efforts in expanding prosperity for all.” 3/",1092971956629094400,2019-02-06,02:23:15,jimpressoffice,3,0,0
There is no doubt that the Tax Cuts & Jobs Act and the regulatory reforms passed in the last Congress have contributed to this robust economy that the American people deserve. 2/,1092971955983171584,2019-02-06,02:23:15,jimpressoffice,4,0,0
"Rep. Sensenbrenner on #SOTU: “Americans are reaping the benefits of our booming economy: economic growth is strong, unemployment rates are low, and consumer confidence is high. 1/",1092971955022516229,2019-02-06,02:23:15,jimpressoffice,5,0,0
#SOTU live stream -> https://www.whitehouse.gov/sotu/ ,1092967150224957440,2019-02-06,02:04:09,jimpressoffice,0,0,1
#CREATESAct,1092897232616153094,2019-02-05,21:26:19,jimpressoffice,0,0,0
I thank Chairman Cicilline as well as Chairman Nadler and Ranking Member Collins for working with me on this bipartisan effort.” 4/,1092896705123635200,2019-02-05,21:24:14,jimpressoffice,1,0,0
"I’m proud to sponsor this common-sense bill that will implement market-based solutions, making prescription drugs more affordable, saving taxpayers money, and providing much-needed relief to the American people. 3/",1092896704469364737,2019-02-05,21:24:14,jimpressoffice,1,0,0
"Rep. Sensenbrenner: “Americans of all ages are burdened by high prescription drug prices, and we must address this growing issue. 2/",1092896703643111424,2019-02-05,21:24:13,jimpressoffice,2,0,0
Reps Jim Sensenbrenner and @davidcicilline Announce Bipartisan Bill to Lower Prescription Drug Costs  https://sensenbrenner.house.gov/press-releases-statements?ID=FD9C1B91-F1B2-4DE1-A641-45143ADE953D … pic.twitter.com/LdNsWQHGtM,1092896702330224640,2019-02-05,21:24:13,jimpressoffice,1,0,1
