tweet,id,date,time,username,replies_count,retweets_count,likes_count
"The safety of our diplomats at the embassy in Baghdad is our biggest priority & I thank Diplomatic Security & the Marine guards for their professionalism.
 
President Trump's chaotic foreign policy has only empowered Iran, alienated our allies & facilitated this entire situation.",1212091153291644934,2019-12-31,19:20:25,joaquincastrotx,30,64,251
I’ve been at home with my kids most of the day. Must be Julián — or a triplet I’ve never met. Hope you’re well. https://twitter.com/km/status/1211459852628721664 …,1211467041963679745,2019-12-30,02:00:25,joaquincastrotx,12,19,397
"May God bless Congressman John Lewis in his fight against cancer. As a person, he’s as gracious and humble as he is tenacious. He’s spent a lifetime fighting for a more just nation, inspiring us all to do better. https://twitter.com/CNNPolitics/status/1211425030749478913 …",1211464411237494784,2019-12-30,01:49:58,joaquincastrotx,12,171,1161
Elected officials at every level of government need to act to protect our nation. We must be able to work together to combat gun violence once and for all.,1211385287974088704,2019-12-29,20:35:33,joaquincastrotx,14,24,133
"Another act of senseless gun violence at a church near Fort Worth. My prayers are with the victims, their families, the congregation, and our entire Texas community. We’ve lost too many to this public health crisis, while others suffer deep wounds.",1211385286380244992,2019-12-29,20:35:33,joaquincastrotx,10,31,194
"Last night’s vicious attack in Monsey, the latest in a series of anti-Semitic attacks in New York, reminds us that the scourge of anti-Semitism must be confronted through greater efforts at prevention and swift prosecution. My prayers are with the victims.",1211335028900130817,2019-12-29,17:15:51,joaquincastrotx,13,56,303
"Sending my warmest wishes to all who celebrate Kwanzaa! I hope you have a wonderful holiday filled with light, love, and prosperity.",1210308767981568002,2019-12-26,21:17:51,joaquincastrotx,4,24,256
Merry Christmas! I hope you have a chance to enjoy the holidays with friends and family. pic.twitter.com/XGO1c1Djiy,1209660177387003905,2019-12-25,02:20:35,joaquincastrotx,41,98,2005
"To all who celebrate, have a wonderful, joyous, and peaceful Hanukkah!",1208879457743671297,2019-12-22,22:38:17,joaquincastrotx,5,31,255
Let us know if we can be helpful. @HispanicCaucus,1208225552697569282,2019-12-21,03:19:54,joaquincastrotx,7,22,142
Headed home to San Antonio!,1208013067180761089,2019-12-20,13:15:33,joaquincastrotx,35,21,552
Much better than the 22/63 @ExpressNews ratio in San Antonio but El Paso is also 83% Hispanic (59/83).,1207811014017855488,2019-12-19,23:52:40,joaquincastrotx,1,0,3
"Approved unanimously by @HouseForeign, my Global Child Thrive Act with @RepBrianFitz puts us one step closer to giving kids across the world the opportunity to grow happily and healthily. These children need us to do our part, and I won’t stop fighting for them.",1207754146029473794,2019-12-19,20:06:42,joaquincastrotx,8,27,134
