tweet,id,date,time,username,replies_count,retweets_count,likes_count
Happy Kwanzaa to all New Yorkers celebrating! pic.twitter.com/uGsTPaZNE8,1077947392463261696,2018-12-26,15:21:00,joecrowleyny,2,5,37
Merry Christmas from my family to yours! We’re celebrating #MontanaStyle this year in Kasey’s hometown! pic.twitter.com/I5yPTS6zuc,1077632598967549953,2018-12-25,18:30:07,joecrowleyny,10,12,129
"Merry Christmas to everyone celebrating in Queens, the Bronx, and across the country! pic.twitter.com/SBjbAhtDqk",1077596581086617600,2018-12-25,16:07:00,joecrowleyny,2,1,29
"We may all have different backgrounds, but we’re united by our shared dreams for this country. I believe in the best in America, its people, and its public servants.",1075560583523639297,2018-12-20,01:16:40,joecrowleyny,7,8,73
"My family is my everything. They taught me to pursue fairness and justice, to use my power – and my size, and my voice – for good. To give back. I hope I’ve done that. And I hope my colleagues will keep working together to do the same.",1075560492071051264,2018-12-20,01:16:18,joecrowleyny,1,6,71
Today I say goodbye to the House of Representatives after 20 years of service. Thank you to the people of Queens and the Bronx. It’s been the honor of a lifetime to be your voice. pic.twitter.com/Akv3kJ1ax7,1075560212160004096,2018-12-20,01:15:12,joecrowleyny,71,78,667
Some people have lost everything. Spare me the negativity and hate when we’re all pulling together to help rebuild.,1074032527634034690,2018-12-15,20:04:43,joecrowleyny,0,0,4
NEW YORKERS: You have until January 31st to make sure you and your family are covered in the new year. Visit  http://nystateofhealth.ny.gov  to explore options and #GetCovered!,1074016994188349440,2018-12-15,19:03:00,joecrowleyny,1,4,15
"I visited the site of the Sunnyside fire last night. Hard to believe the damage to our community, including to our beloved Sidetrack’s and Good Eats. We will rebuild.",1073950927948800000,2018-12-15,14:40:28,joecrowleyny,7,8,36
"New Yorkers, you have until January 31st to sign up for a health care plan for you and your family. Make sure to take the time to explore all options available. #GetCovered for 2019 at  http://nystateofhealth.ny.gov !",1073684554114838530,2018-12-14,21:02:00,joecrowleyny,0,2,4
"In their honor, let’s continue to work to end gun violence and protect our nation’s children.",1073653353886887936,2018-12-14,18:58:01,joecrowleyny,0,5,15
"My thoughts are with the 26 families who lost their loved ones in the Sandy Hook shooting 6 years ago today. I grieve for the parents, siblings, and children whose pain is still so unimaginable, and who face this, and every day, with incredible courage.",1073653353165524994,2018-12-14,18:58:01,joecrowleyny,2,4,24
"Today Congress voted to recognize the violent attacks against the Rohingya in Myanmar as genocide. This is an important first step, but we need decisive & immediate action from the Trump administration to sanction the leader of the military Min Aung Hlaing https://abcnews.go.com/Politics/house-republicans-lead-vote-label-rohingya-crisis-genocide/story?id=59729449 …",1073268689775009793,2018-12-13,17:29:30,joecrowleyny,0,3,14
"My thoughts & prayers are with those impacted by the fire in Sunnyside, including the 7 FDNY firefighters who were injured & community members whose businesses and livelihoods were damaged. We will do what we can to help them rebuild what they lost.  https://www.nbcnewyork.com/news/local/Fire-Sidetracks-Restaurant-Queens-Sunnyside-FDNY-502657981.html … https://twitter.com/NBCNewYork/status/1073229833591762944 …",1073260078667583488,2018-12-13,16:55:17,joecrowleyny,2,7,24
Proud to nominate these talented young students from my district for entrance into our nation’s service academies. I’m truly impressed by the work they’ve done to get to this point and their commitment to serving our country. pic.twitter.com/9gzS5aJpKD,1072226143783346177,2018-12-10,20:26:48,joecrowleyny,2,0,15
"As the Trump-Pence administration turns away people fleeing persecution, we know that their actions don't represent our values. Immigrants’ rights are #LGBTQ rights, and LGBTQ rights are immigrants’ rights. Asylum seekers should be welcome here. #LGBTQImmigration",1072209081471971329,2018-12-10,19:19:00,joecrowleyny,8,19,67
Rest during the holiday season knowing your family has health care coverage for 2019. #GetCovered here:  https://nystateofhealth.ny.gov ,1071880667259035648,2018-12-09,21:34:00,joecrowleyny,1,1,8
Make sure your family is covered for the New Year! Go to  https://nystateofhealth.ny.gov  and #GetCovered.,1071482795623702528,2018-12-08,19:13:00,joecrowleyny,0,3,7
New Yorkers: Only 8 more days to sign up for or change your health care plan for 2019. #GetCovered here:  https://nystateofhealth.ny.gov ,1071110920057876486,2018-12-07,18:35:18,joecrowleyny,1,2,7
"In his new position as Assistant Democratic Leader, @RepBenRayLujan is the highest-ranking Latino in the history of the House of Representatives! What an incredible achievement for one of the hardest-working members of Congress. … https://congressionalhispaniccaucus-lujangrisham.house.gov/media-center/press-releases/chc-congratulates-luj-n-for-becoming-highest-ranking-latino-in-house …",1069696887773638657,2018-12-03,20:56:26,joecrowleyny,40,29,117
Have a safe and happy #Hanukkah to everyone celebrating in NY-14 and across the country! pic.twitter.com/HGFlVFGB36,1069636365611081728,2018-12-03,16:55:57,joecrowleyny,0,1,6
New Yorkers: it’s Open Enrollment season! Shop health care plans for you and your family here:  https://nystateofhealth.ny.gov/ ,1068953881923616768,2018-12-01,19:44:00,joecrowleyny,1,2,8
"President H.W. Bush was a distinguished statesman, a war hero, and a faithful public servant. He led our country with principles, integrity, and civility. My thoughts are with the Bush family as we all mourn the loss of this remarkable man. https://twitter.com/washingtonpost/status/1068729655354671104 …",1068862010769707009,2018-12-01,13:38:56,joecrowleyny,1,6,33
