tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Toured Rogers Group Aggregate Facility in Hopkinsville & discussed infrastructure, then toured Snow Sports Deals in Murray & discussed eBay commerce. #KY1 pic.twitter.com/7oO7Qc893D",1178800422003335168,2019-09-30,22:34:56,kycomer,2,5,35
Thanks to the Henderson County GOP for having me as their keynote speaker last night. No county has seen more GOP growth & success as Henderson over the past 5 years! pic.twitter.com/EDkiEdEF69,1178295559368650754,2019-09-29,13:08:47,kycomer,2,5,71
"Said on CNN this morning: If D’s want to investigate White House server that’s fine, but they must also investigate Biden Family payments from Ukraine & the genesis of the Russian Investigation! pic.twitter.com/eHz3fuzgJb",1177589186439897093,2019-09-27,14:21:55,kycomer,107,26,92
On @FoxFriendsFirst early this morning to discuss the Teen Vaping epidemic and what Congress is doing about it. pic.twitter.com/riFdSEhID6 – at Fox News Washington Bureau,1176805378371272709,2019-09-25,10:27:20,kycomer,36,13,69
Honored to host Rep Collin Peterson (D-MN) Chair of House Agriculture Committee at @murraystateuniv & @HempWood_ to discuss #Hemp policy. @msuagriculture is leading America in valuable hemp research! #KY1 pic.twitter.com/dxcgTVP02Y,1175904950427312129,2019-09-22,22:49:22,kycomer,6,16,54
Making law abiding Americans turn their guns into the government is a losing issue (not to mention unconstitutional!) I’d like to watch Beto come to Kentucky and try to implement his proposal! pic.twitter.com/tTeySEFHen,1172602270070071296,2019-09-13,20:05:41,kycomer,31,19,89
Gave my annual Capitol Night Tour to the @PaducahChamber who are in DC for their annual visit. #KY1 pic.twitter.com/GJL40Fxj75 – at House Steps,1171586464339103744,2019-09-11,00:49:14,kycomer,2,9,56
"Got to spend the day in Russell County supporting my dear friend Cathi Capps and the Fred Capps Foundation. Saw lots of people from Cumberland, Adair, Russell, Monroe, Taylor & Casey Counties #KY1 pic.twitter.com/dhfAVs3IzK – at Lakewood Country Club",1170479469850779648,2019-09-07,23:30:26,kycomer,3,6,80
Guest speaker at today’s First Friday Forum at the Marion County Economic Development Office in Lebanon. Also had a productive industrial recruitment round table meeting. #KY1 pic.twitter.com/Qnv91Ljk0A,1170054331728564226,2019-09-06,19:21:05,kycomer,3,6,34
Great meeting with Campbellsville Independent Schools Superintendent @KirbySmithCISD about the impressive apprenticeship programs & education opportunities being taught at Campbellsville city schools. #KY1 pic.twitter.com/VZitQi5WX8 – at Campbellsville High School,1169963966254239746,2019-09-06,13:22:01,kycomer,2,6,60
Great day in Allen County! Started out at CPC Field Day in Fountain Run then held a big town hall in Scottsville. #KY1 pic.twitter.com/MN2OQuPIF0,1169751944174428165,2019-09-05,23:19:31,kycomer,0,7,49
Honored to host Congresswoman @virginiafoxx at Taylor County HS & @CampbellsvilleU to see their innovative career readiness education programs. Dr Foxx is the Ranking Republican member of the House Education Committee. #KY1 pic.twitter.com/7dIGe0GelD,1169367443753635845,2019-09-04,21:51:39,kycomer,10,15,69
Concluded a long day by having the friendliest town hall of the nearly 50 town halls I’ve hosted since coming to Congress. Thanks to the great people of Metcalfe County for your hospitality this evening in Edmonton. #KY1 pic.twitter.com/vYx8CAmwTj – at Metcalfe County Courthouse,1169047232643051520,2019-09-04,00:39:14,kycomer,5,11,85
All afternoon in & around Burkesville meeting with good people from Cumberland County. #KY1 pic.twitter.com/S0jW5X6B14,1168998701639098368,2019-09-03,21:26:24,kycomer,3,7,46
All morning visiting with Clinton County business leaders & elected officials in Albany. #KY1 pic.twitter.com/mq4i2z37cg,1168939256192086018,2019-09-03,17:30:11,kycomer,0,4,28
"Enjoying beautiful Dale Hollow Lake this #LaborDayWeekend! #KY1 pic.twitter.com/RQCoHbom4c – at Burkesville, KY",1168311595681898496,2019-09-01,23:56:05,kycomer,2,4,136
