tweet,id,date,time,username,replies_count,retweets_count,likes_count
"¡Feliz día de la independencia, #Peru! pic.twitter.com/vXEaBedJYQ",1155515407798874112,2019-07-28,16:28:36,mariodb,2,13,37
"(2/2) As I’ve mentioned before, our ultimate goal should be a #FreeVenezuela! Until that goal is reached, I will continue to work with @RepDarrenSoto, my colleagues in the Senate and administration until we can ensure protections for these individuals. 🇻🇪",1154741103108771842,2019-07-26,13:11:47,mariodb,8,45,70
"(1/2) Yesterday's historic vote was an important victory towards the goal of ensuring that Venezuelan citizens, who have fled from the Maduro dictatorship, receive temporary protected status in the United States. #VenezuelaTPS 🇻🇪 pic.twitter.com/RCUlqtbg9y",1154741101011644419,2019-07-26,13:11:47,mariodb,8,106,169
"(2/2) Como he mencionado anteriormente nuestro objetivo final debe ser una #venezuelalibre! Hasta que se alcance esa meta, seguiré trabajando con @RepDarrenSoto, mis colegas en el Senado y la administración hasta que podamos asegurar protecciones para estos individuos. 🇻🇪",1154740227975634944,2019-07-26,13:08:19,mariodb,6,18,29
"(1/2) La votación histórica de ayer fue una victoria importante hacia el objetivo de garantizar que los ciudadanos venezolanos, que han huido de la dictadura de #Maduro, reciban estado de protección temporal en Estados Unidos. #VenezuelaTPS 🇻🇪 pic.twitter.com/slj2JXNSGm",1154740225316462592,2019-07-26,13:08:18,mariodb,5,40,49
"Met with the Venezuelan walkers of #Doral2DC4Ve, who completed their 45-day journey from Doral, FL to Washington, DC to pay tribute to the more than four million Venezuelans who have left #VZ due to the deep humanitarian and political crisis the country faces.🇻🇪",1154418420915605507,2019-07-25,15:49:34,mariodb,2,10,29
"Me reuní con los caminantes venezolanos de #Doral2DC4VE, quienes completaron su recorrido de 45 días desde Doral, FL hasta Washington, DC para rendir tributo a los más de cuatro millones venezolanos que han salido de #Vzla debido a la profunda crisis que enfrenta el país. 🇻🇪 pic.twitter.com/iZUDHg7qN4",1154418415613939714,2019-07-25,15:49:32,mariodb,8,62,139
"Gov. Rosselló’s resignation provides an opportunity for #PuertoRico to face its challenges with new leadership. I will continue to work with my colleagues for the many Puerto Rican families still struggling in the wake of hurricanes, corruption, and mismanagement by local leaders",1154390060969730049,2019-07-25,13:56:52,mariodb,4,10,31
🚨ICYMI: @RepTedYoho and I wrote this op-ed regarding the ongoing crisis in #Venezuela and what the U.S. should do to address this situation. https://twitter.com/MiamiHerald/status/1153893104782434304 …,1154023253331128320,2019-07-24,13:39:18,mariodb,0,10,16
"La visita del estado terrorista de Irán a #VZ, #Nicaragua y #Bolivia demuestra una vez más que su malignidad está presente en nuestro Hemisferio. Irán y su proxy terrorista #Hezbollah siguen amenazando los intereses de seguridad nacional de EE.UU. en el Medio Oriente y más allá. https://twitter.com/AP_Noticias/status/1153731362056212480 …",1153775127198359563,2019-07-23,21:13:21,mariodb,42,179,218
"Deadline to apply for a paid Fall internship in my Washington, DC office has been extended to 07/26/2019 at 5:00 pm! Press & Legislative Intern positions are available.🇺🇸📖For more information, please visit  https://mariodiazbalart.house.gov/how-can-mario-help/internships … pic.twitter.com/IoTBre8RRJ",1153674046116118528,2019-07-23,14:31:41,mariodb,4,4,4
"Preocupado por la salud y el bienestar de Xiomara, quien se encuentra mal de salud en un hospital de La Habana. Esta valiente mujer fue detenida por oponerse al régimen represivo en #Cuba y debe ser liberada una vez que reciba la atención médica que necesita.#LibertadParaXiomara https://twitter.com/martinoticias/status/1153047220897210368 …",1153401165700378636,2019-07-22,20:27:21,mariodb,11,78,79
"Hoy celebramos el día de la independencia de #Colombia. Espero poder seguir fortaleciendo la asociación de EE.UU. con un aliado firme y amigo democrático, Colombia, mientras trabajamos juntos para promover una mayor libertad, seguridad y prosperidad en todo nuestro hemisferio. 🇨🇴 pic.twitter.com/8qDzhtqj3g",1152593401709322240,2019-07-20,14:57:35,mariodb,1,18,42
"Today we celebrate Colombia’s Independence Day! I look forward to strengthening the U.S. partnership with steadfast ally and democratic friend, Colombia, as we work together to promote greater freedom, security, and prosperity throughout our hemisphere.🇨🇴#colombiaindependenceday pic.twitter.com/07Mb6qsnt8",1152592870475554816,2019-07-20,14:55:29,mariodb,2,20,40
"(2/2) Los graves abusos a los derechos humanos y la persecución en países como #Cuba, #Venezuela y #Nicaragua han obligado a muchos a huir con reclamos legítimos y auténticos de asilo. Debemos asegurarnos de que Estados Unidos no rechace a aquellos con reclamos genuinos.",1152245990130409472,2019-07-19,15:57:06,mariodb,10,102,89
"(1/2) Envié una carta al director de @DOJ_EOIR, James McHenry, y al director interino de @USCISCuccinelli, instando a que se reconsidere la elegibilidad de la regla de #asilo publicada el 16 de julio de 2019. pic.twitter.com/fvwZe1p4IB",1152245986338779137,2019-07-19,15:57:05,mariodb,9,112,74
"(2/2) The human rights abuses & persecution in countries such as #Cuba, #Venezuela & #Nicaragua have forced many to flee with legitimate, bona fide asylum claims. We must ensure that the U.S. does not turn away those with genuine claims.",1152244636418809857,2019-07-19,15:51:43,mariodb,5,13,16
"(1/2) Sent a letter to the director of @DOJ_EOIR, James McHenry, & @USCISCuccinelli, urging the reconsideration of the #asylum rule eligibility published July 16, 2019. pic.twitter.com/DgMQOC1dMu",1152244633470156804,2019-07-19,15:51:42,mariodb,1,70,30
Correct answer! https://twitter.com/RockSlabcake/status/1152015266986881024 …,1152202494560350209,2019-07-19,13:04:16,mariodb,0,2,1
"I commend #EU for agreeing to impose sanctions on the #MaduroRegime. My friend and colleague, @SenRickScott has tirelessly called for greater international solidarity with the #Venezuelan people, & deserves much credit for the #EU's decision. https://twitter.com/SSNAlerts/status/1151500584522047488 …",1151951761558659077,2019-07-18,20:27:56,mariodb,6,32,71
