tweet,id,date,time,username,replies_count,retweets_count,likes_count
Seguiré buscando respuestas y trabajando con la administración para encontrar una solución para el #CFRP. El régimen de #Cuba incumplió su obligación de proteger a los estadounidenses asignados en Cuba y ahora los inocentes cubanos sufren las consecuencias https://www.elnuevoherald.com/noticias/mundo/america-latina/cuba-es/article230098404.html …,1134464087608430592,2019-05-31,14:18:10,mariodb,51,156,120
"I will continue to seek answers and work with the administration to find a solution for #CFRP participants. Shamefully, the regime in #Cuba failed in its obligation to protect Americans stationed in Cuba, and now innocent Cubans are suffering for it. https://www.miamiherald.com/news/nation-world/world/americas/cuba/article231002468.html …",1134449348593573889,2019-05-31,13:19:36,mariodb,20,88,68
"Active-duty military families can visit museums nationwide for free this summer, including 80+ here in #Florida. Find out more about #BlueStarMuseums, a program of @NEAArts & @BlueStarFamily, at  http://arts.gov/bluestarmuseums .",1133460355030634511,2019-05-28,19:49:41,mariodb,2,9,8
Today we come together to honor and remember the fallen heroes who bravely gave their lives serving our great nation. Thank you for your service 🇺🇸 #MemorialDay2019,1133005031022747648,2019-05-27,13:40:24,mariodb,22,39,193
"Debido a la brutalidad, la corrupción, la extrema escasez de alimentos y medicinas, el crimen y el colapso casi total de la economía de #Venezuela, sería inconcebible obligar a los que huyeron de la dictadura a regresar ahora. Esto es un paso sumamente importante! #TPSVENEZUELA pic.twitter.com/Um9XXbSKp5",1131592374168301573,2019-05-23,16:07:00,mariodb,38,520,631
"(2/2) Espero seguir trabajando con @RepDarrenSoto, con otros colegas y con la Administración hasta que la Cámara de Representantes apruebe este importante proyecto de ley y se convierta en ley! #Venezuela https://mariodiazbalart.house.gov/media-center/press-releases/d-az-balart-elogia-la-acci-n-del-comit-sobre-la-ley-de-tps-de-venezuela …",1131578244396982274,2019-05-23,15:10:51,mariodb,16,149,185
(1/2) Me complace que el Comité Judicial de la Cámara de Representantes aprobó nuestra Ley bipartidista de #TPSVenezuela de 2019. Este proyecto de ley otorgaría #TPS a los #venezolanos que residen en EE.UU. después de huir de la dictadura opresiva y socialista de #Maduro.,1131578243805569024,2019-05-23,15:10:51,mariodb,50,610,837
"I urge the Democratic Leadership to bring this important legislation to the floor, and I look forward to continuing to work with @RepDarrenSoto, other colleagues, and the administration until this important bill is passed by the House and becomes law. #Venezuela",1131568985923903489,2019-05-23,14:34:04,mariodb,7,28,37
"I am pleased that the House Committee on the Judiciary passed our bipartisan #VenezuelaTPS Act of 2019. This critically important bill would provide #TPS to #VZ nationals who reside in the US after fleeing the oppressive, socialist Maduro dictatorship. https://mariodiazbalart.house.gov/media-center/press-releases/diaz-balart-soto-commend-committee-action-on-venezuela-tps-act …",1131568984938156032,2019-05-23,14:34:04,mariodb,10,52,61
I wear this bright yellow rose to celebrate 100 years since the House advanced the #19thAmendment to guarantee women the right to vote! Today we honor the courageous suffragists who fought to give women a voice in our democracy. #WomensVote100 pic.twitter.com/fzJrbl2a3K,1130917552018870273,2019-05-21,19:25:30,mariodb,22,53,178
