tweet,id,date,time,username,replies_count,retweets_count,likes_count
"ATTN DREAMers! Did you know you can still apply to renew your status?
 
Find out more about DACA renewals by contacting one of my offices in N.M.:
 
ALBUQUERQUE: 505-346-6601

FARMINGTON: 505-325-5030
 
LAS CRUCES: 575-523-6561
 
ROSWELL: 575-622-7113
 
SANTA FE: 505-988-6647",1144710759810850819,2019-06-28,20:54:47,martinheinrich,10,109,115
The House has already passed legislation to protect Dreamers with the #DreamandPromiseAct. I urge @senatemajldr to bring this forward for consideration. We must #ProtectTheDream.,1144710758669926403,2019-06-28,20:54:47,martinheinrich,1,19,58
"Immigrants have long helped write the economic, social, and cultural story of New Mexico & Dreamers deserve commonsense, compassionate, and responsible policy – not the fear of deportation. https://www.cnn.com/2019/06/28/politics/daca-supreme-court/index.html …",1144710757281619969,2019-06-28,20:54:46,martinheinrich,15,21,67
"113 degrees Fahrenheit in France! Maybe we should call an international summit in Paris to address the Climate Crisis.  
 
Oh wait... https://twitter.com/capitalweather/status/1144608081923444738 …",1144694782280830976,2019-06-28,19:51:18,martinheinrich,48,162,444
"50 years later, the Stonewall Uprising continues to resonate in LGBTQ communities across our nation. Too many LGBTQ Americans continue to face discrimination, harassment, and violence just for living their lives. We can’t allow hatred and bigotry to thwart progress. #Stonewall50",1144659606007926784,2019-06-28,17:31:31,martinheinrich,5,13,42
I am pleased to see the House pass the Senate border supplemental that includes $30 MILLION in reimbursement funds that I worked to secure for localities and NGOs in New Mexico and elsewhere that are providing much needed humanitarian relief to asylum seekers.,1144388318446178304,2019-06-27,23:33:31,martinheinrich,23,11,67
"This morning, in a Senate Energy and Natural Resources Committee hearing, I pressed the President and CEO of the Nuclear Energy Institute on the need to put a price on carbon. pic.twitter.com/OMj5E3gsJk",1144373726433202177,2019-06-27,22:35:32,martinheinrich,12,15,57
"The Census is constitutionally-mandated to count everyone in the U.S. Time has run out on the Administration’s efforts to undermine the 2020 Census. It should drop the question and move forward.

There’s a lot at stake in the 2020 Census — we must ensure we get an accurate count. https://twitter.com/kylegriffin1/status/1144253779036057600 …",1144362290659110912,2019-06-27,21:50:05,martinheinrich,7,10,45
That is why I am proud to secure tens of millions of dollars in reimbursement funds for the border communities and non-profits who have stepped up to help. https://www.nbcnews.com/politics/immigration/when-migrants-arrived-droves-poor-new-mexico-city-opened-its-n1018656 …,1144237772066230275,2019-06-27,13:35:18,martinheinrich,6,6,32
"Because federal agencies have not provided for sufficient shelter and humanitarian needs for asylum seekers, local, state, and non-governmental organizations in New Mexico are facing new and unbudgeted costs. https://twitter.com/ABC/status/1143967902174982144 …",1144237770195554307,2019-06-27,13:35:17,martinheinrich,8,11,37
"The scenic volcanic mountains and desert grasslands in Organ Mountains-Desert Peaks' new Sierra de las Uvas Wilderness support quail, deer, and javelina. And as you can see, the night sky offers incredible stargazing opportunities. 📸 Lisa Mandelkern #WildernessWednesday pic.twitter.com/GhxSxGrvVu",1144001605953609731,2019-06-26,21:56:52,martinheinrich,3,18,46
"Whenever we consider sending our men and women in uniform into military conflicts, it is absolutely imperative that we have a clear strategy and justification that garners constitutionally mandatory congressional authorization.",1143980135487541249,2019-06-26,20:31:33,martinheinrich,4,14,67
I am proud that @SenatorTomUdall is leading the effort in the Senate this week to pass an amendment to the defense bill that would legally require the White House to seek congressional approval before taking any military action against Iran. https://twitter.com/SenatorTomUdall/status/1143966882862641154 …,1143980028570607616,2019-06-26,20:31:07,martinheinrich,31,77,294
Proud to join my colleagues in introducing the Renewable Electricity Standard Act to help chart a path to reduce dependence on fossil fuels and incentivize stronger investments in solar and wind technologies. https://twitter.com/ACORE/status/1143924075817054212 …,1143937646588256256,2019-06-26,17:42:42,martinheinrich,5,23,55
"This is not how the United States should treat children seeking refuge in our country.

Forcing kids back into such atrocious conditions is inhumane. These children, many of whom are fleeing terror & violence in their home nation, deserve dignity, respect, and basic human rights. https://twitter.com/nytimes/status/1143713007928848385 …",1143914757424058368,2019-06-26,16:11:45,martinheinrich,33,39,105
"After a sweeping bipartisan win to permanently reauthorize the Land and Water Conservation Fund, the Administration has asked for ZERO dollars to fund #LWCF.
 
That is unacceptable. New Mexicans are counting on full and permanent funding for this vital program. pic.twitter.com/cnyeieJEqj",1143681398403981313,2019-06-26,00:44:28,martinheinrich,13,47,159
"There's a lot at stake for New Mexico in the 2020 Census.
 
We must ensure that all underrepresented communities, including rural and tribal communities, colonias, all non-English and limited-English speakers, and children are counted. https://apnews.com/ef5988319dbc4d45aed8156b60d2f5be …",1143639759048323074,2019-06-25,21:59:01,martinheinrich,15,19,58
"I remain concerned that Pres. Trump will continue raising the risks of war with Iran . While we must always be ready to defend our national security, our allies, and our interests, we should do everything possible to avoid unnecessary military conflict. https://medium.com/@nmsenator1/we-need-to-deescalate-tensions-with-iran-37942202c933 …",1143273384475840513,2019-06-24,21:43:10,martinheinrich,15,24,83
"To my Republican friends and colleagues...

Hiding from the facts is NOT leadership.  We need both parties working to reverse the climate crisis. https://futurism.com/climate-reports-hidden-trump …",1143228845610418176,2019-06-24,18:46:11,martinheinrich,26,27,86
"This is appalling. This is not how the United States should treat children seeking refuge in our country.
 
The Trump administration's reckless immigration policies, intentional chaos, and disregard for human life have created this humanitarian crisis. https://www.nytimes.com/2019/06/21/us/migrant-children-border-soap.html …",1143222723327537152,2019-06-24,18:21:51,martinheinrich,80,102,264
"A military strike resulting in large numbers of casualties could easily have spiraled out of control. At that juncture, the President made the right call. May cooler heads prevail in the coming days. (3/3)",1142228618606723072,2019-06-22,00:31:38,martinheinrich,5,7,35
For months the President’s National Security Advisor and his Secretary of State have continuously sought to escalate tensions with Iran at every possible turn. (2/3),1142228617147162625,2019-06-22,00:31:38,martinheinrich,6,6,19
"As a frequent Trump critic, I have to commend the President for stepping back from the dangerous and unpredictable cycle of escalation between Iran and the US. (1/3)",1142228615440084997,2019-06-22,00:31:38,martinheinrich,10,6,37
