tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Members of Congress should be able to see the full, unredacted Mueller report so we can do our job. The American people clearly want to see the results of this investigation. pic.twitter.com/WUPj2CAVDr",1111808952331894784,2019-03-30,01:54:45,maziehirono,268,709,2477
".@realDonaldTrump described me as ""vicious"" regarding Gorsuch and Kavanaugh (I was doing my job). This from the President who separated children from their parents — now that's vicious!",1111745723287126016,2019-03-29,21:43:30,maziehirono,1965,5595,25959
"ICYMI: Last week, I visited the Ala Kahakai Trail to learn how they are implementing a descendent led, community-based approach to trail management and how climate change is threatening national treasures on our coast. pic.twitter.com/xIjgIQxRQB",1111718819704250370,2019-03-29,19:56:36,maziehirono,33,37,193
Too many Trump nominees like David Bernhardt are conflicted. Sooner or later they end up having to resign. I’m waiting for Republicans to wake up to their responsibilities and recognize we cannot keep doing this. pic.twitter.com/m77iIJonyn,1111434094716448768,2019-03-29,01:05:12,maziehirono,186,519,1986
"As we recognize #TransVisibilityWeek, I’m proud to fly the Transgender Pride Flag in the halls of Congress as a symbol of my support and commitment to ensuring equality for all people across the country. You are seen. You are heard. You #WontBeErased. pic.twitter.com/lZ0UKAzRnh",1111032306741972993,2019-03-27,22:28:38,maziehirono,330,413,2169
"Kids like 11-year-old Mesina who participated in the Hawaii Youth Climate Strike want the Senate to step up and do the right thing. It’s past time to take urgent action to combat climate change. The young people of this country get it, why doesn’t Mitch McConnell? pic.twitter.com/0GLArYnYOW",1110675102662840320,2019-03-26,22:49:14,maziehirono,139,104,459
This is yet another example of this administration suppressing facts and silencing their own career scientists. The @Interior Inspector General should pursue this matter and I will be following up. We must get to the bottom of this issue. https://twitter.com/EricLiptonNYT/status/1110522380550590464 …,1110667447823228930,2019-03-26,22:18:49,maziehirono,58,286,668
"The Green New Deal combats climate change and creates jobs/a more sustainable economy. This isn't radical, this isn't socialism. It's common sense. The radical position? The GOP sticking their heads in the sand doing nothing to tackle climate change. https://twitter.com/i/broadcasts/1MnxnNDwzoexO …",1110625744001085440,2019-03-26,19:33:06,maziehirono,278,186,634
".@realDonaldTrump’s presidency has been a disaster for this country – from the Muslim Ban to trying to take health care away from 30 million Americans, and his huge tax cuts for the rich. We need to keep fighting back. pic.twitter.com/aCuAUWgs5I",1110310633378062337,2019-03-25,22:40:58,maziehirono,630,1040,3722
Congress needs to see the full report to assess the underlying evidence. The Senate Judiciary Committee must hear directly from AG Barr and Robert Mueller on this matter as soon as possible. The American people deserve all the facts. #ReleaseTheFullReport,1109950416270311424,2019-03-24,22:49:35,maziehirono,414,1297,4907
"Robert Mueller did not exonerate Donald Trump on obstruction of justice. Instead, AG Barr made his own determination consistent with his unsolicited 19 page memo arguing that the President cannot be charged with obstruction of justice.",1109950362847531008,2019-03-24,22:49:23,maziehirono,869,4740,14015
The way I look at it is this is the end of the beginning. Other prosecutors like the Southern District of NY will be looking at other aspects of the Trump organization. There’s more to come. pic.twitter.com/qsY6yp2NCT,1109273320359411712,2019-03-23,01:59:03,maziehirono,592,661,2865
"My thanks go to Special Counsel Robert Mueller and his team of public servants, whose integrity and professionalism during this process stood in stark contrast to Donald Trump’s contempt for those values.",1109246108113518592,2019-03-23,00:10:55,maziehirono,129,258,1558
"And we know that other investigations – local, state, and federal – continue into Donald Trump’s campaign, inaugural committee, businesses, and foundation. There is a lot left to learn.",1109246071950270471,2019-03-23,00:10:47,maziehirono,72,162,1096
We don’t yet know what the Special Counsel has concluded about Donald Trump and his campaign’s coordination with Russian interference in the 2016 election. But we do know that the investigation has resulted in 37 indictments and seven guilty pleas from close associates of Trump.,1109246037288472584,2019-03-23,00:10:38,maziehirono,51,87,315
"As many of my colleagues and I made clear to AG Barr at his confirmation hearing, the Special Counsel’s report must be made public. Transparency is crucial to the integrity of this process and the American people deserve to know the full extent of Robert Mueller’s work.",1109245995437699072,2019-03-23,00:10:28,maziehirono,615,1137,5516
"Yesterday, I visited the Food Basket, Ke Kai Ola Marine Mammal Center, and the West Hawaii Community Center in Kona—three organizations that are dedicated to serving the Hawaii Island community. pic.twitter.com/O977KuQA2q",1108823331699068929,2019-03-21,20:10:57,maziehirono,22,37,290
"Patients expect to receive honest, ethical care at CHCs like Kokua Kalihi Valley. But, @realdonaldtrump’s new Title X gag rule would prevent giving medically accurate information on reproductive health. I’m fighting to protect the right of providers to care for their patients. pic.twitter.com/T07jzmyWrb",1108432556112965635,2019-03-20,18:18:09,maziehirono,42,170,799
"Today, I joined @AARPHawaii at their Tax Aide clinic at Harris United Methodist Church, where they're helping seniors and other HI residents in need of assistance. If you need help with your taxes, please visit  http://IRS.gov  to find organizations and locations near you. pic.twitter.com/7WOElgaTUt",1108152492733464576,2019-03-19,23:45:17,maziehirono,32,34,210
