tweet,id,date,time,username,replies_count,retweets_count,likes_count
...and endured brutality abroad and at home. They are most deserving to be honored this day and every day. #WelcomeHome,1111720274154668036,2019-03-29,20:02:22,mikecrapo,12,2,15
I joined Idaho’s veterans at a Vietnam War Commemorative event held in Jerome’s Veteran Memorial Park to share my commitment to our nation’s servicemen and women and extend my heartfelt appreciation and gratitude to veterans who served in the Vietnam War... pic.twitter.com/5tlwbbJWTl,1111720272497963010,2019-03-29,20:02:22,mikecrapo,1,4,20
"On National #VietnamWarVeteransDay, we honor the immense sacrifices made by those who served the United States during the Vietnam War.",1111720271906590721,2019-03-29,20:02:22,mikecrapo,5,3,20
#ICYMI: My column this week on recognizing romance scams that the @FTC reports has resulted in more financial losses than any other form of consumer fraud.  https://idahopoliticsweekly.com/politics/2549-guest-opinion-romance-scams-no-1-in-fraud-losses … pic.twitter.com/VzZPogJFFy,1111707198445551619,2019-03-29,19:10:25,mikecrapo,3,1,5
"The CHIMPS gimmick has allowed Congress to spend non-taxpayer, non-general fund dollars on unrelated programs at the expense of victims of crime.  Zeroing out CHIMPS would ensure proper use of the Crime Victims Fund such that funds go directly to the victims of crime.",1111020977167712256,2019-03-27,21:43:37,mikecrapo,11,3,12
"At today's @BudgetGOP markup of the Fiscal Year 2020 Budget Resolution, I expressed support for zeroing out Changes in Mandatory Programs (CHIMPS).  https://www.crapo.senate.gov/media/newsreleases/crapo-expresses-support-for-crime-victims-fund-zeroing-out-changes-in-mandatory-programs …",1111020976203010048,2019-03-27,21:43:37,mikecrapo,10,2,10
Banks were not chartered to manage social policy by limiting credit to politically disfavored industries or promoting credit to politically favored industries. https://www.washingtonexaminer.com/policy/economy/mike-crapo-warns-big-banks-against-caving-to-progressives-on-guns …,1110913747596529666,2019-03-27,14:37:31,mikecrapo,52,13,35
The 10-year plan would divert trillions of taxpayer dollars toward narrow and unachievable benchmarks while divesting the nation of many of its proven technologies that reduce carbon emissions. #idpol  https://www.crapo.senate.gov/media/newsreleases/crapo-votes-against-unworkable-unrealistic-green-new-deal …,1110658597560745985,2019-03-26,21:43:39,mikecrapo,7,4,23
"I voted against the #GreenNewDeal today because it is unworkable, unrealistic and unaffordable. #idpol",1110658596814143488,2019-03-26,21:43:39,mikecrapo,40,7,60
"#ICYMI: My column last week on S. 47, the #LandsPackage, that included my language regarding boundary changes in the #Owyhees. #idpol (via @Idaho_Politics)  https://idahopoliticsweekly.com/politics/2539-guest-opinion-lands-bill-helps-owyhee-collaborative … pic.twitter.com/vXlGdvnSjM",1110643429896273920,2019-03-26,20:43:23,mikecrapo,3,2,4
"Good luck in Hollywood, Logan! Idaho is cheering for you! https://twitter.com/LoganKJohnson/status/1110310493258833920 …",1110331338148728833,2019-03-26,00:03:14,mikecrapo,2,2,9
"Now that Special Counsel Mueller has reached this conclusion, I encourage all of my colleagues to now shift our energy and focus toward our work to advance pro-growth, pro-jobs and national security policies that benefit all Americans and restore international order.",1110296710201442304,2019-03-25,21:45:38,mikecrapo,26,4,28
Read my full statement on the Mueller investigation here -->  https://www.crapo.senate.gov/media/newsreleases/crapo-statement-on-mueller-report …,1110296709261856768,2019-03-25,21:45:38,mikecrapo,10,4,16
"In fact, the @peregrinefund in Boise, Idaho, is leading research on conservation of the bird! @billclarkphotos  https://www.peregrinefund.org/projects/arctic-raptors …",1107700264725823488,2019-03-18,17:48:17,mikecrapo,6,4,21
"Hi Bill, it’s a Gyrfalcon—the largest falcon on earth!! https://twitter.com/billclarkphotos/status/1107675977730191361 …",1107697834588098560,2019-03-18,17:38:38,mikecrapo,2,4,24
"Last Thursday, I submitted a Congressional Record Statement celebrating the 100th anniversary of the first @AmericanLegion caucus on March 15, 1919. The Legion has approximately 9,750 members in Idaho, and represents many American veterans. Thank you for your service! pic.twitter.com/bkSDSfi83f",1107661913272537088,2019-03-18,15:15:54,mikecrapo,8,8,39
"We must acknowledge the hard work on the part of fishermen and women, outfitters and guides, the conservation community, and local, state and federal governments that achieved sensible compromises that resulted in today’s decision.",1106605341196906496,2019-03-15,17:17:27,mikecrapo,5,4,18
Sport fishing is culturally and economically important to families and communities all across Idaho and today’s announcement is welcome news to thousands of Idahoans.  https://www.crapo.senate.gov/media/newsreleases/idaho-delegation-applauds-approval-of-incidental-take-permits-for-idaho-steelhead-fishing …,1106605339783372800,2019-03-15,17:17:27,mikecrapo,9,5,19
"Thank you to all of Idaho's farmers and ranchers for the long, hard hours they put in to put food on our tables. #AgDay19 pic.twitter.com/pKlYPufINO",1106311770157862913,2019-03-14,21:50:54,mikecrapo,7,2,15
The Idaho State Department of Agriculture hosted an event outside the Idaho Capitol today to celebrate #NationalAgDay. 165 tables were set for the average number of people an Idaho farmer feeds annually. pic.twitter.com/vmodY8wkLg,1106311766374604801,2019-03-14,21:50:54,mikecrapo,3,4,19
"On behalf of the over 9,000 Idaho members of the @AmericanLegion, I co-sponsored the LEGION Act to give more veterans the opportunity to join. https://twitter.com/starsandstripes/status/1099143060376580096 …",1106278275448492034,2019-03-14,19:37:49,mikecrapo,4,5,11
"I'm a co-sponsor of the #DAIRYPRIDE Act because we need to ensure that the thorough work our dairy producers and processors do to produce quality, nutritional dairy is not challenged by mislabeled products.

 https://www.crapo.senate.gov/media/newsreleases/risch-crapo-baldwin-stand-up-for-americas-dairy-farmers …",1106260492572610560,2019-03-14,18:27:09,mikecrapo,4,3,10
