tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today I extend love, sorrow, and reverence towards Gold Star Mothers and their families. #GoldStarMothersDay pic.twitter.com/7GKGN31or6",1178331146255507457,2019-09-29,15:30:12,mikecrapo,20,6,32
#ICYMI: My column this week honors Gold Star families. (via @IdahoStateJ)  https://www.idahostatejournal.com/opinion/columns/honoring-gold-star-families/article_4d806c67-7ddd-535d-8131-2be07ae835cd.html … pic.twitter.com/NvlY3ufmtU,1177717065387577345,2019-09-27,22:50:03,mikecrapo,14,5,4
I applaud @POTUS for agreeing to a trade deal with Japan. Reduced or eliminated tariffs will provide greater market access for Idaho agriculture in Japan. This agreement with America’s fourth largest trading partner will be a win for the American people.,1176965555829559298,2019-09-25,21:03:50,mikecrapo,42,24,64
"I had a great meeting with the @NAFISschools. This program impacts over 14,000 students across the state, I am proud to continue to fight for Idaho’s youth. pic.twitter.com/d4steuui81",1176936843956412421,2019-09-25,19:09:44,mikecrapo,18,2,12
My statement on #ImpeachmentInquiry pic.twitter.com/cWl0sEX95Y,1176630318088040449,2019-09-24,22:51:43,mikecrapo,119,31,112
The benefits provided by the Montgomery GI Bill and DoD-funded TA are valuable incentives that can help the Reserve Components meet their recruiting and retention goals by providing financial means for servicemembers to obtain a college degree. https://twitter.com/SenJohnHoeven/status/1176555570314264576 …,1176575199036280832,2019-09-24,19:12:41,mikecrapo,8,4,7
This is great news for #Idaho airports ✈️ https://idahonews.com/news/local/nine-idaho-airports-awarded-96-million-in-infrastructure-grants …,1176533749011492864,2019-09-24,16:27:59,mikecrapo,7,8,23
"- Nearly 3 million men in the U.S. live with prostate cancer.

- 1 in 41 men in the U.S. will die from prostate cancer. 

The U.S. Senate unanimously supported a Senate Resolution designating September as National Prostate Cancer Awareness Month.  https://www.crapo.senate.gov/media/newsreleases/senate-recognizes-september-as-prostate-cancer-awareness-month …",1176241266075602945,2019-09-23,21:05:45,mikecrapo,17,4,12
"I know firsthand the need for early screenings and warnings about the health threat of cancer, I am proud to be an original co-sponsor of this legislation.  https://www.crapo.senate.gov/media/newsreleases/crapo-klobuchar-introduce-legislation-to-reauthorize-breast-cancer-awareness-funding …",1176177141123338240,2019-09-23,16:50:57,mikecrapo,16,3,11
"With fall officially here, check out everything Idaho has to offer this beautiful time of year!  https://visitidaho.org/fall-for-idaho/  @visitidaho pic.twitter.com/eBiY4LbXvp",1176146384405368833,2019-09-23,14:48:44,mikecrapo,15,4,19
Happy #SpudDay! This 91-year-old tradition recognizes Idaho’s pride and joy! pic.twitter.com/E5DLG3Njnl,1175416954913533952,2019-09-21,14:30:14,mikecrapo,15,6,33
#ICYMI: My column this week focuses on preventing Medicaid patient abuse. (via @Idaho_Politics)  https://idahopoliticsweekly.com/politics/2844-guest-opinion-preventing-medicaid-patient-abuse … pic.twitter.com/L3tmER5HnW,1175175337837305864,2019-09-20,22:30:08,mikecrapo,18,2,9
"I know firsthand the need for early screenings and warnings about the health threat of cancer, and am proud to co-sponsor legislation with @SenAmyKlobuchar to reauthorize funding for the EARLY Act.

 https://www.crapo.senate.gov/media/newsreleases/crapo-klobuchar-introduce-legislation-to-reauthorize-breast-cancer-awareness-funding …",1175099553172901889,2019-09-20,17:29:00,mikecrapo,5,1,3
"During #NationalPOWrecognitionday, we honor and recognize the over 81,000 Americans and 359 Idahoans still unaccounted for in wartime. You Are Not Forgotten. pic.twitter.com/cMFUDyVFbQ",1175069717066846212,2019-09-20,15:30:26,mikecrapo,4,3,7
"This week is #NationalForensicScienceWeek! Forensic science service providers address critical criminal and civil questions in the United States, including by providing scientific conclusions relating to forensic evidence. pic.twitter.com/CacGwBIhFW",1174800423666036738,2019-09-19,21:40:22,mikecrapo,4,3,8
"#tbt when I was able to celebrate and congratulate the city of Carey, Idaho, on its centennial celebration. pic.twitter.com/J6J1TMubxg",1174757915934298118,2019-09-19,18:51:27,mikecrapo,5,1,16
"Happy #nationalcheeseburgerday! While in Archer for a town meeting recently, I had the chance to stop by @BigJuds and see my Burger Challenge photo still on the wall! pic.twitter.com/8fHynpyAEi",1174383381490147330,2019-09-18,18:03:11,mikecrapo,7,1,17
"#HappyBirthday to the @USAirForce! Aim High, Fly-Fight-Win #airpower pic.twitter.com/8p91hOcrbS",1174349279697281024,2019-09-18,15:47:41,mikecrapo,6,3,8
"HAPPENING TODAY: I will talk with Neal Larson on his 
@kidnewsradio show around 10:15am ET/8:15am MT! Don’t forget to tune in!  https://streamdb4web.securenetsystems.net/cirrusencore/index.cfm?stationCallSign=KIDAM …",1174312306844557314,2019-09-18,13:20:46,mikecrapo,2,2,6
"Happy #ConstitutionDay! 232 years ago, the Constitutional convention signed and adopted the United States Constitution. pic.twitter.com/6yoVJeSLQa",1174014011102453761,2019-09-17,17:35:27,mikecrapo,9,4,14
"The federal government does not pay local property taxes, which makes rural counties containing large swaths of federally-owned land face tough financial decisions. I look forward to continue working in a bipartisan manner.  https://www.crapo.senate.gov/media/newsreleases/bipartisan-group-of-western-senators-introduce-legislation-to-provide-financial-certainty-for-rural-counties … pic.twitter.com/g0i6VyTAP9",1173992861055930369,2019-09-17,16:11:24,mikecrapo,6,1,2
"@indieDwell utilizes refurbished shipping units and solar power to create homes with a yard and a price tag under $900 monthly, including the cost of utilities.   https://www.crapo.senate.gov/media/newsreleases/crapo-collaboration-and-innovation-are-key-to-affordable-housing … pic.twitter.com/BfEwqzi1vB",1173607880764928000,2019-09-16,14:41:38,mikecrapo,4,2,2
"In Idaho, home prices are on the rise and demand is high. We all want to share in the American Dream of having our own place to live. That means we must diversify our approach and find new, innovative ways to expand affordable housing venues.",1173607871269015553,2019-09-16,14:41:35,mikecrapo,11,3,7
#tbt: I had the opportunity to stop by the Friedman Memorial Airport in Hailey during the August state work period. What a great opportunity to discuss critical infrastructure improvements needed to ensure the continuity of service for one of Idaho’s busiest airports. #SUN pic.twitter.com/TcxU76gRdy,1172229416879034369,2019-09-12,19:24:06,mikecrapo,14,1,3
"The Idaho suicide prevention hotline provides crisis intervention, emotional support and resource referrals. Call or text (208) 398-4357 or visit  https://www.idahosuicideprevention.org/   https://youtu.be/DT6Dgsbxy18  via @YouTube",1172192404369227777,2019-09-12,16:57:02,mikecrapo,9,4,2
A touching 9/11 memory by a fellow Idahoan https://www.cdapress.com/kerri_thoreson/20190910/anniversary_of_attack_on_america_brings_back_memories …,1172174985936474112,2019-09-12,15:47:49,mikecrapo,5,1,3
"Yesterday, the Senate confirmed @POTUS’ 150th judicial nominee.  The Senate remains hard at work enforcing Article III of the U.S. Constitution, and we won’t slow down now.",1172167889140486150,2019-09-12,15:19:37,mikecrapo,63,33,113
#ICYMI: My column this week focuses on September 11: A Day of Remembrance and Recommitment to First Responders. (via @twinfallstn )  https://magicvalley.com/opinion/columnists/reader-comment-september-a-day-of-remembrance-and-recommitment-to/article_242a614a-f0d4-53b3-b55c-45e5ecfcada2.html … pic.twitter.com/y8viohSRAs,1171887628616122368,2019-09-11,20:45:57,mikecrapo,7,3,12
Tune in today to hear testimony on the @ENERGY Nat’l Labs Jobs ACCESS Act (S. 1739). WATCH:  https://www.energy.senate.gov/public/index.cfm/live-webcast …,1171849009184591874,2019-09-11,18:12:30,mikecrapo,0,1,0
"After eleven years of conservatorship limbo, it is long past time to make the hard decisions and address this last unfinished business of the financial crisis.  https://www.banking.senate.gov/newsroom/majority/crapo-statement-at-housing-finance-reform-hearing … pic.twitter.com/UXLDJxC7pc",1171808568619782144,2019-09-11,15:31:48,mikecrapo,11,2,7
"On this day 18 years ago, devastation struck in New York City, Shanksville, PA and Washington, DC. We as a nation lost 2,977 people, including 2 Idahoans. Ronald Vauk (Nampa) and Brady Howell (Sugar City). We will never forget those lost and those who sacrificed #neverforget #911 pic.twitter.com/4HeOEkZpSg",1171773372017139712,2019-09-11,13:11:57,mikecrapo,8,15,30
