tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I'm pleased @NYCMayor & @HUDgov have reached an agreement preventing a takeover of @NYCHA by @realDonaldTrump's Admin. Now, we need additional investment at the state, fed and city level. And, I'll continue watching this process closely. Joint statement with my colleagues below. pic.twitter.com/KZNTRvrnn6",1091089575689244672,2019-01-31,21:43:20,nydiavelazquez,9,12,44
"Today I joined with other local elected officials, @CVHaction, and others to oppose @realDonaldTrump's HUD taking over @NYCHA.  We need to reinvest in our public housing at state, federal and local levels of govt - not turn the agency over to an Admin hostile to public housing. pic.twitter.com/eH5UmxP9l5",1091041613357465606,2019-01-31,18:32:45,nydiavelazquez,2,9,19
Thank you for your ongoing service on the Committee! You are a strong voice for our nation's entrepreneurs and I look forward to continuing to collaborate with you in the #116th Congress!,1090688540252491782,2019-01-30,19:09:46,nydiavelazquez,0,4,8
"The attack on #JussieSmollett is appalling and repugnant. All of us should speak out and condemn this vile act. For my part, I have also introduced legislation to dedicate additional federal resources to combating and preventing hate crimes. https://nyti.ms/2SccdVw ",1090673620978937857,2019-01-30,18:10:29,nydiavelazquez,2,8,23
Attended today's organizational meeting of the @NRDems (Natural Resources Committee). Looking forward to this Congress working on issues related to Puerto Rico and our nation's public lands and protection of our waters. pic.twitter.com/z8MQXQ3Bey,1090669220227137537,2019-01-30,17:53:00,nydiavelazquez,5,10,41
It’s been 10 years since the Lilly Ledbetter Fair Pay Act became law – but our work isn’t done. That’s why I’m proud to join my fellow @HouseDemocrats in reintroducing the #PaycheckFairness Act. #EqualPay pic.twitter.com/6gHdWNjG1A,1090663271668109315,2019-01-30,17:29:22,nydiavelazquez,0,3,13
Today I spoke on the House floor in support of legislation instructing financial institutions to grant a reprieve to workers affected by the #TrumpShutdown -- not exploit workers who lost pay from the shutdown! pic.twitter.com/aPxlsCSVH5,1090364641262342144,2019-01-29,21:42:43,nydiavelazquez,5,14,46
"Puerto Rico is treated unequally in Medicaid, Medicare, Social Security Insurance, and Nutrition Assistance Programs. Puerto Ricans are American Citizens!  I will continue working with my colleagues to see H.R. 268 Supplemental Appropriations Act of 2019 funding signed into law!",1090358356433354753,2019-01-29,21:17:44,nydiavelazquez,70,101,340
"#ForThePeople H.R. 1 is an anti-corruption bill that will help restore American democracy! 
H.R. 1: 
Expands and protects Voting Rights
Requires transparency in Campaign Finance
Create a new code of ethics for #SCOTUS",1090358241287131136,2019-01-29,21:17:17,nydiavelazquez,2,8,22
"I am proud to join the Subcommittee on Water, Oceans, and Wildlife (#WOW) with the House Natural Resource Committee (@NRDems).  

It's our duty to strengthen conservation efforts & the 116th Congress will work to protect our planet and our waters!",1090358131010560000,2019-01-29,21:16:50,nydiavelazquez,2,11,24
