tweet,id,date,time,username,replies_count,retweets_count,likes_count
Today I hosted two town hall meetings where I had the chance to hear from some of my #NC10 constituents in #BuncombeCounty and #RutherfordCounty. I always enjoy hearing about the issues and concerns that matter most to those here in #WNC. pic.twitter.com/aMtxRAoSZ4,1156693923596840961,2019-07-31,22:31:36,patrickmchenry,5,1,9
Looking forward to joining @PeteKaliner this evening to give an update on what is happening in DC and how it impacts #NC10. Tune in here at 5:00 to listen → https://www.iheart.com/live/news-radio-570-wwnc-1593/?pname=15400&campid=header&cid=%2Ffeatured%2Fpete-kaliner%2F …,1156280089799270401,2019-07-30,19:07:10,patrickmchenry,2,2,3
ICYMI: Read my latest newsletter to get an update on what has been happening in DC from a resolution to denounce the shameful #BDS movement to a @FinancialCmte hearing that highlighted the harmful effects of #DoddFrank. Read here →  https://mchenry.house.gov/news/email/show.aspx?ID=WWIDJWTXSZENY6YOSEIWQFPLRY …,1155860289587482626,2019-07-29,15:19:02,patrickmchenry,5,2,2
Excellent choice by the President. @RepRatcliffe has been a tremendous member of the @HouseGOP Conference & will be great as DNI. https://twitter.com/realDonaldTrump/status/1155580140392501248 …,1155589296289648640,2019-07-28,21:22:12,patrickmchenry,19,2,20
Yesterday’s testimony from Special Counsel Mueller is a victory for rule of law and a victory for @realDonaldTrump. Time to move past the partisan investigations and get to work on behalf of the American people. pic.twitter.com/T6ZXcj36dr,1154473873783631873,2019-07-25,19:29:55,patrickmchenry,71,49,208
"Please join me in praying for the full recovery of #NC10 native & @NCSHP Trooper, Christopher Wooten, who was critically injured during a police chase on Monday. This incident reminds us of the sacrifices our law enforcement make each day to keep us safe→ https://www.gastongazette.com/news/20190723/trooper-critically-injured-in-crash-is-south-point-alumnus …",1154431424277164032,2019-07-25,16:41:14,patrickmchenry,4,3,10
One thing all Americans can agree on is we are tired of endless robocalls. I'm proud to support this bipartisan bill to help stop them. https://twitter.com/HouseCommerce/status/1154129439502065666 …,1154133296512737282,2019-07-24,20:56:35,patrickmchenry,8,4,31
"Last night, I was proud to support a resolution opposing the #bdsmovement. However, we need to do more against this shameful effort to delegitimize Israel and pass legislation that would actually fight back against the BDS movement. https://www.cnn.com/2019/07/23/politics/house-anti-bds-resolution/index.html …",1154047227985186817,2019-07-24,15:14:34,patrickmchenry,7,0,0
Staff will be holding office hours in #ClevelandCounty for #NC10 constituents WEDNESDAY from 1 PM - 4 PM. Come to the Cleveland County Administration Building—311 E. Marion Street—with questions and concerns. Click here to learn more → https://mchenry.house.gov/news/documentsingle.aspx?DocumentID=402338 …,1153763451220762625,2019-07-23,20:26:57,patrickmchenry,2,2,0
Sandy Lyons was a man of great character who dedicated his life to service. I was fortunate to call him a friend. Click here to read more about a man who will be missed by all who knew him →  https://www.hickoryrecord.com/obituaries/lyons-sanford-sandy-david/article_35edf983-87ff-529a-956b-7ac102a6b83e.html?utm_medium=social&utm_source=email&utm_campaign=user-share … pic.twitter.com/fbNfKF2MFg,1153406216602836992,2019-07-22,20:47:25,patrickmchenry,2,3,2
The Morehead Planetarium in Chapel Hill played an important role in ensuring the Apollo 11 mission was a success. Click here to learn how the astronauts trained in #NC as well as the other important roles #NC played in getting the first man on the moon → https://www.newsobserver.com/news/local/article232684862.html …,1152678313443414018,2019-07-20,20:35:00,patrickmchenry,7,1,6
"On this day 50 years ago the Apollo 11 astronauts took their first steps on the moon. As we celebrate this historic achievement, let us also celebrate the men & women whose dedication & hard work led to this incredible moment in our nation’s history → https://www.cnn.com/2019/07/20/us/apollo-11-moon-mission-landing-anniversary-scn/index.html …",1152658073720414209,2019-07-20,19:14:34,patrickmchenry,7,2,24
"Yesterday, the @FinancialCmte held a hearing on @facebook’s Project Libra. I had the opportunity to share my thoughts on supporting financial innovation & to ask questions on how this plan will comply with existing regulation → https://mchenry.house.gov/news/documentsingle.aspx?DocumentID=402334 …",1151931130310004738,2019-07-18,19:05:57,patrickmchenry,29,13,103
Thank you for your leadership @giancarloMKTS! https://twitter.com/giancarloMKTS/status/1151521767468539905 …,1151530915048411143,2019-07-17,16:35:39,patrickmchenry,31,11,152
Tune in this morning to watch the @FinancialCmte hearing on @facebook's Project Libra. https://twitter.com/FinancialCmte/status/1151267872301338628 …,1151488386336743425,2019-07-17,13:46:39,patrickmchenry,42,23,126
With the many incredible businesses found in #NC10 and all across the state it is no surprise that a recent @CNBC study found that #NC was one of the top states for business in 2019. Learn more about what made our state number 3 on that list → https://www.cnbc.com/2019/07/10/these-are-americas-top-states-for-business-in-2019.html …,1150464979893538816,2019-07-14,18:00:00,patrickmchenry,15,2,17
"Recently, Margaret Treadway was finally recognized as a #GoldStar spouse decades after she lost her husband during WWII. Click here to read this wonderful story on a #NC10 community coming together → https://www.shelbystar.com/news/20190707/wife-of-fallen-ww-ii-seaman-finally-given-gold-star-flag …",1150057296434814980,2019-07-13,15:00:01,patrickmchenry,4,3,3
It is the responsibility of Congress to provide for a strong national defense & ensure our troops have the resources they need to keep us safe. It is a shame this year’s #NDAA crafted by House Dems fails to fulfill this responsibility. Learn why here → https://nationalinterest.org/feature/house-ndaa-puts-mighty-us-military-risk-66346 …,1149770405088903168,2019-07-12,20:00:00,patrickmchenry,6,1,6
Our nation’s first responders didn’t hesitate to answer the call when our nation was attacked on 9/11. I was proud to cosponsor and vote for a bill that will help these heroes and their families. Learn more here → https://www.cbsnews.com/news/house-to-vote-on-911-victims-compensation-fund-bill/ …,1149737091171004416,2019-07-12,17:47:38,patrickmchenry,7,3,17
"Yesterday, during the @FinancialCmte hearing with Fed Reserve Chairman Powell, I had the opportunity to ask him questions on interest rates, Facebook’s Project Libra, and more. Click here to watch → https://mchenry.house.gov/news/documentsingle.aspx?DocumentID=402329 …",1149363637137657856,2019-07-11,17:03:39,patrickmchenry,5,1,5
Tune in on @cspan as Fed Chair Powell testifies before the @FinancialCmte https://twitter.com/cspan/status/1148945602874679296 …,1148956683244384256,2019-07-10,14:06:34,patrickmchenry,1,0,0
This is a great story from @ourstatemag on the #NC10 city of Shelby. From BBQ to famous musicians Shelby has a rich history that is still cherished today. Click here to learn more about Shelby → https://www.ourstate.com/shelby/ ,1148661905311064065,2019-07-09,18:35:13,patrickmchenry,3,4,10
Congratulations to the @USWNT on winning the 2019 World Cup! Their historic 2-0 win against the Netherlands marks the fourth time they have been World Cup champions. We are proud of you! https://twitter.com/USWNT/status/1147953867793022977 …,1148261152167792640,2019-07-08,16:02:46,patrickmchenry,2,1,3
"Happy #IndependenceDay! Today, as we enjoy this holiday with family and friends across #NC10, let us remember the brave men and women throughout history who have made these celebrations possible. God Bless America. pic.twitter.com/YBVvBuQqBY",1146795804603981824,2019-07-04,15:00:00,patrickmchenry,14,26,138
"This week, I was honored to join @POTUS for the signing of the bipartisan #TaxpayerFirstAct, which includes provisions from a bill I introduced to modernize the IRS and help #smallbusinesses and #consumers. Learn more here → https://mchenry.house.gov/news/documentsingle.aspx?DocumentID=402325 …",1146462515142057984,2019-07-03,16:55:38,patrickmchenry,2,2,6
