tweet,id,date,time,username,replies_count,retweets_count,likes_count
Joined @KUOW in Washington to discuss how I’m fighting back against the relentless and cruel attacks on women's health care and #RoeVWade. Listen now ⬇️ https://www.kuow.org/stories/wa-sen-patty-murray-on-protecting-abortion-rights-this-supreme-court-really-concerns-me …,1134605476891463680,2019-05-31,23:40:00,pattymurray,19,10,46
New information suggests that the Trump Admin is attempting to use the 2020 census as a political weapon to advance partisan gerrymandering. This is absolutely unacceptable. I'm joining @brianschatz to demand DOJ and the Dept. of Commerce investigate. https://www.nytimes.com/2019/05/30/us/census-citizenship-question-hofeller.html …,1134581065937375233,2019-05-31,22:03:00,pattymurray,55,134,367
"While this is good news for the people of Missouri today, it is a scary reminder of how vulnerable women's access to abortion care truly is. We all need to keep speaking out. https://twitter.com/ABC/status/1134527459293048833 …",1134572878245040133,2019-05-31,21:30:28,pattymurray,16,58,213
"Climate change is an urgent threat to our National Parks, our communities, and future generations. It's past time we #ActOnClimate. https://www.seattletimes.com/nation-world/visiting-a-national-park-this-summer-youll-get-up-close-view-of-climate-crisis/ …",1134555648505630720,2019-05-31,20:22:00,pattymurray,27,37,98
"In Toledo, I discussed my plan to help ensure we don’t become a nation of haves & have-nots when it comes to access to digital tools. The Digital Equity Act would help make sure everyone has the digital skills to be competitive no matter where they live. https://tdn.com/news/local/sen-murray-proposes-grants-to-expand-digital-literacy/article_2674733e-a75e-57ec-a571-4ee7ac34bcc3.html …",1134522180849590272,2019-05-31,18:09:00,pattymurray,3,14,34
Louisiana's abortion ban is another attempt to control women's decisions and criminalize doctors. It is not only extreme and cruel—it's unconstitutional and part of a larger effort to overturn #RoeVWade. #StopTheBans https://twitter.com/AP/status/1134209115142721537 …,1134495568317865984,2019-05-31,16:23:16,pattymurray,96,76,230
"Before he became a global martial arts star, Bruce Lee spent a significant part of his life in Seattle. Always breaking barriers in life and in his career, Lee redefined portrayals of Chinese people in films and television for generations to come. #APAHM pic.twitter.com/iroC0sZLKH",1134447435177029632,2019-05-31,13:12:00,pattymurray,2,14,64
Child care in Whatcom County is among the least affordable in Washington state. The Child Care for Working Families Act would ensure every family can afford child care—which is critical to expanding opportunities for families. #ChildCare4All https://www.bellinghamherald.com/news/local/article230744454.html …,1134270016365506562,2019-05-31,01:27:00,pattymurray,9,16,45
These disturbing numbers underline how much more we must do to ensure the VA Caregivers program is ready to serve even more of our veterans by the upcoming deadline. I won’t stop pressing to make sure we get it right for our veterans and their families. https://www.militarytimes.com/news/pentagon-congress/2019/05/29/falling-enrollment-in-vas-caregiver-program-raises-concerns/ …,1134238307766951937,2019-05-30,23:21:00,pattymurray,1,8,27
"As the daughter of a veteran, I appreciate @VAPugetSound's work to provide mental health care to our veterans in need. If you or a veteran you know is in crisis, reach out to the Veterans Crisis Line at 1-800-273-8255 and press 1.",1134229374344077313,2019-05-30,22:45:30,pattymurray,2,21,52
It was great to tour @VAPugetSound's new Mental Health and Research Building and hear about their efforts as we continue to work to find ways to better identify and serve the mental health needs of our nation’s veterans. pic.twitter.com/1BSIB9WzIb,1134229365926060033,2019-05-30,22:45:28,pattymurray,9,18,56
"Too many people work 40+ hours a week and are still struggling—and Trump’s proposed overtime rule would deny millions of workers the overtime pay they've earned.

@SenSherrodBrown, @SenSanders, and I urged the admin to withdraw this harmful proposal. https://www.help.senate.gov/ranking/newsroom/press/murray-brown-sanders-lead-20-senators-in-urging-labor-dept-to-withdraw-proposed-rule-that-would-deny-millions-of-workers-overtime-pay-they-have-earned …",1134208611557597184,2019-05-30,21:23:00,pattymurray,20,48,102
"Last week I was proud to discuss my bill, the VA Newborn Emergency Treatment Act, to ensure no veteran ever faces a surprise bill for benefits they’ve earned through their sacrifice to our country—especially new moms and their babies dealing with an emergency situation. pic.twitter.com/AVytkc4BbD",1134178413097435139,2019-05-30,19:23:00,pattymurray,10,19,85
Thanked the staff of Clark County Public Health yesterday for their around the clock work responding to the recent measles outbreak. We must continue to educate people that #VaccinesSaveLives. pic.twitter.com/gPF5eHA54k,1134163061936459778,2019-05-30,18:22:00,pattymurray,18,5,23
"Such a pleasure hearing from workers in Vancouver about the benefits of being able to organize on the job and how they've overcome challenges to advocate for better pay and working conditions. Our economy should work for everyone, and the PRO Act would help ensure that. pic.twitter.com/dqAYlcmAjX",1134146452421169152,2019-05-30,17:16:00,pattymurray,2,6,15
Had a great time at SW WA's Toledo High learning about the tools and resources they offer to help students & community members learn computer skills. The Digital Equity Act would help support & expand similar digital inclusion programs throughout the country. #DigitalEquityNow pic.twitter.com/Z2O9cP5ihK,1134132863073488897,2019-05-30,16:22:00,pattymurray,7,7,18
Thinking of Thad Cochran and his family today. I'm proud of our work together on the Senate Appropriations Committee and wish his family the best during this difficult time.,1134119913919057920,2019-05-30,15:30:33,pattymurray,1,6,27
"As members of the International Longshore and Warehouse Union (ILWU) Local 37 in Seattle, cannery workers Silme Domingo and Gene Viernes fought to clean up the union corruption and expand rights for workers and Filipinos in the 1970s-1980s. #APAHM pic.twitter.com/ztzlkaoIrP",1134112730044964864,2019-05-30,15:02:00,pattymurray,2,10,32
"Last week, I led a @SenateDems resolution to reaffirm #RoeVWade and a woman’s constitutionally protected right to make her own decisions about her body and health care. In the face of relentless attacks on women, we're not going to back down. pic.twitter.com/osqYThVdOb",1134089477914333186,2019-05-30,13:29:36,pattymurray,60,171,896
"My thoughts are with you and your family, @SenAlexander. I wish you a speedy recovery and look forward to continuing our work together.",1133876067691839488,2019-05-29,23:21:35,pattymurray,2,7,31
"Second, Mueller's statement underscored our responsibility in Congress to conduct oversight that ensures the right people are held accountable and helps prevent this from ever happening again. All options should be on the table as we do that.",1133844552253624320,2019-05-29,21:16:21,pattymurray,53,91,467
"Mueller made two things very clear. First, Russia interfered in our elections. We are still vulnerable to interference from Russia and others—so it is disgraceful and unacceptable that Republican leaders are blocking bipartisan election security legislation.",1133844550378754048,2019-05-29,21:16:21,pattymurray,64,183,728
