tweet,id,date,time,username,replies_count,retweets_count,likes_count
"After 8 weeks of stalling by House Dems, emergency funding to address the humanitarian crisis on our southern border is finally headed to #POTUS. The urgency shouldn’t end here - we must continue working to tackle the root causes of this growing crisis.  https://bit.ly/2NfXoQs  pic.twitter.com/8EXXEKICwB",1144367647804547072,2019-06-27,22:11:23,rep_stevewomack,21,28,73
Happy to report that Isaiah Belue of Greenwood was the first midshipman candidate who reported to @NavalAcademy I-Day! He was ready to go! Jack Lotspeich of Cave Springs is also there. Extremely proud of all the #AR3 students who are willing to serve our nation. #Induction #USNA https://twitter.com/NavalAcademy/status/1144225300881870849 …,1144290437009723397,2019-06-27,17:04:34,rep_stevewomack,0,3,11
Thanks for stopping by! https://twitter.com/peyjobe/status/1144243754859147264 …,1144266663040303104,2019-06-27,15:30:06,rep_stevewomack,0,1,4
"Wishing my grandson, Kaden, a very happy birthday! He is 6 today, and I know he is looking forward to some cake! #HappyBirthday pic.twitter.com/zozZYI3dTS",1144233492240326656,2019-06-27,13:18:18,rep_stevewomack,4,3,22
It is great to have Boone County Judge Robert Hathaway and Boone County Justice of the Peace Fred Woehl in Washington! Thanks for stopping by and for your work in the Third District! #AR3 pic.twitter.com/fGxV9Ffl24,1144000467640430592,2019-06-26,21:52:20,rep_stevewomack,1,0,3
"ICYMI: The Senate just passed a bipartisan supplemental aid bill 84 - 8. It addresses the humanitarian crisis at the border, providing critical aid and security resources needed to help. Speaker Pelosi should bring this bipartisan package to a vote in the House immediately.",1143986646108573698,2019-06-26,20:57:25,rep_stevewomack,7,3,8
"ICYMI: The Sebastian County Disaster Recovery Center is now open. It is located upstairs near Dillard's in the Central Mall, 5111 Rogers Ave. in Fort Smith. 

Hours are Monday through Saturday, from 7 a.m. to 7 p.m., and Sunday 1-5 p.m. https://www.nwahomepage.com/news/fema-disaster-recovery-center-opens-in-fort-smith-1/2098285985 …",1143934636172742660,2019-06-26,17:30:45,rep_stevewomack,0,3,1
"The numbers speak for themselves. The humanitarian & security crisis is real-and Congress must provide the resources that are needed. The Senate advanced a bipartisan aid package that can be signed into law. Instead of doing the same, House Dems continue to play political games.",1143719202852880384,2019-06-26,03:14:41,rep_stevewomack,6,10,18
"@HouseGOP: There is a security & humanitarian crisis at the border

Dems: No there is isn’t 

GOP: Try to bring supplemental bill that can be signed into law to the House floor 18X

Dems: Admit crisis but ignore aid request for 56 days. Put forth a partisan bill at the 11th hour",1143719199807856640,2019-06-26,03:14:41,rep_stevewomack,27,46,100
"It was a pleasure to have #AR3 residents from Fort Smith, Harrison, Alpena, Springdale, and Fayetteville in Washington! I hope you enjoyed your Capitol tour and the view from the Speaker's Balcony this week! Safe travels back to the Natural State! pic.twitter.com/8jyQu7yvFy",1143646780988506113,2019-06-25,22:26:55,rep_stevewomack,0,0,3
