tweet,id,date,time,username,replies_count,retweets_count,likes_count
I joined the Vietnam Veterans 50th Anniversary Ceremony in Russellville to recognize some of Arkansas’s heroes. Grateful to take part in such an amazing event and thank our brave veterans! 🇺🇸#VietnamWarVeteransDay #AR3 pic.twitter.com/HmOKFAelOm,1111763537406377985,2019-03-29,22:54:17,rep_stevewomack,1,2,22
"Today, we salute the veterans who served and made the ultimate sacrifice in Vietnam. We will never forget those who have answered the call of duty. Please take a moment to thank or honor a Vietnam veteran - we are forever grateful. #VietnamWarVeteransDay pic.twitter.com/2mERUh8orG",1111649156295258113,2019-03-29,15:19:46,rep_stevewomack,45,72,279
"APRIL MOBILE OFFICES → Dates for April mobile office stops in Bull Shoals, Russellville, and Elkins can be found here:  https://bit.ly/2Wz85gD  #AR3 pic.twitter.com/BQDkXtBXAs",1111636470572429326,2019-03-29,14:29:22,rep_stevewomack,1,1,2
"“A failure to budget is a failure to govern,” said Rep. Steve Womack, the top Republican on the House Budget Committee. “I know from experience that drafting a budget is not easy, but it’s a fundamental part of our jobs in Congress.” cc: @housebudgetGOP https://on.wsj.com/2V1rpTB ",1111635587331735554,2019-03-29,14:25:51,rep_stevewomack,49,34,108
I support Governor @AsaHutchinson as he asks the DOJ to seek an expedited appeal. Arkansas will continue to defend its work to help low-income residents empower themselves and rise out of poverty.,1111303904988405761,2019-03-28,16:27:52,rep_stevewomack,11,4,20
I agree with @AsaHutchinson: Medicaid work and community engagement requirements are about providing those in need with assistance -- but also giving able-bodied people the tools and training to lift themselves up. A job is one of the greatest equalizers. https://twitter.com/AsaHutchinson/status/1111296510921240576 …,1111302455822831616,2019-03-28,16:22:07,rep_stevewomack,2,0,7
"My grandson, Kaden, lost his first tooth this week! He didn’t tell his mom at first because he “wanted to see if the tooth fairy was real.” #AR3 pic.twitter.com/ZwvlY1cOtD",1111271680058576897,2019-03-28,14:19:49,rep_stevewomack,1,0,32
"I hope today's misguided ruling against Arkansas's Medicaid work requirements will be overturned. We need a system that not only helps those when they hit tough times, but also encourages them to get back on their feet. https://bit.ly/2FF4rfO ",1111037987847106560,2019-03-27,22:51:13,rep_stevewomack,12,1,12
"I'm voting in DC, but I'm glad to hear that Transplace is building a new center in Rogers! My staff attended today's groundbreaking, and I look forward to visiting the finished site. The new facility will create jobs and support investment in #AR3.  https://bit.ly/2V0S2YD  pic.twitter.com/uRgC3PDCoq",1110984323879092224,2019-03-27,19:17:58,rep_stevewomack,0,0,5
"Appreciated having the Arkansas members of @AIPAC stop by my office this week. Thankful for their work to support the Jewish community, enhance the strong U.S.-Israel relationship, and fight anti-Semitism. #AR3 pic.twitter.com/385zjRhaAZ",1110962355440111617,2019-03-27,17:50:40,rep_stevewomack,16,6,36
"Today, @POTUS will award the Medal of Honor to #USArmy Staff Sgt. Travis Atkins. Atkins put himself between his fellow soldiers and a suicide bomber. He is a hero who made the ultimate sacrifice. Let us honor him and all of our service members.  https://washex.am/2OvyHwy  #HonorThem",1110899815771193344,2019-03-27,13:42:10,rep_stevewomack,0,0,24
"JUST NOW: House Dems failed to override the President's veto. They continue to prioritize political show votes over working to #SecureTheBorder and implement immigration reform. Last month, 76,000 migrants attempted to illegally cross into the U.S. – a 12-year high. https://twitter.com/Reuters/status/1110603709426384897 …",1110609585197465600,2019-03-26,18:28:53,rep_stevewomack,4,2,9
Are Dems going to continue to deny that there is a crisis at our southern border? Ignoring a problem because you want to deny the President a win doesn't change the facts. Looking forward to voting to uphold the President’s veto today.  https://bit.ly/2TYg7TC  #SecureTheBorder pic.twitter.com/BU3I0RjV5N,1110581811149766657,2019-03-26,16:38:32,rep_stevewomack,6,5,10
#AR3 HIGH SCHOOL STUDENTS → My office is now accepting entries for the 2019 Congressional Art Competition! The winner will have their art piece displayed in the U.S. Capitol. Learn more:  https://bit.ly/2FBMmiH  pic.twitter.com/VmDsT7zrP5,1110557400828993537,2019-03-26,15:01:32,rep_stevewomack,0,2,3
"Fred Malek was a highly respected leader whose accolades and dedication to this nation will be forever remembered. In both his personal and professional life, he exemplified West Point values – Duty, Honor, Country. He will be missed. My prayers are with the Malek family. RIP https://twitter.com/WPAOG/status/1110188540959342592 …",1110539302885384194,2019-03-26,13:49:37,rep_stevewomack,0,0,15
"It's budget and appropriations season! Interested in learning more? @HouseBudgetGOP is laying out the top terms, facts, and figures that will help guide you through all things #budget. Learn more:  https://bit.ly/2CC79kn  pic.twitter.com/sRxqRnecqX",1110292344006426627,2019-03-25,21:28:17,rep_stevewomack,2,4,6
"SAVE THE DATE(S): Hey #AR3, I will be hosting Mobile Office stops throughout April! More details here:  https://womack.house.gov/calendar/  pic.twitter.com/lYQxfoGRE9",1110276566666436609,2019-03-25,20:25:36,rep_stevewomack,0,1,2
Around #AR3: There was a Kite Festival for families in Eureka Springs this weekend! Check out some of the kites:  https://bit.ly/2Fysjl4  https://twitter.com/nwademgaz/status/1110236160033476608 …,1110244469541138433,2019-03-25,18:18:03,rep_stevewomack,0,2,4
"ICYMI: SSi Incorporated, a construction firm based in #AR3, celebrated 50 years of business! It's always great when businesses in our region succeed and grow. SSi puts Arkansans to work and has built facilities across AR. I was proud to celebrate their success last week! pic.twitter.com/acK2b2sqs0",1110215099216728066,2019-03-25,16:21:21,rep_stevewomack,0,0,2
"Today, we recognize and salute all of the Medal of Honor recipients who have exhibited immeasurable heroism, valor, and service. The Medal of Honor is the highest award this nation can give a service member. God bless our men and women in uniform. #MedalofHonorDay #HonorThem pic.twitter.com/jRkLrGpyCa",1110198430763282433,2019-03-25,15:15:07,rep_stevewomack,9,19,85
I’m glad the investigation is over and the American people can know the truth—no collusion and no obstruction. Full statement:  https://bit.ly/2TqxjvX  #MuellerReport pic.twitter.com/VjcFR0U7gw,1109946619632455685,2019-03-24,22:34:30,rep_stevewomack,6,16,35
"I stopped by Community Services Clearinghouse, which provides support to people who are facing hard times. They run a Meals for Kids Backpack Program, which prepares and distributes over 2,800 backpacks of food to children, so they have food for the weekend. Truly amazing work! pic.twitter.com/BbY6WHqfxV",1109211384842203136,2019-03-22,21:52:56,rep_stevewomack,3,3,14
"FORT SMITH → Appreciated being able to speak with the Fort Smith Noon Exchange Club today! Great to talk about community issues, what has been happening in Washington, the budget and appropriations process, and partisanship in Congress. #AR3 pic.twitter.com/QIxrTqCsCD",1109177779566899201,2019-03-22,19:39:24,rep_stevewomack,1,4,6
"I am touring Harbor Recovery Center to learn more about their addiction treatment and rehabilitation work. When we can take people that are down and broken and work to bring them up, it's a win for our community and nation. #AR3 pic.twitter.com/NqpvjPrgjI",1109170966620446721,2019-03-22,19:12:20,rep_stevewomack,3,6,12
"AROUND #AR3: I visited the Children's Advocacy Center of Benton County this week. The organization provides a safe space for vulnerable and abused children, and their work makes a huge difference in our community. https://bit.ly/2uqzzch ",1109083317192876032,2019-03-22,13:24:03,rep_stevewomack,0,0,13
Great @RazorbackWBB game! Arkansas beats Houston 88-80 in OT! The team made every minute count. 🐗🏀 https://twitter.com/RazorbackWBB/status/1108914173008855040 …,1108919109436231681,2019-03-22,02:31:33,rep_stevewomack,0,1,10
Go Hogs! 🐗 pic.twitter.com/EuUDAk0wLK,1108880403925008384,2019-03-21,23:57:44,rep_stevewomack,0,0,2
Great time speaking with the Springdale Kiwanis Club and other local #AR3 @Kiwanis members about the latest news and policy updates from Washington! pic.twitter.com/3gzi2nO1n5,1108812873420161026,2019-03-21,19:29:24,rep_stevewomack,1,0,3
"I've been a champion of e-fairness since coming to Congress and a recent legislative proposal in the Arkansas State Senate incorporates this idea. E-fairness is about fixing a ""loophole"" that has disadvantaged Main Street businesses and local governments. https://bit.ly/2UV0kkI ",1108762675528585216,2019-03-21,16:09:56,rep_stevewomack,0,0,1
