tweet,id,date,time,username,replies_count,retweets_count,likes_count
"At the @WhiteHouse to celebrate @NASCAR Cup Series Champion @joeylogano ! 

#ksleg #ks02 #NASCAR #KSSpeedway @kansasspeedway pic.twitter.com/UxHSVOD02d",1123316429640617984,2019-04-30,20:01:21,rep_watkins,1,2,15
"Graham, Alex, and Christy of Topeka in DC today for the ‘Epilepsy Foundation’s Teens Speak Up!’ program. We talked CDC research funding, and policies that improve & protect patient access to medications and treatment. Thanks for sharing your story! 

@EpilepsyFdn
#ksleg #ks02 pic.twitter.com/wouzX52lsO",1123251911103262722,2019-04-30,15:44:59,rep_watkins,0,5,13
"Absolutely tragic story - my heart breaks for the families and the Topeka community. Fong and I's thoughts and prayers are with the Simmons and Ballentine families. 

#ksleg #ks02
 https://www.ksnt.com/amp/sports/washburn-football-s-simmons-killed-ballentine-injured-in-shooting/1961542730?__twitter_impression=true …",1122872749184159744,2019-04-29,14:38:20,rep_watkins,1,2,8
"At Lindamood ranch in Virgil, Kansas for KLA’s day at the ranch. Awesome day with awesome people. I will continue to fight for our Kansas farmers and ranchers in Congress. 

@newsfromkla
#ksleg #ks02 #KLADayAtTheRanch
#ksag pic.twitter.com/kGbpdG7hae",1122240937177038848,2019-04-27,20:47:44,rep_watkins,3,4,13
"Flipping pancakes in Topeka this morning for The Combat Air Museum’s 26th annual pancake feed! 

#ksleg #ks02 #CombatAirMuseum #PancakeFeed
@KSCorbet54 pic.twitter.com/FPYwDqjYYE",1122154483289604097,2019-04-27,15:04:12,rep_watkins,0,1,11
"Special event at God’s Storehouse in Topeka today! God’s Storehouse is a church that operates as a thrift store helping folks in the community who have gone through difficult times. These folks are a true blessing to the Topeka community! 

#ksleg #ks02 #GodsStorehouse pic.twitter.com/6OFY7oiv58",1121867299550572544,2019-04-26,20:03:02,rep_watkins,1,1,11
"Great time at the grand opening of my new Pittsburg office yesterday! @Block22PSU @PittAreaChamber
#ksleg #ks02 https://www.fourstateshomepage.com/news/congressman-steve-watkins-held-a-grand-opening-for-his-new-office-in-block-22-in-pittsburg/1955411689 …",1121839323983306757,2019-04-26,18:11:52,rep_watkins,0,1,5
"The economy continues to boom thanks to @realDonaldTrump ! 

#ksleg #ks02 #3.2% #Winning https://twitter.com/CNBCnow/status/1121753519382519808 …",1121813448701222912,2019-04-26,16:29:03,rep_watkins,6,0,7
"The Kansas Supreme Court ruling on abortion is another example of moral degradation in our country. I will continue to fight for federal legislation to protect our most vulnerable. 

#ksleg #ks02 #prolife",1121809769755549697,2019-04-26,16:14:25,rep_watkins,29,18,70
"Ribbon cutting for my new office in Pittsburg! Thanks to @Block22PSU and the @PittAreaChamber ! 

#ksleg #ks02 #100Days pic.twitter.com/ty7HE1xQPO",1121536568081158144,2019-04-25,22:08:49,rep_watkins,0,0,6
#ksleg #ks02 #100Days pic.twitter.com/0bOnWxj7N9,1121536071085580288,2019-04-25,22:06:51,rep_watkins,1,0,8
"“Watkins’ bulldog mentality of putting the needs of Kansans first was on display in the opening 100 days of his term. Watkins co-sponsored 100 pieces of legislation, introduced three bills and had one bill signed into law.""

#ksleg #ks02 #100Days http://www.ottawaherald.com/news/20190425/watkins-reflects-on-first-100-days-of-work …",1121464606935977984,2019-04-25,17:22:52,rep_watkins,2,5,12
"Catch me on @KSNTNews this morning talking about my first 100 days in office! 

#ksleg #ks02 #100Days pic.twitter.com/pymZAPUXT2",1121380383873015808,2019-04-25,11:48:12,rep_watkins,0,0,7
