tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today I reintroduced legislation with @RepJayapal to reform our immigration detention system that would end the Trump administration’s abuses of this system, eliminate for-profit detention, and bring accountability and oversight that has sorely lacked for far too long.",1123335004115951620,2019-04-30,21:15:10,repadamsmith,2,6,30
"With the Northwest Detention Center in my district, I’ve seen first-hand the failures of our country’s immigration detention system. https://adamsmith.house.gov/2019/4/on-heels-of-barr-immigration-decision-jayapal-adam-smith-and-booker-re-introduce-bill-to-counter-attorney-general-s-efforts …",1123335002790551552,2019-04-30,21:15:09,repadamsmith,2,6,19
"We extend our sincere condolences to her family, friends, and all those whose lives have been affected by her service to our nation.",1123326454840819712,2019-04-30,20:41:11,repadamsmith,0,2,8
Her historic leadership of the Strategic Forces Subcommittee and on nuclear security issues and arms control remains a testament to her interminable commitment the nation’s security and reducing nuclear dangers in particular.,1123326453989412864,2019-04-30,20:41:11,repadamsmith,2,1,6
"Throughout Ellen’s 15 years in Congress, we knew her to be a passionate advocate for American servicemembers, as well as an effective, principled leader with a warm and generous heart.  Ellen’s tireless work on the Armed Services Committee will have an undeniable, lasting impact.",1123326453133860867,2019-04-30,20:41:11,repadamsmith,1,1,2
"The passing of former Congresswoman Ellen Tauscher is a terrible loss for the nation, California, and those like us who were lucky enough to call her both a colleague and friend. https://armedservices.house.gov/2019/4/chairman-smith-and-ranking-member-thornberry-statement-on-the-passing-of-former-congresswoman-ellen-tauscher …",1123326452190126081,2019-04-30,20:41:11,repadamsmith,2,5,10
Proud to continue efforts this Congress with @RepJayapal  and @SenBooker to reform our immigration system to recognize the value of immigrants to our community and bring humanity to a failed system. https://twitter.com/SenBooker/status/1123241597515259907 …,1123263016823291906,2019-04-30,16:29:07,repadamsmith,3,5,43
"This #MinorityHealthMonth, I stand with the @OfficialCBC, @HispanicCaucus, and @CAPAC to fight systemic health injustices in our communities.",1123244927041921025,2019-04-30,15:17:14,repadamsmith,0,5,13
"April is #MinorityHealthMonth - an important opportunity to bring attention to the increased risk of several diseases, including cancer, and the health disparities that communities of color face. Learn more about preventing cancer ➡️ http://www.bit.ly/pcfminhealth  #NMHM19 @PreventCancer",1123244924693037056,2019-04-30,15:17:13,repadamsmith,2,3,15
"Malaria claims 425,000 lives each year. This #WorldMalariaDay, we must recommit to maintaining America’s historic one-third commitment to the @GlobalFund, which helps fight preventable diseases like AIDS, TB, and malaria.",1121555410987540481,2019-04-25,23:23:42,repadamsmith,3,1,12
"Washington Physicians for Social Responsibility work everyday to build a more healthy, peaceful and sustainable world. I’m proud to work alongside @psr_washington to ensure a safer nuclear policy. pic.twitter.com/aBVrfiI05e",1121150007644524544,2019-04-24,20:32:46,repadamsmith,1,3,12
"The Renton Highlands Post Office is now officially named in honor of James Marshall “Jimi” Hendrix! 

It was an honor to join Ms. Janie Hendrix, USPS Seattle District Manager Darrell Stroke, and members of our community in paying tribute to the rock and roll icon. #JimiHendrix pic.twitter.com/wfynmYIdut",1120748032008392704,2019-04-23,17:55:27,repadamsmith,1,9,54
"It is critically important that we fulfill our promises to our nation’s veterans. It was an honor to speak with the Disabled American Veterans Chapter 23 about the importance of mental health, and the need for Congress to invest in the VA Healthcare System to fight privatization. pic.twitter.com/HWmSbwfa51",1120735756941778945,2019-04-23,17:06:41,repadamsmith,1,3,12
Valley View home school students stopped by my office today to learn about how government works. I was very impressed with the student’s knowledge and their great questions about what it is like to represent them in Congress. Thanks for visiting! pic.twitter.com/iX5dD0ayGg,1120458352016920576,2019-04-22,22:44:22,repadamsmith,0,0,16
