tweet,id,date,time,username,replies_count,retweets_count,likes_count
"This week, Congress voted to expand background checks for gun purchases. While Democrats are trying to attack the Second Amendment, I am fighting in Congress to ensure that gun owners in West Virginia are free to exercise their rights. https://www.foxnews.com/politics/house-passes-bill-expanding-background-checks-for-gun-sales …",1101234210206072832,2019-02-28,21:34:30,repalexmooney,21,5,17
Sad and disappointing that Senate Democrats blocked a bill that simply would have protected newborn babies who survived a failed abortion. https://www.washingtontimes.com/news/2019/feb/25/senate-democrats-block-republicans-anti-infanticid/?fbclid=IwAR2Xknpj_35exW2X-4SzmPXF-FrpouWprM2-06Ofpi5uTxOURyyG89b2WjU …,1100477012962095106,2019-02-26,19:25:40,repalexmooney,10,5,18
Check out my op-ed today in the @dcexaminer https://twitter.com/dcexaminer/status/1100055382242791424 …,1100056148588314624,2019-02-25,15:33:18,repalexmooney,3,1,3
Congratulations to Kanawha County Deputy of the Year Kaine Daugherty and all the nominees. Thank you for keeping us safe! pic.twitter.com/LHrpBmjQgF,1098720802449641473,2019-02-21,23:07:07,repalexmooney,4,1,5
"My internship program with Recovery Point is allowing graduates to gain job-readiness skills needed to return back to the workforce.  Erica, my first Recovery Point intern, is now a full-time staff assistant in my Charleston office. https://twitter.com/WOWK13News/status/1096965721781866496 …",1097283614168018944,2019-02-17,23:56:14,repalexmooney,1,3,7
Visted with @wvsosoffice Mac Warner this week and talked about ways we can work together to improve our state. #wv02 pic.twitter.com/CRIvCOhlrM,1096519987483815937,2019-02-15,21:21:52,repalexmooney,7,4,13
Fantastic news for the Eastern Panhandle! #wv02 https://twitter.com/WVGovernor/status/1096510719988781056 …,1096514697069821952,2019-02-15,21:00:50,repalexmooney,6,0,3
Great news from @archcoal! https://www.wvnews.com/news/wvnews/arch-coal-to-open-new-mine-in-barbour-county-wv/article_e436cffb-7a53-5538-b3e1-e55a0f6001f3.html …,1096140313796710403,2019-02-14,20:13:10,repalexmooney,4,0,3
Always a pleasure to meet with @MineWorkers members from West Virginia to discuss the need to protect their pensions. I am an original cosponsor of H.R. 935- The Miners Protection Act which will ensure we keep the promises we made to our miners. #WV02 pic.twitter.com/CNJYbfqOxA,1096058351304228864,2019-02-14,14:47:29,repalexmooney,1,1,3
Inspiring to meet with @SpecialOlympics Medalist Peggy Molnar from Martinsburg. #wv02 pic.twitter.com/MrzpaJLdhv,1095697814196232197,2019-02-13,14:54:50,repalexmooney,0,0,6
"Students from Putnam County Career and Technical Center received a resolution from the County Commission in recognition of a $50,000 grant they received from the Dept. of Education for their project to build and maintain tiny cabins at the Eleanor Fairgrounds. Great job! #wv02 pic.twitter.com/ltIXc3IUYM",1095330169202593792,2019-02-12,14:33:57,repalexmooney,1,1,3
Great opportunity in Buckhannon. Check it out! #wv02 https://twitter.com/WVHub/status/1095076535009247235 …,1095112430659821570,2019-02-12,00:08:44,repalexmooney,2,0,4
"Hosted our first telephone town hall of the year this evening with over 2,000 folks from the Eastern Panhandle. Fantastic discussion about border wall funding, the opioid crisis and protecting Social Security. Looking forward to many more! #wv02 #wvpol pic.twitter.com/c5pmiMfOJo",1095103923390742528,2019-02-11,23:34:56,repalexmooney,6,2,11
Great discussion this morning with @EPT_RobandDave! https://twitter.com/Talkradiowrnr/status/1093902508429316096 …,1093926232759123974,2019-02-08,17:35:12,repalexmooney,3,0,5
Great turnout for a Business After Hours hosted by the West Virginia Symphony at the beautiful @claycenter in Charleston. pic.twitter.com/7BfsZnnkzu,1093649860992077824,2019-02-07,23:17:00,repalexmooney,0,0,1
Met with @WVRWA to discuss funding priorities across West Virginia to ensure access to reliable and clean drinking water. #wv02 #ruralwater pic.twitter.com/yg0Mmcph0X,1093541143256678401,2019-02-07,16:05:00,repalexmooney,5,0,2
"Great news! @Infor is bringing an office to Charleston and 100 new technology jobs. https://governor.wv.gov/News/press-releases/2019/Pages/Gov.-Justice-announces-that-Infor-global-technology-company-will-open-location-in-Kanawha-Valley,-create-100-new-jobs.aspx …",1093523137629732865,2019-02-07,14:53:27,repalexmooney,1,1,4
I agree with @POTUS @realDonaldTrump —it is time that Congress passes the Pain-Capable Unborn Child Protection Act (H.R. 784). It simply protects unborn babies that a preponderance of scientific evidence has proven can feel pain. #ProLie https://www.nationalreview.com/corner/president-trump-calls-for-congress-to-pass-20-week-abortion-ban/ …,1093293526803132416,2019-02-06,23:41:03,repalexmooney,3,8,16
Great to see so many constituents from West Virginia advocating on behalf of the Community Anti-Drug Coalitions of America. I always appreciate hearing their stories from the frontlines and ways we can help prevent drug use. #helpandhopewv #wv02 pic.twitter.com/ceT6XNVVzv,1093231658491363329,2019-02-06,19:35:13,repalexmooney,0,0,3
"Glad to have my constituent from Charleston, Brian Ulery, COO of the Thomas Health System as my guest for #SOTU Great speech @realDonaldTrump! pic.twitter.com/POzcuoRiVm",1092993426851799040,2019-02-06,03:48:34,repalexmooney,0,2,13
"While there is more work to be done, West Virginians are optimistic about the future thanks to President Trump. I look forward to continuing to work with our President to protect our borders, create jobs, protect innocent unborn babies and fight for individual liberties. #SOTU",1092990853788983296,2019-02-06,03:38:20,repalexmooney,4,7,18
"Despite constant attacks from liberals and obstruction by Democrats in Congress, President Trump has stood firm and delivered on the promises he made to the American people....",1092990559428464640,2019-02-06,03:37:10,repalexmooney,3,1,10
"Tonight, President Donald Trump outlined a bold agenda that will continue to grow the economy and keep America safe...",1092990468110123013,2019-02-06,03:36:49,repalexmooney,0,3,6
"""We must keep America first in our hearts.  We must keep freedom alive in our souls.  And we must always keep faith in America's destiny -- that one Nation, under God, must be the hope and the promise and the light and the glory among all the nations of the world!"" #SOTU",1092988707433533441,2019-02-06,03:29:49,repalexmooney,0,2,4
"""We must never ignore the vile poison of anti-Semitism, or those who spread its venomous creed.  With one voice, we must confront this hatred anywhere and everywhere it occurs."" #SOTU",1092985666479288320,2019-02-06,03:17:44,repalexmooney,3,2,7
"""Above all, friend and foe alike must never doubt this Nation's power and will to defend our people."" #SOTU",1092985052391243776,2019-02-06,03:15:17,repalexmooney,1,0,1
"""My Administration recognized the true capital of Israel -- and proudly opened the American Embassy in Jerusalem."" #SOTU",1092984110606401536,2019-02-06,03:11:33,repalexmooney,0,1,9
"""America was founded on liberty and independence –- not government coercion, domination, and control.  We are born free, and we will stay free."" #SOTU",1092983686365093890,2019-02-06,03:09:52,repalexmooney,2,4,12
"""Let us work together to build a culture that cherishes innocent life.  And let us reaffirm a fundamental truth:  all children -- born and unborn -- are made in the holy image of God."" #SOTU #ProLife",1092982255440543744,2019-02-06,03:04:10,repalexmooney,0,9,13
"""There could be no greater contrast to the beautiful image of a mother holding her infant child than the chilling displays our Nation saw in recent days."" #SOTU #ProLife",1092981768939020290,2019-02-06,03:02:14,repalexmooney,1,2,8
"""Both parties should be able to unite for a great rebuilding of America's crumbling infrastructure."" #SOTU",1092979673414422534,2019-02-06,02:53:55,repalexmooney,0,0,9
"""Simply put, walls work and walls save lives.  So let's work together, compromise, and reach a deal that will truly make America safe."" #SOTU",1092977802524143616,2019-02-06,02:46:29,repalexmooney,2,1,9
"""Tens of thousands of innocent Americans are killed by lethal drugs that cross our border and flood into our cities -- including meth, heroin, cocaine, and fentanyl."" #SOTU",1092975685440811014,2019-02-06,02:38:04,repalexmooney,3,6,12
USA! USA! USA! #SOTU,1092972295998631936,2019-02-06,02:24:36,repalexmooney,0,1,4
"""My Administration has cut more regulations in a short time than any other administration during its entire tenure.  Companies are coming back to our country in large numbers thanks to historic reductions in taxes and regulations."" #SOTU #Jobs #choosegreatness",1092971669587615744,2019-02-06,02:22:07,repalexmooney,3,6,13
"""We passed a massive tax cut for working families and doubled the child tax credit.

We virtually ended the estate, or death, tax on small businesses, ranches, and family farms."" #SOTU #choosegreatness",1092971331484676097,2019-02-06,02:20:46,repalexmooney,4,3,8
"""Nearly 5 million Americans have been lifted off food stamps."" #SOTU",1092970785445011457,2019-02-06,02:18:36,repalexmooney,1,1,6
"""We have created 5.3 million new jobs and importantly added 600,000 new manufacturing jobs -- something which almost everyone said was impossible to do, but the fact is, we are just getting started."" #SOTU #choosegreatness",1092970532151033857,2019-02-06,02:17:35,repalexmooney,2,2,7
"But we must reject the politics of revenge, resistance, and retribution -- and embrace the boundless potential of cooperation, compromise, and the common good. #SOTU",1092970103228923904,2019-02-06,02:15:53,repalexmooney,0,1,1
Looking forward to hearing from @POTUS @realDonaldTrump tonight about his agenda to continue growing the economy and protecting our borders. #wv02 #wvpol pic.twitter.com/1VqECbyDz2,1092842298302517249,2019-02-05,17:48:02,repalexmooney,8,2,10
"Congratulations to Steven Mann of MannCave Distillery in Lewis County on opening! MannCave will  provide West Virginia Vodka, Moonshine, and Whisky to the market. #wv02 pic.twitter.com/5uFch3bcMD",1092506357096480768,2019-02-04,19:33:07,repalexmooney,2,1,7
#BulldogStrong https://twitter.com/MHSCoachTriggs/status/1091930900835774464 …,1092112026879565824,2019-02-03,17:26:12,repalexmooney,0,0,2
Praying for all those injured and impacted. http://wchstv.com/news/local/16-injured-in-bus-crash-involving-martinsburg-basketball-team …,1092052758306410497,2019-02-03,13:30:41,repalexmooney,0,2,6
This week I spoke on the Floor of the House regarding the importance of returning to regular order in Washington. I am pleased that there is a conference committee between the House and Senate taking place regarding border security and government funding. #wvpol #wv02 pic.twitter.com/0yhkWRuPKb,1091426773949186050,2019-02-01,20:03:15,repalexmooney,5,2,6
"With 3.2% growth in wages in the past year and 304,000 jobs added this month alone – nearly double Wall Street’s predications, our economy under @POTUS @realDonaldTrump continues to thrive. #wv02 #wvpol https://www.foxbusiness.com/economy/january-jobs-report-released-by-department-of-labor …",1091372339793666049,2019-02-01,16:26:57,repalexmooney,2,2,3
All human life is precious from the moment of conception until natural death. These comments are shocking and remind us to stay vigilant in the defense of innocent babies. https://www.washingtontimes.com/news/2019/jan/30/ralph-northam-virginia-governor-defends-bill-allow/?fbclid=IwAR1fGMQRq-U04BMz1EjNPV8OU5C2I8jiFG-2wR7xyACApzMNj6EYrGwMwBM …,1091343915817541637,2019-02-01,14:34:00,repalexmooney,5,6,11
