tweet,id,date,time,username,replies_count,retweets_count,likes_count
"The people deserve a fair not a fake impeachment trial in the Senate. The hands of history will not be kind to those who impose a fake trial, and the hands of voters will not forget them.",1212087151627780096,2019-12-31,19:04:31,repalgreen,154,75,369
Hope you’ll be watching. https://twitter.com/allinwithchris/status/1211798348128301056 …,1211802978610495489,2019-12-31,00:15:18,repalgreen,32,18,98
".@repjohnlewis for decades, you have fought for us. Now, we will fight with you. May the courage & inspiration you’ve given so many of us sustain you. Dear brother, we are here for you.",1211470986933084166,2019-12-30,02:16:05,repalgreen,14,49,301
"A society that tolerates hate is a society that perpetuates hate. Until we perceive hate against one as hate against all, we are all at risk. #MonseyAttack #WhiteSettlementShooting",1211364724782387200,2019-12-29,19:13:51,repalgreen,75,216,849
Want my #SundayThoughts? Tune in to Weekends with @AlexWitt on @MSNBC. I’ll be on shortly.,1211346940761427971,2019-12-29,18:03:11,repalgreen,25,13,50
"Houston, tune in to @Majic1021 right now. I’m on Sunday Morning Live with Marcus Davis. 

#SundayMorning https://myhoustonmajic.com/listen-live/ ",1211317015215931392,2019-12-29,16:04:16,repalgreen,9,5,19
 pic.twitter.com/gc3i0WfRQE,1209930311032868868,2019-12-25,20:14:00,repalgreen,22,17,151
Peace & blessings to the celebrants of #Hanukkah. May this special time be filled with cheer & thanksgiving. #HanukkahSameach,1209480760194936832,2019-12-24,14:27:38,repalgreen,16,25,138
We must not allow the gamesmanship of politics to overshadow the statesmanship of our moral imperative.,1208757874429702147,2019-12-22,14:35:09,repalgreen,94,101,561
"Want my thoughts on yesterday’s impeachment? Tune in to @MadisonSiriusXM now! 

#Impeached45",1207662170156228610,2019-12-19,14:01:13,repalgreen,77,9,63
"No one is above justice in this country. 

#ImpeachmentDay https://youtu.be/t--lBcPI3gA ",1207406795234390020,2019-12-18,21:06:27,repalgreen,246,90,405
"#ImpeachmentDay is a day to defend our democracy and protect our republic. It highlights our love of country.

We are at the crossroads of accountability. Either we hold the President accountable or be held accountable.",1207301951903412224,2019-12-18,14:09:50,repalgreen,225,184,798
"Hope you’re watching @democracynow! I’ll be on soon. 

#ImpeachmentDay",1207285191129079810,2019-12-18,13:03:14,repalgreen,42,11,121
"The Chief Justice of the Supreme Court should not legitimize an impeachment trial where it is perceived that the Republican President and the Republican Senate Majority Leader are engaging in collusion and coverups. 

#McConnellTrumpCoverup",1206590656451358720,2019-12-16,15:03:24,repalgreen,103,348,931
"Congrats on 100 years @MethodistHosp! Thanks to my Houston colleagues for your bipartisan support in honoring this milestone.
@JacksonLeeTX18 @RepMcCaul @RepPeteOlson @TXRandy14 @RepBrianBabin @RepKevinBrady @RepDanCrenshaw @RepFletcher @RepSylviaGarcia
 https://algreen.house.gov/press-release/congressman-al-green-and-representatives-greater-houston-area-commemorate-houston …",1204790482246737921,2019-12-11,15:50:09,repalgreen,38,10,38
Catch me live on the House Floor via @cspan at 10 AM ET/9 AM CT.,1204774545678356482,2019-12-11,14:46:49,repalgreen,42,9,29
"The question isn't whether the House will impeach, the question is whether the Senate will uphold its constitutional duty to convict and remove a constitutionally unfit president from office.

#ImpeachAndConvictTrump",1204759515494780928,2019-12-11,13:47:06,repalgreen,207,300,957
"I pray that we soon end this ignoble time in presidential history by not only impeaching President Trump but also removing him from office. 

#ArticlesOfImpeachment
#ImpeachAndConvictTrump https://youtu.be/16bzTjIbNT4 ",1204453948557537280,2019-12-10,17:32:53,repalgreen,197,189,593
"Tune in to the House Floor via @cspan at 10 AM ET/9 AM CT. I will address the  #ArticlesOfImpeachment and more. 

#ImpeachmentIsNotDead",1204409125989433344,2019-12-10,14:34:47,repalgreen,39,14,53
"My colleague @RepVanTaylor and I passed H.R. 4713 to improve the accountability, transparency, and responsibility of a key @DHSgov agency. For more info on the bill as well as comments on its passage from Rep. Taylor and I, visit  https://algreen.house.gov/press-release/reps-green-and-taylor-pass-homeland-security-civil-rights-and-civil-liberties …",1204197183186243584,2019-12-10,00:32:36,repalgreen,33,17,42
"I offer my sincere condolences to the family, friends, and colleagues of HPD Sgt. Christopher Brewster. Our hearts are heavy as we mourn this tragic loss. 

Sgt. Brewster, thank you for your heroic service. May you rest in peace. 

@houstonpolice @ArtAcevedo",1203713659387678722,2019-12-08,16:31:14,repalgreen,25,12,71
"Watch @MSNBC with @AlexWitt for my #SaturdayThoughts. 

I’ll be on in minutes discussing #impeachment.",1203372436856745990,2019-12-07,17:55:21,repalgreen,92,6,33
 https://youtu.be/bIitKmOPTOg ,1202618814132883459,2019-12-05,16:00:43,repalgreen,80,5,12
"The impeachment process isn’t about schadenfreude - finding pleasure in someone’s misfortune.

It’s about doing what is right out of love for country. 

Whether safe or politic or popular, it is time for Congress to do what is right. 

#ImpeachNow
#Impeachment",1202618765181177858,2019-12-05,16:00:31,repalgreen,309,218,928
"Watch the House Floor at 10 AM ET/9 AM CT on @cspan.

I'll be among the first to speak.",1202600536899543041,2019-12-05,14:48:05,repalgreen,79,19,97
"Those who discredit the #impeachment of Andrew Johnson in 1868 discredit impeachment rooted in racism. 

#Impeach President Trump for his racism, anti-Semitism, Islamophobia, transphobia, and xenophobia.",1202576900054568962,2019-12-05,13:14:10,repalgreen,182,44,193
"Good morning all! Catch me on @cspanwj during the 8 AM ET/7 AAM CT hour. I’ll be discussing #impeachment. 

For my latest thoughts, visit  https://algreen.house.gov/press-release/congressman-al-green%E2%80%99s-memorandum-impeachment …. 

#ImpeachingHearings",1202574687273979905,2019-12-05,13:05:22,repalgreen,46,16,35
