tweet,id,date,time,username,replies_count,retweets_count,likes_count
The new House #Democratic Leadership is a beautiful reflection of our nation - - diverse and strong. #116thCongress #ForThePeople pic.twitter.com/FLuXYNpjUI,1068632103796072448,2018-11-30,22:25:22,repallawsonjr,0,1,5
"Americans support restoring #NetNeutrality rules on a bipartisan basis, but there is less than one month left. On this #NetNeutrality Day of Action, we must push forward on the CRA discharge petition and force a vote on the House Floor! pic.twitter.com/e9IkTbbm4M",1068229716295995396,2018-11-29,19:46:25,repallawsonjr,0,1,2
I’m pleased to support Nancy Pelosi for Speaker,1067779791523328000,2018-11-28,13:58:35,repallawsonjr,2,2,6
"Small businesses help to revitalize entire communities and create two out of every three new jobs. This #SmallBusinessSaturday, I’m encouraging you to check out some of the incredible local businesses we have across Florida’s fifth district. #ShopSmall http://www.sba.gov/saturday ",1066324317884096513,2018-11-24,13:35:03,repallawsonjr,0,0,2
"This past year has truly been a blessing. I am thankful for my family, my staff and for the opportunity to represent you in Congress. What are you most thankful for? pic.twitter.com/QydovhY4Zo",1065599556593885184,2018-11-22,13:35:06,repallawsonjr,1,1,4
Are you a small business owner looking for tips to prepare your business for a busy holiday season? Check out SBA’s blog for accessible and relevant advice.  https://bit.ly/2BkPA7W  pic.twitter.com/JmxSN57sly,1065327758233034753,2018-11-21,19:35:05,repallawsonjr,0,0,0
"Maternity care, mammograms and cancer screenings can break the bank without health insurance. #GetCovered with affordable healthcare and save on these essential services.  https://www.healthcare.gov/  pic.twitter.com/jD8Int2bAn",1064904233370218496,2018-11-20,15:32:08,repallawsonjr,0,1,1
My district staff helped to bag and pass out groceries to hundreds of families at the recent Farm Share in Gadsden County. Food insecurity plagues so many in our community. This event…  https://www.instagram.com/p/BqaCaRlndkn/?utm_source=ig_twitter_share&igshid=14i6orkuhbhwj …,1064900630177824770,2018-11-20,15:17:49,repallawsonjr,0,1,4
"Maternity care, mammograms & cancer screenings can break the bank without health insurance. #GetCovered with affordable healthcare and save on these essential services.  https://www.healthcare.gov/ ",1064629125212749824,2018-11-19,21:18:57,repallawsonjr,0,1,4
The Library of Congress will mark the 155th anniversary of Abraham Lincoln's #GettysburgAddress with a discussion of the speech & a #LettersToLincoln transcription challenge. Tune in today at 10 a.m. ET for the event. https://www.youtube.com/watch?v=52l-6qzP_cE …,1064532822134804480,2018-11-19,14:56:17,repallawsonjr,0,4,8
"My staff recently attended the Stand Down activities in #Jax. Wounded Warrior Fellow Christian Cochran discussed the #Veterans History Project, which encourages vets to share their stories w/the Library of Congress to ensure their voices live on. More info  http://www.loc.gov/vets  pic.twitter.com/R4a4bME8d7",1063552303029018624,2018-11-16,22:00:03,repallawsonjr,0,0,1
Go Rattlers!,1063551935377227783,2018-11-16,21:58:35,repallawsonjr,0,3,5
"Two years ago today, I joined my freshman class of the 115th Congress on the steps of the US Capitol to take this class picture. Congratulations to the newest members. I look forward to working with you in the #116thCongress pic.twitter.com/LxbbM8vvW1",1063192268465717249,2018-11-15,22:09:24,repallawsonjr,2,1,6
Staff from my #Tallahassee District Office made a huge donation this morning to @abc27's 5th annual #TurkeyDrive. The donation will help families in our communities this #Thanksgiving holiday. Special thanks to the staff at @SecondHarvestBB for their help with this effort. pic.twitter.com/LZ67SObpQL,1063187413000994816,2018-11-15,21:50:06,repallawsonjr,0,4,12
Need help going through the process to #GetCovered on  http://healthcare.gov ? Don’t worry – free help is available. Call 1-800-318-2596 for help or visit  https://Localhelp.HealthCare.gov  to find free in-person assistance in your area. pic.twitter.com/mzDiIZkGr1,1062436636531798016,2018-11-13,20:06:47,repallawsonjr,0,2,2
"Did you know that #SNAP helps nearly 1.4 million low-income veterans around our nation, including 120,000 in Florida? https://www.cbpp.org/research/food-assistance/snap-helps-almost-14-million-low-income-veterans-including-thousands-in?fbclid=IwAR2ghAFq6aTbxt3vjHEwWJrQ-xbMTkl0AjBgYyRGyEuCU8JJkTzrObZobow …",1061761764575064065,2018-11-11,23:25:05,repallawsonjr,0,2,4
Many #veterans don’t have the support they need after they end active service. Each of us has a duty to listen and try to help. #VeteransDay  http://bit.ly/1T1m1cL ,1061716461503348737,2018-11-11,20:25:04,repallawsonjr,1,2,3
"We honor all who have served with incredible courage & commitment for our freedom. We must never forget that the highest appreciation is not to utter words, but to live by them. I will continue to work to ensure our #vets have the care they need and the benefits they’ve earned. pic.twitter.com/cyBmToDiAc",1061654207978180609,2018-11-11,16:17:42,repallawsonjr,0,2,8
Open Enrollment is only six weeks – November 1 to December 15. Don’t miss your chance to #GetCovered on  http://HealthCare.gov  for 2019!  https://www.healthcare.gov/  #GetCovered,1060988751302791168,2018-11-09,20:13:25,repallawsonjr,0,4,0
"This news never gets easier, and it is unfortunate we are at this place again. We cannot ignore what is happening far too often in our nation. My heart goes out to those who were affected by this horrific tragedy. https://www.usatoday.com/story/news/nation-now/2018/11/08/mass-shooting-southern-california-dance-bar-what-happened/1927903002/ …",1060547228178243584,2018-11-08,14:58:57,repallawsonjr,0,2,1
