tweet,id,date,time,username,replies_count,retweets_count,likes_count
"It was an honor to take part in @akacentral’s 85th Central Regional Conference & to welcome attendees to Indy. This organization held its very first conference here back in 1931, & it’s fitting it has returned to our city — both have a long legacy of public service! #AKACRC2019 pic.twitter.com/4uYfktyr4T",1112000484162838531,2019-03-30,14:35:50,repandrecarson,0,2,8
#ReleaseTheReport pic.twitter.com/NKVDfMf8jf,1111737951736729602,2019-03-29,21:12:37,repandrecarson,6,6,35
On #VietnamWarVeteransDay we honor all of these brave Americans for answering the call to service. pic.twitter.com/AKdhwy6Yta,1111675069636452352,2019-03-29,17:02:45,repandrecarson,1,2,24
THIS is why #IStandWithAdamSchiff. https://twitter.com/RepAdamSchiff/status/1111289977143545856 …,1111665639574458368,2019-03-29,16:25:16,repandrecarson,5,7,57
"Today I voted for a resolution condemning #Trump's military #TransBan, and I hung a symbol of pride and support outside of my DC office during this #TransVisibilityWeek. Both actions show that -- whether in the armed services or in our community -- these Americans #WontBeErased. pic.twitter.com/m2WMXGk7lH",1111344237294047232,2019-03-28,19:08:08,repandrecarson,14,27,155
"We gathered a great deal of information from our panel of intelligence experts, which will guide our work to ensure this type of meddling never happens again. I'm honored to serve on this committee and stand with its Chairman, @RepAdamSchiff, through this vital investigation.",1111313927567216640,2019-03-28,17:07:42,repandrecarson,5,2,40
"This morning my @HouseIntel colleagues and I held a hearing to learn more about how Russian oligarchs used their power, money and underhanded tactics to influence the 2016 elections.",1111313927068180481,2019-03-28,17:07:42,repandrecarson,3,3,28
"I don't post throwbacks too often, but #MuslimWomensDay is a great occasion to do so! Thanks to all of my sisters throughout the years who held me down and lifted me up, and the global community of Muslim women whose contributions are making our world a better place. pic.twitter.com/PbpdShBBlH",1110997432081530880,2019-03-27,20:10:03,repandrecarson,4,8,66
Busy day for me and my fellow @TransportDems! I proudly voted on bills today in our committee that will ensure the FAA receives stable funding and @USCG personnel are paid in any future government shutdowns.,1110932197631053826,2019-03-27,15:50:50,repandrecarson,3,5,19
"Also -- happy 40th birthday, @CSPAN!",1110664143340822529,2019-03-26,22:05:41,repandrecarson,2,0,15
Today I spoke on the House floor to urge my colleagues to support the #PaycheckFairnessAct when it comes up for a vote this week. The persistent #PayGap is harming families and sends the message that women are worth less than men. We must help change that by passing this bill. pic.twitter.com/4v6MwaSN7I,1110663714842255360,2019-03-26,22:03:59,repandrecarson,5,12,67
"I again strongly condemn this act of discrimination by @roncallihigh and urge the administration to rethink these personnel decisions. We must all work to support our #LGBTQ brothers and sisters, not minimize them. https://twitter.com/FOX59/status/1110430013948641280 …",1110659334902607878,2019-03-26,21:46:35,repandrecarson,3,2,31
"Attention high school students in the 7th district: The #CongressionalArtCompetition is happening now! If you win, you'll receive free travel to DC where your art will be hung in the halls of the U.S. Capitol, so don't miss out! Deadline is April 26. More:  https://bit.ly/2Ic8Fd0  pic.twitter.com/wohDb2sSOj",1110650742317219840,2019-03-26,21:12:26,repandrecarson,0,5,7
Glad to join @TransportDems in our important hearing today on improving airport infrastructure and the need to update the Passenger Facility Charge. This is a priority for public safety as well as our economy. #PFC #RaiseTheCap,1110564508110594048,2019-03-26,15:29:46,repandrecarson,1,1,8
The #Trump administration has now moved from sabotage of the #ACA to full-scale obliteration. We must continue fighting as hard as we can to save this landmark law and the protections it has provided for millions of Americans. #ProtectOurCare https://twitter.com/washingtonpost/status/1110489972359000064 …,1110544337501327362,2019-03-26,14:09:37,repandrecarson,9,15,52
My statement on the completion of the  #MuellerReport: pic.twitter.com/dFu5Mwicu8,1109214944426373120,2019-03-22,22:07:05,repandrecarson,8,17,63
"We should #CelebrateGovWorkers year-round, but especially during Federal Employee Appreciation Week, happening now. Here in Indy, and across the country, their tireless work keeps our communities afloat and ensures Americans' needs are met. To all of these folks -- thank you!",1109183765656539137,2019-03-22,20:03:12,repandrecarson,2,6,21
"I hope everybody celebrating had an excellent #Nowruz yesterday. Like the first day of #Spring, this commemoration of the new year represents renewal and a chance for new beginnings, so let's all make the most of this fresh start!",1109173912540200961,2019-03-22,19:24:02,repandrecarson,1,4,19
"50 in New Zealand are killed, and Prime Minister @JacindaArdern rightfully takes action. 

How many thousands of Americans must also be murdered by these #assaultweapons for our country to do the same? https://twitter.com/nytimes/status/1108669595055988736 …",1108824346393567232,2019-03-21,20:14:59,repandrecarson,727,935,4424
"Restoring #NetNeutrality is one of the most important goals of the 116th Congress. That's why I'm cosponsoring the #SaveTheNet Act, to bring back these vital protections that help ensure a free and open internet. We won't let #Trump’s @FCC take that away from us! pic.twitter.com/ejRJaX8B5g",1108786619803414528,2019-03-21,17:45:05,repandrecarson,6,49,78
