tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Wishing a happy new year to everyone in Indianapolis and around the world celebrating #RoshHashanah! May this special commemoration bring you joy, fellowship, and optimism for the year ahead. pic.twitter.com/uDBKsZVloo",1178679540702429184,2019-09-30,14:34:35,repandrecarson,2,7,30
This week has been historic. Check out my latest e-newsletter for a recap of my work in Washington: https://iqconnect.lmhostediq.com/iqextranet/view_newsletter.aspx?id=101695&c=IN07Carson …,1177695780938878976,2019-09-27,21:25:29,repandrecarson,4,3,15
"I just voted to terminate President Trump's Border Emergency. 

This #FakeEmergency is nothing but a scheme to build his ineffective wall by diverting money from important military projects. It's not only xenophobic, it's fiscally irresponsible and an insult to our troops.",1177611768471969792,2019-09-27,15:51:39,repandrecarson,18,15,126
"We must not forget that while #Trump distracts with spin and gaslighting about the #whistleblower investigation, he also is continuing his assault on other American values. We must remain vigilant to fight back on all fronts. https://twitter.com/thehill/status/1177336302863339523 …",1177345063246082048,2019-09-26,22:11:51,repandrecarson,11,17,67
"The @FAANews must deliver on the intent of Congress and issue a rule mandating the installation of secondary flight deck barriers.

 https://bit.ly/2mYeR38 ",1177273166865080323,2019-09-26,17:26:10,repandrecarson,1,3,7
"The FAA Reauthorization Act of 2018 called for the @FAANews to mandate #secondarybarriers on all newly manufactured passenger aircraft by October 5, but delay tactics threaten to stall these security enhancements for passengers, crew and the flying public.",1177272591637254144,2019-09-26,17:23:53,repandrecarson,4,8,15
"At our @HouseIntel hearing, I questioned Acting DNI Joseph Maguire about the need to submit whistleblower complaints to Congress, as the law clearly states. This disregard for the law is one of the most startling aspects of this story, and it can't happen again. Watch: pic.twitter.com/fh9A5wXYKc",1177247893436211201,2019-09-26,15:45:44,repandrecarson,19,13,78
"That's why our @HouseIntel hearing today is so important. Read the complaint here:

 https://intelligence.house.gov/uploadedfiles/20190812_-_whistleblower_complaint_unclass.pdf …",1177216975459815424,2019-09-26,13:42:53,repandrecarson,25,9,42
"Now that the whistleblower's complaint has been released, all Americans can see in plain view the extent of the Administration's wrongdoing. What's written can't be muddied by gaslighting, false equivalencies, or spin from the President and his allies. The abuse is clear as day.",1177216974369284096,2019-09-26,13:42:52,repandrecarson,43,46,172
I spoke on the House floor urging my colleagues to support a resolution demanding the Trump Administration release the #whistleblower complaint to Congress. This isn't just about protecting our national security. It's about ensuring this President is not above the law. pic.twitter.com/phw2BjFRET,1176940634734759938,2019-09-25,19:24:48,repandrecarson,20,20,107
Attention students! My office is now accepting applications for service academy nominations. Now is your opportunity to answer the call to serve our country through attending one of these elite schools. The deadline is October 1. More details here:  https://carson.house.gov/help-from-andre/military-academy-nominations … pic.twitter.com/aBLq1YPFpL,1176867686187507712,2019-09-25,14:34:56,repandrecarson,2,2,17
"Your vote is your voice, and #NationalVoterRegistrationDay is a great reminder to register to vote so you can speak out fully in our Democracy. I'll continue working in Congress to protect the security of our elections, and push back against #VoterSuppression efforts.",1176599705503051777,2019-09-24,20:50:04,repandrecarson,6,6,23
"I have already voted for @RepAlGreen's  impeachment resolutions, and now, reports that he urged the President of #Ukraine to investigate his political opponent only strengthen my conviction that Congress must act. It may be the only way to save our Democracy.",1176535036704825344,2019-09-24,16:33:06,repandrecarson,25,12,96
"Just so we're clear -- I have supported an impeachment inquiry for some time because it has become increasingly obvious to me that this President has flagrantly abused the power of the Oval Office, without regard for the Constitution he swore to uphold and defend.",1176535036016939011,2019-09-24,16:33:06,repandrecarson,43,41,309
"So pleased that @HouseDemocrats are working to pass the #NoBanAct, which I co-authored.

Read more about it here:  https://www.huffpost.com/entry/congress-muslim-ban-hearing_n_5d892984e4b0c2a85caf8658 … https://twitter.com/HouseJudiciary/status/1176497080988307456 …",1176505321386385408,2019-09-24,14:35:01,repandrecarson,2,9,26
"I thank Terry for his nearly nine years of dedicated service to our community in this important role, and wish him and his family all the best in the months and the years ahead. https://twitter.com/indystar/status/1176229767256760320 …",1176238969518006272,2019-09-23,20:56:38,repandrecarson,0,2,31
"So proud of the young people across America, and around the world, who are participating in today's #ClimateStrike. 

There is no Planet B, so it's vital we get serious about protecting the one we've got. I believe we can achieve that, with our kids leading the way.",1175156346687299586,2019-09-20,21:14:41,repandrecarson,9,13,94
"As a member of @HouseIntel, I am determined to #FollowTheFacts and uncover the details of the whistleblower complaint. Americans deserve to know the truth. My full statement: pic.twitter.com/dkGOZTn92J",1175136107094261762,2019-09-20,19:54:15,repandrecarson,9,3,38
