tweet,id,date,time,username,replies_count,retweets_count,likes_count
Today we celebrate the 54th anniversary of #Medicare & #Medicaid—life-saving programs that are at risk under the Trump Administration. @HouseDemocrats are fighting to protect these lifelines #forthepeople pic.twitter.com/do8bmTJk2k,1156290850055512065,2019-07-30,19:49:56,repandylevin,2,16,47
"Robert Charara may be leaving us for law school, but he will always be a part of Team Levin! This man is destined for success and I am so excited to see all that he will accomplish. I am so grateful to him for his excellent work on my staff. pic.twitter.com/upfbtW7L9e",1154862024934985729,2019-07-26,21:12:17,repandylevin,1,12,61
"As a two-time cancer survivor and father of two kids with Crohn’s disease, protecting health care is deeply personal to me. I sat down with @morethanmySLE to talk about his experience as a patient advocate and discuss how we can do more for those with with pre-existing conditions pic.twitter.com/RXdO01xLfM",1154834218461147137,2019-07-26,19:21:48,repandylevin,8,134,460
"In tough times, it’s important to hang onto heroes, and to take inspiration from their audacity. pic.twitter.com/oeccHjF0KT",1154574335702634496,2019-07-26,02:09:07,repandylevin,3,3,32
Don’t forget to enter the #MI09 photo competition! E-mail submissions to Levin[dot]Press@mail.house.gov. Find more information here:  https://www.facebook.com/repandylevin/photos/a.1278782892263508/1418912234917239 … pic.twitter.com/go4X5dO66Y,1154534292812255233,2019-07-25,23:30:00,repandylevin,0,0,1
"Welcome news considering Trump admin’s reckless rollback of environmental protections. Still, automakers should at least adhere to the Obama-era standards. 

We needn’t let this admin’s recklessness slow down desperately needed progress! #ClimateCrisis https://www.nytimes.com/2019/07/25/climate/automakers-rejecting-trump-pollution-rule-strike-a-deal-with-california.html?emc=rss&partner=rss&smid=tw-nytpolitics&smtyp=cur …",1154515418146459648,2019-07-25,22:15:00,repandylevin,0,6,13
"It’s #NationalInternDay! My DC office couldn’t function without the hard work of Camille, Kerrigan and Olivia. They will always be a part of the Levin team and I’m so grateful for their service to #MI09. pic.twitter.com/89YcRrv34w",1154514110601711624,2019-07-25,22:09:48,repandylevin,2,4,31
"As goes southern Macomb, so goes the POTUS election in 2020. It’s that simple:

1. Presidential candidates: y’all come!
2. The Dems of #MI09 have a grave responsibility to save our democracy, and we will meet that challenge with determination and joy. https://www.freep.com/story/news/local/michigan/2019/07/23/presidential-race-macomb-county-michigan-dems-debate/1793687001/ …",1154496475503611904,2019-07-25,20:59:43,repandylevin,3,0,16
"1. We will get justice for workers who are denied their right to organize.
2. I will not let heroes of the labor movement be misrepresented.
3. Let’s be clear: the ability to organize leads to higher wages.

We need the #PROAct to restore and protect the freedom to organize. pic.twitter.com/uqpg3svCIN",1154481466400747521,2019-07-25,20:00:05,repandylevin,4,32,88
"I so appreciate @SenWarren’s leadership on this fundamental justice issue, and so many others. https://twitter.com/SenWarren/status/1154452159477538816 …",1154458932800131072,2019-07-25,18:30:33,repandylevin,0,13,73
"My key takeaways from the #MuellerHearings: 

Did @realDonaldTrump obstruct the Mueller Investigation? Yes. 

Did Mueller exonerate the President? No.

#FollowTheFacts pic.twitter.com/BASAf07lDL",1154452504282664960,2019-07-25,18:05:00,repandylevin,8,16,34
"The skills and credentials to succeed in today’s economy must be attainable for working families. Yesterday I was proud to introduce the America’s College Promise Act, which will transform higher education by making available two years of free community college. #ACP2019 pic.twitter.com/crHo2AqK0h",1154417529261043714,2019-07-25,15:46:01,repandylevin,1,0,6
"Great to meet with my friend Pierre Esperance and other activists from Haiti today. I'm proud to stand with those who are fighting against corruption, impunity and human rights violations. pic.twitter.com/4W1AjJZM2D",1154205094273003520,2019-07-25,01:41:53,repandylevin,1,2,16
"Seniors who spent decades forgoing wage increases now live in fear that they may not receive their hard-earned pensions: To save the pensions of up to 1.3 million workers and retirees, the House today passed the #ButchLewisAct. We must stand up for seniors.",1154194554599460865,2019-07-25,01:00:00,repandylevin,2,3,22
"Today we passed the PRIDE Act, which includes my bill to update the tax code to use gender-neutral language that is inclusive of LGBTQ married couples. I will keep fighting to affirm the LGBTQ community in #MI09 and around the country. 🏳️‍🌈",1154149136406634497,2019-07-24,21:59:31,repandylevin,5,5,49
"🎵I'm just a bill🎵
🎵Yes, I'm only a bill🎵
🎵And I'm sitting here on Capitol Hill🎵

Literally! Signing my America's College Promise Act on the Capitol steps today. 😎 pic.twitter.com/doDtykZM5T – at United States Capitol",1154129234929082369,2019-07-24,20:40:26,repandylevin,44,28,195
We have to make sure that the skills and credentials necessary to be successful in today’s economy are attainable for working families. Proud to introduce the America's College Promise Act with @SenatorBaldwin today. #ForThePeople https://twitter.com/SenatorBaldwin/status/1154072087784542209 …,1154077582406672385,2019-07-24,17:15:12,repandylevin,1,0,6
So great to see my friend @morethanmySLE this morning. I’m so grateful for his work as a patient advocate and proud to stand with him in the fight to #ProtectOurCare. pic.twitter.com/jGoTSGMZx9,1154069089670877184,2019-07-24,16:41:27,repandylevin,2,11,76
Do you have a photo that showcases our district? I’m excited to announce the #MI09 photo challenge! Our office is hosting a competition to find photos that capture the spirit of Macomb and Oakland Counties. See details here:  https://www.facebook.com/repandylevin/photos/a.1278782892263508/1418912234917239/ …,1154046466979192832,2019-07-24,15:11:33,repandylevin,0,0,0
".@HillaryClinton put it best: women’s rights are human rights & gay rights are human rights. 

Let’s call this out for what it is, another ploy to roll back years of progress the U.S. helped lead. Proud to join 
@RepEliotEngel & others to demand answers.  https://www.nytimes.com/2019/07/08/us/politics/state-human-rights.html?searchResultPosition=1 …",1154034813403316224,2019-07-24,14:25:15,repandylevin,2,10,27
I commend the airline food workers who are striking with @UniteHere today at DCA to demand fair wages and benefits for their hard work. One job should be enough. #1u,1153757333429858304,2019-07-23,20:02:38,repandylevin,0,0,13
"A week ago I saw first-hand the extremely concerning conditions faced by migrants at the southern border. This week, the House will take up legislation to create standards for health screenings, emergency medical care & more to improve the humanitarian crisis. Let’s get it done.",1153741807383171072,2019-07-23,19:00:57,repandylevin,5,7,42
"But this development is most welcome - and shows that, despite the GOP's best efforts to kill it, the #ACA is still working for Michigan. https://www.freep.com/story/money/business/2019/07/17/affordable-care-act-rates-obamacare-michigan/1755186001/ …",1152257684852359168,2019-07-19,16:43:34,repandylevin,0,7,19
Great news about 7 of 9 health insurers who participate in the Obamacare market in Michigan reducing their premiums for next year. We'll keep working to make health care and prescription drugs universally affordable. #ForThePeople,1152257683946450944,2019-07-19,16:43:34,repandylevin,2,3,26
"44 million Americans hold a combined $1.5 trillion in student loan debt. On @EdLaborCmte, we’re fighting to help our students. 

Today I hosted a briefing for House staff on how we can #ProtectStudents. Thx to @TICAS_org @pewtrusts @EdTrust @amprog for sharing your expertise! pic.twitter.com/ITZzcQXpPy",1151967653965258753,2019-07-18,21:31:05,repandylevin,2,1,10
"House Democrats promised to raise wages for Americans workers. Today, we delivered. #FightFor15 #RaiseTheWage pic.twitter.com/8MQ5KX4QuD",1151908661431848960,2019-07-18,17:36:40,repandylevin,0,12,38
Today is the today! We’re voting to give 33 MILLION Americans a raise and lift 1.3 MILLION people out of poverty. Couldn’t be prouder to vote to #RaiseTheWage! pic.twitter.com/BvWSfz4Lj6,1151862299000487936,2019-07-18,14:32:27,repandylevin,4,8,37
"So @IlhanMN, @AOC, @RashidaTlaib and @AyannaPressley, keep doing what you do.",1151663837000753152,2019-07-18,01:23:50,repandylevin,3,5,57
"But only if we all stand up for each other and work tirelessly to share the gospel of positive change with everyone we know, and plenty we don’t!",1151654963086548992,2019-07-18,00:48:34,repandylevin,2,9,49
"Happily, I believe love and respect and faith in the goodness of one another will triumph over this demonizing of difference.",1151654961417244672,2019-07-18,00:48:34,repandylevin,1,6,48
"If there is a white nationalist “base” big enough to support a presidency built on hatred and fear of these four women of color, our country is in deep trouble.",1151654959819165696,2019-07-18,00:48:33,repandylevin,5,23,75
"🇺🇸 A Palestinian American woman full of Detroit grit
🇺🇸 A Somalian refugee who became a citizen and achieved the American Dream
🇺🇸 A young Puerto Rican woman who turned NYC and American politics upside down
🇺🇸 The first African American woman to represent MA in the US House",1151654958065995777,2019-07-18,00:48:33,repandylevin,3,27,106
"What a sorry sight, a White House dweller behaving like this at a campaign rally. I honestly think he can’t deal with it:",1151654955633270784,2019-07-18,00:48:32,repandylevin,6,21,98
Just voted to repeal the Cadillac tax. Workers should not be penalized for negotiating good health insurance plans with their employers.,1151630646382661632,2019-07-17,23:11:57,repandylevin,2,0,17
"His calm and judicious demeanor makes him an ideal fit for this role. At this moment of rapid transformation of energy production, storage and distribution, we need the brightest minds to help Michigan navigate the way forward. @GovWhitmer has found one in Mr. Phillips.",1151551845707472898,2019-07-17,17:58:49,repandylevin,0,1,9
I congratulate @GovWhitmer on her visionary appointment of Tremaine Phillips to the Michigan Public Service Commission. I learned first hand that Mr. Phillips is something of a prodigy on energy policy when he worked for me at DELEG in 2010.,1151551844994469888,2019-07-17,17:58:49,repandylevin,1,2,13
"The #RaiseTheWage Act is an outstanding bill:

✅ Gradually increase minimum wage to $15 an hour by 2025
✅ End poverty wages for tipped workers
✅ End sub minimum wages for teens and folks with disabilities
✅ After we hit $15 in 2025, index the minimum wage to the median wage",1151524320235151362,2019-07-17,16:09:26,repandylevin,2,6,17
It's a big week in the House! We're getting ready to pass the #RaiseTheWage Act to gradually raise the minimum wage to $15 by 2025 and give more than 33 MILLION Americans a raise. #ForThePeople pic.twitter.com/ehDnRd6JVW,1151510618928640001,2019-07-17,15:15:00,repandylevin,2,7,11
"I spoke on the House Floor to congratulate a tremendous leader of workers throughout North America on his retirement. I'm so grateful to #LeoGerard for his 40 years of dedication to the @steelworkers, and I pledge to fight for a stronger #USMCA for him and workers everywhere. pic.twitter.com/fKtSNbvz2D",1151500858980478982,2019-07-17,14:36:13,repandylevin,1,4,9
Republicans are making clear today that they take greater issue with calling out racism than doing something racist.,1151236549511716865,2019-07-16,21:05:57,repandylevin,5,22,86
About to go live on @instagram with @RepDebHaaland! Follow along here:  https://instagram.com/repandylevin?igshid=1730chk8t0vb0 … https://twitter.com/RepAndyLevin/status/1150951999959179266 …,1151224799693344769,2019-07-16,20:19:15,repandylevin,0,3,6
"I came to Congress to raise the standard of living for workers in #MI09 and all across the USA. It seems Trump’s goal is the opposite. By 2025, no one will be able to live on less than $15/hour in any county in the nation. https://twitter.com/EdLaborCmte/status/1151167694462488576 …",1151175759953879041,2019-07-16,17:04:23,repandylevin,5,6,18
"To optimize resources for family caregivers, we need to better understand their specific needs. That’s why I’m proud to join @RepStefanik in introducing a bipartisan bill to learn how we can improve the resources made available to caregivers. https://andylevin.house.gov/media/press-releases/levin-stefanik-introduce-bipartisan-bill-provide-targeted-support-family …",1151152289589190658,2019-07-16,15:31:07,repandylevin,0,3,6
My friend @RepDebHaaland and I are both passionate advocates for environmental and climate justice. That's why we're teaming up for a live discussion on Instagram to talk about #PlasticFreeJuly and how to #ActOnClimate! Tune in tomorrow around 4:15 p.m. pic.twitter.com/4WXM9uq9f2,1150951999959179266,2019-07-16,02:15:15,repandylevin,1,7,24
"With the #PactAct, we’re redoubling our efforts to fight animal cruelty and elevate the profile of animal abuse cases. #ProtectOurPets pic.twitter.com/yUJmtEx3vT – at House Triangle",1150907190687010818,2019-07-15,23:17:11,repandylevin,3,9,30
"The bottom line is that college is a lot harder for students who don’t have secure housing or know where their next meal will come from. 

To write effective education policy, we have to know what students are experiencing. https://twitter.com/GoldieStandard/status/1150832208522993664 …",1150835433837867008,2019-07-15,18:32:03,repandylevin,1,2,6
"""'I stand before you looking for your partnership to stand against what I feel like are violations of my most basic values, my faith values, my American values,' Levin told the group of about 25 Christian and Jewish religious leaders"" https://www.detroitnews.com/story/news/politics/2019/07/14/rep-andy-levin-us-mexico-border-trip/1730925001/ …",1150819961604136965,2019-07-15,17:30:34,repandylevin,2,8,10
"I was brought up differently, to love the stranger as myself. We will conquer hate with love.",1150811120510361600,2019-07-15,16:55:26,repandylevin,3,1,27
I have just returned from the southern border where Donald Trump’s web of policies to keep immigrants of color from entering our country was on full display. His immigration policies and hostility to my powerful sisters in Congress are all of a piece. Stir up hatred of the other.,1150811119629606918,2019-07-15,16:55:26,repandylevin,1,4,33
"Telling Congresswomen of color to go “home,” as if this is not their home, as if they’re not fully American, is nothing more than naked racism.",1150811118702616583,2019-07-15,16:55:26,repandylevin,3,15,92
"Wow, very moving. We assembled and served hundreds of hot dogs, chili, salad and other food to migrants near the bridge. Intrepid local volunteers brought the grub. So many women, men and children wondering whether they will be safe tonight and what is next for them. pic.twitter.com/i16tLDEyAt",1150219002381262849,2019-07-14,01:42:34,repandylevin,25,34,133
Now we’re walking back across the bridge into Mexico to feed migrants seeking asylum and hearing more of their stories.,1150190304449978370,2019-07-13,23:48:32,repandylevin,7,17,78
"It’s easy enough for Members of Congress to walk back and forth, but for migrants seeking asylum the bridge must feel like an apparition, or a cruel joke. Imagine getting right there, but having little to no hope of crossing. pic.twitter.com/LMONJCiVid",1150179560937406464,2019-07-13,23:05:51,repandylevin,2,11,32
"The Mexican government keeps a list but it’s hundreds and hundreds of names long. It’s not clear whether people jump the line through corruption. In any event, the people said not one person has been taken off the list and admitted to seek asylum since last Sunday - a whole week.",1150144503505989635,2019-07-13,20:46:32,repandylevin,7,25,51
"We just walked across the border to Mexico and interviewed families waiting their turn to seek asylum. People were from Honduras, Guatemala, El Salvador Venezuela and perhaps other countries. The US refuses to keep a list, or to let people in in any significant numbers.",1150144502717399040,2019-07-13,20:46:32,repandylevin,20,55,117
"There’s something very wrong going on at our southern border. People are being kept in jail cells, chain link fenced pens and tents. Some have been in one cell for 60 days. Way too many people to sleep properly. Lights never off. Inadequate showers. pic.twitter.com/rtgPZms3kk",1150111071946117120,2019-07-13,18:33:42,repandylevin,26,83,133
"At Ursula we saw hundreds of unaccompanied minors, more boys but also girls, fathers with children, mothers with children. Lots of men in cells, too.",1150071728388935681,2019-07-13,15:57:22,repandylevin,1,14,26
"They’re just now getting in portable shower facilities. Up until now, they’ve been taking 13 men a day (sic) to county sheriff lock-ups to take showers, according to a commanding officer.",1150048406515126274,2019-07-13,14:24:41,repandylevin,2,16,31
"Just toured the holding facility here. Can’t post videos or photos yet, but conditions are very difficult, indeed. People held in massively overcrowded cells for up to 60 days. Little access to showers or laundry. Over 600 single adults are being held here.",1150047977878228992,2019-07-13,14:22:59,repandylevin,191,1024,2081
"Well, here we go. Preparing to drive to the McAllen Border Patrol Station and Centralized Processing Center with about 20 Members of Congress. I have confidence in our group to try to find the truth.",1150032897698607104,2019-07-13,13:23:04,repandylevin,18,26,114
"Just landed in Houston and rushing to a second flight to McAllen, TX so I can see for myself the conditions at the border. I’m deeply concerned about the care and human rights of migrants.",1149802568912162816,2019-07-12,22:07:49,repandylevin,7,5,52
