tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today wraps up National Career and Technical Education month, but tomorrow we cannot forget the importance of supporting the innovative programs that help prepare our students for the high-quality jobs of today.",1101242614353985537,2019-02-28,22:07:54,repangiecraig,1,6,19
"Today, I introduced a bill that aims to lower the cost of health insurance for hardworking families. Addressing the skyrocketing cost of healthcare is the number one issue I hear about from families in the Second District - and it’s what I came to Washington to fight to do. pic.twitter.com/XkJIpJuFU9",1101195895071301633,2019-02-28,19:02:15,repangiecraig,27,36,131
Want to stay up to date on my work in Washington and in #MN02? Sign up for my weekly newsletter! Just head to this link to sign up: https://bit.ly/2tDzIsH ,1100914104355704834,2019-02-28,00:22:31,repangiecraig,1,6,8
"Today, I was proud to support the commonsense background check bill that moves us closer to improving gun safety in our communities. #HR8",1100890697606021120,2019-02-27,22:49:30,repangiecraig,9,24,138
The number one issue I hear from families across #MN02 is the need to address rising healthcare costs now! I'm proud to be a co-chair of the Healthcare Task Force for @HouseNewDems so that we can stabilize the individual market and work toward universal affordable health care. pic.twitter.com/AmXOao1Vok,1100874246279053314,2019-02-27,21:44:08,repangiecraig,6,8,51
"Passing the Farm Bill was a huge victory for Minnesota farmers, but we have a lot of work to do to make sure our farmers are fully supported. I asked USDA Secretary Perdue about how he plans to help rural and agricultural economies thrive when he spoke to @HouseAgDems today. pic.twitter.com/E7R1PAEJs8",1100854319912574976,2019-02-27,20:24:57,repangiecraig,1,11,36
"I’m an original cosponsor of H.R.4, a bill that would restore voting rights protections and strengthen our democracy by supporting the right to vote for all Americans. #VRAA pic.twitter.com/UOQY4aIJB6",1100505397629276164,2019-02-26,21:18:27,repangiecraig,2,21,59
"Today in @TransportDems, I heard from experts on the effects of climate change on our highways, roads, bridges, and airports. I’m committed to finding bipartisan solutions so that we can build safe, sustainable, and prosperous communities for future generations. #ActOnClimate pic.twitter.com/ZrE3uonlKQ",1100428125429735424,2019-02-26,16:11:24,repangiecraig,4,14,29
Be safe everyone! pic.twitter.com/8TCveOnueh,1100196923259142144,2019-02-26,00:52:41,repangiecraig,1,12,30
"I introduced my first bipartisan bill with @RepBrianMast today - we’re working together to increase funding to help our communities keep lakes, rivers, and wetlands clean! pic.twitter.com/xAp37955dP",1100167884783976448,2019-02-25,22:57:18,repangiecraig,13,29,128
"Want big money out of politics? #HR1 will do that. ✅
Want clean and fair elections? #HR1 will do that too. ✅
Want public servants to serve the public, not themselves or special interests? #HR1✅
➡️ To sum up: #HR1 makes sure that Washington works #ForThePeople.",1099751484340797442,2019-02-24,19:22:40,repangiecraig,8,58,128
Thank you to my neighbors in Red Wing and Goodhue County who spent their Saturday morning at my second Town Hall. It is a privilege to hear directly from you about how I can work to best represent you! pic.twitter.com/zaEf8e4ayq,1099715232413478912,2019-02-24,16:58:37,repangiecraig,0,15,47
"It’s #SmallBusinessSaturday, and I’m at Josephson’s Clothing in downtown Red Wing this week! Your hard work keeps our local economies strong, and I’m proud to support small businesses like yours. pic.twitter.com/dXztWYG0YC",1099426659307044865,2019-02-23,21:51:56,repangiecraig,2,8,27
