tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I went to Milwaukee earlier this year with @WhipHoyer & @RepGwenMoore to meet with families struggling under these punitive work requirements.

Here’s the reality: work requirements hurt families, lead to more hungry kids, and make it HARDER for people to get back on their feet. https://twitter.com/washingtonpost/status/1068326011190808576 …",1068616911427035136,2018-11-30,21:25:00,repbarbaralee,11,59,116
"I wouldn’t be here without my mentor, my shero, my shining light – the late, great Congresswoman Shirley Chisholm. 

I’m so grateful for her legacy and her leadership. She was truly #Unbought and #Unbossed. Happy birthday Mrs. C! pic.twitter.com/4oLvcrk3mX",1068599401650765824,2018-11-30,20:15:25,repbarbaralee,133,1903,10347
"When we passed the ACA, millions of kids and families were able to get health insurance. But the GOP #TaxScam and Trump’s sabotage of the health care market is now driving kids’ uninsured rates up again.  
 
We’ve got to fix this. No child in America should be uninsured. https://twitter.com/voxdotcom/status/1068312420689551362 …",1068556765279600640,2018-11-30,17:26:00,repbarbaralee,48,149,389
"Maria Mendoza-Sanchez’s deportation was unconscionable. She was beloved in our community, by her patients and her family. I’ve never stopped fighting to bring her home, alongside @SenFeinstein. This week, we got one step closer. https://www.sfchronicle.com/bayarea/article/Maria-Mendoza-Sanchez-Oakland-nurse-deport-mexico-13429323.php …",1068544685889724416,2018-11-30,16:38:00,repbarbaralee,21,88,196
"The GOP #TaxScam didn’t just hand out billions to the wealthy – it gutted the #ACA as well. Because of GOP greed, 4.4 million Californians will be uninsured by 2023.
 
It’s time to get to work #ForThePeople – American families deserve better than this. https://www.sfchronicle.com/business/article/Many-more-Californians-likely-to-be-without-13426066.php …",1068533864509972483,2018-11-30,15:55:00,repbarbaralee,13,90,153
"Every woman – no matter their background, income, or zipcode – should have access to comprehensive reproductive care, including abortion.
 
It’s time to get to work --Congress must #BeBoldEndHyde and pass the EACH Woman Act! https://thinkprogress.org/record-number-of-women-congress-repeal-the-hyde-amendment-3bfb3c527a49/ …",1068315496850878464,2018-11-30,01:27:17,repbarbaralee,40,287,869
"“How we project ourselves abroad should be no different from how we engage at home. Our values do not stop at the water’s edge.“
 
@USProgressives are ready to bring justice, equity & security to our foreign policy. Let’s get to work. https://twitter.com/WinWithoutWar/status/1067883350835240961 …",1068305417950892032,2018-11-30,00:47:14,repbarbaralee,5,107,302
The American people have spoken loud and clear for #NetNeutrality. Congress must restore the free and open internet before it’s too late. pic.twitter.com/E5OS0ffuIL,1068296211109687302,2018-11-30,00:10:39,repbarbaralee,10,229,409
We are long overdue for some accountability and transparency on the US role in the atrocities in Yemen. I’m proud to see the US Senate acting in a bipartisan fashion to jumpstart this conversation – the House must do the same. #YemenCantWait pic.twitter.com/qHR1zqW57E,1068287800473210881,2018-11-29,23:37:14,repbarbaralee,23,216,652
"Huge congrats to my dear friend, our new Congressional Black Caucus Chair, @RepKarenBass. I cannot wait to see you shine in this new role! https://twitter.com/TheBlackCaucus/status/1067839301193478144 …",1067916178977447936,2018-11-28,23:00:32,repbarbaralee,19,65,381
"Congratulations to @RepJeffries – I look forward to working together to advance a bold, progressive and inclusive agenda #ForThePeople. 
 
I hope my candidacy will inspire other women of color to run for office and seek leadership positions. We need your voices. pic.twitter.com/DxBxi9qWju",1067894831912034315,2018-11-28,21:35:43,repbarbaralee,256,781,3808
"Thank you, Ayanna. I’m excited to work together on so many of our shared priorities, like fighting poverty, addressing the epidemic of gun violence, and expanding health care access. https://twitter.com/AyannaPressley/status/1067149923890548736 …",1067576248212381697,2018-11-28,00:29:46,repbarbaralee,37,130,666
