tweet,id,date,time,username,replies_count,retweets_count,likes_count
Read my full statement here: https://barragan.house.gov/reps-barragan-turner-introduce-bipartisan-bill-to-fund-urban-parks/ …,1178725889632284676,2019-09-30,17:38:46,repbarragan,2,8,16
"For many low-income communities, city parks are the only easy and affordable access to the outdoors. Proud to re-introduce the #OutdoorsForAll Act, H.R. 4512, a bipartisan bill that would create a dedicated source of funding for projects that expand city parks across the nation. pic.twitter.com/WQ4BEe6HIW",1178725888311123968,2019-09-30,17:38:46,repbarragan,5,49,112
"Tonight marks the beginning of Rosh Hashanah, the Jewish New Year. Wishing all my Jewish friends good health and happiness in the new year! #ShanaTova pic.twitter.com/XssFJS0DFb",1178419415009910785,2019-09-29,21:20:57,repbarragan,2,9,27
"On today's National Gay Men's HIV/AIDS Awareness Day #NGMHAAD, I'm proud our nation is breaking through stigma to #StartTalkingHIV. Together we can end the HIV epidemic disproportionately affecting gay men. Visit  http://hiv.gov  for info on prevention, treatment, & more. pic.twitter.com/tnQlz0qH8h",1177700497144320000,2019-09-27,21:44:13,repbarragan,0,3,11
"Honored to speak at the @GreenLatinos Live! #HispanicHeritageMonth Awards Celebration & to present an award to Healthy Communities Earth Justice's, Raul Garcia! Thank you Raul & all the other leaders fighting to protect our community & for their inspiring environmental advocacy. pic.twitter.com/tyKAkGTck5",1177379653914419213,2019-09-27,00:29:18,repbarragan,0,14,53
 https://www.google.com/amp/s/www.nbcnews.com/news/amp/ncna1058971 …,1177221936755159042,2019-09-26,14:02:36,repbarragan,1,6,17
"What you need to know about the#whistleblowercomplaint:
-on a call with Ukrainian Pres., Trump abused his power to “solicit interference from a foreign country in the 2020 U.S. election”
-AG Barr is complicit
-after the call, White House officials began to cover up the wrongdoing",1177221934305726464,2019-09-26,14:02:35,repbarragan,4,12,43
"It's National #WomensHealth and #Fitness Day! Honored to be the only female MOC playing in last night’s Congressional Football Game. Playing sports keeps me healthy and helps me feel my best. I encourage all women to join me in exercising, feeling YOUR best & taking on the men! pic.twitter.com/S5rOT9tGIr",1176973376746917888,2019-09-25,21:34:54,repbarragan,1,6,30
"Let me get this straight:
- POTUS asks Ukraine to “do us a favor and investigate (dig up dirt on) Joe Biden.”
- Tells them “the U.S. has done a lot for Ukraine” (in a clear reference to military aid).
Suggests (directs) he work with our Attorney General?
Corruption? Impeachment? https://twitter.com/NBCNews/status/1176862188818051076 …",1176929624368013314,2019-09-25,18:41:03,repbarragan,8,19,87
Me too. I support DC statehood. I have signed on to the legislation in the last Congress and again this Congress.,1176723159363530753,2019-09-25,05:00:38,repbarragan,2,3,4
"When the President asked a foreign government to investigate his political opponent, he not only betrayed his oath of office, he  seriously compromised our national security. This act alone leaves Congress no choice but to exercise it’s oversight duty and impeach this President.",1176700129774116865,2019-09-25,03:29:07,repbarragan,13,100,479
"Taking a break from battles in Congress to battle on the gridiron @ the 10th Annual Congressional Football Game for charity! All proceeds going to the Capitol Police Memorial Fund, our Military Kids and A Advantage 4 Kids. Coming together and kicking butt for a good cause! pic.twitter.com/ebOAGpmVCZ",1176655992282583042,2019-09-25,00:33:44,repbarragan,1,9,42
"In the first 6 months of 2019, pharmaceutical companies have raised prices on more than 3,400 prescription drugs -- while American families and seniors already pay 3 times more than other countries for the same drug! @HouseDemocrats are acting #ForThePeople to #LowerDrugCosts. pic.twitter.com/TowwHJX7aV",1176564357171417090,2019-09-24,18:29:36,repbarragan,1,7,18
"It’s #NationalVoterRegistrationDay! Don’t miss the registration deadline to vote in our critical upcoming elections 🗳 

If you think you’re registered to vote, but aren't positive, don’t hesitate to double-check and update any information💻 https://lavote.net/home/voting-elections/voter-registration/register-to-vote/register … pic.twitter.com/ryN0wzXzXW",1176509681067601926,2019-09-24,14:52:21,repbarragan,2,19,29
